,tag,name,nameColor,icon,trophies,rank,club
0,#2JVJLQ0UR,Shoot the moon,0xffffffff,28000207,69138,1,ブリリアントぶた劇場
1,#2YC9CPVCP,zoukette,0xffffffff,28000344,60674,2,
2,#LJJYULY,⚡️Josh⚡️,0xffff8afb,28000290,59792,3,Alpha Rush
3,#2J829R002,popichek :D,0xffffffff,28000348,59119,4,podpivmaxers
4,#PCCC09JYU,✞︎ℳℴ𝓃𝓈𝓉ℯ𝓇❦︎,0xffffffff,28000168,56437,5,Ro<c2>M</c>ania
5,#8VLC28R0G,✞︎AsSeE❦︎,0xffffffff,28000159,56428,6,Ro<c2>M</c>ania
6,#YRG9JLLL,SANDY,0xffcb5aff,28000333,52310,7,latam|🌐🔰
7,#9RL9P2Q8P,YT|Samurai👻,0xffa2e3fe,28000348,52103,8,Ezhevika
8,#2GYQ2C0UU,💕аркаとこじくう🤍,0xff1ba5f5,28000348,51708,9,Seva's family
9,#9R0PYP8LP,×͜×T𝚢𝐞R̸×𝙵𝚢,0xff4ddba2,28000205,50763,10,supercellstudio
10,#URY99V90,♣️_UKRAINE_♣️,0xfff9c908,28000096,50596,11,SansPitaxMax
11,#PPC0CGY0P,z4dymiaz_eq🤙(:,0xffff9727,28000140,50234,12,jeszcze polska
12,#L0UPQ0QV2,Anarr1kot,0xff4ddba2,28000271,50148,13,BLAMANIEL
13,#2GJ9QLG02,BBS|Cluni❤️‍🔥,0xfff05637,28000129,49908,14,
14,#YG88JQJG0,MT | Eternità,0xfff9c908,28000061,49891,15,MT | Force one
15,#9LU2889YV,🥀OL | Baltha👾,0xffcb5aff,28000290,49435,16,OL|Gaming🏜
16,#9L289VRJG,TM_TIMO,0xff1ba5f5,28000062,49413,17,Chaos🎉💥⚡️Club
17,#VV8PRQG2,VANBUYT,0xffcb5aff,28000027,49225,18,StarYT 🌠
18,#22J2C9RQJ,BE|🖤ʲᵒˢʰᵘᵃシ✨️,0xffcb5aff,28000303,49170,19,<c8>P</c>halanx
19,#9QVRLL9QY,MD.99,0xff1ba5f5,28000333,49047,20,مقهى العظماء🖤⛓
20,#CY89VY8U,RiCChLEE671,0xffa2e3fe,28000305,48345,21,Dark beginning
21,#8J02Q9YVQ,Мортис,0xffff8afb,28000023,48163,22,Legion of KI
22,#9UPLQV9UP,☔️₲ꝋⱦꞩɏᴷⁱˡˡᵧₒᵤツ,0xff1ba5f5,28000014,47526,23,Heavy snow❄️
23,#9QUQLQP0P,oblako B штанах,0xff4ddba2,28000021,47448,24,Дратисты
24,#LR20JL2V,VK.,0xffff8afb,28000335,47066,25,
25,#9PYJYCQQC,pipistrello,0xfff9c908,28000066,46844,26,AFGG
26,#VQGLY20U,구글구글,0xff4ddba2,28000332,46838,27,트롤사냥
27,#8PLRGVUJU,INC|Đ₳Ɽ₭₴Ⱨ₳ĐØ₩,0xff1ba5f5,28000294,46422,28,Inception Alpha
28,#9PUQQCVCP,#SPEC OPS#,0xffff9727,28000211,46402,29,Cactus red
29,#2C0JP00RP,양아치,0xff4ddba2,28000164,46367,30,바다왕국
30,#9U0PGQ2P9,要|shine☔,0xffff8afb,28000347,46045,31,⍟project space⍟
31,#PG9YLCGJ9,Jass_Btw,0xffa8e132,28000206,46039,32,Swedish Vikings
32,#YU02RUQ,sᴀᴅ | ʀᴀʏ😔💔,0xffffce89,28000230,44960,33,●Beyond🔥●
33,#988R8JYJ8,HE|STAS.,0xffffffff,28000335,44589,34,ЛЕГИОНЫ
34,#8LUUP0YQC,최강준혁,0xffa8e132,28000061,44149,35,ETICK
35,#2UVVL22RC,BE| Siebe,0xfff9c908,28000004,44018,36,<c8>P</c>halanx
36,#PPJCJUL0U,R I K =),0xfff05637,28000088,43926,37,О. С. И.
37,#200R8YPLR,infuriatingfire,0xffcb5aff,28000156,43844,38,TOP GLOBALES
38,#2VY0JRJRP,✨ƛℓ℘հɑ㟼✨🦕,0xffcb5aff,28000318,43762,39,Bull Chiquito
39,#20QY882JV,Ayanami Rey,0xffa2e3fe,28000119,43744,40,Elite Souls
40,#JQJUL0G8,FKMASS,0xfff9c908,28000210,43724,41,技術至上
41,#8890JG292,TOP4IK B8,0xffa2e3fe,28000087,43695,42,XXXTENTACION
42,#8RVVCYVUQ,TR|ShavXD🌹,0xffa2e3fe,28000175,43685,43,🏯Nova|LEGION🎴
43,#90C28JP0L,Genii,0xffa8e132,28000164,43361,44,한마음정육식당
44,#2QGVRCUGR,Tracy,0xffa2e3fe,28000164,43219,45,671Elite vBRL⭐️
45,#22LQQUQ2,♡︎liana♡︎,0xffcb5aff,28000222,43058,46,⚡Stiver Team⚡
46,#98PYPRR2P,⛩️|AmirYTᵏⁱˡˡ,0xffa2e3fe,28000135,42890,47,
47,#2CRJ0JYRY,HP|2a❣,0xffffffff,28000011,42375,48,한들빌런협회
48,#9PGQJGRCC,:-|,0xffa2e3fe,28000285,42371,49,ASTRAL|FAMILY👹
49,#282JY0QLL,Immortal Eliot,0xffcb5aff,28000164,42102,50,brawl school FR
50,#8V2P0R0L0,🌺JN|Ęnākĩn🪐,0xfff9c908,28000341,41873,51,DosBrosAmigos🔥
51,#RQVLQ98,𝐗-𝐞𝐧𝐞シ︎🌪️,0xfff9c908,28000218,41862,52,PL||PUSH LAD🌷
52,#YJVRY0JG,誒¦Lykie¦63,0xffffffff,28000134,41781,53,Batuhan Berkant
53,#LUULRGJR,ivanstar_YT,0xfff9c908,28000132,41476,54,ВЕЛИКИЙ ХАН
54,#PJ8CCQCVQ,coffeyok,0xffa2e3fe,28000332,41467,55,Gmina Główczyce
55,#8JL99P9J2,JN-DAVIID😎,0xff1ba5f5,28000352,41394,56,Ángel II
56,#YP2V8LY9Q,LP_[Imax],0xffcb5aff,28000207,41365,57,
57,#YPP0JLR9J,~chalemss⛓,0xffffffff,28000000,41179,58,RGNT | Ecsports
58,#UCYPVLV8,dani,0xff1ba5f5,28000332,40959,59,Liquid Squids
59,#9008R9GG8,ViciouS Storm🤡,0xffa2e3fe,28000302,40913,60,
60,#8JRY8QVYU,«💘Cāmbõss💘»,0xffcb5aff,28000141,40745,61,Play league
61,#9C0UU822P,『ily』Mauñty•💘,0xffffffff,28000132,40692,62,•shanels•
62,#2VJ9G9QQU,➠𝖏𝖆𝖛𝖎❦,0xffff8afb,28000348,40625,63,La 150 cLaSs
63,#PCYGJ082C,миха топ,0xff1ba5f5,28000228,40624,64,SS Ізраїльϟϟ
64,#9CLYYC2UQ,AmeliaGroobs,0xffffffff,28000332,40595,65,БАНАНЧИКИ
65,#PQRJJRUG,cruelty,0xffa8e132,28000096,40593,66,
66,#9992J0YQJ,FZ|🔥Kibууу⛩️,0xffffffff,28000000,40578,67,
67,#20U0GYY8Y,머째이,0xffffffff,28000161,40543,68,아재아재클럽
68,#9PV9J8P0R,[AT]DarkFenix,0xff1ba5f5,28000168,40501,69,PREDATORS
69,#9L2UR8VYQ,💣КП|DiroFazz💣,0xffcb5aff,28000151,40182,70,
70,#P2C0PPL0U,cute psycho💔,0xffffffff,28000288,39622,71,MDY
71,#9QUQ9J00R,blessed by god,0xffcb5aff,28000230,39463,72,Раки в Атаке⚔️
72,#P2RCJ99JP,MZ-CHRImore2010,0xffcb5aff,28000033,39400,73,A Fiu Gud Yoshi
73,#288JUJGVP,케로로남,0xffa2e3fe,28000229,39202,74,
74,#J2CUCQ99,читер 777,0xffff8afb,28000156,39192,75,Instead
75,#8982RULLJ,KillerFer,0xffa2e3fe,28000023,38882,76,B T H Kappa
76,#9VV0CG9RC,GATTO STELLARE,0xffff9727,28000333,38594,77,NON-STOP-ON-TOP
77,#89YLJCGQC,/NooBBRaGAMer!,0xff1ba5f5,28000272,38576,78,
78,#PUYGVGG2L,ihavecovid196ft,0xffff8afb,28000138,38451,79,Blackstorm
79,#V8LUGVLU,gland,0xff4ddba2,28000089,38310,80,Vincent team
80,#88QJUV9G,Darryl,0xffffffff,28000016,38309,81,
81,#8J9V0UP9Q,Tax_evader671,0xff1ba5f5,28000154,38252,82,hog riders
82,#9YRJ09GP8,🥀Matii64🎋🃏,0xff4ddba2,28000018,38085,83,Polskie Sigmy⚡
83,#882QLQ0YY,Менязовут грунт,0xfff9c908,28000272,38050,84,PSEU 3
84,#2QVCPVQUP,레온/LEON,0xffa8e132,28000203,37899,85,비드
85,#PCUVVCP8,gameBoss,0xffffffff,28000044,37832,86,КарпЛох
86,#2V9Q0JGLL,ZETA|iK£π,0xffffffff,28000139,37704,87,LOS PAPANATAS
87,#9VCCCR8GR,LEON,0xffcb5aff,28000273,37645,88,
88,#QJG9VC2J,⚽9lBoSS ⚽,0xffff8afb,28000218,37636,89,iT's MaGE TEaM
89,#PG0JRY089,Ketchik,0xffcb5aff,28000294,37604,90,MegaTeam💣
90,#200VVJQPV,Kring|Kupa?🤍,0xff1ba5f5,28000175,37585,91,667 Kazakh
91,#29VYRLV8V,Mommy,0xffcb5aff,28000310,37484,92,Клуб Амса
92,#PPG8GU2GQ,🥋SXM | кαιѕ🦋,0xffcb5aff,28000347,37449,93,
93,#80UPJ22QR,Budder🧈❤️🤤,0xffcb5aff,28000045,37357,94,
94,#2GC8VC8PR,The Gatekeeper,0xffcb5aff,28000124,37263,95,🏆THE BEST🏆
95,#QQQVQR99P,😎JRZ]⛩️,0xfff9c908,28000347,37199,96,ITR|Allstars II
96,#LGLCVUC0Y,maQrman,0xffa2e3fe,28000273,37197,97,SS Ізраїльϟϟ
97,#22Y0J8YG0,꧁༺ʟɮռ•ƈʀǟզʊɛֆ †,0xffffce89,28000260,37167,98,Texas burguer🍔
98,#Y9L28YVGV,pinkipais,0xffcb5aff,28000132,37142,99,Club  #29QQVGV8Y
99,#8GC9GQLR8,『Sαϻʊ❤️‍🔥』,0xffffffff,28000138,37109,100,Spain8Win
100,#8QUY9UG9Q,tsm_oli11 yt,0xffffce89,28000139,37104,101,VCR TEAM
101,#PL9PU8PR8,яблоко,0xffa8e132,28000330,37020,102,
102,#90YVRUUR,FoolTrottle671,0xffcb5aff,28000341,36970,103,SYNDICATE
103,#2VQQ8UGVV,GG|ＨｅｎｄＳＴｅｒ🦋,0xffffffff,28000000,36890,104,No XsG
104,#PRLGY2LLV,Alejandro,0xffcb5aff,28000228,36868,105,Amigos Priorat
105,#PQCVYYVRQ,Edson,0xffffffff,28000023,36784,106,Los Brawl bomba
106,#8CRR8UVUL,브롤러단우,0xffa2e3fe,28000156,36753,107,🇰🇷
107,#9PP0V2999,terry3255,0xffff9727,28000017,36687,108,브롱
108,#LC2VG9LUP,Frankie,0xffffffff,28000218,36642,109,671Elite vBRL⭐️
109,#2JRCQ2Y9R,bi🦠hAz3rd51,0xffa2e3fe,28000346,36610,110,LOS MAS INSANOS
110,#2LRQRC8UR,_/VlaD\_,0xffa2e3fe,28000045,36558,111,Silver Crow
111,#2YPYYJ89Q,KRB | ĶŔÅB1Ķ BS,0xffcb5aff,28000335,36557,112,
112,#YRC9ULYYG,بوتينتوب,0xfff05637,28000129,36510,113,HOW ARE THINGS?
113,#2LRQ98YP0,Méhmêt❦,0xffffffff,28000045,36505,114,MEGA KUMBARA SS
114,#9QVP9LYGL,LyNx|Ice_Cube🧊,0xff1ba5f5,28000301,36434,115,
115,#8RYP09URL,➳ᴹᴿ᭄ℝ𝕚𝕧𝕒𝕝៚,0xffffffff,28000162,36334,116,Банда ТикТока✔️
116,#9GY88PV2U,GG|Eternity son,0xffffffff,28000102,36130,117,
117,#8QQYGVUG8,🖤Dark lord🖤,0xff4ddba2,28000163,36128,118,YouCantSitW/Us
118,#9RUJ2GQJJ,⛩️やiͥzzͣaͫᴳᵒᵈ⛩️,0xffffffff,28000144,36056,119,POLANDTEAM❤️🤍
119,#JVG9Y2YL,сашок,0xffcb5aff,28000176,35937,120,
120,#2RUGJL0JY,y𝖚𝖓𝖌$𝖙𝖆🐉,0xff4ddba2,28000349,35859,121,Owion Hydbrids
121,#9QVLRPRUP,♥지후♥,0xffffce89,28000282,35732,122,브롤러 군대
122,#28VJP9VU2,greasemonkey,0xffffffff,28000161,35590,123,
123,#YJVGPCGJ9,jungkook BTS😎,0xffff9727,28000341,35542,124,SUPER NOVA
124,#PRG8LYCLU,⛩|NAVI|⛩,0xffffffff,28000077,35435,125,Пёрпл
125,#LLLQ02J09,CROW🇺🇦[YT],0xfff9c908,28000218,35408,126,Kiev
126,#8PYGVYGPJ,민트s1,0xff4ddba2,28000047,35360,127,jtbclub🍼🍼🍼
127,#8P8GUCQRL,Brawler,0xffff8afb,28000331,35333,128,Brawl king's
128,#LLCUG989,お|💤Thomas シ︎,0xffff9727,28000129,35283,129,zwarte
129,#V8J9J28J,❄️Justin B_YT❄️,0xffcb5aff,28000141,35174,130,
130,#CGUQJYJ2,Nautilus,0xffa2e3fe,28000072,35160,131,血盟騎土團
131,#YJ29C8CJC,《♤😈BARAN😈♤》,0xffffffff,28000341,35159,132,
132,#UGPU2V89,CaptainEmre,0xffa2e3fe,28000352,35148,133,SK|SHOW TEAM
133,#8LJL29CCJ,FBnico14_YT,0xff1ba5f5,28000090,35121,134,TTM_nīggªboys
134,#LGGVJV2R,®Mandarinka®,0xffffffff,28000010,35117,135,прощай Илька!
135,#YRG82RJC,мини_пекка,0xffcb5aff,28000330,35020,136,ссср
136,#J29UGL0U,Amber en llamas,0xfff9775d,28000295,35017,137,Napolitanos
137,#LL0CV28LL,SoGgY_MiLk,0xff1ba5f5,28000310,35014,138,Pootie Tang
138,#8QCQ0JYCY,Боец,0xff1ba5f5,28000273,34929,139,tha police
139,#28LVVQ2JY,TT_Dark_Egor_🇺,0xff4ddba2,28000341,34911,140,Pon4ik
140,#2VYQPU2RR,ヒマナッツの禿,0xffcb5aff,28000168,34898,141,
141,#YQUPG9UPC,♤|JįP💯,0xfff9c908,28000205,34788,142,Replay Monkeys
142,#PPYYRGV82,BTW | Dinner,0xffff8afb,28000023,34747,143,Built To Win
143,#QV8PV292,MARCO[GX]BOMBER,0xffcb5aff,28000310,34697,144,ON GOD
144,#28L229VV,Ибрашка,0xffffce89,28000331,34696,145,|🔥LEGENDY🔥|
145,#Y8UPU9LP,KingLG,0xffa2e3fe,28000021,34671,146,Guam Hero's 2
146,#929CCPVCY,CM2/HoLaXdRuIz,0xfff05637,28000297,34585,147,Ramirohijomio
147,#LVG2GY98,YTB=KİNG ALİ,0xffa8e132,28000156,34551,148,<c0>WİNGS</c>
148,#UG8JCLL,NARUTO,0xffa2e3fe,28000297,34518,149,the best family
149,#VLP9CYJJ,我有雞雞,0xffffffff,28000019,34492,150,
150,#8G88PRQUR,sheesh♡︎,0xffffffff,28000183,34491,151,чорт
151,#8QCUCVVLV,TIKIMON,0xffa2e3fe,28000274,34457,152,We Bad 2.0
152,#9C8LCR0UQ,kxnst♥️tenquu,0xffa2e3fe,28000044,34295,153,Selobär
153,#VPQJVRRG,ＳＴＡＮＤＡＲＴ 👻😹,0xff1ba5f5,28000335,34269,154,mecha mecha
154,#2YCCL08PQ,EDGAR,0xff4ddba2,28000156,34232,155,Venecos's room
155,#9R0800CLG,(KING)JEFFY,0xffff9727,28000298,34209,156,Bhl
156,#8JC2PLY,Mithy 🔥,0xfff9775d,28000310,34156,157,Capital
157,#P98R0PVQ2,ķıłłůā ⚡,0xfff9c908,28000048,34134,158,
158,#2L8000YUR,CT_Alfino,0xfff9c908,28000091,34113,159,dragon fire
159,#8CPRUCY98,arakusYT,0xffcb5aff,28000305,34026,160,MegaTeam💣
160,#Y88L9GQ00,NotCynric,0xffa2e3fe,28000224,34014,161,
161,#PL8PQQUGP,goddess,0xffff8afb,28000085,33977,162,
162,#20PL0L0G9,CR7(Hockey),0xffa8e132,28000079,33972,163,chicken-nuggets
163,#Q0V889L8J,Ry 95,0xffff9727,28000305,33949,164,POC0|RIC0
164,#2LYP0LLLQ,riva,0xffcb5aff,28000294,33944,165,
165,#PUY0P808Y,🪓Hanter🪓,0xff1ba5f5,28000024,33934,166,Ogór W Nasieniu
166,#8C9YQY0LR,Lefty,0xfff9c908,28000222,33921,167,LosMuchachos
167,#QGULPCLL,Jesus,0xffcb5aff,28000163,33826,168,COVID-19
168,#LL22C2VRV,Pachuuk,0xffff9727,28000138,33797,169,The Immigrants
169,#8C22PYVJU,Леон,0xffa2e3fe,28000305,33761,170,FaRkg|641
170,#9L8JY0UYP,der TOT,0xff1ba5f5,28000317,33758,171,
171,#PCRJPCYRU,K.geri.2004,0xffa8e132,28000130,33737,172,szecsogépész
172,#GGQ9LPYV,luki,0xffa2e3fe,28000352,33729,173,Cactus army
173,#9LCLG992Q,MT | ZEU$,0xfff05637,28000273,33639,174,JOKER OFFICIAL⛩
