,tag,name,nameColor,icon,trophies,rank,club
0,#2PPYRG2JP,vsode🥱,0xffffffff,28000308,71340,1,Quant ESports🐾
1,#8CYRG0JU,SmOcKoOlabツ,0xff1ba5f5,28000243,70120,2,Moonlight 🧚🏻
2,#L8J9JJVC,Across🦭,0xfff9c908,28000338,69260,3,INVICTOS 2
3,#L28QCCPV,Sr.Goma,0xff4ddba2,28000333,69190,4,
4,#8LRGQ8QRQ,abc|Mr sergio🍉,0xffcb5aff,28000305,67600,5,RawrLovers
5,#9RJPPG800,¥El Sicario¥,0xffff8afb,28000244,66905,6,⚠️₣นєгʑαร єℓἷτє
6,#808V2PP8J,光|🔥HackSaw🔥🖤,0xffcb5aff,28000286,66186,7,☠KillerMachines
7,#P98LPG9GR,JESSI❤,0xffcb5aff,28000244,66173,8,☠KillerMachines
8,#LVPCYLQQ,™K~J™,0xff1ba5f5,28000303,66025,9,BICHOTAS :3
9,#2PJCVV89Q,LR|Jøhn▪︎¹³🌀,0xffa2e3fe,28000139,65085,10,AT|GALAXY XI
10,#J02Q0J0V,Marcozz ツ,0xffcb5aff,28000206,65020,11,MegaPigEnjoyers
11,#8CCRQ00GQ,⃟≛⃝Jaedry🗡️,0xffffffff,28000000,64657,12,Lasting Guard🎲
12,#GCV8YCVL,🌨️•Killer•恆,0xfff9c908,28000347,64491,13,Chapulines 🦗
13,#282V8C0LP,AℒℰX,0xffa2e3fe,28000349,64102,14,Moonlight 🧚🏻
14,#GV8YPJ8U,axel 999,0xff1ba5f5,28000292,63476,15,☣️STAR PLAY☣️
15,#GCGY0Y80,Diegooo.N🦁,0xffff8afb,28000098,63305,16,Moonlight 🧚🏻
16,#Y0R0Y8RY,Charlz🦝,0xffff9727,28000306,63137,17,Moonlight 🧚🏻
17,#J8LPCLR9,⚠Ramsey✊⚡,0xffffffff,28000179,62448,18,AT|GALAXY XI
18,#228GPRPU,HDF|Seebass,0xffa8e132,28000257,61891,19,RawrLovers
19,#8QJLYCC,J𝙲|Jeffersoɴ,0xffff8afb,28000225,61794,20,king Shango
20,#PGUU90C0,IK|!Alexis,0xffffffff,28000023,61757,21,Minecraft PE
21,#VVLQ88JU,Gary戦え,0xffffce89,28000348,61619,22,Unión Soviética
22,#80U2JJVLC,🔥Ëscanor🔥,0xffffce89,28000076,61383,23,OverComingUNV😈
