,tag,name,nameColor,icon,trophies,rank,club
0,#GJRJ0Y98,The CrushMen,0xffff9727,28000132,62289,1,RofloSt4ck
1,#29LU9GULU,clw2k5,0xffff9727,28000272,54055,2,BroCast
2,#99YL88VRL,🦊_Tails_🦊,0xffa2e3fe,28000262,50712,3,вандал
3,#RY2LYGYJ,maxime91,0xfff05637,28000023,50034,4,LPBS
4,#9QRL9YLV8,♡Killer Ninja,0xffff9727,28000242,48531,5,Kinflak Empire
5,#PVGRJ002V,🍰🍓~>𝕝ₑ𝒚𝚔ℴ♡,0xfff05637,28000333,48270,6,legend magic🔮
6,#8PLVJYLLL,SK|Burger,0xffcb5aff,28000135,47394,7,TTV E~sport🐣💘
7,#LJ0LU9Y2,♣️ғʟᴇxʏ_ᵇˢ♣️,0xffcb5aff,28000014,46736,8,Feeling Numb
8,#9URGPQVJ8,FER. 008,0xff4ddba2,28000341,46212,9,Turtle🐢
9,#L98U8RR2R,"""/SL\"" Mendy""",0xfff9775d,28000222,46047,10,Sleepy Esports
10,#JUPGJGVQ,Waght♡︎Solo♕︎,0xffff8afb,28000138,45890,11,брошенные🤧
11,#2PUU9UCY8,???,0xffff9727,28000305,45792,12,TalMo
12,#P9YUUQ8GR,johnnyilbello,0xff1ba5f5,28000168,45790,13,GD_
13,#9UYUCVVY0,🥀メɢͥsͣᴍͫᵍᵒᵈ,0xffffffff,28000156,45405,14,Bananki BS
14,#RG0R9PVY,KazzaBrawler,0xffa2e3fe,28000080,44974,15,Shadow Strikes
15,#LQC08G89,Борис,0xff4ddba2,28000156,44881,16,олле оле оле
16,#LUG8LQPR,LPR|aranleo34,0xff4ddba2,28000136,44602,17,Clarity Realms
17,#8VPU89PV9,FT|psychGoody,0xffffce89,28000020,44385,18,
18,#28GQC80VJ,⭐PASGF⭐,0xff1ba5f5,28000185,44142,19,Manzanita ÙwÚ
19,#82GQR9GJL,Tsakuro💛Alena,0xffffffff,28000130,44085,20,Psychologists
20,#8C89Q0Y8C,RK| NO Luv💔,0xfff9775d,28000248,43192,21,
21,#PQCLJRC22,Perú no me mate,0xfff9c908,28000073,43128,22,Clan #28UPPQ8VV
22,#PP2ULJL8R,pro,0xffa2e3fe,28000074,42627,23,spoceńcy 🔥
23,#PGRR08GLL,kazuha),0xffcb5aff,28000192,41744,24,Dynasoczki
24,#Y0RG88RLP,GG | LORD😈,0xffcb5aff,28000023,41728,25,
25,#9QYYV8GR9,ᴮᴸᴬᶜᴷ•ᴸᴼᴿᴰツ♪,0xffa2e3fe,28000225,41725,26,HigH FirE🔥
26,#9YRJLLQRP,[QLS]To lose🥀,0xffa2e3fe,28000134,41430,27,Тройчане🌲
27,#PPYV22RVY,Vova,0xffff8afb,28000146,41429,28,xCollapse
28,#9QVJ9UPUR,IAMPROSPEED,0xff4ddba2,28000278,41154,29,THE HEADHUNTERS
29,#P8PG09LYJ,Zheka Pro TV,0xfff05637,28000038,41151,30,ВСЕЛЕНАЯ БРАВЛА
30,#PRCJQ0GR9,♡︎qls|gorden♡︎,0xffa2e3fe,28000314,41086,31,Прошки
31,#YVG0R28VQ,⚔️КИЛЛЕР⚔️,0xff4ddba2,28000021,40810,32,
32,#808V2YC2R,лоликии,0xffa2e3fe,28000005,40777,33,7 Dragons
33,#URJ8ULV9,ProDimon☢️,0xfff9c908,28000280,40687,34,bro
34,#PGVVCRVY2,UA|LEGA,0xffa2e3fe,28000310,40538,35,для подпищиков
35,#9LQQJQUL8,™😋ura_play😋™,0xff1ba5f5,28000179,40457,36,МЫ ИМБА
36,#9URYGJ0V8,⚡爱J̆̈ûą№🥀ᴳᵒᵈ☁️,0xfff05637,28000254,40433,37,Team Brawl
