,tag,name,nameColor,icon,trophies,rank,club
0,#9JRP09C2,FrB|Brayce,0xffcb5aff,28000290,57146,1,Frenchbinks9
1,#22J0C98U8,samueltro,0xff4ddba2,28000349,52960,2,¥Dark¥
2,#LG9G0P2CJ,❄Brͥyaͣnͫᴳᵒᵈの死,0xffffffff,28000272,52140,3,Slt|la terre 🌍
3,#U9922UU9,Avi,0xff4ddba2,28000175,51367,4,Guyana BrosV2.0
4,#YVY9CQJYC,Wiτc𝖍єr℣,0xff1ba5f5,28000262,51123,5,Venom
5,#82UVUJYLV,♚𝓽𝓱𝓪𝓷𝓴𝓼.✨,0xffffffff,28000275,50775,6,✨要加友誼賽就說‼️
6,#2VL80Q90P,✨|Waͥsaͣbͫi™🪐,0xffcb5aff,28000156,50451,7,Ǥสl̸สאָs͢͢͢ψ
7,#9LPVYQG9Q,RC|yoshi2pro,0xff4ddba2,28000044,49170,8,<c5>Latinos</c>
8,#9Q8LRUC92,TTM|ѕє¢яєт🖤,0xffffffff,28000062,47757,9,Hard Win🤔
9,#89JP0UCJP,[ПОТ] ПУПОЗЗИ,0xffcb5aff,28000330,47262,10,Floylol family
10,#2Y82RLP9L,T.Scott🌼,0xffffffff,28000168,46054,11,Real Ones
11,#2UUGJ2L28,Meliodas,0xffff9727,28000116,45592,12,Tribe Slick
12,#28RQ0JUY8,𝙼𝚊𝚛𝚒𝚘⑳,0xff4ddba2,28000336,45189,13,THE WARRIORS_XD
13,#VP0UCY0C,☠☠☠☠WARLORD☠☠☠☠,0xff4ddba2,28000333,44936,14,Guyana BrosV2.0
14,#8U9RYC0P0,XT4NG,0xfff05637,28000254,44637,15,Team|officiel
15,#9UUJR09G9,Skylum☆,0xffffffff,28000202,44598,16,Team Oreo
16,#90C8G9QRJ,🎴|𝝶𝗶𝝶𝗷𝙖,0xffcb5aff,28000206,44597,17,Cactus House
17,#8UJUPPY2R,EDGAR,0xfff05637,28000352,44365,18,Os AtTaCkNoObS
18,#2UPPRQ28U,××DeathReaper××,0xffffffff,28000335,44105,19,Team Oreo
