,tag,name,nameColor,icon,trophies,rank,club
0,#P2PYR2VP,LK|lσυlσυ™️💣,0xffa2e3fe,28000018,63570,1,Ꝉҽʂ ҠìӀӀҽɾʂ ™💣
1,#2Y0LG2Q2,さなぺーん！,0xff1ba5f5,28000349,61732,2,極上のはんけつ❤️
2,#8YPGUJR9,xwazexx,0xffcb5aff,28000301,57694,3,JTE EZ 🧞‍♂️
3,#URYJVUY,OhNine⭐️,0xffffce89,28000302,56855,4,Hereditary
4,#9V9RQJVL9,Ørēšt göd,0xff4ddba2,28000047,55939,5,94 = boss
5,#8QP0VJUYV,Franc97,0xfff05637,28000263,54016,6,TRD|PinguGang🐧
6,#GCCJ08GG,Danielbmtz18,0xfff05637,28000331,53953,7,
7,#UG220YPY,лихой понт,0xffffffff,28000291,53080,8,<c0>Last</c>One
8,#2L00GP9LU,TK|Spyro🥀,0xffa2e3fe,28000018,52951,9,TK|The King
9,#9P88JPPP9,LP | 𝕸ⓐɳƈɧӨ𝕦,0xff1ba5f5,28000318,51485,10,Les Pingouins
10,#2ULJQ2CPR,CPM | LegitTouh,0xfff05637,28000095,50908,11,Real Warriors
11,#Y9J0G92JG,AQM|Timuß✌,0xff4ddba2,28000037,50643,12,KOLCE SPAJKA
12,#2JU92LY,aidan,0xffa2e3fe,28000334,50191,13,Usurpertjes
13,#PPU8PGYGJ,♤L'аՏ ĐɆ ᵽɨȼ♤,0xff1ba5f5,28000278,50031,14,Guillaume & Kim
14,#8V0PC9P89,💸HOUSTON💸,0xffa8e132,28000132,49811,15,False Division
15,#8VCLRQ28V,CapitánTortillo,0xff4ddba2,28000167,49218,16,SK |LIONS 🦁💥
16,#2GLL09JJ,Gamerstyle1305,0xffcb5aff,28000305,48954,17,Vikings
17,#PGJYCJP9C,🕊️ImJust🕊️,0xffffffff,28000139,48428,18,Toxic Paradise
18,#2GLCQCQP2,Tribe | Logic,0xff1ba5f5,28000333,47661,19,Lastkingzz
19,#2QV2R2080,𝕊𝖆𝖓𝖉𝕪✯𝕶𝕥,0xfff9775d,28000338,47094,20,༺ØᴳᵒᵈW₲M༻
20,#92RUY90L8,Bad ikaoss🐰🐼,0xfff9c908,28000295,47003,21,dark knignts
21,#9QQ0G8R00,Jenikz❤️,0xffff8afb,28000196,46853,22,StopWar!
22,#QL8YQY90,NaVi| ЮРОК,0xffcb5aff,28000222,46578,23,Top Poland👑
23,#2P229LGYR,[LP] Krostyle,0xfff9775d,28000252,45882,24,Falling Star
24,#UPV0Q82Q,Mr.KILLER,0xffcb5aff,28000139,45667,25,cy4n!sky cl4n。
25,#PP8PJ8QC0,Light Yagami,0xff1ba5f5,28000000,45641,26,
26,#YPGJC0RUV,(бот)Паха,0xff1ba5f5,28000333,45514,27,choopa
27,#9VLPL9YPP,harumimorton,0xfff9775d,28000138,45238,28,BS Chat
28,#90R29U082,какашка,0xff1ba5f5,28000175,45181,29,
29,#220UPQQLJ,Arman King,0xff1ba5f5,28000175,45054,30,Винная Штопора
30,#Y0UPCG8JG,BVB Gabi13,0xffffffff,28000326,44848,31,🔥Toxic Elite🔥
31,#2UVY8RGUR,JeffTheSnowman,0xffa2e3fe,28000262,44807,32,DARKNESS
32,#CRGYPYPG,Terminator,0xffcb5aff,28000335,44694,33,
33,#2G02PC2PY,Alonso🇵🇪❤️,0xffffffff,28000259,44566,34,Fistking
34,#8JJP2L0UP,jim pro,0xffa2e3fe,28000305,44525,35,jim pro023_yt
35,#29RY2JRVL,Bot 1,0xffa2e3fe,28000129,44509,36,les enflammeurs
36,#8CQ0URYV9,DoodleBox07,0xff1ba5f5,28000300,44266,37,Toogans
37,#8VR9PQ2C9,xdFierce,0xff4ddba2,28000210,44249,38,MEN
38,#22Y882J0U,⚡Mαxeͥภcͣeͫ ᴳᵒᵈ,0xffa2e3fe,28000348,44185,39,FrauDuLeux
39,#9VU8QGPJG,Люблю Милану,0xffcb5aff,28000318,43973,40,PowerfulMouses
40,#8CLC0LG0P,SK|JAY,0xffcb5aff,28000135,43718,41,Flex Fam
41,#YYPV2VY8,TTVCollin,0xffff9727,28000170,43661,42,Trippy Trippers
42,#PYQ8GL0PR,ＦＨＶᶠᵒʳ ʰᵉᵃˡᵗʰツ,0xff1ba5f5,28000271,43613,43,Балтика 9
43,#9V2VPPPVL,잘|Sоsisка|🥀,0xffffffff,28000000,43552,44,McMz
44,#YVVUP2RU,Tribe Tim_YT,0xfff05637,28000130,43544,45,SharkUkr
45,#PUPPPLR80,Nathaël LG,0xffffffff,28000259,43536,46,crow
46,#PYPGLQG02,TF|Not cat 🌸,0xffffffff,28000132,43466,47,
47,#8QLVR9LQ2,makuz,0xff4ddba2,28000054,43358,48,GUERREROS🇨🇱
48,#9JP9LUPLJ,SXP|꧁ᘜㄖᗪ꧂,0xffffffff,28000335,43217,49,Demon Flower🥀
49,#2R2Y02YLG,Flying Miner,0xffffce89,28000132,43122,50,хахахахаха
50,#8VVYGY20G,léo start™,0xffcb5aff,28000129,43063,51,
51,#22CVQYQ0J,✨3aNo3a✨,0xff1ba5f5,28000132,42920,52,Kokosik ™
52,#R290U9UV,Crgio™️,0xff1ba5f5,28000228,42903,53,Elbarrio🇵🇪
53,#9PJYLCJ9C,Piccioniᵍᵒᵈ,0xff4ddba2,28000151,42872,54,PHX|PHOENIX™
54,#GJC0P2PY,Anzion,0xffff9727,28000228,42769,55,Tawer's Team
55,#PP8UQVRL8,chipツ,0xff1ba5f5,28000201,42701,56,<c5>Rebirth</c>
56,#99QQQG0G8,TP|Jißanyan113✨,0xffcb5aff,28000305,42624,57,TEAM PINGU 2.0
57,#YQ0RU0JJ,Iboihan595,0xfff9c908,28000156,42469,58,Secta OMG
58,#P0LJ8RYQG,難|𝚂𝚗𝚊𝚔𝚎🥀,0xffcb5aff,28000305,42389,59,⭐КЛУБНАЯ ЛИГА⭐
59,#20LVQY2L2,Crausenberg 🦍,0xffffce89,28000139,42199,60,🌹SHELBYSQUAD🌹
60,#9L208UR82,GX LORE,0xff1ba5f5,28000333,42154,61,Colettes Charm
61,#2VCGGV8Q0,V𝒾ʳᵘ𝐒シ🜸,0xfff05637,28000317,42145,62,Haze Clan
62,#92PR8CL9,кар кар,0xff4ddba2,28000294,42125,63,HS Riga 2013
63,#8CYUC2YRV,B.R pro,0xfff05637,28000138,42109,64,БЕБРИКИ
64,#9RULVCVC2,HELIUM BOXER,0xffffffff,28000150,42067,65,
65,#YUJCLY2PG,ᅠᅠᅠᅠᅠ,0xfff9c908,28000156,42057,66,B2L|Squad
66,#9PPRU8QJU,Moͥђaͣmͫma∂🏀,0xffa2e3fe,28000305,41863,67,I ❤️‍🔥Duo🍷
67,#PCQ08UCJR,Baartaaph,0xffcb5aff,28000278,41854,68,YT|Samuel2wavey
68,#20VQCLQPU,Jázzìel,0xffcb5aff,28000137,41817,69,◥RＥＮＥＧＡＤＯS◤
69,#8JQYR0VLG,Mortis,0xff1ba5f5,28000267,41745,70,willy2o
70,#RVU9CGCP,GK|Frozeπ,0xffcb5aff,28000290,41715,71,We're Back😈
71,#9VPGCURL2,Xluiguiman3008X,0xffffffff,28000341,41678,72,Hola
72,#2UQRC8QV,漢|Bia🔥シ︎,0xffcb5aff,28000175,41649,73,ITALY
73,#28PRVVV89,temkaa,0xff1ba5f5,28000282,41550,74,Клуб:  #2Y29V09JY
74,#92CUURCU2,TQ|Mr Davis 🥀,0xffffffff,28000132,41388,75,Blackfly squad
75,#29Y0QQ22P,[UA]stepanchil,0xfff9c908,28000132,41345,76,Bulgarian Heart
76,#PPPY0CCYG,HDF|Chris2009,0xfff05637,28000290,41198,77,
77,#9PPGVVY0Q,MoonXD,0xffcb5aff,28000337,41185,78,MeLa
78,#P89J2PGGJ,❄iceMortis❄,0xff1ba5f5,28000207,41071,79,
79,#PJ0P0ULLL,༺A℘ex,0xffcb5aff,28000349,41022,80,Mort’s Mansion
80,#9RCUYYGP9,//slncr♡,0xffffffff,28000000,41015,81,DarkForce
81,#88QJQY80L,chinees sandy,0xff1ba5f5,28000125,40992,82,NLLIONS
82,#92JJ2QYLL,GoZugo YT,0xffff9727,28000273,40949,83,Top Brawl TT ❤️
83,#9LR99QUVR,Ꮩĩไ𝓸x🌒,0xffcb5aff,28000348,40927,84,* BC | team*
84,#902RLPCPY,juanpro9999,0xffa2e3fe,28000305,40915,85,Los Cojos Stars
85,#PYPV800C,Mixon,0xffff8afb,28000182,40898,86,ЖЕСТКИЕ ПУШЕРЫ
86,#G292RVUL,↯Deͥltͣaͫᵍᵒᵈ🖤,0xffcb5aff,28000347,40849,87,Kitsune Family
87,#YRLUPU88R,超级带魔王,0xfff9775d,28000164,40830,88,Aphelion UK
88,#2QQVYYUYY,Killer,0xffffffff,28000123,40792,89,Nice Stars JPD
89,#990Q9RJ2Y,Tribe|Justinت,0xffff9727,28000259,40767,90,Rizzlybears🐻✝️
90,#YPJL2RUJG,⛩|joshua |🎋,0xff1ba5f5,28000280,40763,91,Costa Rica
91,#9R0R2PVVU,revew,0xfff9c908,28000335,40759,92,<c8>Totem</c>
92,#2LQC2LYGQ,⚔Miͥℓaͣnͫᴳᵒᵈ⚔,0xffffffff,28000139,40744,93,Herr dietz
93,#9QR2QQ9UG,_-[LP]KAMUI-_,0xffff8afb,28000069,40743,94,PRIMAL 2
94,#2UCR2UPUL,がいーよね爆笑それ以外の,0xffa2e3fe,28000077,40740,95,Hate mortis
95,#YCCJG9PY9,Gru_Gru,0xffa8e132,28000305,40695,96,braaa2022
96,#PUUV9QVGR,☆I LoVe♡EREN☆,0xfff05637,28000321,40608,97,Turkish Prade
97,#2988CVLUY,FG|TobiG🤍,0xffffce89,28000347,40539,98,CZECH KOFOLA
98,#28YG8999R,GT|Ghisæ🇮🇹🦆,0xff4ddba2,28000156,40538,99,
