,tag,name,nameColor,icon,trophies,rank,club
0,#PRPCY2Y0Q,iluhajoker,0xff1ba5f5,28000286,62363,1,🐬ice Moon🐬
1,#2RQYYURCQ,ʕ⁠·⁠ᴥ⁠·⁠ʔTokyo,0xffcb5aff,28000294,62133,2,TRD|TanaDiPingu
2,#9Q2G2YPRV,МегаАртём228🥶,0xffff9727,28000132,58936,3,Empire of Robot
3,#2QJU92PJG,Lukas Carry,0xff1ba5f5,28000256,58794,4,Vitrious Legacy
4,#2PPYVYVYQ,єрік👅かな,0xffff9727,28000242,57689,5,
5,#2CGQUU00P,xCheersMyHaters,0xffff8afb,28000332,55983,6,Dark Vendetta♱
6,#Y8CLC08L,愛~PiperZ❖,0xff1ba5f5,28000223,55495,7,TL|Team Luzou
7,#U0RV8R29,AdanFour,0xfff05637,28000272,54591,8,Hydronica
8,#20VR9JVC,🩸guzz™️,0xffffffff,28000225,52002,9,2018🖤
9,#2QGPVUGGP,Rado,0xffcb5aff,28000138,51891,10,BulgarianStars™
10,#YCPGJU0Y9,🔥⚡❤Andryxa❤⚡🔥,0xffa2e3fe,28000310,51454,11,StunSquad
11,#8UQ88PYUQ,чокдэнд,0xffffffff,28000078,51168,12,Великие Апперы
12,#20VLVLYJ0,AT|Ƭexᴛur¥🍀,0xffff8afb,28000256,50730,13,ASTRON eSports
13,#2PG0L0URC,eva,0xffcb5aff,28000110,50472,14,TT|bs:Army
14,#J9GGLYUR,OF|snow Beltr@n,0xfff05637,28000321,50387,15,I carry u
15,#9JR8C8CGU,tomorow🪐,0xffffffff,28000000,50343,16,Люtьle
16,#P02CY08YJ,Theddy 973,0xff1ba5f5,28000347,50226,17,POKÉMON FR 🇫🇷
17,#820JJCJU9,TR|Chazzu⚥︎,0xffffffff,28000047,50127,18,Experience IT
18,#L0CCC0JQ2,𝓡𝓮𝓭 𝓵𝓲𝓷𝓮,0xffffffff,28000293,50061,19,АНГЕЛЫ УДАЧИ
19,#899CGVYGV,L1e,0xfff9c908,28000273,48825,20,
20,#PJ8P9VYCJ,SANDY,0xffffffff,28000335,48751,21,BEST BRO EVER
21,#C2U28YGG,𝙸𝚇| Risus☕,0xffffffff,28000297,48576,22,
22,#PJ2Y0PYY,MisterIbrahim,0xffa8e132,28000349,48444,23,Loxl5 Elite
23,#P2GRCLCPY,GIUSEPPE EL 1°,0xfff05637,28000347,48413,24,JOKER OFFICIAL⛩
24,#8YV92JQ0J,TCD,0xffff9727,28000070,48328,25,TheLegendzdary
25,#2RP2PCRJR,𝖟𝖝𝖈|𝖆𝖘𝖙𝖆,0xffcb5aff,28000125,48321,26,Dark Souls II
26,#2QVUGU0UP,❤Laima❤,0xfff05637,28000129,48281,27,
27,#VJGGG20Q,richi026,0xffcb5aff,28000293,48179,28,OVER THE TOP
28,#PRVGU9U98,LC | Coldunchik,0xffa8e132,28000224,48036,29,МодныеСпайкучки
29,#8289R0LP8,서연준,0xffa2e3fe,28000211,48008,30,엄마하튜
30,#LU0GRU9RG,Opaxon,0xffffffff,28000183,47904,31,By<c4>Blue</c>☠
31,#P0J0GG90J,☔️ƑᎥﾒeRᶫᵒᵛᵉᵧₒᵤツ,0xffcb5aff,28000286,47784,32,HotDogs
32,#Q8PQYC2Q,컵케이크,0xffffffff,28000139,47776,33,율곡
33,#PRPUVJQU2,Light|Wortex🤑,0xffa2e3fe,28000319,47555,34,Mystery Killers
34,#PLRLGLCPU,9cm | minerrr,0xffffffff,28000038,47515,35,Mystic Energy
35,#PP9PY80G,QLS|P0SED™,0xffa2e3fe,28000303,47421,36,QLASH Italy 3
36,#Q8YRUJ8GL,Goku,0xff1ba5f5,28000348,47407,37,EU | Family🏔️
37,#8029RUCRQ,MORGENSHTERN,0xffcb5aff,28000337,46777,38,X-Moon
38,#8PPJP0CU0,Collin,0xffa2e3fe,28000106,46747,39,
39,#9RPQ0JG8V,𝕞𝕖𝕟𝟡𝟘𝕠,0xffffffff,28000278,46675,40,God Perfection
40,#2VCU2GYCC,Tijgerster,0xffa2e3fe,28000179,46510,41,Dutch Grinders
41,#P0RJ0JUUJ,/Jota-Horus/ YT,0xffffffff,28000175,46452,42,AIR-HORUS
42,#LLQPPUUUU,Buragoz,0xffffce89,28000223,46237,43,Laboratory
43,#YLJ99VGYR,Fireninja,0xfff05637,28000347,46223,44,RYX|Esports
44,#29JRJCPJQ,♤吉恩♤king,0xfff9c908,28000038,45810,45,真厲害
45,#9QP2Y8CGG,Soldado76,0xff1ba5f5,28000129,45786,46,2°F
46,#282YU8RYQ,Pro2007,0xffff8afb,28000017,45710,47,LA Champions
47,#QYJRGU0C,AI8,0xff4ddba2,28000016,45646,48,✨️Lovers✨️
48,#2JY88C8GU,𝖖𝖑𝖘|𝖗𝖚𝖘𝖍,0xffcb5aff,28000291,45602,49,Імперія Добра V
