,tag,name,nameColor,icon,trophies,rank,club
0,#808YCJQ0,Shafin,0xffffce89,28000339,75906,1,Mini Me’s
1,#2C8RQUV89,ⒼⒼ|𝕂eͥvͣiͫηᴳᵒᵈ,0xffa2e3fe,28000187,74488,2,GG <c7>Mech</c>
2,#290RCR0GU,sexy james,0xffffffff,28000000,71513,3,UwU
3,#J20R9CUQ,CYB |PercyYT❄️,0xffff9727,28000233,70402,4,HK瘋
4,#8JU8GGY9P,Suhakya🐤,0xffcb5aff,28000041,69951,5,<c3>ÉLITE</c>
5,#90CP082JQ,WSK,0xffcb5aff,28000332,69469,6,GG <c7>Mech</c>
6,#PQYGYUYRL,gogoletsgo8284,0xffffffff,28000310,69177,7,GG <c7>Mech</c>
7,#RYUPP9L0,Spooky Jimmy👽,0xffffce89,28000196,66428,8,i own u
8,#9Y2VGJG2C,❄️⚡️ûpdøŵñ⚡️❄️,0xfff9c908,28000196,66128,9,HK瘋
9,#98LJ28PPR,🤍Gu£a小栗帽₥pH❄️,0xfff05637,28000341,66110,10,🤍閃爍の日落星🌟
10,#J0L2Q0U0,Jayden🩵,0xff4ddba2,28000256,66090,11,辛蒂的小跟班們❤️
11,#2V0RU82UY,❦aichi운명,0xffff9727,28000286,65500,12,<c7>維京小可愛</c>
12,#VLV8U9JG,Oscillation.,0xffa8e132,28000011,65287,13,Cyg X-1
13,#80RL89J,CYB|Thomasᵗʷᵐ❄️,0xffff9727,28000330,65205,14,GG <c7>Mech</c>
14,#8JQLLUP09,DragonFire💤,0xffa8e132,28000349,65188,15,proDragons
15,#8U0PUJPRL,Minami🫧,0xffffffff,28000014,64826,16,HK瘋
16,#8G2JQLG8P,AIR(´▽｀)ノ♪,0xfff9c908,28000334,64736,17,HK瘋
17,#Y8JVVRP9,ዘᴋғ𐂂𝐾𝑒𝑙,0xfff9c908,28000244,64061,18,HK瘋
18,#R88VVR9J,❦𝒦𝒰ℳ𝒪🂱,0xffffce89,28000332,63967,19,
19,#CQYL22RQ,✨Bobby|Legend✨,0xffa2e3fe,28000302,63807,20,SpikyCactusArmy
20,#CLGRQRRL,Celebi🍃,0xff1ba5f5,28000199,63493,21,molamola
21,#PLYPLG2LG,麟麟,0xffcb5aff,28000262,63484,22,我就爛._.
22,#RUY99QQC,Break Wall Pls,0xffffffff,28000175,63463,23,你不懂我的天真🐹
23,#9VLJ02C8L,✰Fze⓫✮✌︎,0xfff9c908,28000242,63346,24,天路引歸🐙
24,#9PG8CYY9P,Fat Bear个,0xffffce89,28000095,63210,25,nanafierce🔥
25,#8992YRCUU,𐂂Alson(ง'̀-'́),0xffff9727,28000202,63150,26,HK瘋
26,#RGUPGR80,#Scala🌙ᴵ’ᵁ,0xffffce89,28000273,63093,27,
27,#UCQRRQVV,NK| 天神之王,0xffa2e3fe,28000170,62946,28,鄭鄭的窩
28,#P9GCCRL8C,I Love HK,0xffffffff,28000262,62909,29,魔教🐉青龍門🐉
29,#PJ8PJVQUY,ettgfdh,0xffa2e3fe,28000333,62901,30,DIRTY 30
30,#8QVVRCGYL,ᴰᵃʳᵏкηιgнт🖤™,0xffcb5aff,28000305,62864,31,<c7>維京小可愛</c>
31,#8Q92V8VP,ALJ|ADAMAS,0xffa2e3fe,28000224,62781,32,鄭鄭的窩
32,#PR0LJL2JQ,XxwhalexX,0xff1ba5f5,28000256,62610,33,天路引歸🐙
33,#GLL2UL0G,♚𝕸𝖆𝖙𝖙._.💤,0xffff9727,28000299,62607,34,♥Neow♥
34,#22V08Q8JP,Shax,0xffcb5aff,28000014,62535,35,高雄倒讚幫
35,#G8CYGR02,VGE|Brawl Ninja,0xff1ba5f5,28000176,62275,36,GG <c7>Mech</c>
36,#YYL29PQUU,songoku,0xfff9c908,28000047,62139,37,GG <c7>Mech</c>
37,#9PRY28CGU,MOG|💎鑽石💎,0xffa2e3fe,28000233,62137,38,合作金庫ll
38,#PRQ0V28V2,周星馳,0xfff9c908,28000089,61965,39,★the Players★
39,#VUJP8V80,❥𝒴𝒾𝓃❦,0xffa8e132,28000262,61671,40,Hexlone|Goats
40,#UQU08G9Q,🔥大師|Dee64🕋,0xffcb5aff,28000203,61665,41,CSM Celestial
41,#8JP9C2R2C,✨LSK|ms🖤Samuel,0xff1ba5f5,28000129,61486,42,HK瘋
42,#82P8RGUPU,ዘᴋғ 𐂂𝐶𝐷ʕ•ᴥ•ʔ,0xffffffff,28000163,61476,43,HK瘋
43,#80YUY2JJY,CMSM|CYLSunny,0xffff9727,28000286,61274,44,CSM Celestial
44,#88YV8VQJL,CYB|Siubing,0xffff9727,28000339,61147,45,GG <c7>Mech</c>
45,#URVR2V8G,Brawler,0xffa8e132,28000024,61064,46,SpikyCactusArmy
46,#9QRCQCVU,ʙᴜᴛᴛᴇʀғʟʏ🦋,0xfff05637,28000222,61030,47,魔教🐉青龍門🐉
47,#9YPUPL0RL,999GamingTechYT,0xff4ddba2,28000305,60958,48,HK瘋
48,#YYGG2088,EC丨Sagaehy,0xffffffff,28000230,60753,49,<c7>T0</c>
49,#89J8LC8GL,⛩|Saϻᴷⁱˡˡᵧₒᵤ🎋,0xffffffff,28000096,60623,50,♥Neow♥
50,#YLY9R9VGP,Hayden,0xffffffff,28000112,60600,51,♥Neow♥
51,#CC8V98R9,Kwan1029,0xffcb5aff,28000205,60455,52,魔教🐉青龍門🐉
52,#88GVGY8C,⛩õñ⁹Đunͥcaͣnͫ🌊,0xff1ba5f5,28000348,60002,53,MechaMegArmy
53,#802PYJL99,🌃星夜·爆焰🔥,0xffcb5aff,28000281,59970,54,Shelly Club
54,#JLPYCPV9,♡Recoil.,0xff1ba5f5,28000167,59959,55,we love rabbits
55,#UUU8P0R8,ED,0xff1ba5f5,28000002,59954,56,矛盾遊戲世界
56,#8CU8CJV0L,普里莫愛好者,0xffa2e3fe,28000185,59928,57,SHADOW WALKER
57,#89JQCRJ2G,fclc,0xffcb5aff,28000349,59922,58,HK瘋
58,#Y2R0C28L2,ABC,0xffa2e3fe,28000175,59812,59,小粉杯
59,#8CUGVR0Q,🍱彼毛🍱,0xffffffff,28000120,59701,60,HK瘋
60,#CV22PRJ2,hi,0xff1ba5f5,28000302,59688,61,HK瘋
61,#PPLC2QQQV,Tribe |sunny,0xffa2e3fe,28000138,59650,62,Rampage III
62,#902QJQR80,Depression,0xffcb5aff,28000305,59624,63,PK瘋
63,#GJGVRVPV,⛅𖤓天⃨真⃨𖤓🐹,0xfff9775d,28000151,59596,64,你不懂我的天真🐹
64,#UUQRYQLR,GARGAR,0xff1ba5f5,28000291,59506,65,High Ping 😵‍💫
65,#GGJ0QU0R,柔風663,0xfff9c908,28000182,59495,66,換男人跟換衣服一樣
66,#90R8UPYJQ,docter stranger,0xffcb5aff,28000196,59442,67,💮AIM HOUSE💮
67,#9GQRRRQ08,꧁𝓣𝚊Ⓔi҉l̸꧂,0xffcb5aff,28000310,59384,68,CSM Celestial
68,#99LVCU2J2,winnergoat,0xffff9727,28000100,59287,69,Dizzy💫😵‍💫
69,#2U0YYRJPL,勝利隊4,0xff1ba5f5,28000305,59221,70,合作炸阿姨
70,#U9UYCULY,Blizzard 🤍,0xff1ba5f5,28000019,59071,71,鄭鄭的窩
71,#8RUGQ8RVL,hhahaha,0xff1ba5f5,28000016,59034,72,實力社恐
72,#PV2V0CQU9,cocoa,0xffffffff,28000348,59029,73,唔荒好野
73,#P209CVQJ9,dd,0xffffce89,28000037,58937,74,GTG | Luminous
74,#92QYGVQP2,HV | CaptainYao,0xff1ba5f5,28000225,58712,75,Havoc Renzo
75,#VGL00G8P,Adan,0xff1ba5f5,28000109,58707,76,魔教🐉青龍門🐉
76,#PQU90LVCR,anoxmous slay,0xffff8afb,28000301,58628,77,SpikyCactusArmy
77,#22JG80Y8C,IP|黑暗大神,0xff1ba5f5,28000293,58534,78,鄭鄭的窩
78,#PJVV9U80G,一個人原來都可以盡興,0xff1ba5f5,28000020,58303,79,魔教🐉青龍門🐉
79,#LUYQVY28,無情Heͥnrͣyͫᴳᵒᵈ🌠,0xffcb5aff,28000273,58095,80,PK瘋
80,#2Y8UG80JR,Geek|Xtyped,0xffa8e132,28000304,58027,81,CSM Eclipse
81,#2C0CCRPU2,夢龍去睡覺🔮,0xffff9727,28000106,58001,82,🌱ʕ•̀ω•́ʔ
82,#8U8J0C9C,太陽神,0xffa8e132,28000129,57968,83,Heal死你
83,#VG0PJCCC,blitz|スプラトゥーン❤️,0xffa2e3fe,28000176,57870,84,Hea死你
84,#PPQ0PGU2U,WarIord,0xffcb5aff,28000308,57825,85,村寶寶
85,#VJ0G9VQ8,Cyrus,0xffa2e3fe,28000330,57663,86,1234@0987
86,#YJ09RU8UQ,SPN👽🦈🐋地獄𝓗𝓚,0xffcb5aff,28000077,57625,87,HKFT香港永久性戰隊
87,#2Y2G8U0RJ,LNH|ωιℓℓιє,0xffffffff,28000348,57572,88,新蜂蜜中出檸檬
88,#8VYRJ2CCQ,❦Myron | タレント❤️,0xffffffff,28000305,57432,89,CSM Celestial
89,#8VGV28UGG,GiNa the Dog,0xfff9c908,28000305,57428,90,FREEHK
90,#RC889J28,LiberateHK,0xffff9727,28000294,57412,91,煲底之約
91,#UC299CC9,7H | Static☃️,0xffa2e3fe,28000305,57405,92,Hea死你
92,#9RRL2RYCJ,sirob,0xffff9727,28000294,57383,93,CSM Eclipse
93,#928JRUJQC,SY❤️‍🔥蔥🍀,0xffa8e132,28000175,57315,94,春田花花同學分會
94,#C00G0000,I Love Spike,0xffa8e132,28000206,57236,95,你不懂我的天真🐹
95,#8GUJRQUGV,𝔻𝕣𝕖𝕒𝕞༻ ☽,0xffff9727,28000294,57227,96,Hea死你
96,#28L00L8U2,教主,0xffff9727,28000348,57162,97,魔教🦚朱雀門🦚
97,#8GYJYCCLJ,這裏沒有人,0xfff9c908,28000273,57040,98,BD TITAN
98,#PPC2CLVRG,Tea,0xff1ba5f5,28000294,57036,99,VENGEANCE
99,#828Q8GJG9,KMM,0xff1ba5f5,28000163,56979,100,OneManArmy
100,#QGGP8UV0,Miku✨❤️,0xff1ba5f5,28000005,56871,101,LIHKG
101,#2V9829PVY,➳龍驤ₒₚғ𝓇ℯ𝒹ツ虎步➳,0xffff8afb,28000139,56855,102,魔教🐢玄武門🐢
102,#2RYUYLYL9,William❣︎,0xff1ba5f5,28000196,56848,103,HK瘋
103,#GJQURLJY,♔Meow._.💤,0xff4ddba2,28000304,56822,104,Darryl's Club
104,#GRPU92C9,幻月遊空⛅,0xffa2e3fe,28000297,56766,105,一人戰隊
105,#RCCG2R0Y,𐂂Sky(´▽｀)ノ☕︎,0xffcb5aff,28000224,56715,106,LIHKG
106,#8R89GLQ9C,❦Mars|赤いハート♡,0xffffffff,28000223,56706,107,CSM Celestial
107,#VJVPVV2Q,自由閪,0xffff9727,28000305,56661,108,魔教🐉青龍門🐉
108,#8P2UYYJUV,𝓙𝓲𝓰𝓰𝔂Ҩ~ 🎭,0xffffffff,28000341,56638,109,SOUL OF LEGEND
109,#8PLQGGG,🦁馬狼MMM照英🦁,0xffcb5aff,28000305,56617,110,Dr.Makaveli
110,#UQUJVQQJ,~YT-xCharm~|チャム,0xffffce89,28000006,56577,111,Beyond Mecha
111,#2UL0V8U92,ge gary 2,0xfff9c908,28000266,56515,112,gegary g
112,#9JQUVJCLL,Jorgemdz↯,0xfff9c908,28000047,56514,113,
113,#9PV9R0PR9,艾斯卡諾,0xffff8afb,28000242,56489,114,LIHKG
114,#2PQR90U0,Joewgh,0xffff9727,28000302,56439,115,<c7>維京小可愛</c>
115,#2U8RPRGP,TAT,0xff1ba5f5,28000112,56406,116,極上濱汌艦69號
116,#92RV89QPL,alvin,0xffff9727,28000173,56359,117,OGANG
117,#GUGPCUU2,OVT|黑空BlackSkyᴱ,0xffff9727,28000303,56270,118,⚽OverTime⚽
118,#8LQJP9CUR,Mikunakano,0xffcb5aff,28000054,56230,119,HK瘋
119,#LJ0JCQCJ,ዘᴋғ𐂂𝑇𝑤𝑒𝑡𝑤,0xffa8e132,28000294,56230,120,HK瘋
