,tag,name,nameColor,icon,trophies,rank,club
0,#PJ0PJYYG,Saif Omar,0xffa2e3fe,28000057,57036,1,Soft Drinks
1,#VP98PUUR,CM|⚔️SMeRTь⚔️,0xff1ba5f5,28000285,56767,2,Unreal_Fate🥀
2,#YGJPPPJP0,食-𝑬𝚔a̷𝚕❤️‍🔥,0xffffffff,28000066,56344,3,LHS|E-SPORTS)
3,#28PQJ0LUP,Shelly,0xffcb5aff,28000244,55090,4,TheBlackWizards
4,#UQUU0RG,LuckyLuke,0xffff9727,28000297,54745,5,Karma
5,#8RCL02CLG,Nonsensus,0xffff8afb,28000297,54518,6,No t🦠xic ppl🖤
6,#90L2JJLQ,pttgoxx,0xffffce89,28000273,54502,7,佛系戰隊
7,#2VL8RRJL,SimplyIcyy,0xffcb5aff,28000335,54314,8,THE BOYS
8,#22QGR0P8Y,ImRobertoh,0xff4ddba2,28000096,54081,9,
9,#9JVUPJ222,Input your name,0xffff9727,28000232,53546,10,MM | On Top
10,#YQPLUUCGL,KOKO$IK,0xffa8e132,28000253,50861,11,
11,#8RRLYUJG2,R.K,0xff1ba5f5,28000290,50779,12,Avengers
12,#P08PJLU,Nitro❄️,0xffff8afb,28000312,50456,13,
13,#228G0JLY,Róbert Logi,0xffff9727,28000260,50373,14,BRAWL TIME
14,#QJ0YU02U,SW|Subjêct❦,0xffa2e3fe,28000321,49862,15,GOLD/TEAM🥇👑
15,#CV20VJLV,Phoenix.,0xffffffff,28000156,49235,16,Mini Me’s
16,#28QLCCVRG,💩Yeet scheet💩,0xffa2e3fe,28000223,48501,17,ᴍᴏᴅ| ᴇ’sᴘᴏʀᴛs🦇
17,#Y8U88GUPV,⛩MichalBS99⛩,0xffffffff,28000096,48322,18,
18,#YLG8PYJVJ,kaeden,0xff1ba5f5,28000330,48080,19,<c6>qt<c2>π</c>
19,#92VU2YRY9,Norbi_King22,0xffa2e3fe,28000020,47891,20,⚡️The OP kings⚡
