,tag,name,nameColor,icon,trophies,rank,club
0,#U8P89PV,Anggi,0xffcb5aff,28000117,70963,1,Bandung Stars
1,#8GRLR2RG,Sienseka 🍉💚,0xffff8afb,28000215,70206,2,It's Champion
2,#2GPQGLP,兔 | bubby🐇,0xff1ba5f5,28000114,65246,3,Beyond Reality
3,#G8C0YU80,reva🥱,0xff1ba5f5,28000210,65114,4,cooking mama
4,#28LY9P02C,silver,0xfff05637,28000321,64851,5,Ocean Waves
5,#8RRY0R99Y,[FL] AdrianLiem,0xffcb5aff,28000299,64767,6,Bandung Stars
6,#22VG8QC2,IF | Alipmonc,0xffa8e132,28000272,62243,7,Mystic Forest
7,#9PV8JLPQ,しんご-くん,0xffff8afb,28000014,62072,8,Bandung Stars
8,#9VG0GUJVG,Zayan,0xff1ba5f5,28000335,60809,9,Brawl Imperium2
9,#8R80UYV,Celestial,0xff1ba5f5,28000284,59735,10,Fungi Bungi
10,#LRC28VUR,YOFAN,0xffcb5aff,28000159,59431,11,It's Champion
11,#9QYLPG9,DEBI ARIADI,0xfff9c908,28000305,59106,12,REVOLUTION Z
12,#20002PV8,かまど Nezuko,0xffff8afb,28000123,58870,13,Flower City
13,#22JQPVPG,[V].Begbeg,0xffffffff,28000272,58487,14,VOLT
14,#PCL8J8U08,Duc Volpe,0xffffffff,28000352,58172,15,RisVos
15,#JJ09YPU2,kazaki_en🥱,0xfff9c908,28000175,58077,16,cooking mama
16,#GJPY8U8Q,Zzz💤,0xfff9c908,28000139,57727,17,BandEl Rebahan
17,#PL99VYRC,JMC | MOXER,0xffa8e132,28000331,57703,18,INDO CORPS X
18,#VVUGVLYU,ABIMANYU,0xff1ba5f5,28000149,57595,19,Bandung Stars
19,#2PLLGJ0JP,Benaya 🦈,0xff1ba5f5,28000054,56886,20,Imperial
20,#V92PLCL,Haidar,0xffffffff,28000002,56843,21,Mystic Rising💫
21,#JCJQ2VG0,Kornely^.^,0xffffce89,28000259,56719,22,It's Champion
22,#PYUC8CLYU,holdik,0xffff9727,28000132,56600,23,melisssa!!👅
23,#2GYVLPLRC,Hazard | ハザード,0xffffce89,28000023,56179,24,It's Champion
24,#999LJRUPG,GO-FOOD,0xff4ddba2,28000010,56043,25,Nanaci
25,#20RGLYJ8P,Code: Stormm,0xffcb5aff,28000186,55864,26,Bandung Stars
26,#2L880YJRU,IMP | AldyXCX,0xffffffff,28000114,55668,27,CSM Eclipse
27,#92990Y9PQ,BE | Ferdians☁️,0xffa2e3fe,28000244,55480,28,Bandung Elite
28,#89LULUULY,PABON,0xffa2e3fe,28000305,55456,29,Mystic Aus
29,#VY8988LP,BK | StephenSen,0xff1ba5f5,28000170,55437,30,Biji Kadut
30,#YU88J990,RussellDash332,0xffa2e3fe,28000340,55414,31,Bandung Stars
31,#Y0LRL92V,abe_charming,0xffcb5aff,28000314,55208,32,INDO ARMY X
32,#2J9Q0U0R9,McFlarry,0xffcb5aff,28000348,55119,33,EXPERIENCE
33,#P90CU0YYR,meowlidays | YT,0xffffffff,28000000,54889,34,
34,#80P8R0QLY,RēlēntlēSs🥱,0xffcb5aff,28000303,54869,35,It's Champion
35,#2V2QP8C0R,Esor,0xffcb5aff,28000305,54790,36,It's Champion
36,#LV8J8V0P,🅻|DreadJoker,0xffff9727,28000170,54752,37,Legerdemain
37,#2RL2CLCV2,☯ℋ𝕌𝔾𝕆❦,0xff1ba5f5,28000000,54674,38,Ocean Waves
38,#PJJVJL8V2,⛩️™Animada.Exo㉨,0xfff9c908,28000023,54530,39,Death Force™
39,#2UJCLUJL,LWF | RBigual,0xff4ddba2,28000122,54427,40,INDONESIA [GM]
40,#UQ9VRRGY,Imron Syafii,0xffffce89,28000310,54414,41,WARGA +62
41,#98GGY9YV9,<X.P.D|A.D.K]엘피,0xfff05637,28000023,54359,42,eCOPOT
42,#Y2YL0Q8C,尼古丁大王,0xffffffff,28000339,54282,43,Trippy Trippers
43,#8JQ22908V,Rose,0xffcb5aff,28000305,54205,44,It's Champion 2
44,#9JVJ22JCQ,Mele,0xffcb5aff,28000305,54063,45,Indomie
45,#8P0GYGCRL,Ibdude,0xff1ba5f5,28000031,54055,46,Crooked Creek
46,#2JQLVRGCC,FK|°LEONz•,0xfff9775d,28000197,53983,47,Rising Corvus
47,#V0UVQ2QR,LockSoul,0xffffffff,28000288,53895,48,LockGang
48,#PRUQ2CV0,龙 | Zanity,0xffa2e3fe,28000323,53893,49,Rising Phoenix
49,#9RVPPLLU8,J.J.M,0xffcb5aff,28000272,53740,50,Indomie
50,#2GQC08G8Y,🥀|Chaitao13🌹,0xff4ddba2,28000031,53676,51,The Thinkers
51,#V9JJRQJP,[V]•Nightmare,0xfff05637,28000341,53676,52,VOLT
52,#89P89CL29,☣️killer☣️,0xffffce89,28000293,53592,53,ʜᴀᴜɴᴛ!🎀
53,#PGP9U82G8,SMKJC微微一笑很倾城,0xff1ba5f5,28000349,53380,54,BOBR gaming
54,#20JL8LLC,MinPot,0xffff9727,28000331,53317,55,eCOPOT
55,#2CULG2JG8,superheropapa,0xffa8e132,28000145,53304,56,kings area
56,#P8C8G8R2,jojo,0xfff9c908,28000129,53247,57,It's Champion
57,#20JQUVYGP,MZ|GeN,0xffcb5aff,28000349,53218,58,Myth Zenith
58,#2LPG82099,Veldoraz,0xffffffff,28000203,53144,59,
59,#22Y0J9RC0,34+35 | 지성✨,0xffcb5aff,28000305,52890,60,It's Champion
60,#2U8CQ2QQ8,Hysteria,0xffa2e3fe,28000226,52882,61,It's Champion 2
