,tag,name,nameColor,icon,trophies,rank,club
0,#2L92L9Y2V,TS|℟℞1̷4̷4̷6̷,0xff1ba5f5,28000052,70365,1,Arab Empire
1,#PGGJPQ98,صل على النبي 🜲,0xff4ddba2,28000341,70138,2,weird gamers
2,#VGYU2CPQ,Z̶a̶i̶n̶?,0xff1ba5f5,28000018,69304,3,Arab Empire
3,#2VY099QC,Mojtaba R,0xffa8e132,28000064,67647,4,OG Mute
4,#8UR8V0V,BLACKFORCE🖤,0xffff9727,28000001,66711,5,القوات الخاصه
5,#9YCV80LU0,dMb|bͥēaͣsͫt❄,0xff1ba5f5,28000299,66597,6,TNE
6,#90090L02C,『Aṃḿaṙ🪐』,0xff1ba5f5,28000233,66235,7,Reality
7,#QQCVPGL0,GD | KH,0xffffffff,28000044,64773,8,Arab Empire
8,#80YP922U0,BRMOON🌺,0xffffffff,28000150,63246,9,AR|FØRÇEᵏⁱˡˡ
9,#2YLG802P,FirstCurse,0xffcb5aff,28000352,63233,10,Arab Empire
10,#YQCRLJU8P,⛩️₲Ø₭Ʉ⚔️FØRÇE⚔️,0xfff9775d,28000156,62264,11,AR|FØRÇEᵏⁱˡˡ
11,#P8J2L2UQC,P4S|Muhammet19,0xffffffff,28000335,61924,12,P4SSANGERS
12,#2CQPJ9Y,Tanjiro〆,0xff1ba5f5,28000129,61848,13,YT: Yousef_bs
13,#2UP8LPRV,Hilqtท์,0xfff9c908,28000000,61265,14,القوات الخاصه
14,#98V8J00QP,✟ |𝐑𝐚𝐯𝐞𝐧〆.,0xffffffff,28000224,61063,15,End 🎸
15,#92Q0JR22,𝐍𝐢𝐠𝐡𝐭❦︎,0xffcb5aff,28000281,61044,16,KKD|BOOOM💣
16,#8P8JG8LY,KHALED,0xffcb5aff,28000054,61014,17,موسم الكرز✨❤
17,#2PCRVGJ98,Abdullah|ARX,0xffffffff,28000345,60428,18,X'LENGENDS ☣️
18,#2LGRPQP2,NM |CrIMInAL,0xffa8e132,28000150,60174,19,Fire~[KingDom]
19,#82C9PYG8V,ᴳᵒᵈ♔𝑚𝑖𝑘𝑒𝑦个,0xff1ba5f5,28000000,60099,20,ᴳᵒᵈ♔𝐓𝐨𝐤𝐲𝐨个
20,#8GJRV8VG0,ᴳᵒᵈ𝙳𝙴𝙰𝚃𝙷个,0xffffffff,28000135,59899,21,ᴳᵒᵈ♔𝐓𝐨𝐤𝐲𝐨个
21,#PJLRPJRLC,🎋MS |XIAO| 🖤,0xfff05637,28000263,59875,22,🎋| MS |🖤
22,#UJPRG0UG,🇮🇶ملك الموت,0xffa8e132,28000129,59864,23,جعويط
23,#P22VLVV9C,Ｓㄚ 么 乙 ツ,0xffffffff,28000175,59295,24,درع الجزيرة
24,#PPG0PL2UY,MOOS,0xffcb5aff,28000155,59211,25,D_FOX
25,#ULRLQRU,ツ】عA̸BBAS̸س๛×_×,0xffcb5aff,28000125,58638,26,القوات الخاصه
26,#R2Y9YLR8,✨Peacock Ling💎,0xfff9c908,28000244,58613,27,Galaxy Storm🌠
27,#2JYQ80GQC,爱汝 ▏DANO⛄,0xffff9727,28000263,58477,28,KURD🏴‍☠️
28,#9P89JVJY0,CD|JNAZ ❄️,0xfff05637,28000138,58411,29,black clover
29,#9R90LCYU9,剣士| 𝙏𝙊𝙓𝙄𝘾۵,0xffffce89,28000136,58216,30,القوات الخاصه
30,#208022L8R,武士|𝙆𝘼𝙄𝙊𝙆𝙐,0xffff8afb,28000263,57981,31,D_FOX
31,#JC2VP0UG,MUSTAFA (SAR),0xff1ba5f5,28000226,57935,32,SAR™
32,#9Q08GPGPU,Riam,0xffff8afb,28000349,57901,33,<c9>Dragon</c>✨
