,tag,name,nameColor,icon,trophies,rank,club
0,#8GLG8U20R,Wanger,0xffffffff,28000129,63549,1,Retired
1,#VYJVRP8U,Powfu 🍊,0xffff9727,28000340,62695,2,Peaky Blinders
2,#JPLG282,MReed 🍊,0xffff9727,28000348,62554,3,Peaky Blinders
3,#PVGU9UUQ,✯77|KT4👑,0xffcb5aff,28000335,60672,4,Synergy
4,#2C90JGRRY,pixel2052BG,0xffcb5aff,28000274,59913,5,
5,#8JJG0UUVQ,༅AtLass•😡,0xff1ba5f5,28000345,59600,6,Babyflingueur
6,#J9Y9G9CC,LK|denisk0106,0xfff05637,28000255,59337,7,Rebirth Knights
7,#89VG9VUC8,quanish🧸,0xffffffff,28000095,58948,8,Rebirth Knights
8,#Y28R8C2J,:),0xffffffff,28000011,58706,9,
9,#2GL9PQJ02,piggy,0xffa2e3fe,28000335,58502,10,THE HEADHUNTERS
10,#28UYLU89Y,❄️OneTap🔥,0xfff05637,28000222,58136,11,Vitrious Legacy
11,#YUV92RPRV,DylanTDH,0xff1ba5f5,28000294,57984,12,Out of Place
12,#YRLQRJGC,isaacmc12,0xff4ddba2,28000297,57680,13,Support Team 2
13,#2LCYCU28,Артем,0xfff05637,28000282,56787,14,Hell wish
14,#U2J9202C,Chazzerine,0xfff05637,28000240,56697,15,Rebirth Knights
15,#2V2R9P2J9,PhotonWinz,0xfff9c908,28000236,56070,16,Cactus Bandits
16,#UP2UC2VY,👻Puca👻,0xfff9c908,28000102,56015,17,Kings Guard
17,#LYL8C2QRP,Bravo_ManDude🕳,0xfff9c908,28000291,55663,18,I LEGGENDARI
18,#UY890J8V,Markk909,0xffffffff,28000120,55640,19,Rebirth Knights
19,#2GYPVL2GL,狮子座 | No.2 ♕,0xffffce89,28000156,55469,20,Beyond Mystic
20,#2JGY80UYV,ⒸⒺⓄ|Ⓜ︎ⒾⒸ🎄,0xff4ddba2,28000339,55142,21,👑The CEOs👑
21,#PC88YLQYL,alecxi noob,0xff1ba5f5,28000349,54853,22,The Hideout
22,#YCPJUQU8,Пулевой шторм,0xffcb5aff,28000349,54700,23,Raycep Elite
23,#P0CG2PGP0,iConor,0xffcb5aff,28000045,54700,24,
24,#8RL8G2R8G,DJChris246,0xffff9727,28000198,54563,25,Rebirth Knights
25,#U2C8R0RJ,𝔰ꑭ𝔫𝔫𝔢𝔯🇺🇦,0xffff8afb,28000207,54445,26,💙💛UKRAINE✨
26,#2UYLRGJJL,tkco,0xfff9c908,28000260,54265,27,quit
27,#9J2JQ9GY8,GUCCIOᶫᵒᵛᵉᵧₒᵤ ♡,0xff4ddba2,28000341,53872,28,AM eSports ☄️
28,#820RCY2CU,Ziopc,0xffcb5aff,28000129,53678,29,Ultimate Club
29,#PPG2JRP0J,BB|lou,0xff1ba5f5,28000210,53487,30,Digital Death
30,#9VGC22LRQ,COLDICE,0xff4ddba2,28000305,53359,31,Rebirth Knights
31,#9LQLR2L8Q,1v3| H e R O 😠,0xffffffff,28000000,53091,32,
32,#8VR0URLJ,RIO | ᴮᴬᴰBoy🥀,0xffcb5aff,28000129,53081,33,Solidarnist™
33,#2V2J8YY0P,白璐,0xff1ba5f5,28000023,52925,34,荒野秘密基地
34,#Q8R88V9YV,river,0xffa2e3fe,28000242,52836,35,AngelShield
35,#89UJURC88,Quest|Miki,0xfff05637,28000242,52817,36,[HIT] n 🏃‍♂️
36,#999PUVLJY,I†zͥMaͣdͫSeasøή,0xfff9c908,28000305,52711,37,Tempest Rising
37,#9GU0LCPV,Zetta,0xffcb5aff,28000058,52462,38,THE HEADHUNTERS
38,#VLC9VGV8,fireblazer,0xffffffff,28000274,52455,39,Ultimate Club
39,#V0GL0JGG,TᎥkͥoØoͣzͫ 🇪🇬,0xffcb5aff,28000349,52373,40,TK|TRIBE
40,#JLQQP029,LK|liquid beef,0xff4ddba2,28000006,52201,41,grass+rl
41,#8J08VCC8R,m҉y҉s҉h҉e҉d҉ᵗᵐ,0xfff9c908,28000272,52128,42,A$AP MOB
42,#2Q2URP92U,⛩🏝Hugounet⛩❤️,0xfff9c908,28000096,51868,43,les koala pro
43,#PGQC9QPLU,Ryan Doherty YT,0xff1ba5f5,28000335,51723,44,Rebirth Knights
44,#88QG2V9J2,ᴳᵒᵈJacck#4627本,0xff1ba5f5,28000252,51559,45,Brawlfist
45,#9GGQ9JPC,proninja,0xffcb5aff,28000280,51335,46,
46,#9QG9UU9PP,是我Mansory❤️‍🩹,0xffffffff,28000000,51297,47,Immortals
47,#2LRRPC0VR,Sᵀᴮ✌🦅|Oʟιvᴇʀ98,0xffa2e3fe,28000063,51289,48,THE HEADHUNTERS
48,#28YPYGP8J,GX Kylimer,0xff1ba5f5,28000282,51228,49,China中国
49,#QPG8GPJL,Jimjam,0xff1ba5f5,28000048,51199,50,Renaissance
50,#8Y9QL0LUY,ліл морті,0xffa2e3fe,28000297,51152,51,Utopia🏹
51,#PQQ0CUYUR,Gandalf,0xffff9727,28000061,51145,52,Cactus Bandits
52,#29QQVYP9Q,Destello,0xfff9c908,28000170,50803,53,QUIEN MANDA
53,#QC2PRP2V,nosuckysucky,0xff4ddba2,28000173,50680,54,Hexlone II
54,#JCGUYLL8,ʲᵃᶜᵒᵇˢᶜʳᵃᶜᵏᵉʳｯ,0xff4ddba2,28000197,50562,55,Touch of Class
55,#J8YUYJ8P,Tarantula,0xffff8afb,28000291,50492,56,youhappyjiuok
56,#9082R2PYY,cool guys,0xffa2e3fe,28000349,50463,57,THE HEADHUNTERS
57,#P9UQV29J0,kirill top,0xffcb5aff,28000061,50408,58,Magic Skills🎯
58,#8Q2YYYLQG,❄️Láźy|Níćkź❄️,0xff1ba5f5,28000201,50369,59,CHEESEFOREVAR
59,#9YVVYVG89,Midgebob,0xfff9c908,28000303,50324,60,Gamer Legends
60,#8YCRV0JQJ,F | ⚔️Morti⚔️,0xffa8e132,28000274,50314,61,
61,#2VYRRGP0Q,Cicada ☯︎︎,0xffa2e3fe,28000232,50243,62,BootyGang
62,#89YY88Q20,🧤sаloеd🧻,0xff1ba5f5,28000261,49932,63,<c0>ГОПАРИ</c>
63,#2UR98R82P,Mantovani 🇧🇷,0xff1ba5f5,28000156,49819,64,gryfonik
64,#PQJGPJ0JJ,Dolbalob,0xff4ddba2,28000253,49467,65,Chow+Lam+Tsui
65,#9Y29Y0PYY,dfdfdf,0xff4ddba2,28000228,49136,66,
66,#80R0LY8L8,derew,0xffffffff,28000281,48949,67,
67,#92VQRGCQC,st.Jop❤️🔥,0xffffffff,28000290,48940,68,APRIORI II
68,#9PLUCPRJQ,LaLYou,0xffcb5aff,28000132,48927,69,Tenshae🪐
69,#2LQ82V2V,Stryder,0xfff05637,28000305,48831,70,Opsters™️
70,#9QQL92R,蘑菇女王👸🏻,0xfff9775d,28000331,48715,71,youhappyjiuok
71,#L8CPQGUGL,Shmoops,0xffcb5aff,28000209,48697,72,Demon Empire
72,#9C8J9RQU,TOMATO,0xffa2e3fe,28000290,48656,73,SKY LEGENDS
73,#UJ8JYULY,Lexoph,0xffff9727,28000164,48566,74,R7 Dark
74,#9YPPC8JPL,đōŝhíķ 🦋ツ,0xffffffff,28000140,48335,75,Solo Club
75,#8GGGJVY9U,ACE,0xff4ddba2,28000128,48257,76,Titans
76,#89VL02YJ9,crow Leon,0xffa8e132,28000333,48202,77,dublinpro
77,#PPCQC0PLV,Nemezis,0xffff8afb,28000167,47855,78,:)
78,#VJ9PYPGR,Stinging Roger,0xffa8e132,28000249,47837,79,Brawl Stars
79,#P8VP28L99,Royal ⚡,0xfff9c908,28000221,47820,80,Fan Club
80,#VQ88UYGJ,Tiktok|David1st,0xffff8afb,28000314,47782,81,<c7>ボRAVENボ</c>
81,#VC29G002,S H B|A L E J,0xffa8e132,28000156,47671,82,🔥L@s Insan@s🔥
82,#PY92JRCQC,Reͥetͣzͫ,0xfff9c908,28000305,47603,83,STEALTH
83,#CYYYJYJY,LK|Flozzi,0xffcb5aff,28000088,47572,84,
84,#28UPYLLYR,L-BUTT,0xffa8e132,28000260,47569,85,Myanmar
85,#GRYG9J29,HenriBR14,0xffa2e3fe,28000225,47540,86,bounty bros
86,#PJY908J0G,Mr. Krinkle,0xff1ba5f5,28000130,47535,87,Opsters™️
87,#YLUQJLLY,⭐destroyer⭐,0xffa2e3fe,28000189,47502,88,Immortals
88,#QV0Q9L2Y,☘️Moze☯️♐,0xff1ba5f5,28000160,47432,89,Kachuska
89,#2RQVCVQ,PMAST3R|B47,0xfff05637,28000256,47363,90,The destroyers
90,#YCYPR0RYL,Firxed:(,0xfff9c908,28000341,47330,91,Fany Strachy
91,#9VC0UPRL9,Zeroone,0xffa2e3fe,28000330,47211,92,Notorious Gang
92,#LJYULPP,not today >.<,0xff4ddba2,28000018,47180,93,I Sudati
93,#GJU2920Y,Relucify,0xffcb5aff,28000141,47111,94,quit ✌️
94,#2Y0PRLG20,ᦓꪊρ꠸’ꪑ ᧁꪖ᥅᥇ꪖᧁꫀ↯,0xffff8afb,28000255,47101,95,Beyond Soldiers
95,#JUVRCCVL,Meleoron,0xffa8e132,28000004,47065,96,Tempest Rising
96,#YQR0QQRQ,Tiernan,0xfff9c908,28000295,46976,97,
97,#PCPYL9UQL,Deadlyneko12,0xffffffff,28000267,46893,98,Rampage II
98,#22VRRUP8J,🇲🇲Machine11,0xffa8e132,28000175,46856,99,Myanmar
99,#QGY0P0YR,joker,0xff1ba5f5,28000299,46808,100,
100,#PLYU00JC2,➪lucîαª⁴🦎,0xffcb5aff,28000290,46690,101,
101,#8LUYUYPG,BrawlStar,0xff4ddba2,28000187,46667,102,Tempest Rising
102,#8CVJCYU2G,UnnaturalDuck?,0xfff05637,28000303,46584,103,<c4>SHARK</c>💙
103,#2YCV98QQC,Brazax,0xffff9727,28000294,46560,104,Star Warra
