,tag,name,nameColor,icon,trophies,rank,club
0,#8089VYY,•Kāfāøtıs⁴🍣,0xffcb5aff,28000201,71385,1,GoatLife
1,#92GPQ9UP9,⛓️S̷V̷|Midosi🃏,0xff1ba5f5,28000271,57864,2,🦋😶‍🌫️😶‍🌫️
2,#8VURQ0U9,OXYGEN,0xfff05637,28000168,55723,3,
3,#2R0U8YU8P,noel,0xffffffff,28000341,54366,4,Mip POWER 💢
4,#2RRV8VGYG,ᔕIᗰOᑎ␈,0xffff9727,28000341,52233,5,AUT–AREA™
5,#2QYGQR98Y,MainPrimobs,0xff1ba5f5,28000322,51006,6,FUEGO CRUZADO
6,#QJPQPVPJ,xUnrealoo?,0xffffffff,28000139,49953,7,Qianat is God
7,#2UQJUV,Sparky,0xff1ba5f5,28000077,48930,8,FattyPatrol
8,#99UURLCUV,au revoir,0xffa8e132,28000283,48748,9,La Sauce Michi
9,#92QLRVL8,miquelson,0xffffffff,28000279,47217,10,TEAM OMEGA
10,#2YJCLVCPQ,flaki,0xffa2e3fe,28000073,46763,11,Baguette FC
11,#LP92V92UC,⚔️TXT.ᵘᶻᵇ⚔️⛩️🐼,0xffcb5aff,28000221,46369,12,<c3>TheBest</c>
12,#90JV9U92G,ヅ ⁷²⚡️センプ ハイラ,0xffffffff,28000096,45505,13,Euphoria💋
13,#JGUVRJC2,Gadolinium64,0xffcb5aff,28000175,45435,14,Ocean Magma
14,#8YV8RCJQL,Jacker,0xffcb5aff,28000022,45380,15,🎵Hidden Song🎵
15,#P0J8GCGY9,Oren☘,0xffff9727,28000333,45345,16,KAO|T͎ᵉαᴍ🍃
16,#8202YQ0YP,11shining11,0xffffffff,28000000,45135,17,ТЫ ТОЖЕ
17,#8GQUQJ0PP,Хакер 228,0xffcb5aff,28000023,44114,18,aliViderCHI
18,#8QCP08LPP,selen,0xffff8afb,28000167,43853,19,ALTIN ORDU
19,#2RVVL8YYY,leon,0xffa8e132,28000273,43713,20,DR eSports
20,#2V02V988V,🌵RetroIgna🏐,0xffcb5aff,28000139,43467,21,CulillosBlancos
21,#29299R9VQ,Pinky Knight,0xffffce89,28000125,43352,22,amendobobos :3
22,#9CPYCJJUU,Di Hai Surge,0xfff9c908,28000102,43211,23,Jo bro v2. 0
23,#82JVVGV9J,ЭДГАР,0xfff05637,28000304,43191,24,клуб друзей
24,#U0YGYVJR,wejtom,0xffa8e132,28000137,42980,25,<c8>MAGICAL</c>
25,#8VVCCLL20,🔥Dark Thoughts🔥,0xffcb5aff,28000242,42827,26,1b3lo
26,#8QVJPU9LG,flik07,0xffff8afb,28000335,42779,27,La fine équipe
27,#GR2CJRJ,ELECTROSPIDER,0xffa8e132,28000033,42608,28,FattyPatrol
28,#LCJPGY2UJ,K0SYWKA,0xfff9c908,28000054,42367,29,Культ_Пельмешек
29,#2Y0LQVPGP,#bassyboy_v2,0xff4ddba2,28000182,42305,30,NLLIONS
30,#9PGCQYPYY,Nicolae|PA®,0xff1ba5f5,28000322,42147,31,Beastclan
31,#82P82UJG8,ALEJO,0xffcb5aff,28000274,41733,32,brawlers
32,#8PGR2GYJ8,Thore,0xff1ba5f5,28000161,41663,33,Gen. Zickzack
33,#2YJCQQUVY,さかたなFrosty💔,0xffffffff,28000135,41623,34,Rat Hole
34,#9QQVYYGG0,NAVI | Cheese,0xffa2e3fe,28000297,41477,35,Beyond Ares
35,#PQVQYPCC2,Валера,0xff1ba5f5,28000293,41376,36,
36,#YCRQC82L,eureca,0xffa2e3fe,28000098,41344,37,guerriero
37,#9QPQJ0QQ8,TRÜ£PÎÇK,0xffcb5aff,28000305,41029,38,House🏠💟🏠🏡🏘
38,#VGUY9PGG,Venom,0xff1ba5f5,28000352,40869,39,escalera
39,#92202GQ89,alejandro,0xffa2e3fe,28000335,40752,40,Hxbyy|Esport🪐
40,#98C2QC089,TID_BOT_,0xfff9c908,28000211,40683,41,
41,#GQ82LR,LUSA|暁iPainGj🌠,0xffffffff,28000275,40653,42,
42,#Q0CYQL8CQ,The defender,0xffffffff,28000047,40474,43,Stranger
43,#LYRR0JUP,CODE:HDP,0xffffffff,28000003,40350,44,GOD LÉON 🌊¹
44,#P2Q99YGPL,🍃zimer✨,0xffcb5aff,28000135,40213,45,No more talk
45,#YGJPJ8Y8R,забивной_леон😈,0xffffffff,28000139,40158,46,1pg3
46,#22LJQPY80,BłąãčKK🖤,0xffffffff,28000319,40085,47,Tribe°AlexRo
47,#PLRU8PQ0,Jackson,0xffffffff,28000025,39764,48,Ralph-a-thon
48,#G90YYVQV,biscotti💞,0xffff8afb,28000132,39736,49,Імперія Добра X
49,#8VPU8J88V,Ulavala,0xffcb5aff,28000305,39736,50,White Shadow 2
