,tag,name,nameColor,icon,trophies,rank,club
0,#2RL8LGV9Q,🐼iBearQu❦︎,0xfff05637,28000352,80595,1,High Quality
1,#J0CJJPR9,MikuPiku,0xff4ddba2,28000018,72623,2,ひつじCLUB
2,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,71501,3,Tribe Turkey
3,#J2G2CGU0,TW |Nadav,0xfff9c908,28000008,71020,4,Beyond Washed
4,#99YGG09GR,MyS | Efim👾,0xffa8e132,28000273,69204,5,A Few Super Boy
5,#PYGUQYCJ0,Taha♛,0xff4ddba2,28000136,67373,6,
6,#YCVJ2Q0,Bill◬cipher,0xfff9c908,28000205,66825,7,OLS|CLUB
7,#2RVPVPC,Eyalツ,0xffcb5aff,28000345,66087,8,Infected
8,#2JURUJG29,🀄|Đavid™️,0xffff9727,28000234,65518,9,Tribe Israel
9,#VG98C9JG,Mazor🐬,0xffffffff,28000112,65297,10,Infected
10,#29PLQ0GV9,GuyVisual,0xffffffff,28000002,64948,11,Tribe Israel
11,#YVP2Q22,Baͥdbͣoͫyninja⚔,0xffff9727,28000132,64479,12,A Few Super Boy
12,#C9P29R92,な | łīčhī❤️‍🔥,0xfff05637,28000347,64330,13,ᴅᴀɪʟʏ
13,#82YY2C8LU,🀄|¥osef™️,0xffff9727,28000345,63165,14,Tribe Israel
14,#88QGVRQC9,♛Ｅｌｉｒａｎ♛,0xffffce89,28000333,62815,15,A Few Super Boy
15,#8JV2Q0C0Q,Shalev❤️‍🔥,0xfff9c908,28000091,62756,16,The Crazy Time
16,#2VQVGRPLP,Hⱥrël♛ᴷⁱˡˡᵧₒᵤ🌹,0xffcb5aff,28000159,62721,17,Infected
17,#200VY9YL8,אוראל שולט,0xfff05637,28000117,62664,18,OLS|CLUB
18,#99VU82CJ9,ɢᴏ sʟᴇᴇᴘ ⁿᵒᵒᵇ☜︎,0xffff9727,28000014,62604,19,🌊Niv🌋
19,#YC892VYPL,提 𝑰𝑫𝑨𝑵 🥷,0xff1ba5f5,28000241,62063,20,✨Star Brawl✨
20,#8YJQLU2R,Adam,0xff4ddba2,28000206,62011,21,Goath Players
21,#9YYP8VJCG,Niv,0xffffce89,28000334,61882,22,🌊Niv🌋
22,#8V9LUJVC9,Splintメ,0xfff05637,28000026,61566,23,OLS|CLUB
23,#Q2R2V8GR,STK@*LonGShuT*,0xfff9c908,28000096,61077,24,Golden Boost
24,#PC8YGQJR0,恶 | DAVID ⚜️,0xffffffff,28000000,60665,25,
25,#2GJ822JL2,Liran 🩵,0xff1ba5f5,28000321,60660,26,Crystal
26,#8Q9R9QPC0,🥀𝕻єяяy™,0xffffffff,28000086,60647,27,Golden Boost
27,#2YG89QYVP,ZK|BadAxew愛,0xffffffff,28000278,60334,28,focus time
28,#2UYPPG2GV,Jeffrey🐍,0xffa8e132,28000197,60312,29,zxc
29,#80CYU2UPR,Warlock🐬Vin,0xffa2e3fe,28000128,60265,30,OLS|CLUB
30,#2JLGGCR9J,𝐌𝐞𝐧𝐢ᴷⁱˡˡᵧₒᵤ,0xff1ba5f5,28000058,59804,31,🌊Niv🌋
31,#922RG8UYV,〖ØP〗𝙂𝙪𝙮❦×͜×,0xffff9727,28000193,59662,32,✨Star Brawl✨
32,#2Q0YR222Q,☣️OP/SHNEOR☣️,0xfff9c908,28000349,59469,33,A Few Super Boy
33,#2YRR8R8PG,חביב התותח,0xffcb5aff,28000352,59200,34,OLS|CLUB
34,#PJLPRG,TheGhoster,0xffa2e3fe,28000259,59120,35,A Few Super Boy
35,#9PU9GUVL8,Serponge🍹,0xffffffff,28000254,59074,36,🥶Israel🇮🇱💙
36,#2GP2VP99P,あCrazyBen😡,0xff4ddba2,28000140,58932,37,A Few Super Boy
37,#9CVJPYL28,STAV,0xffffffff,28000156,58835,38,Brawl Stars 🎉
38,#PVQV2JP28,leon,0xffcb5aff,28000352,58650,39,𝐼𝑠𝑟𝑎𝑒𝑙❦︎
39,#RVG8YYV8,messi🌚,0xfff05637,28000317,58370,40,A Few Super Boy
