,tag,name,nameColor,icon,trophies,rank,club
0,#8PPR2V0V8,CPU|Nils,0xff4ddba2,28000140,65509,1,CPU |Gaming
1,#JJ8QL00,Johnhero88,0xffff8afb,28000229,57873,2,LA Rift
2,#L80YGUY0,2kmihajlo,0xfff05637,28000267,57797,3,Crna ruka
3,#9JQGLPJLV,BS | crouton El,0xfff05637,28000259,51030,4,le club de Noah
4,#RR8CUJRJ,ken,0xffa2e3fe,28000277,50516,5,世界第一
5,#QUY0U2VC,みんなの家,0xffcb5aff,28000290,50353,6,蕾つぼみ✨新芽
6,#Y88JG8LC,Sid,0xfff05637,28000029,49434,7,The Cat Royale
7,#8P89G20UR,kyrnzs🪐,0xffff8afb,28000321,48837,8,Nova
8,#QPY02PGUV,Light Beam,0xfff05637,28000088,45839,9,RT Strategy
9,#P88LQRP,QLS|Mijeluyi,0xff1ba5f5,28000225,44374,10,guayana🇯🇲
10,#92LCJC,RedkaySY,0xfff05637,28000073,44072,11,myafki🐾
11,#LPP28LG9,✝️♏ẶŠṪℰℛ♎✝️,0xfff05637,28000096,43700,12,ITA|tp Rank
12,#PLPYVV0GJ,OneTwo,0xff1ba5f5,28000219,43468,13,Polish Empire
13,#PR8JC0828,Ashezzz,0xffff8afb,28000294,43315,14,Brawl Masters🤺
14,#8JJ9L0GQG,HB | Sean,0xffcb5aff,28000228,43228,15,
15,#PUJ0CYPP0,ZETA_darkoum🤍,0xff1ba5f5,28000349,42981,16,BS Ukraine
16,#20QY0Q8L2,JessicaR1998,0xffffffff,28000143,42410,17,Beans
17,#PPQCL8QJ,PurpleSzoszoツ,0xffcb5aff,28000335,42191,18,¥twierdza tokat
18,#YUGUU2Q2,tomhub98,0xfff05637,28000023,42116,19,Beans
19,#9PVPCJ2V9,Darell,0xff1ba5f5,28000135,41706,20,the best club😁
20,#2J28LQ0CC,Master Ninja,0xffcb5aff,28000335,41505,21,IX Midgard
21,#9VV092Q20,Boom,0xffff8afb,28000302,41061,22,🦆|DonaldVille
22,#9LC92PJ2G,bielsa bond,0xffff9727,28000255,41035,23,netflix
23,#8QUUJY9JY,sosy_jopy//,0xffcb5aff,28000312,40834,24,💥ALONE💥
24,#9GCCC09UJ,QNR|Foxyzinho,0xffa2e3fe,28000244,40176,25,In Flames
25,#8Y02L9P2L,千AS乇AIR🥀ᵒᵖ♡︎,0xffff9727,28000262,40100,26,L.O.E |foXes🔥
26,#UQY20R0P,ZT | DeepAndrey,0xff1ba5f5,28000115,40084,27,Murmansk City
27,#82YGURV99,•ƙıŋɠ ɠơƖɖ•,0xffcb5aff,28000000,40049,28,the best club😁
28,#2VJ0JCRU0,❤|D|DEN4IK|D|❤,0xfff05637,28000256,39843,29,RK|ELITE
29,#YCLCC99PJ,Eti Tutku pro52,0xffff9727,28000305,39625,30,kulaklık
30,#L0JJCYUL0,𝐏𝐥𝐚𝐳™️,0xffa8e132,28000285,39428,31,i seggoni
31,#8CGU9U0PJ,Kanival,0xffcb5aff,28000291,39138,32,Club  #2G922VJLR
32,#2JQVPCPUJ,Dominican_08,0xffa2e3fe,28000129,39136,33,3730
33,#PGV82RPQL,tetiusque,0xffff9727,28000185,38841,34,MikeyMouse
34,#UYGQRCGP,❀零ノ型㌨❀,0xfff05637,28000332,38363,35,ブロスタを楽しもう
35,#9YLCR8JVQ,pocoyoo,0xffffffff,28000255,38225,36,Zaдиры
36,#PRVG20JJ8,𝐄𝐋𝐖𝐈𝐒🧸,0xffcb5aff,28000041,38138,37,
37,#2J08CCQQQ,tommy,0xffa2e3fe,28000139,38012,38,かにクリーム
38,#2GPV2U29G,giogi00,0xff4ddba2,28000169,37961,39,CATZ_RULE2.0
39,#89QJJVYPQ,JAMBON CRU,0xff4ddba2,28000279,37864,40,Une nain vitée
40,#9P8RCJCLR,Oben ist doof,0xfff9c908,28000035,37785,41,Silky-Fanclub🦭
41,#9Y8RYVPG9,3730,0xff1ba5f5,28000253,37715,42,3730
42,#82QPLVQ,cronos,0xffffce89,28000088,37612,43,
43,#2JQJJJ8PG,www.ahmed.com,0xff4ddba2,28000335,37602,44,الله اكبر
44,#PYCJ8JPUC,magtastic,0xffff8afb,28000253,37466,45,Sizzle Club
45,#PLCJ0RYPY,☄☔chelovek☔☄,0xffcb5aff,28000132,37322,46,Baukje
46,#9PGJGY09G,monorox,0xffffffff,28000267,37124,47,Клуб:  #QLV2V2JP
47,#P9PVYCY82,///bandaz\\\,0xfff9c908,28000222,36808,48,Waffle House#10
48,#PJQ98QQC,mitcharj,0xffcb5aff,28000161,36687,49,Beans
49,#882QPUJ82,n.esura,0xff4ddba2,28000140,36628,50,БОБА229
50,#L9CUGVVRL,ᵍGͦᵏXͧ|KASJAN,0xfff9c908,28000284,36570,51,BS|TEAMGUYS
51,#2YULPC02V,Le🌶DansTonCul,0xfff9c908,28000267,36523,52,
52,#8GJP09JP8,ПУТЬ ПИЖОНА,0xfff05637,28000267,36470,53,
53,#28RLYL8QY,Rank 25,0xff1ba5f5,28000023,36335,54,Striks
54,#8VQYQPLGC,〆|ꢺɪᏒ𝚞🜲🐬,0xffffffff,28000047,36274,55,I am retired💔
55,#8LGGRL2LR,SF |Dorito,0xfff9c908,28000031,36261,56,
56,#2UVRLVJJL,COOL🆒️💯,0xff1ba5f5,28000310,36149,57,
57,#LR92JUGJJ,saftige Melone,0xff4ddba2,28000141,36124,58,Die Da Nanana
58,#2V22VVLCV,しもなとぅ〜,0xffffce89,28000001,35905,59,柿ピー
59,#2880VLRJP,ZM|ZUGANOV,0xff1ba5f5,28000243,35599,60,NiNo
60,#9QLP2C0JQ,しゅうじ,0xffa8e132,28000284,35572,61,
61,#C29YGQPJ,little number,0xffcb5aff,28000018,35538,62,
62,#8YVVC0LC9,선디바,0xfff05637,28000265,35535,63,옥자의힘
63,#829C2RPCY,CristianoR,0xfff9c908,28000290,35497,64,♡CHERRY BULLET♡
64,#2Q8RQP9JV,TOTO 9,0xfff9775d,28000305,35318,65,Mythic Reality2
65,#L9QGRYQPR,сосу васе (>ㅅ<),0xffff9727,28000224,35173,66,Есть Пробитие_
66,#8YJ2UJP8Y,джага джага,0xffcb5aff,28000280,34963,67,
67,#9UC89C9J,Paul512,0xfff05637,28000101,34881,68,This is Anfield
68,#YLQCG8CYR,TTM|SHD,0xffcb5aff,28000347,34804,69,TTM
69,#29Y0PVPU8,Oak🌿🌌,0xffffffff,28000171,34750,70,Ra1Li_Club🦾
70,#Q98U8CQP,Arashii,0xffffffff,28000352,34572,71,Housettayhome
71,#2C2V9RRLC,leonik,0xff1ba5f5,28000330,34569,72,OnlyPush
72,#2YLG9Y0YQ,qwe123,0xffa2e3fe,28000175,34461,73,фазик
73,#8QV0GJPJ0,四|wave! 🐬,0xff1ba5f5,28000167,34403,74,Super Awesomes
74,#9PG99LCR,MO.PROFÍK 19,0xffffffff,28000079,34201,75,RIDERS TEAM
75,#2G29JV09P,ALEX,0xffff8afb,28000054,34102,76,Alexchenxu
76,#CPQUV2J0,Maximus,0xffff8afb,28000224,34095,77,This is Anfield
77,#YQCRYYCJR,Леон,0xfff9c908,28000297,34058,78,
78,#2Y8CPR0VY,RESSEN,0xfff9c908,28000273,34044,79,
79,#9PQLR82L9,HAMZAYİLMAZ,0xffa2e3fe,28000206,33922,80,Latvia
80,#9CL9RRGYL,rainslow,0xffa2e3fe,28000284,33897,81,Jo.Ju
81,#29PQ889J8,navi,0xffcb5aff,28000330,33886,82,The hit-markers
82,#8QLCYCYL2,papaSean,0xffcb5aff,28000225,33773,83,papa!
83,#G0QV9UVJ,MightyRed,0xfff05637,28000332,33721,84,This is Anfield
84,#2RRRC089U,GREENIE_YT,0xfff05637,28000225,33596,85,Bedtime Bunch
85,#8P0UQGPY0,Rolling Darryl,0xff4ddba2,28000271,33542,86,сброще позорищ
86,#YGU9G80J0,𝓈𝒶𝒸𝓊𝓇ℯ𝓁ℴ♡,0xffcb5aff,28000044,33514,87,Mystic | Solo
87,#L8VY0UGCG,PRO,0xffa2e3fe,28000335,33462,88,
88,#2UJL8LQGY,LFY/Popitou💥,0xffff9727,28000247,33444,89,parlapapin
89,#9L9L00LGJ,⛩OWEE|KILLEUR⛩,0xffcb5aff,28000153,33359,90,⛩️|xʘ𝙧ţėx|⛩️™
90,#L8UJV0RJU,ㅤあㅤ,0xffffffff,28000294,33257,91,学院ダイナマイト
91,#2PC98PJ0V,Rhino7887,0xffa8e132,28000156,33181,92,APS
92,#92V8JVCR,XxBesekerxXスタフロ,0xffcb5aff,28000170,33123,93,丸メガネ愛好家
93,#LVQLP0LVG,🥀|Alcattᵛⁿ.,0xffffffff,28000135,33075,94,¥twierdza tokat
94,#88GCYUUY9,boss555,0xffa2e3fe,28000073,33015,95,
95,#8P0JCC0VJ,❤️garnaal❤️,0xff1ba5f5,28000284,32988,96,NL
96,#2LRQ0R2G2,Nono le best,0xffcb5aff,28000014,32949,97,CvPriSun Commu
97,#9YCP8LY0R,Ace Blader 123,0xffa2e3fe,28000205,32861,98,PANDALIT
98,#90VVUC0VQ,GX fra,0xff4ddba2,28000170,32822,99,I pekkatori Y
99,#P0LRGPYGL,😈Vital_Shark😈,0xffcb5aff,28000140,32805,100,psychokids
100,#YP9QL8CP,pokemon tontito,0xfff05637,28000207,32800,101,Los nood
101,#RLGYL2CL,Drus,0xfff05637,28000073,32791,102,<c3>Freedom</c>
102,#RUQC28GL,XOXO,0xffcb5aff,28000262,32607,103,
103,#8LUGLYLRJ,👋HƏÝŇØØB👋,0xffcb5aff,28000293,32589,104,turkey 🇹🇷
104,#8PQ9UGG2L,亗ɴ ɪ ᴄ ᴏ,0xff1ba5f5,28000305,32523,105,
105,#L0LYGURJ,Wob,0xffcb5aff,28000002,32482,106,TheBasement
106,#PUUGLVU82,うん,0xffffffff,28000044,32476,107,
107,#2Q9U00VQ2,QLS|PAREX,0xffff9727,28000248,32468,108,Black Alpha
108,#8P2QUQY2R,🇺🇦razan🇺🇦,0xfff9c908,28000352,32446,109,i king
109,#89LU200G9,СуРоВыЙ-БоЕц,0xfff9c908,28000173,32384,110,Лютые🥥🥥
110,#20Q009CVQ,GG SpRkacter,0xffcb5aff,28000003,32361,111,TUFINLANDIA
111,#8PYLJCJYU,𝔪𝔞𝔩𝔩𝔮𝔦𝔠❦,0xff4ddba2,28000136,32346,112,бровь стаса
112,#99YU8JVRY,Leon4ik,0xffcb5aff,28000228,32338,113,
113,#22R80L0PL,thomasito:(,0xffffffff,28000321,32337,114,This is Anfield
114,#PUGVVLVJG,saybonjour,0xffa2e3fe,28000335,32326,115,Ratit
115,#9GLUCVR8P,lil tecca,0xffcb5aff,28000335,32320,116,꧁☆☬κɪɴɢ-Cup☬☆◡̈
116,#9YQYG2QQ,Takemichi,0xffa8e132,28000226,32268,117,Tawera|ToP🖤
117,#20LLRGQCP,Marius,0xffa8e132,28000352,32204,118,XCA
118,#2YQ2Q8V2L,シ︎|🌪️FlackJK🌪,0xffcb5aff,28000228,32117,119,Blood Hour
119,#8YJUG0P02,⛩️CM|Jos🥀,0xffa2e3fe,28000182,32071,120,FVVoObi
120,#2GLVYC29C,no lucki,0xff4ddba2,28000289,32059,121,CHAMPIONS TEAM
121,#PCRJR0299,翻 | saerta vei✡,0xffffffff,28000046,32015,122,Les goat
122,#PQ8VULGGL,Escipest😠,0xffcb5aff,28000335,32011,123,Dead House
123,#8UJC9Q9LV,z5hn_em,0xffffffff,28000221,31965,124,ZETA DIVISION
124,#PLGG8CCJY,leon,0xfff9c908,28000151,31911,125,İSTEYEN GELSİN
125,#Y0V9UCYCU,croutonamour,0xfff9c908,28000280,31908,126,samossafr
126,#2LRPJ228V,CharlieTheBest,0xffa8e132,28000352,31895,127,The Cat Royale
127,#C0Y0RGRJ,NaZaR,0xfff9c908,28000222,31889,128,Партія Богдан
128,#U8VQJVV,Regenwulf,0xffffffff,28000088,31810,129,le new club
129,#9JRLUVY9,⛩️/teredgu 1/3,0xffff9727,28000023,31802,130,✧千ㄥ卂爪乇 卄ㄖ丂ㄒ✧
130,#2C8GVL28R,ぬるん,0xffffffff,28000002,31702,131,代紋ぶら下げてます
131,#8YQ8YLQ20,Brawl Stars,0xffffffff,28000279,31637,132,Wodogłowie
132,#Q2P90ULVQ,どんぐりガム,0xffa8e132,28000272,31504,133,soft
133,#PUVR9YLR8,AMEGA,0xfff9c908,28000054,31457,134,<c0>Nothing</c>
134,#PRVLLJC2L,charlie:),0xfff9c908,28000218,31445,135,Team Perú
135,#Y9LJ0V0L,Master Brawler,0xffff8afb,28000143,31428,136,<c5>DC💎</c>
136,#2JLRQPVQ2,🎌Top Scorer🎌,0xffa2e3fe,28000294,31421,137,極炎ブラスター
137,#8LJQ0L2LL,Reyansh 3,0xffffffff,28000267,31410,138,The Cat Royale
138,#LRC88ULV9,ぽん,0xffffffff,28000116,31392,139,Labyrinth
139,#22U8JYRCC,lil juice,0xffcb5aff,28000280,31385,140,miliardario
140,#YGPRUG9L0,PON!!,0xffff8afb,28000176,31383,141,ぽじりしか勝たん😡
141,#2QCY99LJ,Luras,0xff4ddba2,28000170,31376,142,
142,#2YG9YJ92G,Bredley28,0xfff05637,28000258,31318,143,TKG
143,#P8YR80GCJ,אליה חנוך,0xff1ba5f5,28000248,31294,144,BIG
144,#PY9PRYRP2,♡|лав сайориツ,0xffa2e3fe,28000085,31289,145,push derril|Æ
145,#8UQGLJ9G2,GD|ᶜᵃʳʳʸʏᴏᴜ🈵,0xffff9727,28000332,31289,146,
146,#VUGPURVU,KS|DonatoXD,0xffcb5aff,28000293,31284,147,Team Randoms
147,#LGLY8RQY0,Rempior√,0xffcb5aff,28000207,31222,148,БИЛД РЕМК КО
148,#PV28L8PCQ,я люблю аню,0xff4ddba2,28000017,31167,149,рафик
149,#8CU0PLYP,Super Star,0xfff05637,28000225,31166,150,PUBG LITE
150,#9Q22JLPQR,Reyansh,0xffff8afb,28000207,31115,151,The Cat Royale
151,#PY80UVRP,Дима 474,0xfff05637,28000023,31070,152,Снежная буря
152,#P8GGG09P0,sosy_jopy//:,0xfff05637,28000248,31056,153,A Few good
153,#2L98YP2JP,Üstad Yiğit,0xffff9727,28000170,31033,154,Kaşar
154,#CPVGJJL,Anyádat,0xfff9c908,28000242,31004,155,Pöcs cimbállók
155,#2PJ09L8J8,BYE|BYRON,0xffffffff,28000138,31002,156,Клуб to die
156,#PVVV89QPR,Jhordy:v,0xffa2e3fe,28000331,30995,157,
157,#P2YYUYQPY,у меня есть сту,0xffa2e3fe,28000305,30877,158,START BRAWL
158,#8Q0YGYQY,[жмих] тёма-бро,0xfff9c908,28000216,30867,159,Империя
159,#8RYQUQU8V,$ХуЛиGaN$,0xffcb5aff,28000045,30850,160,
160,#8LP880V9Q,🗿TT:Tara.bs🍡,0xffffce89,28000150,30845,161,✧千ㄥ卂爪乇 卄ㄖ丂ㄒ✧
161,#PQCL9L02J,OMERIUS,0xfff9c908,28000205,30769,162,THE SHOOTING🌠
162,#P9Q2CJV88,CROW,0xffff8afb,28000155,30758,163,
163,#PYL20900Y,Hyra,0xffffffff,28000000,30730,164,byby
164,#9YVUUVUGU,ペいペい,0xffff8afb,28000000,30702,165,
165,#22R8URJCR,Yunus Emre Bey,0xffa2e3fe,28000281,30662,166,
166,#QYPY0GQP,⛩️kostya01🌆,0xfff05637,28000094,30628,167,Itz Ric Yt
167,#9QCGCLPVC,scar,0xfff05637,28000333,30600,168,Flamengo Fc
168,#P0C8LGVQC,Przemus&Krzys,0xfff9c908,28000229,30557,169,bobix1
169,#2GYUPQLLU,Mr.ダイナマイク,0xfff05637,28000007,30481,170,平常心、、冷静
170,#88UVGRGJ2,VEC,0xffcb5aff,28000267,30452,171,excelência
171,#LGV0GQC8,후니아리,0xffffffff,28000000,30450,172,건우
172,#PLJJ0L2VV,❤ALI KOM🖤,0xfff9775d,28000129,30418,173,мамин сынок
173,#PVV9JGJUR,FIRTINA ANIL,0xffffffff,28000277,30411,174,●AX|eSPORTS●
174,#8YL2VQYJ9,BlackPantherWgf,0xfff05637,28000267,30409,175,GLI ITALIANI
175,#9L8J9G9RL,Mox,0xffcb5aff,28000335,30404,176,Плюшевая армия
176,#2YC2UR88Y,BRDGL|Poilux,0xffa8e132,28000173,30394,177,
177,#8R9QYLJLL,YKT×SkyBoyS,0xfff9c908,28000139,30382,178,NAJLEPSI💯PL
178,#2GG2U092Q,fazan,0xffcb5aff,28000126,30363,179,МОРГУЕВА_TEAM
179,#2RYGLRC0Q,ebrozz,0xff4ddba2,28000016,30357,180,
180,#LCG2R202,Zachary,0xfff05637,28000228,30333,181,ГЕРТ БРАТСТВО
181,#8R0VG2CJY,ʙʟᴄᴋ ᴛᴇᴀ☕,0xfff05637,28000023,30301,182,
182,#2YYUPLU08,유덕이,0xffa2e3fe,28000226,30288,183,덕이 스타즈
183,#2RR2UGJR,ブロスタ神ゲーで草,0xff1ba5f5,28000010,30273,184,下手くそしかいない😅
184,#L0CYULCGC,₵Ⱡ₳₱ɎØ︎Ʉᵇˢ,0xffffffff,28000135,30272,185,Why scamm
185,#2898RQ9CU,FT|DarKZero,0xffffffff,28000160,30233,186,
186,#UJUCC9J,LUZBELL,0xffcb5aff,28000014,30226,187,TDG|Hardcore🕊️
187,#8JRP0JV8V,ハッピー,0xffffffff,28000229,30223,188,Avant Heim
188,#2LPJPQY99,Wase_Lapino,0xffcb5aff,28000352,30192,189,JEAN NEYMAR💩
189,#2CPRRQJQG,WYG JB,0xffcb5aff,28000314,30160,190,WYG
190,#2PQRCR0R,Roz,0xffffffff,28000000,30144,191,
191,#8UUCR9CYC,jasiu27,0xff1ba5f5,28000352,30139,192,kurczak esport
192,#88VR88YRG,MarySpady,0xfff05637,28000006,30137,193,privato
193,#2PC8YJ00G,dennys❤️laba,0xfff9775d,28000018,30130,194,EUᴳᵒᵈAngelsツ😈
194,#LRYG0QPPR,MSenox_,0xffcb5aff,28000156,30062,195,piraxy|Esport
195,#UCUYLLJV,max,0xffa2e3fe,28000164,30049,196,Lil IX | Venus
196,#RR8VJC2V,BKS|勒luis,0xffff8afb,28000170,30040,197,CeruleanFoxers
197,#22ULRGJYP,Cordero #1,0xffa8e132,28000017,30017,198,Eko Cobra Evo
198,#R9Y2PC0V,Bot 1,0xffcb5aff,28000053,30007,199,lGEn- ru. 🧊
199,#8VQLRYC00,TR-HAYALET-TR,0xfff9c908,28000339,29944,200,Lewandowski❤️🤍
