,tag,name,nameColor,icon,trophies,rank,club
0,#80JCQJRLV,REX Mat🌸,0xff4ddba2,28000110,70375,1,YT|CRESTALE🔥⚡
1,#8PJ0VU2YJ,Kharoub V.I.P ✨,0xffff8afb,28000029,69487,2,Arab Empire
2,#9L2QVLGQL,〆『₲Ⱡ₳Đł₳₮ØⱤ』亗,0xffffffff,28000254,67711,3,
3,#PPJRUL0JL,ZH|الخـ®️ـازوق,0xffff9727,28000086,66314,4,☠️ Zero Hour ☠️
4,#QPU2PPR,ALHOOT🥺🖤🐳,0xff1ba5f5,28000163,65240,5,Arab Empire
5,#20CQ9LC9J,❄SÜFYĀÑ❄✨,0xff1ba5f5,28000069,62621,6,X'LENGENDS ☣️
6,#RC980R8L,MWÃØ5♞🍷,0xffffce89,28000257,62514,7,GL Jordan 🥂
7,#PLGVVVYV2,お嬢|𝕾𝕶𝖄☘️,0xffa2e3fe,28000352,62278,8,OG Mute
8,#Y8RQ0J82,ZH|ŁAith.✨️,0xffff9727,28000346,62213,9,☠️ Zero Hour ☠️
9,#PJPRP,✨Peacock⚡ŘÃϻβỖ⚕,0xff1ba5f5,28000300,62194,10,Galaxy Storm🌠
10,#PCYJYGUY2,Abdallah2,0xffcb5aff,28000155,62107,11,الناقة
11,#Y9JYJ9YP,Z̶3̶E̶M̶❦︎,0xffff9727,28000054,61848,12,GL Jordan 🥂
12,#8288Q82CG,亗『𝓩Ø𝓓𝓘𝓐𝓒』亗,0xffffffff,28000280,61255,13,
13,#R9YP008P,P§♡MØHĂMMÁDシ︎JØ,0xfff05637,28000247,61223,14,BACK TO ALLAH
14,#PGQQ9L9QR,☠fier brothers☠,0xffcb5aff,28000014,61005,15,THE NEW RULERS
15,#8YQU2CVL9,<c4>MR.LEON</c>,0xffcb5aff,28000291,60762,16,THE BEST
16,#9C2RY928C,『BS』DARK ツ,0xffa2e3fe,28000156,60628,17,D_FOX
17,#8Y2Q8QCJQ,Mr Storm,0xffcb5aff,28000305,60411,18,☠️ Zero Hour ☠️
18,#8UCP9R2LR,Dodi-KSA,0xffcb5aff,28000333,60219,19,THE BEST
19,#29822GG9U,ZH|LoRD🐥,0xffffffff,28000348,60060,20,☠️ Zero Hour ☠️
20,#8PLGPYVVR,M̷E̷あA̷D̷ツ,0xfff9775d,28000347,60009,21,هيهيهي💤
21,#GLRUL02,Mustafa,0xffcb5aff,28000310,59871,22,D_FOX
22,#90Q0YPV92,صلي على النبي,0xffffce89,28000062,59488,23,D_FOX
23,#2UL0QGG9G,حمزه الرمحي,0xff4ddba2,28000305,59006,24,Tribe Syria
24,#P9YLYR2V,sy|Mus♡™何ゾト,0xffa2e3fe,28000256,58766,25,NightRaid 🌌
25,#YR28LYC89,いのちんゆー123,0xffcb5aff,28000293,58605,26,ワンダーランド
26,#2J82VP8QL,๛『MIHAWK』ツ,0xffcb5aff,28000348,58171,27,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
27,#L8RLUG00C,蒙玄|Ãв𝖔𝖔𝖔đ⸙❄️,0xffffffff,28000102,58136,28,GL Jordan 🥂
28,#2PRRUCU0G,VOLCANOS,0xffcb5aff,28000290,57762,29,THE NEW RULERS
29,#92VJ9YPUQ,AF1|Jiraiya,0xffff9727,28000347,57663,30,زربات عمك
30,#L8PQLP9J,اسامة✌,0xffa2e3fe,28000028,57646,31,
31,#29C280GCR,El CuCuy,0xffff9727,28000230,57533,32,نشامى الأردن 55
32,#8RC29LYV,!(Ƭwix×x)!,0xff1ba5f5,28000121,57266,33,QTR
33,#2GPP2QGYV,THE BOSS🥀🔥,0xffffffff,28000225,57246,34,
34,#8YQV8RUC2,mr. Abdalhameed,0xff4ddba2,28000254,57049,35,THE BEST
35,#2VJL2UPQ,Sarang🦜,0xffa8e132,28000198,57003,36,GreenLightGroup
36,#82VRQV0C2,#jookarr_99,0xffcb5aff,28000135,56690,37,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
37,#288QRRJUG,FOX | HAMZA;),0xffa2e3fe,28000265,56283,38,D_FOX
38,#PG0L90C9U,ملگ🤘السرسرية👑,0xfff9775d,28000347,56162,39,black clover
39,#2UCUPYUVJ,BSB|ESCOBAR,0xff4ddba2,28000150,56084,40,GL Jordan 🥂
40,#PLUQ90L9G,mousanwer,0xffffffff,28000037,55767,41,ƝօɓƖҽʂ ƘíƖƖҽɾʂ
41,#9L09GPLQJ,7MEE̶̶D|ライオン✨,0xffcb5aff,28000290,55765,42,
42,#9Y9RJ0JCQ,Ҡʂ|¢r¥͢͢͢$oͣuͫℓ,0xffffffff,28000248,55657,43,d_fox
43,#PL0VLUQL9,⛩️ŦŔĩŞ⚔️FØRÇE⚔️,0xff1ba5f5,28000129,55552,44,X'LENGENDS ☣️
44,#RL02GVPY,! BELAL 2003,0xfff9c908,28000176,55507,45,Mini Drinks 🍹
45,#2JV8RQC0P,C̶u̶r̶s̶e̶d̶❦︎,0xff1ba5f5,28000129,55481,46,☠️ Zero Hour ☠️
46,#92G9LVYLC,пасiчка❤️,0xffcb5aff,28000305,55455,47,tilted Mnns<3
47,#82QUCGJ90,☠️NEZARio☠️,0xffcb5aff,28000327,55396,48,☠️ Zero Hour ☠️
48,#9U09C0GCQ,Ɲͥοͣ͢οͫƁˢᵃᵈ💤,0xff1ba5f5,28000175,55156,49,
49,#292RULU8Q,WR |ŠÑÏPĚŘ ÝŤ,0xffa2e3fe,28000347,55140,50,X'LENGENDS ☣️
50,#2P9L29J8C,🎋|HÅMZÅ⚡,0xffcb5aff,28000207,54756,51,Lagege
51,#C8J9L8PY,[ZH]ãbøõd,0xff4ddba2,28000253,54564,52,☠️ Zero Hour ☠️
52,#P9QJ0CQVC,H̸ɑs̸あe̸m̸ツ,0xfff9775d,28000347,54138,53,هيهيهي💤
53,#GJ9PPJ2J,⚡ABU | Jamal⚡,0xffff9727,28000334,54066,54,ほ | KAYO🌑
54,#890GPY9LV,Hyra (ノT＿T)ノ🎋,0xffffffff,28000014,54027,55,ToMaN |あ
55,#U2LY0YLG,M҉R҉G҉A҉M҉E҉R҉✨,0xffa8e132,28000341,53728,56,GL Jordan 🥂
56,#GC20JG28,BSB|ADHAM,0xfff05637,28000233,53671,57,GL Jordan 🥂
57,#2U2GURCQ,あ| 𝓜𝓸𝓱𝓪🥀,0xffcb5aff,28000003,53465,58,ᴳᵒᵈ♔𝐓𝐨𝐤𝐲𝐨个
58,#2UJ8U2VL0,"AL, zombie",0xffcb5aff,28000294,53402,59,الناقة
59,#2CCCG8JJR,هزيم الرعد,0xffa2e3fe,28000184,53239,60,اصدقاء للابد
60,#YJQPJUYC,K . I . T . O,0xfff9c908,28000290,53034,61,SR|vip
61,#P9GYGLU9G,MK,0xffcb5aff,28000305,53007,62,BRAWL ME
62,#8YLJJGR02,THE BEAST,0xffa2e3fe,28000023,52831,63,Lagege
63,#2QYGGJRJ,الضلع,0xff4ddba2,28000102,52732,64,الاساطير
64,#902Q0RLP,OG | Konradッ,0xffffffff,28000305,52719,65,OG | ToTheEnd™
65,#Y88Y0YR,GL|₦ⓞⓥⓐ🥂,0xffa2e3fe,28000299,52661,66,☠️ Zero Hour ☠️
66,#2VC928P2,R E N G Y,0xff1ba5f5,28000129,52645,67,✨G.A.Z.A✨
67,#8UJV8CYY2,⛩️|Hìsoka🎋,0xffcb5aff,28000000,52563,68,YenilmezM.E.D
68,#RV0RVPYR,The King,0xffffffff,28000187,52501,69,
69,#2RGLV0PQ0,hamzeh_005,0xfff9c908,28000213,52499,70,black clover
70,#2JJLJV2J2,can we team._.,0xffff8afb,28000303,52480,71,الناقة
71,#9QP9GGVUV,💥🔥FERAS🔥💥,0xffff9727,28000340,52454,72,YT|CRESTALE🔥⚡
72,#2P29YLVCL,⚡️🖤{ZORO}👻⚡️,0xff1ba5f5,28000154,52453,73,غزة العزة
73,#GQ0Q0UU0,Zulfiqar,0xfff9c908,28000272,52398,74,
74,#82R2UC9QC,B̸I̸G̸|ˢᵃᵐ🥀🖤,0xffcb5aff,28000293,52380,75,سراقب وبس
75,#CUQLR9PY,🤗🇯🇴🏴‍☠️,0xffcb5aff,28000301,52351,76,الناقة
76,#9YULL22QG,feras z.o.z❤,0xffff8afb,28000123,52291,77,V.I.P
77,#PQVVQ8V28,™{Y`.A`.M.E.N}π,0xfff9c908,28000079,52239,78,black clover
78,#8899J08R9,سفاح,0xfff05637,28000115,52186,79,نشامى الأردن 55
79,#9Q09UL229,⭐Z O R O⭐,0xfff9c908,28000333,52100,80,THE BEST
80,#PQRQ2JGVJ,bayan,0xffff8afb,28000041,52081,81,🦋😶‍🌫️😶‍🌫️
81,#9PUUP8UV0,^rage^,0xffff9727,28000023,52039,82,Brawlencia🌹
82,#8L8RY9P2C,SF|LEGEND,0xff1ba5f5,28000221,52028,83,Arab Nation™️ 2
83,#PLQPP9PY8,🇯🇴AYMAN🇵🇸,0xff1ba5f5,28000201,52005,84,الناقة
84,#8VRU2YJGY,Hisham,0xffff9727,28000272,51935,85,الناقة
85,#9GGCLPJRP,OMAR[AR],0xffffce89,28000102,51910,86,black clover
86,#8QP0J89PP,yazanzooz98,0xfff05637,28000305,51675,87,🍃H✨M❄️Y🔥
87,#9JVPP2YGY,EpicMomo🕊️,0xffa2e3fe,28000219,51652,88,TheFirstOne
88,#80L89R2G2,Ṩaͥmeͣrͫ,0xffff9727,28000207,51552,89,<c9> EMBER </c>
89,#22GGJQY0Y,Gl|$N!P€R🥂,0xffcb5aff,28000201,51510,90,☠️ Zero Hour ☠️
90,#9JGY0R8UR,NV|Nervested,0xff1ba5f5,28000129,51507,91,Бавовна
91,#JQCLJP02,⚽THAER⚽,0xffcb5aff,28000335,51497,92,🇵🇸BROSEA⚔️
92,#28U299UJV,GL | Òdie SH 🥂,0xffffce89,28000304,51493,93,☠️ Zero Hour ☠️
93,#80Q98P0CU,techno,0xff1ba5f5,28000121,51484,94,CarnageGame
94,#9RJVPLLRU,AL|Satan😈,0xff1ba5f5,28000352,51465,95,フレンドトロ上げの会
95,#8Y9VQY0Q0,Mohammad12345,0xffffffff,28000014,51431,96,محمد ملك اساطير
96,#2LRGRPPYR,⛩ČÂPŦĪŇ🌊Ěv̀ÌŁ☠,0xffff8afb,28000058,51397,97,memoş
97,#98ULVLPL,ᵒᵖ|O̸s̸a̸m̸a̸シ︎,0xffffffff,28000058,51374,98,OG Elite🪐
98,#PU2228YJ2,karam777,0xffa2e3fe,28000150,51301,99,مالك الحزين🦢
99,#20CCVL9Y9,『BS』ELITE シ,0xffcb5aff,28000096,51256,100,D_FOX
100,#2VU9PJC0V,Narkaman#,0xfff05637,28000317,51211,101,APRIORI
101,#JCPJJ299,T.KALEPS!,0xffff9727,28000278,51067,102,
102,#PGPQ9P28L,king 👑👑,0xff4ddba2,28000044,51039,103,الناقة
103,#P9JGGRR8U,𝔸𝕊|➳ᴹᴿ᭄Ğhãìțh,0xff4ddba2,28000053,51008,104,☠️ Zero Hour ☠️
104,#P9L9UV909,『sᴛʀᴋ』ᴷᴺᴵᴳᴴᵀ༒࿐,0xffffffff,28000018,51007,105,OG Elite🪐
105,#988UCUL9Y,THE KING,0xffffffff,28000281,50997,106,🖤🖤🖤
106,#PP20V2RQP,yaser.x,0xffa8e132,28000218,50852,107,V.I.P
107,#20RLGLPVY,⛩️|Y̶Z̶A̶N̶🕊️,0xffa2e3fe,28000135,50711,108,سراقب وبس
108,#8Q88QVQP,ham_od5,0xfff05637,28000156,50699,109,Hexlone II
109,#2QV0JG8LV,☠️KARAKI☠️,0xffcb5aff,28000014,50665,110,سيييييييييي
110,#2PJV2UVJQ,Ҡʂ|☠SOULASO💜,0xffcb5aff,28000291,50633,111,d_fox
111,#8P8989Q,ملك القراصنة,0xffff8afb,28000318,50618,112,PS|nice|JO🖤☝🏻
112,#9LGV0UV28,⛩ÐĪÃMØŃÐ✨Ěv̀ÌŁ☠,0xff1ba5f5,28000281,50600,113,
113,#PQL0V8QQY,عمر الاسطورة 💥,0xffa2e3fe,28000272,50595,114,اصدقاء للابد
114,#28PGL8P9,𝒮𝐸𝒵𝒜𝑅𝒟,0xfff9c908,28000207,50538,115,THE BEST
115,#2UPYG2YJR,sanad,0xff1ba5f5,28000108,50490,116,نشامى الأردن 55
116,#C2LV9YP0,Xx Ameer xX,0xffff9727,28000173,50450,117,
117,#Q082P2GJG,spark,0xffa8e132,28000305,50430,118,
118,#90PRCPQP9,KILLER(•̀へ•́╮),0xffffffff,28000129,50409,119,FullWin🔮
119,#P2P9GY9R2,McLOVIN,0xffa2e3fe,28000230,50375,120,black clover
120,#PV0GYV8QY,Nø Nâmę…🖤,0xff1ba5f5,28000018,50372,121,
121,#P90RGQ8JP,🔥MBM Stars ✨YT,0xff1ba5f5,28000023,50179,122,HS_BRAW STAR_YT
122,#8QPQQV0CP,🌪️SayRex🌪️,0xffffffff,28000138,50142,123,
123,#Y8QYV0YPV,AhmadJado,0xfff05637,28000129,50040,124,Trap🃏
124,#8UQUYCUQ2,Lørđ|₣érä§♪Jø,0xffffce89,28000156,50012,125,
125,#PVV8LY9PY,ʀ|ᴀʙᴅᴀʟʀᴀʜᴍᴀɴ🃏,0xfff05637,28000223,50000,126,V.I.P
126,#9J8JUPRPY,زورو سينباي,0xff4ddba2,28000290,49947,127,Soft Drinks
127,#828QVU2UG,Mr.victory,0xffa2e3fe,28000037,49903,128,
128,#92YGL0CRU,MJ.ABOOD🌸,0xfff9c908,28000020,49893,129,PS|nice|JO🖤☝🏻
129,#9JCPV22R9,AN|MADRID™️,0xffcb5aff,28000280,49819,130,Arab Nation™
130,#9QPYQ2QU0,Ɩb̸r̸ɑあƖm̸ツ,0xffffffff,28000349,49813,131,𝐒𝐊| 𝐋𝐈𝐆𝐇Ƭ
131,#2P22Q0Q2J,ＧＯＲＩＬＬＡ🦍,0xffff9727,28000267,49772,132,Max is gone
132,#20RV80LUP,༺ṨήiͥpeͣrͫJⱥmes,0xff1ba5f5,28000278,49733,133,الناقة
133,#20JJY8LQL,Avenger x,0xff1ba5f5,28000290,49651,134,Reveng
134,#P2YGYU8Y,AhmadTK,0xffa8e132,28000330,49629,135,نشامى الأردن 55
135,#Y9UGQ89R,⚕︎Døõm❦,0xffff9727,28000183,49615,136,Dank of England
136,#8JY9U2J2R,مليون,0xfff9c908,28000016,49612,137,THE BEST
137,#90QCGV8YY,SK|⊱Šąvăģę❦,0xffcb5aff,28000207,49415,138,Blazing Light⚡️
138,#2LVV0CRC9,Elite| Scorpion,0xfff05637,28000349,49358,139,Trap🃏
139,#8L00UUL22,HUNTER,0xffcb5aff,28000295,49315,140,مالك الحزين🦢
140,#PVG9CPQ0Y,MAHMOOD👾👾,0xffffffff,28000273,49232,141,نشامى الأردن 55
141,#G8YJ2QGG,ᴢ ᴇ ʀ ᴏ 🥀,0xffffffff,28000132,49160,142,X Legion
142,#282U9PG28,POS|Deya|PS,0xff1ba5f5,28000224,49160,143,هيهيهي💤
143,#Q90CYVLCJ,Osama,0xff1ba5f5,28000280,49118,144,The Red Carpet
144,#C8RC9U2V,bAdSmiLe,0xfff9c908,28000341,49027,145,الناقة
145,#2C9LJ2RLY,☠️R_I_P☠️,0xffa2e3fe,28000341,49003,146,BBall Beasts
146,#9GJPRVQVQ,ZH-€Ahmad23❤️,0xff1ba5f5,28000175,48816,147,
147,#8CG20VVLU,KîĿĿ Yøυ,0xfff9c908,28000135,48727,148,GL Jordan 🥂
148,#8QU9YUQU2,CR|SLY5 😈,0xffcb5aff,28000332,48676,149,black clover
149,#2VLQ8JGRY,シ︎ L҈N҈| ☾︎ⁱᶜᵉ✨,0xffffffff,28000303,48634,150,
150,#YVPG9RGV8,mohammed,0xffffffff,28000332,48492,151,The rise
151,#928CGC8GJ,momen,0xffcb5aff,28000236,48392,152,Reveng
152,#9GR8GCL8,JAKS.GLA_YT,0xff1ba5f5,28000293,48200,153,♕edgar YT♕
153,#RUQC0GJL,hox,0xffa2e3fe,28000095,48172,154,GL Jordan 🥂
154,#22UVYRGPQ,Dark souls 🔥🔥,0xffa8e132,28000061,48154,155,Dovahkiins
155,#VP2VL0JV,<c6>ØмÂR</c>,0xff1ba5f5,28000096,48097,156,𝐒𝐊| 𝐋𝐈𝐆𝐇Ƭ
156,#JP2UJ8U2,O_O,0xfff9c908,28000213,48029,157,
