,tag,name,nameColor,icon,trophies,rank,club
0,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,78627,1,Tribe Turkey
1,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,75131,2,Quant ESports🐾
2,#82JGY0UC0,_D e n,0xffcb5aff,28000244,72445,3,Импрессив
3,#Y8YP0QLCQ,YT | Camelot 🍄,0xffffffff,28000095,70218,4,Quant ESports🐾
4,#89YRUQ9YC,✞SสID24♡,0xffcb5aff,28000291,70031,5,Lose?
5,#82JYRV9RQ,BABADOOK,0xffcb5aff,28000112,68260,6,Импрессив
6,#9Y00R2U0U,Melanc’holyy🍒,0xffcb5aff,28000333,66165,7,Импрессив
7,#PCG8PJGY0,miksik🃏,0xffff8afb,28000004,65182,8,
8,#208VGC9QJ,Jassye🖤,0xff1ba5f5,28000024,65035,9,KingdomRush
9,#VQ0Y9JCL,あなたを愛したい,0xfff9c908,28000349,64763,10,KingdomRush
10,#80PLVCYPY,Nova💔Star,0xffa8e132,28000122,64586,11,<c0>★DARK★</c>
11,#8G0PYV29L,AlohaJaySay,0xfff9c908,28000213,64577,12,ЖС CORPORATION
12,#8QJU09VQJ,Cu♡❄IceHot🔥♡ᵗᵐ,0xff1ba5f5,28000116,64390,13,кайфарик
13,#P0PR8QQCP,ʜᴇʟꜰɪᴋ,0xff1ba5f5,28000129,63979,14,Cryptic
14,#902YJYJJJ,blove🦆,0xff1ba5f5,28000285,63325,15,RCN|Esports X
15,#82RGL9PUR,~magzzz,0xffffffff,28000018,63208,16,Beautiful pain
16,#2VLYG8URU,VIP|BO$$👾,0xfff05637,28000256,62856,17,Quant ESports🐾
17,#9UPC8V290,SmailYou🐙,0xffff9727,28000033,62801,18,Exclusive
18,#89JVUJ0UG,A♡Lonupi 🦋,0xff1ba5f5,28000000,62727,19,Paraiso moon🦋
19,#LC9J928P,читер777,0xffa2e3fe,28000243,62509,20,LUXEMBURG
20,#CGLR90CP,QlsNOVI40K9L💎,0xfff05637,28000132,62366,21,ЖС CORPORATION
21,#9RQPVQ,рома,0xfff05637,28000023,62243,22,AFGMela
22,#22LPUP28P,Voo👻,0xffff8afb,28000226,62202,23,Woman Moment♿️
23,#8VPUQPL80,???,0xffcb5aff,28000023,62184,24,Tayron team
24,#8GUCR8982,т⃠а⃠к⃠с⃠и⃠𝟙.𝟘,0xffff9727,28000020,62016,25,BlockBasster
25,#9L2LV8JCV,MyS|Camon❤️Аnya,0xff1ba5f5,28000243,61796,26,
26,#2PLGLGJVQ,Miracle,0xffffffff,28000285,61524,27,House Greyjoy
27,#V00Y99VQ,Knayly YT🔥,0xff4ddba2,28000002,61391,28,Guster desant🪂
28,#YP0P8Y09,𝘿𝙪𝙤 ♡ | DOOM,0xff4ddba2,28000150,61387,29,
29,#20CQGGLY9,Fenix,0xffffffff,28000000,61367,30,<c3>ASF</c>
30,#P98GLJQ2R,Skeptical👎,0xffffffff,28000259,61340,31,Purple Wave
31,#UL9L2QQC,more sunlite💓,0xffff8afb,28000079,61247,32,Город Орёл
32,#P9GY0V22G,xBugs•B🤍✨,0xffff8afb,28000303,61054,33,Dove's Heart
33,#22C2G2PCY,Warrior Ninja,0xff1ba5f5,28000304,61033,34,Dove's Heart
34,#280U0PPJV,優勝Bagaa🐧💗,0xffcb5aff,28000315,61030,35,Vitrious Legacy
35,#28PG8RQ28,♡El Xomak♡,0xffcb5aff,28000290,60984,36,Дружная Гвардия
36,#9UVCLP9JJ,🌹zolotyepiki:D,0xffcb5aff,28000294,60758,37,BRAWL HOUSE
37,#P2P2RPG2R,しちしょうsenkuu🩸,0xffcb5aff,28000135,60713,38,
38,#2GPJPQ9UG,{🖤FORXY❤️},0xfff05637,28000262,60698,39,<c7>NeOnシ︎</c>
39,#PLUJJGUVC,Felix✨️,0xffffffff,28000300,60682,40,Forest
40,#29V2LC08G,友情 | gromon 🦚,0xffcb5aff,28000014,60446,41,Anteiku☕
41,#UPR2QR9P,TEMMY❤️‍🔥,0xffffffff,28000228,60366,42,whyliebel🐣
42,#CGQLUU9Q,LookAtThis,0xffff8afb,28000225,60332,43,AMG
43,#8YURUU0PG,BADBOI,0xfff05637,28000023,60203,44,World United
44,#PURLRJJ89,🏆🏆voron🏆🏆,0xfff9c908,28000332,60188,45,Destroyers
45,#99G0C9VVP,сдохла,0xffff9727,28000254,60187,46,ChillOut
46,#9CPUVGGYV,Alisher,0xfff05637,28000055,60132,47,Импрессив
47,#90L0YCLV9,Tobi,0xfff05637,28000000,60127,48,Trouble Maker
