,tag,name,nameColor,icon,trophies,rank,club
0,#2P88RVPR,RG ~ SKY,0xff4ddba2,28000254,70773,1,<c0>IMPACT</c>
1,#QJQGQ92P,몽글이,0xffcb5aff,28000196,62166,2,감귤공화국
2,#P2Y9VJJ00,버니🐰사랑 오션💞,0xff1ba5f5,28000275,60202,3,mango Korea
3,#2V99UR9CL,mafu,0xffffffff,28000000,58379,4,やるきなし
4,#P0GC0V8RR,찬이킬러,0xfff9c908,28000159,56748,5,Legend Corps
5,#20JULQL2,Tara-bull,0xffcb5aff,28000170,55614,6,Beyond Roses
6,#8GVCRYCV,황교안,0xffcb5aff,28000352,55007,7,☆KOREA☆
7,#890JGPQ0G,KeyBuddy,0xffa2e3fe,28000177,54696,8,CF TM
8,#8UV00QL8V,puli_ot_babuli,0xffff8afb,28000301,54122,9,Walther Smooth
9,#88CGVLYYC,✨babypig|아기돼지✨,0xffa2e3fe,28000167,53995,10,The champion🏆
10,#YCLJRYUQ,SR|Shu🍭,0xffffffff,28000139,53905,11,
11,#G8GP822L,전남광주진리녀미쓰권블리💣,0xffcb5aff,28000139,53757,12,조사병단
12,#2YJLJ9LG2,BS|☔LePtOn💔,0xffffffff,28000335,53573,13,Regions Team
13,#8LQJGRC88,taeka❤️ahyeon,0xffff8afb,28000331,52998,14,
14,#9GCP9Y2PL,hatemortis,0xffa8e132,28000014,52018,15,🦠🦠🦠
15,#P8YVQYYC2,natalk,0xffff8afb,28000188,51969,16,Великие Апперы
16,#V82VUURV,고마 쉐리 막 뜯어부까,0xfff9c908,28000297,51646,17,프로미스나인
17,#82PRRL0VU,Taffy✨ᵗᵒˣⁱᶜ,0xffffce89,28000263,51479,18,<c9>SPARTA</c>
18,#80JP9QL9V,브롤스타즈,0xffa2e3fe,28000128,51221,19,NOVA | 잡채
19,#2UVQV9CY9,symon❤️‍🔥force,0xffcb5aff,28000014,51197,20,Vikings II
20,#UPGVYPJ9,토막난연필반,0xfff9c908,28000348,50853,21,계란찜
21,#P0VQ2UJYG,⛩️|Shadow🖤,0xffffffff,28000183,50814,22,LoveBea🤍
22,#8PUYCLJ09,']['op_€•>☠️,0xfff05637,28000308,50721,23,<c5>REIGN</c>
23,#8C0JV90L,MoRgHiStOrY⚽,0xffcb5aff,28000129,50702,24,🖤Black Moon🖤
24,#YYVLV9CCY,🔥Chrono_크로노🔥,0xfff9775d,28000352,50534,25,LUNA_MOON🔥
25,#9J09908UG,개구쟁이 유준,0xffa8e132,28000053,50324,26,브롤매니아 모여라
26,#9GUQGVJLU,Hacker2.0,0xff4ddba2,28000335,50314,27,
27,#2PYLJGYYC,모티스고수,0xfff9c908,28000014,50255,28,24군단
28,#8GP0GPQYR,[Блет]gg1,0xffcb5aff,28000280,49908,29,
29,#GVP0V8Q8,러브은성,0xffcb5aff,28000333,49541,30,신비아파트
30,#2CQCG9C28,LZ | łēőŋ💫,0xff1ba5f5,28000139,49412,31,Legend _ ZETA
31,#90QL8L9LL,蒙ᴼᴾEnginᴴᴬᵀᴱᵧₒᵤ,0xfff9c908,28000221,48895,32,
32,#82QUR9L0U,OWEE|FROST,0xffffffff,28000020,48624,33,GANG 726
33,#8GPLPQYV2,써니,0xfff9c908,28000332,48351,34,마카롱
34,#8CL9VUV00,핸드폰을 던졌더니 들어간,0xffff9727,28000272,48229,35,삐학삐학
35,#P2PV0CLCQ,브롤 민,0xff1ba5f5,28000043,48212,36,Lupo
36,#2CYVQJG8L,j_ws♥,0xffff8afb,28000284,48168,37,
37,#8VCG890R0,HeiGui,0xffff8afb,28000262,47983,38,LightWork
38,#2LCLC9YLQ,S2young✨,0xfff05637,28000247,47579,39,🌞happy sun🌞
39,#2CPJCRGR0,❦︎𝓭𝖊𝓋𝖎𝓵❦︎,0xff1ba5f5,28000283,47457,40,🇰🇷대한민국/korea
40,#CP0P8PVU,해피딱깔쭌이❣,0xff1ba5f5,28000300,47441,41,𝙰𝚒𝚣𝚒𝚜🔍
41,#28Y0QVUY,문규범,0xffffffff,28000294,47315,42,설중1학년
42,#2CJJ0V2P0,RP|Clovis💀,0xff1ba5f5,28000219,47267,43,Disruption
43,#20JYRG9JR,브롤스타즈,0xffffffff,28000174,46898,44,
44,#8VG8CURJY,새하늘,0xff1ba5f5,28000061,46877,45,새하늘새땅
