,tag,name,nameColor,icon,trophies,rank,club
0,#P8CGRLL0,El Sech ©️,0xffff8afb,28000314,52197,1,<c7>EASport</c>
1,#880R8GRLU,MG|CôTCôT🐔,0xffffffff,28000175,52081,2,OL|Gaming🏜
2,#2V9U00YQV,SØF|flex ᵍᵒᵈ ♡,0xfff05637,28000138,52021,3,FFM
3,#8G22QJRQR,𝑩𝑰𝑮|𝑨𝑳𝑰シ︎,0xfff9c908,28000349,51467,4,Katze 🐱🐈
4,#2VC2JRUUY,Я_люблю_Алечку❤,0xffff8afb,28000004,51135,5,❤Родная❤
5,#RUJQ0JU8,は人々を憎みまlargex🧃,0xffff8afb,28000109,50873,6,Fatality
6,#2YPVV0VG9,m1ckky🌆🎃,0xffffffff,28000349,50427,7,<c9>NewLive</c>
7,#89YPYJ8VY,лёша,0xffffffff,28000023,49985,8,чужые
8,#CUPYG9CU,SØF|toxic ᵍᵒᵈ ♡,0xffcb5aff,28000314,49757,9,FFM
9,#YPY8UQ8UR,лысая чувырла,0xff1ba5f5,28000054,48364,10,
10,#PUV8C89CR,ICEYY YT,0xffcb5aff,28000138,46528,11,Minbru
11,#2CUCV2980,SirFangarMc,0xffffffff,28000003,46045,12,Mc club
12,#8GLLR09QV,×Тоша×,0xffff9727,28000073,45997,13,Мир чудес ✌️
13,#PR9J92CUJ,☣Soni|Genezis☣,0xfff9c908,28000139,45771,14,<c0>Nega</c>tiv
14,#8GQQR080J,Beat,0xffff9727,28000334,45620,15,
15,#2LJ2RLGVY,🌟Killer🌟,0xffff8afb,28000290,45312,16,Ukr|Team🇺🇦
16,#8V0VJUQJL,солёный огурец,0xffa2e3fe,28000331,44096,17,Морская Спарта
17,#Q8QCJYY2,ICE YUSUF//❄❄,0xff1ba5f5,28000175,43757,18,RAIN SONG 🌧⛈
18,#9J2Q8YQJ9,slxqz !,0xffffffff,28000021,43605,19,Minbru
19,#2QLV0GR28,SQD|ka$h@y⚡️,0xfff9c908,28000132,43194,20,Squad Place
20,#99QVPYPGC,elpro(Gael),0xffcb5aff,28000272,42699,21,Radiant Crisisϟ
21,#PVGGQL9RJ,GLD|ツkiNG™,0xffa8e132,28000021,42556,22,De SuperDavies
22,#PQPYU9VY0,郭郭,0xfff9c908,28000060,42457,23,馬祖的最後希望！！
23,#8GVCJCL22,Emil,0xffcb5aff,28000335,42429,24,AFGM | ELITE
24,#PUCLYYC9,夜空🌙.*,0xffcb5aff,28000290,42374,25,S2R
25,#LCC990YQ,«CrØnØ$»,0xff4ddba2,28000341,42345,26,
26,#9L08V8R90,60Skybolt60,0xffffffff,28000210,42182,27,AnGeL OF Death
27,#2JRRV0R9R,선원=),0xfff05637,28000177,42180,28,그냥만든클럽
28,#209LYJRCQ,Mauzi,0xfff9775d,28000064,42157,29,KILLERKANONEN
29,#YGV9CJRQC,휘민아빠,0xffcb5aff,28000058,42117,30,나만결혼할수없지
30,#V99R0GGQ,sss,0xffcb5aff,28000328,42076,31,無影榮耀軍
31,#JYLLGQ2,MPE | SvEEt°,0xffff9727,28000061,42026,32,Seeker Start
32,#22QYJ0LP8,❤️ебаshu соль❤️,0xffff9727,28000280,41963,33,OVO Sound Radio
33,#P0GVJLGJU,NaVi| King Poco,0xfff9c908,28000132,41950,34,SUPER PRYNIK
34,#28QQR0QP0,Иллка,0xffcb5aff,28000280,41616,35,Alpha Team
35,#82PP0V892,Mr. chaussette,0xffcb5aff,28000253,41511,36,AFW|Family🇫🇷
36,#8VYUQR288,TAJLU6,0xfff05637,28000273,41184,37,
37,#9JCQ8YQ29,bot11,0xffcb5aff,28000302,41103,38,Peoloni
38,#PGY8RR8V,Riko,0xffff8afb,28000224,40624,39,50K😎
39,#YRPPCY8P0,Him1k个,0xffffffff,28000041,40616,40,план скам
40,#2G22JJV9L,Army Amigos,0xfff05637,28000291,40298,41,ALPHA TITAN$
41,#9JLR2PG0,jeremy2431,0xffcb5aff,28000123,40185,42,Saramanbiches
42,#8GR2J9YLY,スウィートastella🫀,0xffffffff,28000000,40166,43,Renaissance
43,#PLJUGUUVR,Рокс,0xffff9727,28000001,40154,44,
44,#9P8VJCG,JigneshGreat,0xffffffff,28000352,40146,45,FSG|LEGENDS
45,#2VC0VPQVJ,Moleikym,0xffcb5aff,28000164,39663,46,тор4ки
46,#YQVV0GLJU,I am Sad🥲💔,0xff1ba5f5,28000019,39650,47,TCJ GERMANY
47,#82RJ0PP9,LD,0xfff9c908,28000277,39500,48,꾸빵꾸뽕🔥🇰🇷
48,#2UC2VLRLU,GOD OF VICTORY,0xffffffff,28000298,39484,49,ProV1
49,#89YCC9CLG,Sleepmonster,0xfff05637,28000173,39106,50,⭐️Super Stars⭐️
50,#29Y0RLVG2,Vangleon,0xffa2e3fe,28000170,38688,51,Кулаки ярости
51,#22UY8QQC9,SANTIAGOOO,0xff1ba5f5,28000255,38677,52,➪ᵈᵉⁿᵈʳᵒᴄʟᴜʙ🌿
52,#2UYQGQG02,Burr,0xffcb5aff,28000145,38652,53,
53,#RRU8G8LL,NightNeon,0xffcb5aff,28000352,38595,54,DragonNight
54,#9QRP8QPJY,AKIPRO010,0xfff9775d,28000279,38516,55,Peruanos🇵🇪❤️
55,#RR0ULVL,SQD|Bilya_27,0xfff9c908,28000132,38467,56,Squad Place
56,#VLVU90VP,お汁娘,0xffcb5aff,28000166,38458,57,
57,#YR9LY89Y,BS|🃏SĀŇSŢØŇ🃏,0xffffffff,28000272,38448,58,LA Tall
58,#2PUU2RJLL,FuRlOs,0xffffffff,28000023,38361,59,детский дом♿️
59,#P9QVQ0V0V,10.8.2012,0xff1ba5f5,28000207,38338,60,NSL|Spike🌵
60,#PLC99PRQ,OneBrawl[Леон],0xffcb5aff,28000081,38244,61,блейдеры
61,#2VCQ9CYVC,fromage,0xffff8afb,28000253,38236,62,on s détent
62,#PJY9RYCJP,Читер 777,0xffcb5aff,28000305,38214,63,Elite Fam
63,#LCYVV9GV,WOS_D-LA_SALADA,0xffff9727,28000135,38194,64,MapachesRateros
64,#PLGR220LQ,@дрочу,0xffffffff,28000135,38144,65,het schaap
65,#9PJVPJL99,깨비,0xffff8afb,28000060,38120,66,가오레를사랑하는모임
66,#89LQ0CR8U,Yaijot😸💞,0xffffffff,28000062,38091,67,
67,#880G8Y8VU,SAM,0xff1ba5f5,28000315,38060,68,TK|AYZ
68,#PV2RGQ8LC,phai,0xffffffff,28000341,37967,69,
69,#8GUYGJV00,💚ᴮᵀˢɢʀᴇᴇɴʙᴇᴀʀ☔,0xffa8e132,28000023,37920,70,GYM
70,#8YCCCY9JG,🌻𝕺𝕸𝕯𝕹𝕰🌻,0xff1ba5f5,28000279,37878,71,
71,#RJ2GV90Y,Miguel,0xff1ba5f5,28000173,37789,72,TimeSad|ʙᴏʏs💘
72,#8Q0R8VRY9,ᵗᵗ S҉p҉i҉k҉e҉🌵,0xffa8e132,28000136,37781,73,ГНОМЫ
73,#L28RRGY22,NaVi|Royal,0xffa2e3fe,28000132,37688,74,nvm it’s ATN 🦍
74,#YRJRJ8JGY,zxc|1dark6,0xfff9c908,28000202,37643,75,Ukr|Team🇺🇦
75,#92JQLR2YJ,Mars,0xff4ddba2,28000015,37452,76,DORUK/EDİZ YT
76,#8JJ2QR89C,brume😮‍💨,0xff4ddba2,28000254,37331,77,kolobky🧪
77,#8PCLQVYG2,☬𝔞𝔫𝔤𝔢𝔩🇲🇽,0xff4ddba2,28000219,37254,78,Los 《MX》
78,#U2RQQ99P,☆Ahmad AR☆,0xfff9c908,28000129,37242,79,THE PRO BRAWLER
79,#80QYCQU0G,Barry,0xffffce89,28000156,37234,80,Razors
80,#80PULQV8J,거친인생,0xff1ba5f5,28000156,37232,81,주호가족
81,#9CJYRPP9V,Garda,0xfff9c908,28000226,37116,82,
82,#29Y28V8Q2,⌫𝓃ℯ𝒽ℴ𝓇𝒶𝓎♪♫,0xffcb5aff,28000109,37073,83,focus time
83,#2UJYY0JPL,Mr.p,0xff1ba5f5,28000341,36774,84,TTV|Team
84,#90VR0JPU9,Cheng jr,0xffffffff,28000067,36773,85,迪餿
85,#8UPVQ2ULY,HH|Milore☕,0xffffffff,28000167,36773,86,WodeTye Club
86,#8R92GVV2L,05C4R,0xffff9727,28000305,36746,87,ABT
87,#YJJY899V,$poseidom$,0xffffce89,28000054,36742,88,TOUROS NEGROS™†
88,#8RLGL9RJR,레온,0xffffffff,28000263,36731,89,더불어정관당
89,#9LQP8VPY,Win Brawl Stars,0xffcb5aff,28000295,36729,90,Retired Brawler
90,#8G8VPP8JR,Kevin cool,0xffcb5aff,28000205,36652,91,TheSurvivalGods
91,#8VQ28GQV0,FK|Yสήiรᴳᵒᵈ🎴,0xffcb5aff,28000002,36609,92,praimfaya
92,#8JU2GRL2,Brawler,0xffff9727,28000352,36592,93,VTC
93,#889CU90V8,브롤찬민5,0xffffce89,28000205,36523,94,니엄마다
94,#YLGG0L0UR,читер777,0xffff9727,28000335,36451,95,GAYmasters.
95,#UJQRRJVY,Klem_GAME,0xff4ddba2,28000352,36391,96,🦎AGAMY🦎
96,#2920Q2V8J,⭐️ペッペッペ〜⭐️,0xffffce89,28000267,36370,97,クラブリーグはやるでしょ普通に
97,#9C02JYQ89,꧁メリオダス꧂,0xffff9727,28000220,36220,98,Nasty Angle
98,#882LPJV9L,ahmet,0xffcb5aff,28000332,36181,99,kara kartal🦅
99,#2CQL8RQCP,lulu123@a,0xfff05637,28000335,36036,100,les saucissons
100,#20Q0LULU2,MRS|SnowMen❄️,0xffff8afb,28000023,35853,101,
101,#2U8R0R0PC,OWEE/SQUEAK,0xffa2e3fe,28000332,35759,102,as gresivaudan
102,#PRP00V2QV,armynoobcaillou,0xff1ba5f5,28000275,35754,103,Brawl Kings
103,#GRJC20UC,nono_:l,0xff4ddba2,28000347,35742,104,BrawlBros
104,#L0VPLPY9Y,Акуна матата,0xffcb5aff,28000330,35680,105,zil2011
105,#98G8Q8VGY,Стрелок,0xffcb5aff,28000267,35635,106,ПЕЛЬМЕНЬ ЗАБИВ
106,#YP8Y29CGU,♤SilviU♤♡,0xffa2e3fe,28000139,35575,107,<c9>Ex</c>otic✨
107,#LPGC220CL,GRİFF,0xffa2e3fe,28000317,35569,108,YT/MERT BS
108,#PVLP0PVUG,6ix9ine,0xfff05637,28000175,35558,109,PULSE UP
109,#PJRGG0LUG,전설,0xfff9c908,28000233,35547,110,K브롤
110,#8VCGJGQ0L,БО МЕХА,0xffcb5aff,28000271,35540,111,TheLooneyTunes
111,#2PCJP8CQJ,Marc123🇲🇽😋,0xffa8e132,28000176,35538,112,PEPELONOS
112,#8VJYYLJ0,LouroOpressor,0xffffffff,28000137,35534,113,
113,#L2P2900GY,naruto,0xffff9727,28000305,35451,114,—͟͞͞★Ares
114,#9V2Y89QYG,_rivshe4k_,0xffff9727,28000156,35450,115,Da bois
115,#YUQGU2QQU,rei mago,0xffff9727,28000332,35410,116,Valhalla
116,#Q8UGPGLG9,nausea,0xffffffff,28000003,35372,117,Лига Бравлеров
117,#Q0JYPLRUR,💥NeMo_AS💔🥺,0xff4ddba2,28000132,35348,118,
118,#8L9PLP0JV,Дима,0xfff05637,28000173,35346,119,VOLAND
119,#80GUGYVR8,Megagriller,0xffff8afb,28000254,35316,120,MegagrillerArmy
120,#980L9GLY8,Спайк,0xff1ba5f5,28000023,35255,121,Mystic Galaxy
121,#PPJ22VRV,eco +,0xffff8afb,28000276,35172,122,king37
122,#89JRRRYYV,tribe_cayd,0xffcb5aff,28000293,35167,123,HALF FACT BROS
123,#2VPPQ0PRL,SADGAMING : /,0xffff9727,28000183,35167,124,TB_Brutality.Be
124,#9LC09P9P,SEMPAI_NE_TyDA,0xff1ba5f5,28000076,35129,125,
125,#20GCRPCCQ,спайк,0xfff9c908,28000176,35061,126,Армия Куктусов
126,#89J9VQRU9,Mister Sun,0xffff8afb,28000222,35043,127,DUSMANII
127,#LRQ929JY0,LEON,0xff4ddba2,28000290,34990,128,Gamer Ehre
128,#8UYQ9VJRR,Роман,0xff1ba5f5,28000335,34963,129,<c5>NWzero</c>
129,#28CUGPRRY,LK | FENCSUI,0xfff9c908,28000262,34939,130,Lost Baby Girls
130,#2CVGJLYGU,BumpetyBoo,0xfff9c908,28000013,34833,131,AWESOME
131,#88Q292QR,[MALD] The king,0xfff05637,28000321,34824,132,Dana(FR🇫🇷)🏆.
132,#LJ9GJGUVG,airron,0xff1ba5f5,28000294,34735,133,슈퍼히어로♡
133,#2QC9Q0L89,YTAndre,0xffcb5aff,28000173,34663,134,⭐️Super Stars⭐️
134,#8CGYYPYC,亂七八糟,0xffa8e132,28000305,34637,135,荒野之神
135,#Y8VVP2YU2,Александр,0xffcb5aff,28000033,34609,136,мотор 2009
136,#2RJJJC8PU,Brawl.STAR.,0xffa2e3fe,28000156,34554,137,exMSE
137,#9CV28JV89,🎴|DanGer ☯,0xffa2e3fe,28000322,34516,138,sunny bun team
138,#P2JCGUVL9,il,0xff4ddba2,28000207,34508,139,MTZ | GAMERS
139,#8PQPV9QG8,maule_Pro2,0xfff05637,28000207,34479,140,Strudelsäcke|☆|
140,#99CJYLYJP,嘿！打機吧,0xffffce89,28000156,34428,141,飛機sir
141,#22JJV9YR8,Voron,0xff1ba5f5,28000132,34428,142,152
142,#2G2JGVQL,k-poral,0xff4ddba2,28000293,34374,143,peppa pig bg
143,#PP9JVQCPP,Prime|Schatten,0xffcb5aff,28000014,34367,144,
144,#Y8QYCRUCQ,Clap*BY•Luca,0xffcb5aff,28000294,34355,145,Black Ultras
