,tag,name,nameColor,icon,trophies,rank,club
0,#90YVPYCP,NICOLAS,0xffa2e3fe,28000345,69625,1,New Lebanon
1,#PUURRVU0G,evan,0xffff8afb,28000218,60896,2,New Lebanon
2,#2RRQLVYJV,LEB|SUPER PRO™️,0xffa2e3fe,28000349,60861,3,Barleys Brewery
3,#UVP28J89,Nicolas,0xffffffff,28000014,59821,4,New Lebanon
4,#28Q08VPV8,achyl,0xffcb5aff,28000075,58782,5,EZ<c2>KlLL</c>³
5,#2U8Y9RVRC,MARTIN 🪙,0xffcb5aff,28000279,58358,6,Beyond Swift
6,#8VU8YRQC9,LEB|THE PRO™️🔥,0xff4ddba2,28000017,57985,7,Barleys Brewery
7,#908YQ98L,•jeffry•,0xffffce89,28000018,56848,8,New Lebanon
8,#YPGJ22QL,Altronok,0xff1ba5f5,28000115,56669,9,The Black Order
9,#YCYJ0CU,kr8,0xffffffff,28000245,56541,10,LEB TV
10,#P2JYC9RJ,SGT-Adeeb,0xfff05637,28000182,56360,11,MAIDENLESS LLC
11,#8UPCULG9C,Jeanmain,0xffffffff,28000018,56334,12,The Black Order
12,#2LPP98UUU,Karlo,0xff1ba5f5,28000266,56282,13,Unima Gaming II
13,#9Y8V0URQ,NotGiok,0xffcb5aff,28000291,56181,14,New Lebanon
14,#PRQRYL2RQ,๓๏๏๔เ,0xffcb5aff,28000349,56009,15,MenAreUp
15,#8QUPYLC0L,神|𝔜𝔢𝔢𝔱💛🐣,0xffffce89,28000096,55840,16,New Lebanon
16,#2QGLJQ82R,Ali,0xffff8afb,28000173,55705,17,IX Nash
17,#PLGRY9J28,疲 | Revolt ✘,0xffcb5aff,28000310,55160,18,
18,#8P2VQ2VLL,7alib Nido,0xffcb5aff,28000336,55149,19,LEB TV
19,#P00PY2800,sans,0xff1ba5f5,28000013,54960,20,New Lebanon
20,#9QQ9CJRLR,JaDeF,0xff1ba5f5,28000000,54710,21,New Lebanon
21,#PRQJ2JQQ8,RYAN,0xfff05637,28000273,54622,22,💞ELENOR&C.O💝
22,#8VRPYJPPC,p҉h҈o҉e҈n҉i҈x҉,0xffcb5aff,28000207,54128,23,Ice Players
