,tag,name,nameColor,icon,trophies,rank,club
0,#2YLJJ9PG9,GT|M̸i̸N̸t̸Y̸💔,0xffffffff,28000156,58539,1,Three Angry Man
1,#P2UCYQVC8,五条|Zenin Tojoᵐᵍ,0xffcb5aff,28000350,55351,2,Хантеры
2,#9YQ0UGVYL,leon4k ᴷⁱˡˡᵧₒᵤ,0xffffce89,28000349,52394,3,Red Genes
3,#PCU2U0JYP,yoshizzニャー,0xff1ba5f5,28000154,50010,4,Кактусята🌵
4,#JU08QLPV,CM|FLY,0xffcb5aff,28000000,49673,5,♨️FBR|RelaX♠️
5,#8VJVRGQ0P,черничка♡,0xffcb5aff,28000038,49647,6,Sons of Asgard
6,#PPGU0Q2UV,KeinFrich,0xffcb5aff,28000281,48318,7,Golden Crow 2
7,#P8PPVY2LQ,ʰᵉⁿᵗ|𝙰𝚐𝚎𝚛,0xffffffff,28000262,48003,8,ReVant♡︎
8,#2R80CCRJ8,SAO|GREEN个TEA🍵,0xfff9c908,28000305,47007,9,♨️FBR|RelaX♠️
9,#LLQPRQP80,ZZ | dabi💔,0xffffffff,28000150,46537,10,Кактусята🌵
10,#PJ92QL9QP,ВИ$$КАС,0xffff8afb,28000044,46432,11,Three Angry Man
11,#9CCR92LLV,洋一Isagi|11|蓝锁🧩,0xffa8e132,28000347,46328,12,Хантеры
12,#PVUPCQ0Y8,القاتل,0xff1ba5f5,28000205,44974,13,TEAM MOLTSCHÜ
13,#PUPLRLLYR,Hi im Yannic🕊,0xff1ba5f5,28000352,44943,14,El Primo's Club
14,#PQ8UVUJG2,pølî (●´⌓`●),0xff4ddba2,28000135,44040,15,NEW CLUB 🌃
15,#P2CUPRYVL,Hi im Jason🕊,0xffa2e3fe,28000278,43755,16,galaxy2.0
16,#8PJQJJQPJ,невезунчик,0xfff9c908,28000132,43740,17,Dragons 🐲🖤
17,#2VCQJ09VR,Shelly,0xfff05637,28000333,43718,18,DRAGON🐉LEGEND
18,#8RGP99GRV,NINJA313,0xffcb5aff,28000348,43096,19,zampabollos
19,#PY2RY8VUP,[LP] щиглик,0xffcb5aff,28000349,42207,20,BS BRO
20,#PLC2L22JC,普|Pluto😈,0xff1ba5f5,28000305,42170,21,
21,#89QYYCJRU,CROW,0xffffffff,28000348,41842,22,Toger
22,#P0C02Y82P,ƈɦʊʀƈɦɛʟʟǟ🍡🍥,0xffcb5aff,28000330,41538,23,桜で一つ • 🌸
23,#P00JGPLL8,[БАН]_ксения_,0xffa8e132,28000331,41382,24,Alan’s club
24,#YJ2UP8UQV,Navi|Dmitry 🥇,0xff4ddba2,28000305,41307,25,Dark Elite🖤
25,#8U9P92GV8,초보,0xffffffff,28000271,41252,26,기모띠
26,#80JGPV08,DEMO ▌hebu ☻,0xfff9c908,28000132,41154,27,
27,#889CJR80G,tourist,0xfff05637,28000041,41140,28,
28,#2QLRU9RQP,👻NaVi|Plone~🌌,0xffff8afb,28000135,41051,29,🥀Topaz Team🥀
29,#LR0Q2L8GR,Мармеладка,0xffa2e3fe,28000023,40960,30,Dostlar🇦🇿💀
30,#820GV9RUV,Fløwēr🥀,0xffffffff,28000139,40390,31,<c0>VXNZ</c>
31,#P0CVC900J,GH|setlight🥺,0xffcb5aff,28000135,40039,32,
32,#820JVV0CP,Frost mama,0xffa2e3fe,28000284,39815,33,République
33,#PV02JYG,Mythic|SaNdWiNd,0xffffffff,28000177,39763,34,Морио
34,#YV2CJQ8G0,𝐌𝐢𝐬𝐃𝐚𝐧𝐚♡,0xffa8e132,28000054,39581,35,Братва FengaBS
35,#282JVY0U9,sasa_wgf,0xffcb5aff,28000293,39560,36,Dark Nøva
36,#LUCCYC2UP,ゆうお,0xff1ba5f5,28000151,39502,37,タウチタウチ
37,#YP02RYP0Y,Я БЕЗМАМНЫЙ,0xfff9c908,28000128,38932,38,
38,#PPGRLG9VJ,A3z7,0xff4ddba2,28000021,38766,39,🏆Brawl Stars🏆
39,#Y9CRVLQG0,Extrem Schlecht,0xff1ba5f5,28000196,38616,40,Omegaschwein
40,#9YYRQVUQQ,✓✓✓✓✓,0xffff8afb,28000156,38575,41,
41,#9C90Q0GPV,Xxℙ𝕒𝕓𝕝𝕆xX🌵,0xffa8e132,28000305,38510,42,桜で一つ • 🌸
42,#PPURU8LLR,MØŊŞŦĘŘツ,0xffa2e3fe,28000347,37934,43,Хантеры
43,#9GLU2J9J,sid,0xffff9727,28000295,37521,44,Zerø Bandits 2
44,#8CGCUVUJV,(prêt)lol you,0xffff9727,28000306,37494,45,ArcaneDys
45,#898P99YLR,Lans :D,0xffcb5aff,28000161,37423,46,Again…
46,#8PJYQPUUY,НЕВЕЗУНЧИК,0xfff9c908,28000207,37421,47,the boys W
47,#YP0PY9CC9,브롤러,0xfff05637,28000091,37165,48,젬그랩패트롤
48,#CP00JG9J,SF/Edson,0xff4ddba2,28000016,37136,49,
49,#8UJVQCUCV,andrylanov,0xfff05637,28000036,36578,50,
50,#PVVJQJ9UL,NaVi|KoT_B_CmEt,0xffff9727,28000132,36286,51,Franek Master
51,#2QV82CC99,Алекс,0xffa8e132,28000254,36240,52,⚔️K̶l̶a̶n̶⚔️
52,#8RYYCUC9Y,гоголь тв,0xffcb5aff,28000023,36195,53,-Team Wave-
53,#L0L2YUUR8,🀄我｜YUKIMIYA〽️,0xfff9c908,28000261,36088,54,THE OPPRESSED
54,#PGYYQLCP2,FaceControl,0xff1ba5f5,28000348,36009,55,
55,#2LQ0RPQGJ,『ラッテ|ʍǿʟǿƙσ♡』,0xfff05637,28000077,35815,56,
56,#LPQQUGUGQ,denis,0xfff05637,28000219,35739,57,Sons of Asgard
57,#8RR9JJ8YY,g&ksacha,0xff4ddba2,28000256,35716,58,le club SLST
58,#QYV0VVJV,⛩️|Fight64🎋,0xffcb5aff,28000135,35402,59,GFB KATİLER
59,#8U0QCLGVJ,Donny,0xffcb5aff,28000051,35399,60,
60,#2829220LU,Master Brawler,0xffcb5aff,28000305,35237,61,
61,#20YPRLYCC,𝒜𝒟𝒜ℳ 𝒩𝒜𝒱,0xffa8e132,28000140,35186,62,totenham
62,#209890G9L,AkaiDoZap=),0xff1ba5f5,28000320,35143,63,ДОШИРАК
63,#9Q9J0JUCJ,Star,0xffcb5aff,28000170,34947,64,Star Revolution
