,tag,name,nameColor,icon,trophies,rank,club
0,#LR08G9C8,BC*| Kubaba♡,0xffff8afb,28000008,72734,1,BC*|Family*
1,#UL8QC98,Rolex,0xfff9c908,28000340,61359,2,Brawl Kings
2,#2VG0Q0P8,Zeusゼウス,0xffff9727,28000262,60544,3,Holy Utopia
3,#2LLPGU28C,Superce11,0xffffffff,28000332,59434,4,EntenandieMacht
4,#8GRQ8QYUQ,Grizzly,0xfff9775d,28000092,58560,5,LUXEMBURG
5,#PU2JL09R,Luisdracorex👙,0xffff8afb,28000080,57931,6,🌀ELITES🌀
6,#LCQYUUY,ʟɪᴛᴛʟᴇꜱᴛʀᴀᴡʜᴀᴛシ,0xffff9727,28000348,57649,7,LUXEMBURG
7,#8L0LV2U20,FD_Ariana,0xffa2e3fe,28000303,57630,8,LUXEMBURG
8,#2CU2LRUCU,Loïc 938,0xffa2e3fe,28000210,57432,9,Eiseskälte™
9,#P28L2PLYY,Icecat_🍄,0xffa2e3fe,28000267,57371,10,youhappyjiuok
10,#20LG20UPG,Takashi🔪,0xffff9727,28000018,56616,11,Beyond Swift
11,#9Y80RVRPY,TW|Habibi,0xffcb5aff,28000041,56418,12,TW |Gaming♡
12,#2P08GRVC,⛩Team ?⛩,0xfff05637,28000272,55490,13,Adulte France B
13,#98G0U98JP,𝔁𝓢𝓲𝓲𝓾𝓼𓂉,0xffa8e132,28000110,55246,14,United Empire
14,#8Q0809QPC,Samurai X,0xffff9727,28000116,55034,15,30|Sigmas
15,#2RUJR2Q80,스타,0xffa2e3fe,28000218,54959,16,Wolf Legend
16,#89JLJUULJ,💫𝑺𝑨𝑽𝑽𝒀⚡️,0xffcb5aff,28000299,54586,17,Azadian
17,#P2PQVVJJQ,力|Sumūzu,0xffffffff,28000345,54081,18,King
18,#GCVVUGYU,TM |EDENSZERO,0xffa8e132,28000206,54005,19,ATM☔️|Team🔥⚡️
19,#R99PVQ9J,chatteépatté,0xfff05637,28000285,53779,20,chibraltar
20,#J0LUC8CG,s k t,0xffcb5aff,28000020,53754,21,Castle of Kings
21,#Y8R90URUR,OWEE |Timcool😎,0xffa2e3fe,28000310,53402,22,
22,#LGY92CRYY,BOT丨人机,0xffffffff,28000156,53315,23,China中国
23,#2U88V8GGQ,FD_Amir,0xffffffff,28000207,53016,24,xBears🐻
24,#9JCQLUGQ,Yassan,0xffcb5aff,28000077,53002,25,Die OG‘s
25,#V9GJUY0,locco,0xffa2e3fe,28000225,52972,26,Locco Bloods
26,#8GCRRYPPY,BC*|Lara🥀,0xff1ba5f5,28000018,52938,27,
27,#80UG0VJ02,Chicharro,0xffa2e3fe,28000020,52909,28,The Irrationals
28,#29JG98VQU,Fatality clém,0xffcb5aff,28000305,52612,29,🈵|€spoRt❤️‍🩹
29,#2U09VG8YP,gollo7643,0xffa2e3fe,28000272,52592,30,❄ICE GHOST❄
30,#PC8RYGQUU,Nico,0xff1ba5f5,28000349,52017,31,❄ICE GHOST❄
31,#8VG9C98JJ,ахахахахахахаха,0xffcb5aff,28000301,51892,32,MāgīcEclipšīš🔮
32,#8JGJVJU8U,Tu madre,0xffff8afb,28000328,51823,33,FairyTeam
33,#80RRJJP2R,↯Dɾαȥσx,0xffffffff,28000008,51428,34,Ice eSports 🧊
34,#LU2CG0VL,NS|Sηøoppy🥀☔,0xffffffff,28000221,51382,35,Only friends🔥
35,#LLQ290P0,FUT |『ꪚꙶꫀꪦⷶꪉⷨꪔ』,0xffff8afb,28000321,51111,36,❤️COLT|1000🏆
36,#90URQ22P2,noctalyspace,0xff1ba5f5,28000218,51074,37,Bralw stars
37,#RQCQJ0JY,UFO,0xffff9727,28000349,51044,38,United Empire
38,#VJJGQGC8,ᴸᵀLuna💕,0xffcb5aff,28000301,50911,39,United Empire
39,#LRUJ0UG,<~~he gay,0xffcb5aff,28000221,50888,40,Pyna Diper
40,#PYGQUUQCV,あ|𝙺𝚛𝚒𝚜シ,0xffcb5aff,28000135,50767,41,Time Trap
41,#9LV0PGCU,MTZ | Lucianø,0xff4ddba2,28000275,50668,42,MTZ
42,#820CVCU0L,Lucien le boss,0xffcb5aff,28000225,50592,43,yolu
43,#Y0LPU0RQ9,🏆Poco is hoe🏆,0xff4ddba2,28000335,50505,44,De patatjes
44,#8VY2YRRVU,⛩|Legend64🎋,0xff4ddba2,28000044,50473,45,Op|Team☔❄
