,tag,name,nameColor,icon,trophies,rank,club
0,#RUV2Q9VQ,spooky chris 👻,0xffcb5aff,28000337,59032,1,i own u
1,#22YPLRGQ,SleepyAlok😴,0xff1ba5f5,28000184,58298,2,GG <c7>Mech</c>
2,#YPY2G0GPG,巭孬嫑夯尻,0xffff9727,28000339,57419,3,鄭鄭的窩
3,#LQLPRLQYJ,𓆩Ⱦēᵯꝑēɍ𓆪 🍃,0xff4ddba2,28000223,55552,4,SomeBrawlers
4,#2RYGP09VU,Duncan,0xffa2e3fe,28000290,55534,5,魔教🐉青龍門🐉
5,#RC0RJ8GG,❗anOctaCoin,0xffffffff,28000217,55125,6,Vancity Peasant
6,#28VV0VCCQ,國產零零九-RSR,0xffa8e132,28000176,54866,7,✨Infinity⚡
7,#200CV080G,零時剛睡醒...,0xffcb5aff,28000175,54755,8,難民收容所
8,#9PPC20JU,雙子星BB豬🥰,0xffa8e132,28000328,54302,9,VENGEANCE
9,#89QP0JYY8,🔥an_hayp🔥,0xffcb5aff,28000018,53741,10,eternal despair
10,#8Y8G02VJ,長期戰敗,0xffffffff,28000188,53343,11,Bully Dog
11,#2JCR9L8LV,luminator,0xffcb5aff,28000151,53203,12,GTG | Luminous
12,#2UJL299VV,AhYeah,0xffa2e3fe,28000347,52882,13,Vancity Peasant
13,#VU8Y88GR,Cookieguy_V5,0xff1ba5f5,28000129,52798,14,The Shwippies
14,#8P8G0GQG9,‼️kevin‼️,0xff1ba5f5,28000136,52784,15,我Québec_Duo🖤
15,#RVJ08V80,單手打贏你,0xff1ba5f5,28000294,51967,16,VENGEANCE
16,#8VJ00LPVL,名字,0xffffffff,28000303,51490,17,極上濱汌艦69號
17,#VJGJQJUG,Sea,0xff1ba5f5,28000255,51288,18,澳門只攻乳防
18,#2RY2UY2YU,SMC|Jaden 🐢,0xff4ddba2,28000026,51075,19,SMC Elite
19,#2GJP2CLGY,[CR] NYBEK,0xffcb5aff,28000297,50915,20,❄️🌨️Apex🌨️❄️
20,#RVYP2CGU,JTDawg,0xffff9727,28000222,50848,21,Ocean Magma
21,#28P8QGP00,Felix,0xffffce89,28000349,50727,22,从零开始的养老生活
22,#2C9UQYJJY,vin@@cent~,0xff1ba5f5,28000156,50451,23,/eclipse/
23,#JV08R8CQ,☆|Hugo Boss|☆,0xfff9c908,28000267,49462,24,無影赤焰軍-2
24,#9PCP8P209,歐王,0xfff9c908,28000341,49289,25,澳門手榴彈兵團
25,#R80UG0R8,合金扎馬斯❤️‍🔥❤️‍🔥,0xff1ba5f5,28000336,48650,26,墜落宇宙...墮落星空
26,#R8PRV9YL,添憶,0xfff05637,28000267,48598,27,Pain
27,#2PQP8999L,leo,0xfff05637,28000330,48492,28,澳門養老院
28,#PC89YGUR,我是歐皇,0xffcb5aff,28000207,48441,29,Team⛩️🥀
29,#QLUPV29V,寶 Ender,0xffff9727,28000130,48232,30,World Flag 🌍
30,#L0QUPJU2,Paco,0xffffce89,28000309,47299,31,B2B | Eclipse
31,#2CRJ9VY99,matthew,0xffa2e3fe,28000196,47294,32,澳門搗蛋鬼兵團
32,#LCV2GVVJC,Tri JJ,0xff1ba5f5,28000008,47158,33,
33,#2LGP20UPC,雞你太美,0xfff9c908,28000109,46567,34,ℙeep's𝔾ang🐣⭐
34,#99LCPCVPU,加油打下去！,0xfff9c908,28000207,46550,35,荒野拆迁队
35,#P2YVYYCJY,[CR]повар,0xffa2e3fe,28000165,46547,36,❄️🌨️Apex🌨️❄️
36,#Y0RY2YCLQ,Sultan²⁰⁰⁷,0xffcb5aff,28000305,46260,37,Kazakhstan
37,#8JCVLP0CR,你又,0xffcb5aff,28000228,46245,38,<c9>辣雞含果仁</c>
38,#89LC98PUC,🫧0523🧸,0xffcb5aff,28000112,46217,39,Green
39,#9GULVLUR8,Leo,0xffff9727,28000156,46209,40,合作金庫
40,#9JG9V229P,Hydra,0xffa2e3fe,28000293,45903,41,©Brawlersinc®☠️
41,#JPUPP92L,🎧KAr💙,0xff1ba5f5,28000348,45864,42,Green
42,#VP299U2J,不想努力·K,0xffa2e3fe,28000348,45729,43,嘿！一子
43,#YVJQY9RJY,killer,0xff1ba5f5,28000156,45638,44,Breezy Aus
44,#RG9L9GP0,黑沙環揸pan人,0xffff9727,28000110,45534,45,澳門只攻乳防
45,#CR0V2PU2,珍珠奶茶,0xff4ddba2,28000139,45430,46,澳門亂鬥總戰隊
46,#R8LJCYQ9,Billy,0xffcb5aff,28000281,45371,47,澳門豬隊友學院
47,#9P98QPP9G,✨雪沫✨,0xff1ba5f5,28000211,44989,48,澳門手榴彈兵團
48,#P0VP288Q,哔哩哔哩裂空君,0xff4ddba2,28000267,44966,49,呵呵哒
49,#8YVCVPQC8,Johnson,0xffa2e3fe,28000101,44960,50,臺灣技術流
50,#28YCVJG00,爆到你后門开花🌼,0xffa2e3fe,28000127,44881,51,东山大佬🦅
51,#8PLQUV90P,new,0xfff05637,28000335,44800,52,Etern light
52,#RQLQRQPY,天雷,0xff4ddba2,28000264,44720,53,澳門搗蛋鬼兵團
53,#P2GGQRL,大象比較懶🐘,0xffcb5aff,28000332,44705,54,有汗出沒糧出
54,#P9R2JCY2R,我大意了沒有閃,0xffa2e3fe,28000224,44640,55,澳門搗蛋鬼兵團
55,#JUVJR0C2,嘿！王者,0xffff9727,28000135,44513,56,荒野屁孩團_主戰隊
56,#9VPVR0C98,ChickenBBQ,0xff4ddba2,28000254,44285,57,
57,#9U0VG8J89,Big Sister,0xff4ddba2,28000305,44238,58,MAC9
