,tag,name,nameColor,icon,trophies,rank,club
0,#LPVGGRPVV,вя𝔞ｗℓ๓𝔞ˢ𝔱𝓔г,0xfff9c908,28000089,53958,1,Good Guys
1,#2GCCL0JUQ,ᎬメƬᏒ|✰WØrͥteX🌀,0xffff9727,28000349,53358,2,
2,#8YU890GGY,Pro Vanya,0xffff9727,28000263,52805,3,Legion I Flavia
3,#P82LYQVPU,Unreal Anastpal,0xffffffff,28000182,52783,4,f*cκ
4,#2Y89RLYUY,Rosé,0xff1ba5f5,28000273,52713,5,Ndao Ary
5,#2VVG8VPVR,乙ᥱℝ𝗸ί🤍🧸,0xffffce89,28000348,52340,6,DeadTribe_😎
6,#LV9PUYG8,Artur_3coroas♦,0xfff05637,28000023,52090,7,Space Monkeys
7,#20RPYULVL,LCK | Ulric 🤗,0xff1ba5f5,28000331,51683,8,Whyy?💔
8,#8LLRGVUCL,sosy_jopy//:,0xfff9c908,28000277,51607,9,Армия спайков.
9,#8C0R0JVRP,EX'i|`~wolter♡~,0xffcb5aff,28000254,50627,10,Hurricana gang
10,#8LR0Q8R2Q,[FS]Nexus🎉,0xffffffff,28000332,50550,11,Bibi Elite💜
11,#YU829Q9G,N i x 🍁🍉,0xffcb5aff,28000022,50329,12,Madagasy War
12,#YPVGL0L2,PROXY |❄️Yanis❄,0xffcb5aff,28000090,50162,13,bs winters army
13,#8LGGPY2QR,𝐓𝐨𝐦𝐢𝐤ϟ,0xffffffff,28000046,48588,14,
14,#9GRG9002,Tex,0xffff8afb,28000064,48361,15,🎑블러드문🎑
15,#8QGVQ99PQ,GG|🦎G4(K0🦎,0xffffffff,28000347,48360,16,Good Guys
16,#PQYGP8PC0,今 |𝑇ℎ𝑒𝑜💦,0xff1ba5f5,28000299,48171,17,Fury Gaming
17,#L9YRPVQG2,Kiady❤Z,0xffffffff,28000349,47398,18,
18,#98J9PGCGY,Blue_Chaflic,0xff1ba5f5,28000019,47011,19,Madagasy War
19,#PJVR8QGCQ,QLS |☔MeRcY☔,0xffff8afb,28000207,46592,20,FullWin🔮
20,#82LJYPQV0,bot 1,0xffff8afb,28000282,46536,21,Brawl|United👑
21,#8VJYRGPY9,⛩️|Scammers🖤,0xffcb5aff,28000350,46371,22,gay club
22,#JRGURGGL,Manu-Chan,0xff1ba5f5,28000286,45871,23,Pumas MX🇲🇽
23,#PQURCVL0P,Feysayn,0xffa2e3fe,28000228,45543,24,
24,#8P9R88GV2,ravil 09,0xffcb5aff,28000181,45108,25,SoLo ShOwDoWn
25,#2RPJPJVQL,Jeremy Pro 64,0xffffffff,28000247,44165,26,Team Ghost 👻
26,#P22JPJCVY,Pro 09,0xff4ddba2,28000212,44103,27,Toxic Squad 💣
27,#99888UVC2,Toky🧞‍♂️,0xffffffff,28000348,43843,28,<c5>Waves🌊</c>
28,#PR9RV8VP,§kinder?,0xffcb5aff,28000283,43821,29,Booty Munchers
29,#8LVQ80GG0,HEITECKNINJAS F,0xffa2e3fe,28000156,43813,30,Das Team
30,#8J088C8UJ,ACE|UNEES,0xfff9775d,28000332,43712,31,INVASION FAMILY
31,#PYQVPJ29Q,🇲🇬Astra,0xfff05637,28000024,43666,32,Team|officiel
32,#8U8GLUQ9J,Spike,0xff4ddba2,28000206,43609,33,la_face_mystere
33,#98QL9CY8Y,dedpool1008149,0xffcb5aff,28000348,43594,34,FR CLAN 🇫🇷
34,#9JGYYCC0J,LIL|VIC_BS🥀,0xfff9c908,28000348,43536,35,ELICOP’TER XD
35,#992QUY22,cyborg10,0xffa2e3fe,28000156,43463,36,Zürich_14
36,#2L2Y8V8LV,IceCalma,0xff1ba5f5,28000141,43288,37,Grind Warriors
37,#9PLR2QGG8,Death Shadow,0xffa2e3fe,28000347,43072,38,Madagasy War
38,#9JLRVJCPJ,Micka🇲🇬,0xffa2e3fe,28000285,43061,39,Team VA-NOOB
39,#9RVJ2V8C9,Мяу,0xff1ba5f5,28000352,43001,40,META
40,#8UV2RG80J,[OsA]TASHER_RUS,0xff1ba5f5,28000228,42976,41,Vitality Bivio
41,#LCYYYJL9,[LP]FrYtIii,0xffa2e3fe,28000170,42708,42,
42,#UUY08JRC,Giovanni,0xffcb5aff,28000219,42673,43,Break System 2
43,#9URJLQGGV,★彡 Ｄａｄｏ 彡★,0xffffffff,28000290,42463,44,The Gods
44,#20UU00C8R,MG|Eternatos|🌀,0xffcb5aff,28000314,42442,45,Active Myths
45,#JCY8L0R2,Kiliu,0xfff9c908,28000305,42439,46,Gasy tafaray💥
46,#8VYC0CYY,Beautybeast,0xff1ba5f5,28000291,42420,47,Ndao Ary
47,#9828RQC0Y,Чёрный_нига_чай,0xffa2e3fe,28000132,42247,48,Онли_КВ!
48,#9G9Q2JJPQ,Adam Groboved,0xffffffff,28000139,42114,49,TOP
49,#2QVLJC809,KEN 🇲🇬,0xfff05637,28000152,41731,50,MADA BRAWL STAR
50,#GV08RG2Y,Bebrik,0xffa2e3fe,28000085,41618,51,TOTAL
51,#8L89999Y0,jmnikʕ⁠·⁠ᴥ⁠·⁠ʔ,0xff4ddba2,28000285,41540,52,-6е3_п0нт08-
52,#8V0PULCRV,денис стрит,0xfff05637,28000102,41471,53,NO SKILL
53,#Y9RC28LRU,♤|LuCk¥LuC|♤,0xfff9c908,28000156,41351,54,Dream Team
54,#PL0Y0JYCV,griff,0xffa2e3fe,28000305,41262,55,het knokteam
55,#8G990P9GC,종건이,0xffcb5aff,28000289,41093,56,ㅅㅅㅅㅅ
56,#PCPQQGP9Q,am nyam,0xffff8afb,28000146,41062,57,TOTAL
57,#9900U982G,Qinsiao Cusia,0xff1ba5f5,28000314,40950,58,los hormigas
58,#C9P9PRLY,WB | maxim,0xffa8e132,28000228,40945,59,WhiteBlood
59,#V98R0PQ8,Maë,0xfff05637,28000144,40891,60,BS Kings
60,#YVVL9RJ2,zac,0xffa2e3fe,28000332,40854,61,Shadow|Snipe🥀
61,#PCUJGQ8UR,OSVALDINO ||,0xff4ddba2,28000231,40759,62,I SURGELATI🧊😎
62,#9CV89LLGL,DG|ILIA ™ ❤️,0xffcb5aff,28000156,40650,63,HVH DEADCODE
63,#PV8QJUYQ,aze,0xff1ba5f5,28000261,40516,64,les potes
