,tag,name,nameColor,icon,trophies,rank,club
0,#88RG0U08U,hern,0xffa8e132,28000139,69571,1,魔教🐉青龍門🐉
1,#V28LPJJV,NPAO,0xfff9c908,28000348,68493,2,UTOPIA
2,#V2QQUR98,Lthiam|無謂™丶®,0xfff9c908,28000155,67111,3,老司機
3,#U9P2CUJU,IE|Secondary,0xffffffff,28000030,66076,4,Mini Me’s
4,#VQULV800,ISG | G`ᴏ´D🐐,0xffcb5aff,28000175,65206,5,worthwhile
5,#CQLQUYC8,LSJ|IKUN🇲🇾,0xfff9c908,28000348,65000,6,老司機
6,#CCJ2YJUR,кø|Zen Tan-YT🐣,0xffa2e3fe,28000304,64950,7,友誼賽熱愛者
7,#YRQ9QY080,Iassignmentfail,0xfff05637,28000194,64170,8,魔教🐉青龍門🐉
8,#URRRPC0P,diuleiloumou,0xffcb5aff,28000106,63954,9,Mini Me’s
9,#P2YCYVLLU,古雷goolay,0xffcb5aff,28000110,63725,10,天路引歸🐙
10,#8QC29JVJ,Sirius♪,0xfff9c908,28000020,62669,11,Mini Me’s
11,#RR2P98G0,CZK,0xfff05637,28000279,62192,12,Imperial
12,#UULUV9LR,❄️andrew 私はプロです,0xffa8e132,28000038,62065,13,we love rabbits
13,#JPG2JL8V,TE|𝓓𝓪𝓲𝓼𝔂☄️,0xffa2e3fe,28000112,61974,14,Toilet Empire
14,#CY2L0QCC,YouTube_JK,0xff1ba5f5,28000063,61606,15,MK|Ghost™️
15,#GJRLYVUV,LSJ|SimLife,0xfff9c908,28000305,61574,16,老司機
16,#GUCQR0GG,OwlLusion,0xfff05637,28000073,60931,17,MK|Ghost™️
17,#RGJUCYPV,my game life,0xffa8e132,28000156,60764,18,MK|Ghost™️
18,#VGJVPCCJ,FaZe Chow,0xfff05637,28000347,60505,19,Liquid Diamond
19,#JCJUYJR8,II |ASSASSIN,0xffcb5aff,28000305,59978,20,we love rabbits
20,#8QUURULP2,在沙中睡的沙迪王,0xffffce89,28000212,59920,21,大寶企鵝戰隊
21,#2JCYJCPYY,Dumb Dumb,0xfff05637,28000349,59889,22,TEMPEST STORM
