,tag,name,nameColor,icon,trophies,rank,club
0,#JYYPU82P,次|🥀༄𝓜7̶m͠𝓓⸅✨,0xffcb5aff,28000054,59903,1,memoş
1,#8Y9CYVUYR,𝙻𝚘𝚕𝚢✨,0xffcb5aff,28000210,58427,2,𖤐.
2,#9JY2LGUJU,zalım,0xffff9727,28000224,57000,3,
3,#2YRUQL0L,tuonrn,0xff1ba5f5,28000020,56951,4,Broxe
4,#982J9PYQ,Holy_Sakibara💥,0xffcb5aff,28000166,53340,5,unisson
5,#9JLQPQYYQ,TM|SnowMan⛄,0xffff9727,28000129,52060,6,Hydronica
6,#8GCLURLP9,SK|Döül_Chë,0xffcb5aff,28000335,51555,7,
7,#9J0JG9UGR,👑Ķinğ Ĺèòñ👑™️,0xffcb5aff,28000330,51497,8,baobab🌱
8,#89VLRGL8J,Martin|Carry🐬,0xffffffff,28000348,51400,9,Serinity Esport
9,#9J9L0Q9UJ,☔ﾟᎡ𝚎ᵃ𝚎ᶩ𝐦ǿʱ☔️,0xff4ddba2,28000254,51398,10,REA|Esport
10,#2CYP8J0G,MEMENTO :p,0xffa2e3fe,28000173,51068,11,Club #JPLRG998
11,#P9GVVV9VV,Sari.,0xffcb5aff,28000212,50636,12,The Kings
12,#29QJLRLJU,制复Knjaz❤️‍🔥,0xff4ddba2,28000174,49948,13,⭐Star Squad⭐
13,#2GVPQL2VJ,VGS|IceStorm,0xffcb5aff,28000305,49897,14,KD TEAM
14,#CRYPPPV9,ich noop,0xffcb5aff,28000290,49239,15,
15,#8CLJUVJRR,RUSSIA 🇷🇺,0xffcb5aff,28000294,47491,16,LZ | Les ZérØs
16,#PL29L2QV,🔥RW|私が信頼する唯🔥,0xffffffff,28000196,46827,17,CR7/SUCUK EKİBI
17,#8YCCC0GLP,GG bence🐠,0xffa8e132,28000305,46821,18,Nova Ace ♠️
18,#9PRV2VCJC,IɴᴛᴇɢɢRᴀ🖤🥺,0xffffffff,28000135,46798,19,Забросил Игру
19,#GCJP8UU0,Ouͥtlͣâwͫᴳᵒᵈ ツ,0xffffffff,28000010,46521,20,彡𝐸𝑛𝑑†
20,#UVPCGGUJ,Daniyyel,0xff4ddba2,28000352,46321,21,guatemaltecos
21,#PR8YLY899,TSN|乃สℓ͢͢͢ℓค,0xffcb5aff,28000333,45944,22,
22,#9G2U2YQ0,Legendary,0xffcb5aff,28000050,45824,23,IcE TeaM🥶
23,#P9G9Y2Y29,悪|𝑲𝒆𝒗𝒊𝒏𝑿ヅ,0xffcb5aff,28000291,45432,24,𝐍𝐈𝐆𝐇𝐓ᵐᵃᶠⁱᵃ
24,#8V2JY0VG,хочу леона,0xff1ba5f5,28000333,45101,25,Cloud|☁️😶‍🌫️
