,tag,name,nameColor,icon,trophies,rank,club
0,#890RGGPL0,Jéryan972,0xffcb5aff,28000242,59788,1,Beyond Swift
1,#YCPYQCRU,Экономист,0xffa8e132,28000261,58820,2,Unreal_Fate🥀
2,#2Q8PYVGVR,π l Cérès 🌌,0xffcb5aff,28000112,56372,3,π/2
3,#YL0QVCVY2,⚡FlashMcqueen⚡,0xff1ba5f5,28000096,54537,4,Duo Showdown🌟
4,#LG8VQ98Y,〽️W|T🅰️ŸRΘχ⚜️,0xffff8afb,28000301,53904,5,A-Square
5,#8L2L0VCVL,𝕊kͥ𝘺_tͣiͫge🆁,0xff1ba5f5,28000211,53321,6,Zodiac's Law
6,#8LLVVP2V8,⛩|Wêntëëd🎋|⛩,0xffcb5aff,28000305,52561,7,Just <c8>NA</c>
7,#Y2VVRYQLV,🇧🇷|Lucas♋ㄥᵍᵒᵈ,0xffffffff,28000135,51822,8,LA Instinct
8,#PUQQ8PRPC,NV|Rocket 🚀,0xfff9775d,28000006,51731,9,trASH SQUAD 🗑
9,#P8LL222UV,tt manigance,0xfff05637,28000151,51371,10,Just <c8>NA</c>
10,#PYGVJL9G,Wolf-fire,0xff1ba5f5,28000285,51222,11,Banga
11,#8JYV9R9RG,⚡️FREENOX ⚡️,0xff1ba5f5,28000341,48646,12,Raisin Esport
12,#9V2PQLYY8,WESBLOOD,0xffffffff,28000091,48158,13,Team|sword
13,#9PYQVVQ9,Karma972🇲🇶🏝,0xff1ba5f5,28000134,47502,14,CRAZY MOON
14,#8GQR8902V,⛩Bryaou_972♨️,0xffffce89,28000151,47221,15,empire of elite
15,#PQUY89Y80,Teddy🔥,0xffff8afb,28000244,46775,16,Banga
16,#9YP928YU,HXNJV 혼자,0xfff05637,28000339,46414,17,Zodiac's Law
17,#80QLC9P8Y,D̸R∆GO̸NB∆LL™,0xff1ba5f5,28000009,45701,18,Just <c8>NA</c>
18,#8QY8CLYUP,SK|Nezix_1st,0xffffffff,28000019,45493,19,Enzo et Luka II
19,#98CY20CGC,๓คh๓oud¹⁷⁰,0xffcb5aff,28000305,45381,20,Dom Juan
20,#2QCYRU2GP,开小差的叶凯,0xffa2e3fe,28000295,45067,21,FACHEROSXD
21,#29YU8P8V,poow,0xff1ba5f5,28000151,45019,22,BFland
22,#Y82V9RCLQ,marc,0xffffffff,28000139,44979,23,Zodiac's Law
23,#PLJLUJ2C2,⚡zeus⚡,0xffffffff,28000335,44461,24,Future Talents
24,#22RQV909L,爱|ᴹᴿɢᴏᴀᴛシ,0xffffffff,28000062,44231,25,
25,#889P0RRQL,CapraBroccolosa,0xffff9727,28000335,44198,26,Chill Italy🇮🇹
26,#Y98UU2JGP,💫bountibg🌾,0xffffffff,28000259,44005,27,Showdown🤍
27,#GGVC0LLY,Ztorm,0xffa8e132,28000207,43877,28,Zodiac's Law
28,#LCQJVPG9Q,tiboscho,0xffffce89,28000305,43833,29,Zodiac's Law
29,#9Q082CR9,⛩GS|PANDA⛩,0xffff8afb,28000247,43814,30,Zodiac's Law
30,#8YG2P0982,saniok1999,0xffff8afb,28000333,43786,31,●Beyond🔥●
31,#8L9URGUY8,Jeaneudes14,0xffffffff,28000001,43782,32,Club #2UYQGP
32,#9JPCCVQ0P,DC_FOR_DC,0xfff9c908,28000228,43647,33,Tenshae🪐
33,#229JLUQUP,genesis,0xffcb5aff,28000226,43510,34,
34,#QUR9PUQ8,M.D.LOUFY,0xff1ba5f5,28000203,43483,35,
