,tag,name,nameColor,icon,trophies,rank,club
0,#9RGV2RL02,😏PL|osaツ✨™,0xffffffff,28000139,55100,1,PERŁA
1,#9PYC80P,Златовласка,0xfff9c908,28000167,54708,2,Euphoria
2,#9UGYGRC0,SorryO_o💞,0xfff9c908,28000132,54481,3,<c6>PO3A</c>
3,#2VUVULV8Q,medg8,0xffff8afb,28000023,54046,4,Aphelion UK
4,#PL9UL2J02,Lyrøx🩸,0xffffffff,28000244,53860,5,❤️‍🩹
5,#9RJPLR88Y,MRG/FIRE Crow,0xff1ba5f5,28000259,53355,6,
6,#2RPQ08CC0,ArtemBrawler,0xff1ba5f5,28000335,53201,7,
7,#2U8UU29YJ,kaos|berkesolo,0xffcb5aff,28000167,51033,8,Ķâøs|EsPoRTS
8,#2RJJPUU9L,DIKTATOR,0xff4ddba2,28000296,48672,9,<c5>Troteek</c>
9,#PQGPCCC0L,🖤END🖤,0xffffffff,28000004,46888,10,Gang Smerfów
10,#8UJVVPUL9,🥀墨冉💦,0xfff9c908,28000081,46802,11,TheGrandOrder 2
11,#2U0G9GR98,hwart,0xffffffff,28000322,46212,12,PastPower💙
12,#98LGPQVY8,dab 2,0xff1ba5f5,28000314,46162,13,Twisted Legends
13,#92CPYRC8Q,Love Gene+Primo,0xffa2e3fe,28000041,44834,14,Vikings III
14,#Y2V902CGU,❤️카리나눈나사랑해❤️,0xffa8e132,28000169,44444,15,CR
15,#8QG8LCVRJ,BAKA,0xfff05637,28000348,44171,16,NRW|Flay🔝2
16,#YRGRR0Q,Marchella,0xffff8afb,28000276,44026,17,LIFESTYLE
17,#809QJVJJ2,『Player❦ˢᵒˡᵒ』,0xffa2e3fe,28000262,43606,18,OneSecond Club
18,#9JQ908JRC,matix,0xffa2e3fe,28000332,43352,19,<c2>Legendy</c>
19,#LU9LU8J9Q,PMD|dream🌱🌿🌴,0xff4ddba2,28000138,43231,20,🍉PestkiArbuza
20,#PVLQ8PLYP,Denis♧☆,0xffa2e3fe,28000280,42602,21,RED TEAM
21,#8CUUYRU28,일렉트릭시티,0xffffffff,28000310,42332,22,206메이드
22,#VUPP200C,Mauritanianboy,0xff4ddba2,28000352,42030,23,Loyål Blood
23,#8C0J2L0Q9,STM|Alan są,0xffcb5aff,28000139,41683,24,Pałki Bibi
24,#8PLYGCPU9,MRG|Thierno sey,0xff1ba5f5,28000305,41677,25,Romania eSports
25,#CPLGYJJ9,Tika,0xffa8e132,28000330,41566,26,D.O.L.L.A.
26,#2U8J9UQCL,İNooQu❥,0xffffffff,28000341,41452,27,KingOfHeavenᴳᵒᵈ
27,#8PGJLY90J,ded inside228,0xff1ba5f5,28000085,41439,28,Diogenes Club
28,#LQR9Q9JQC,klol23🇵🇱™,0xff4ddba2,28000332,41067,29,VAN
29,#9PYGC98LU,⭐daniador⭐,0xffa2e3fe,28000332,40807,30,T.O.X.E.M
30,#PG2PRJULY,Lorenzo,0xffa8e132,28000141,40445,31,NoChoise
31,#YQLQPLU99,DRVsmerch,0xffa8e132,28000221,40192,32,Code:Hyra 100k
32,#PQ8J9GCG,🥀|Karimcio™PL,0xffcb5aff,28000207,40008,33,Gang Ziemnorów
33,#80RJP9QPL,alban,0xffffffff,28000138,40003,34,MenaceGang°2
34,#P09Q9PCU0,AY|Gâlipᵏⁱˡˡᵧₒᵤ,0xffffffff,28000321,39432,35,Turkish Demon
35,#902J8YYR2,Xomyk ga ga,0xffa2e3fe,28000314,39294,36,INTERES
36,#2VLCPLY0G,ПИМПОЧКА,0xffffffff,28000279,39287,37,$парта
37,#8P8U0GRQ2,sad•Fren4ik,0xff1ba5f5,28000170,38932,38,
38,#8JP0Y2LGL,XD,0xffa2e3fe,28000348,38584,39,
39,#2222PLQGQ,NE MOLOKO,0xffff8afb,28000267,38554,40,
40,#PQCLYGPGP,tomar 753,0xfff9c908,28000330,38526,41,Enigmaxd21
41,#LGVGU2PYL,соня,0xfff9c908,28000221,38451,42,The Lion's Den
42,#Y8YRQRQC8,[чай] gems of,0xffa8e132,28000305,38321,43,Akatsuki
43,#88990G282,Nabbie_,0xffa8e132,28000150,38106,44,
44,#PR082Y2LU,丂𝘯❍ʷ𝕀'❄️,0xffcb5aff,28000180,38101,45,SniperPro™🦹
45,#8PL8VQQC8,✞| 𝒜𝓁𝓍™,0xfff9c908,28000272,37941,46,Ktk_Zgueg
46,#8299UCRJV,AK|FtoaN_GG☄🛒,0xffffffff,28000291,37686,47,Arlanzonicos
47,#28LVC90L0,AnDexster,0xfff05637,28000301,37580,48,Dark♤Soul♤Gang
48,#8VG2U9CYG,TOBIASZ GAME,0xfff9c908,28000061,37555,49,Onlý Fąn’s
49,#PCY0CGUU2,RV|Smetanka🩸🤡,0xffffffff,28000175,37512,50,
50,#Q299UCG9,LUKAS,0xfff9c908,28000181,37487,51,LES RIGOLOS
51,#LGJGRQQCR,Solo♡Axksi,0xffffffff,28000100,37475,52,
52,#2JCGVV09L,lahini .777,0xffa8e132,28000352,37371,53,
53,#P2YQYRVQ8,Atuba,0xfff05637,28000330,37289,54,Świnia Pasztet
54,#9999LG00G,QLS|☣GoldShark☔,0xffffffff,28000219,37250,55,
55,#2P8RUL822,Seriously Soapy,0xffff8afb,28000348,37146,56,Hidden Cloud
56,#9QCLQV9QJ,🦈Shark,0xfff05637,28000317,37077,57,CandyClub🍭
57,#22GCVC8CC,Леон,0xffcb5aff,28000247,37059,58,sss
58,#29JRPVGG8,tritsus,0xffa8e132,28000335,36932,59,Polish🇵🇱Fame⚔
59,#2CVUCGPLQ,🍍🍍,0xffa2e3fe,28000077,36607,60,
60,#9V8JUYY2L,BAKA_RGT🥇🔫,0xffff9727,28000154,36571,61,La référence
61,#8RRGG2V89,Leon,0xffcb5aff,28000175,36546,62,gurkenpuller
62,#9RPJP2UC0,ℝy𝕫eシ︎,0xffff9727,28000132,36394,63,Hauswürste TT
63,#2UUQ2Q8YJ,_WaRrIoR_,0xffcb5aff,28000298,36379,64,Клуб: #8PJQRRJ9
64,#9LPG8GP2Q,Hasker,0xffcb5aff,28000163,36347,65,whyS0strong
65,#9J8L9GPY8,TQ|Kamil,0xffa2e3fe,28000335,36172,66,
66,#V809GJGR,Mefi💞,0xfff9c908,28000278,36148,67,YZ Esport
67,#8PGGGCPJR,псих-больной,0xffa8e132,28000155,36075,68,beast
68,#PQCPPVL2Q,Thais,0xffa8e132,28000219,35970,69,PerúStars
69,#8CPP0VUJR,Milis,0xffffffff,28000106,35755,70,
70,#8QJUP9P0U,🔥TÊRMÏÑÄTØR🔥,0xfff05637,28000277,35741,71,GALATASARAY
71,#9V0GC8YU,ARMA,0xffa2e3fe,28000352,35625,72,solo noi😬🥶🗿
72,#JC0UG8PQ,Unlucky-_-gamer,0xfff9c908,28000012,35613,73,
73,#2Q2YL0PRV,◇§kıñømân◇,0xffff9727,28000023,35512,74,ACE|Team🪐☄️
74,#8Y9PRVJUR,후마더,0xffff8afb,28000045,35349,75,BASIS
75,#9QC8RLRPY,vubec,0xffa2e3fe,28000031,35328,76,👑KINGS👑
76,#82URPLRY0,leon,0xffa8e132,28000078,35247,77,ByczkiBiernata2
77,#8QY899YQ,The Cripper,0xfff05637,28000170,35240,78,
78,#L8LYY8RJQ,|Kuba|,0xffa2e3fe,28000095,35200,79,SIGMY_PL
79,#9PPUCUP92,~☢️}{ОТ@БЬ!Ч☢️~,0xffffffff,28000132,35183,80,argentina
80,#80VGG2CL,haropiter,0xffffffff,28000345,35143,81,brawlsil
81,#2L09U9Q9V,NINO,0xff1ba5f5,28000352,35137,82,Triple K
82,#92PUP2LRR,Szymonix,0xff1ba5f5,28000305,34901,83,PingWINy SzyMon
