,tag,name,nameColor,icon,trophies,rank,club
0,#9RVL002PJ,Maestro 🍀,0xffffffff,28000196,57215,1,SoW
1,#P0CJULC2C,kiyan is cool,0xffff9727,28000073,54555,2,PURE ONES
2,#8YJVJCLRG,FUT|Star🈶🌠,0xfff9c908,28000219,53019,3,ApproveAllMaps✅
3,#2PC082PLQ,★Toͥmmͣyͫ★,0xfff05637,28000325,52525,4,Elite Gamer (3)
4,#LVJ9G0JPJ,ануака🤍leroyyy,0xffff8afb,28000112,52080,5,House Bronn's
5,#P2QJ0VL2P,ᴹᴿSnake🥀,0xffff8afb,28000321,52077,6,ᴹᴿLegends🥀
6,#YGLGYJJQR,NAVI|AKTIV,0xffff8afb,28000302,51282,7,Zakarpatta|🇺🇦
7,#2P0LPRJQV,Alxᴷⁱˡˡᵧₒᵤツ,0xfff9c908,28000091,50762,8,Empire Français
8,#RJGLVPPL,アンニョン！,0xffffffff,28000018,48903,9,30RankCLass
9,#9C80R0UPU,PK|Whale 🐳,0xff1ba5f5,28000164,48732,10,PoorKids ☹
10,#29UPPR0YQ,GX Giuribubi,0xffa2e3fe,28000284,48731,11,SF
11,#8G9LLPL90,w0k,0xff1ba5f5,28000284,48283,12,✨SYNDICATE✨
12,#2VG0QG89,haydar,0xffff8afb,28000085,47011,13,
13,#P8JLCP8P9,PG | ARIA🌦,0xfff9c908,28000263,46629,14,PG | Family🌦
14,#8L8PULQJC,ℵ♠『DW』대왕ᴷᶧⁿᵍ🖤ℵ,0xff4ddba2,28000139,46201,15,헤라 palace
15,#2YQQQL2R,BT | Froyˡⁱᵏᵉ ᵘ,0xffff9727,28000338,45890,16,Black team
16,#208Q98L9L,yt|dirk64🌴,0xffa2e3fe,28000225,45440,17,de strijders (:
17,#8ULQGGYL2,CX|FUILIⁱᵛ,0xfff9c908,28000176,45217,18,TSQ CLUB
18,#Y00QC0JC8,Please BUZZ,0xff1ba5f5,28000273,45200,19,Furious Kats
19,#8RU2RL0VU,yasha lava,0xffffffff,28000069,45102,20,
20,#8P2P2U9YY,🖤|ˢᵃᵈᵖi̶p̶e̶ʀ™,0xffffffff,28000224,44517,21,Impero ITA
21,#28QLUR8Y0,🥀QLS|toper⛩,0xffffffff,28000183,44466,22,DieDmasters🌹
22,#YVRQ2UUYJ,😎_Mitani_😎,0xffa2e3fe,28000128,44321,23,Nani's Club
23,#Y0LYJ220Q,IMPOSTOR,0xffcb5aff,28000330,43935,24,Acheron™
24,#YP088PYGL,yori,0xff4ddba2,28000315,43534,25,07|Hawk‘s
25,#LV2GV8V29,PG|Amirali sory,0xffa2e3fe,28000299,43286,26,PG | Family🌦
26,#QRR2VC9QQ,chvk♡DeduGun个,0xffff8afb,28000252,43235,27,GG|aaqG👾
27,#2VQ89VVRU,VD | Rohan,0xfff05637,28000242,43061,28,Legend
28,#9UY8VRQQU,Hakancan2151,0xffcb5aff,28000335,42996,29,彡[ᴅᴇᴀᴅ ᴋɪʟʟᴇʀ]彡
29,#20UQ2988P,MORTAL,0xfff05637,28000283,42902,30,G.R.A.R.K.A.D.ⓞ
30,#LPY8CL9UV,Mchamba#002,0xffff9727,28000262,42893,31,Dark Tsunami YT
31,#2R8G8PRC,Jkpeon,0xffcb5aff,28000200,42656,32,BS Zollikon
32,#9R2UGPGYQ,CM YT SHOHKING,0xffffce89,28000275,42578,33,Богати швидены
33,#YPYV90JCY,ĶÏŇĢ ØF ĐÆŔĶŃĘ§,0xffa8e132,28000341,42515,34,PLAY HERO
