,tag,name,nameColor,icon,trophies,rank,club
0,#9RJRYPYC,kingͥkoͣnͫgᴳᵒᵈ❄,0xffff9727,28000347,61126,1,L'aigle d'Or
1,#8JUQUR88P,☃️|IceFrank❄️,0xfff9c908,28000221,57648,2,QLASH Serbia
2,#V90RVR0P,Hikireyz,0xffcb5aff,28000224,55113,3,Hikagetsu
3,#99U0RPCUJ,BLS|pozifist<3,0xffffffff,28000220,52565,4,Xx|Squad⚕♂️
4,#9PP002Y9,死 | Sleepy 😴,0xffffffff,28000212,50516,5,Lost Bandits
5,#29YUQL09,Diego0218M,0xff4ddba2,28000156,50477,6,HUNTER
6,#2QULU0Q8R,LC | Entrex2008,0xff1ba5f5,28000123,50081,7,LegCorxSquad
7,#80CL0R9P,DAYANA,0xffff9727,28000267,48545,8,DeTranquis3
8,#P0JPCYPUY,tipori77,0xffa8e132,28000305,48172,9,The Last Sound
9,#LQ8RY0LR,alan,0xffff8afb,28000203,47936,10,| KING DOOM © |
10,#8J90CPJ0R,matty,0xffa2e3fe,28000337,47827,11,Super Earth™🌍
11,#88LQJJC99,Ego|Hurricane✨,0xffffffff,28000139,47328,12,INSTIGATORS
12,#U8GQ2YRC,D3guau,0xffff9727,28000348,46779,13,THE FLAME🔆🔥🔥
13,#8L0VJCYY2,GONZA282,0xfff05637,28000129,46123,14,Club  #2JV9C2URU
14,#908Y8PJR0,leo :],0xffa2e3fe,28000077,46119,15,Dark Dragons
15,#CL9PJY9,QuantumPhysi,0xffff8afb,28000016,46052,16,canga club
16,#CUP2LPCY,Franco è Riccar,0xff4ddba2,28000028,45604,17,Brawl Capitol
17,#LYUC20LP9,SNN PRO,0xff1ba5f5,28000151,45567,18,shock👻
18,#8QQ9PYG9R,MEKRON,0xffff8afb,28000165,45557,19,FC POLSKA
19,#8GLR2U2PQ,Мария,0xffa2e3fe,28000347,45513,20,GAME OVER
20,#P8CCLQU0V,☣️kr_창민|민초딩¥,0xffffffff,28000218,45233,21,⚝𝕤𝕥𝕒𝕣
21,#PJQRVRG0J,IX|KittoPower⚡️,0xffffffff,28000062,45133,22,🥀SweetDream🥀
22,#R9P9QCCU,Oh My Nita🥵,0xfff05637,28000014,45055,23,duo❤️‍🩹show
23,#GGQQU20U,SF|el_sinuhe99,0xfff9c908,28000156,44947,24,FUEGO CRUZADO
24,#PRJR9YYRJ,Börek Ff,0xffff8afb,28000341,44452,25,KNAX
25,#2YQRUUYUQ,kleiver_leon,0xffffffff,28000182,43654,26,＊ᴛᴇᴀᴍ⸙͎ᴇʟɪᴛᴇ＊
26,#8CP02G0V8,|TeamSpain|Izan,0xfff05637,28000341,43575,27,EPL |Espaltanos
27,#8UVU99JLP,BB|swin,0xffffffff,28000139,43515,28,Z0|club🧸💤
28,#8R20YCCC9,QLS|§gsrega|TJS,0xff4ddba2,28000282,43496,29,
29,#9PGPUG000,Боец,0xffcb5aff,28000297,43307,30,SexyHorror 🐍
30,#82VQU9G80,『мR』🐊ッToP4iK™️,0xffa8e132,28000259,43186,31,Team Onyx
