,tag,name,nameColor,icon,trophies,rank,club
0,#YCGG2UQC,♡Larisa.,0xffcb5aff,28000018,75180,1,RoStars Academy
1,#2228CRPY9,CSV|Forgotten🎈,0xff1ba5f5,28000060,70094,2,BC*|Family*
2,#2YC9RVYQC,NAVI | Cube,0xffa2e3fe,28000132,69428,3,topi
3,#92P92C9CR,NS|xNitroo🖤,0xffffffff,28000122,68372,4,Ex0tic-E-Sport
4,#8CUGG9CG2,GreamReaper,0xffffffff,28000150,66823,5,Anteiku☕
5,#8VVRGYLV9,Wørry❤️Rødi,0xfff9c908,28000156,66329,6,NHY E-SporTS
6,#20YGLGCP9,Ghost.🖤😕,0xffffffff,28000000,64841,7,Paradise🎭
7,#VU2RGYRR,LⱥuRT.7🕷,0xfff9c908,28000341,64613,8,Lost Baby Girls
8,#82U0Q0QVG,𝚂𝚑𝚊𝚛𝕗𝚒𝚔♡,0xffa8e132,28000228,61451,9,🥀 ПИПЕСЯНЫ 🥀
9,#8GQ0C2R02,♉⚡ALI⚡♉,0xfff9c908,28000349,61292,10,Seva's family
10,#9QQL0U2G,𝚂𝚃𝚆|𝚉𝙾𝙾𝙼,0xffff8afb,28000349,61142,11,TRIBUNVL
11,#8Y0JYCULG,CSV|Nelu💦Big90,0xff1ba5f5,28000060,60624,12,RofloSt4ck
12,#8UPYL00PJ,NeRo|Fester,0xffcb5aff,28000300,60292,13,DS | Dark Souls
13,#8QCGPRP0C,BANZAI |YT,0xffa8e132,28000132,60164,14,CF TM
14,#2UY8J88R2,[LP]Persive,0xffffffff,28000181,60119,15,Импрессив
15,#2GPVJLPCL,Mr. Squirrel 🐿,0xffffffff,28000018,59542,16,Tribe Moldova
16,#2PGQQLCV2,Tot samyy ya,0xffffffff,28000000,59406,17,
17,#8VRUPQ0GG,Moriarty❤️‍🔥,0xffff8afb,28000173,59254,18,Tribe Moldova
18,#L082CG2QJ,SanveL,0xffffffff,28000019,59196,19,Beyond Alpha
19,#PQR0C9UP8,SoloLxst,0xffffffff,28000014,59152,20,Kremenets City
20,#22982V882,Читер777,0xffa2e3fe,28000139,59081,21,⚔️Legion🛡
21,#8QVC29VR8,➳ᴹᴿ✿࿐ĐJ₳V1Đ*●,0xffffffff,28000280,59063,22,LUXEMBURG
22,#9C292V29,SorryI’mWin♨️,0xffcb5aff,28000305,58916,23,Elite|Power🇷🇴
23,#9LUVCLPCL,ソローcrístxxl🩸,0xffffffff,28000150,58045,24,
24,#2CQQYPJP,AoR|imbanub,0xff1ba5f5,28000009,58009,25,IMBA | SQUAD
25,#RQC9Q8LV,PFE | oNLy,0xff1ba5f5,28000349,57714,26,Talents
26,#29R0C92UP,YT • M1FEX🦇,0xffcb5aff,28000207,57428,27,Tribe°AlexRo
27,#Q9CLRLQYL,Cu6ickk,0xffa2e3fe,28000132,57270,28,topi
28,#PR2VJVJY8,_Morgart_,0xff1ba5f5,28000062,57145,29,Extra Mystics
29,#22JVLQJJY,🎋Uragan㊗️,0xfff05637,28000317,57004,30,TOP LEGEND
30,#2J0YC9CQ0,Sandu,0xffcb5aff,28000280,56989,31,<c2>RoArmy</c>
31,#8RVR0JVPQ,THIEF#+#$,0xffffce89,28000023,56915,32,Legio X Victrix
32,#9PQL220P2,✯︎GL|KataliN|✯︎,0xffa8e132,28000101,56639,33,Wild Fear
33,#8Y9PCGCQU,乇ㄥ乇Ꞇ〒尺の,0xff1ba5f5,28000305,56444,34,Tribe Moldova
34,#VGRQP0QG,Grayds,0xff4ddba2,28000330,56363,35,<c9>ᴀʙsᴜʀᴅ</c>
35,#92JJLL0L,🌋ZG|Boom💥,0xffa2e3fe,28000132,56212,36,EU | Family🏔️
36,#8UQC0YYPC,LOVE YOU,0xffff9727,28000020,56189,37,Wintrade Moment
37,#88VUU9RGR,ZXC|Sai🖤,0xffffce89,28000018,55966,38,
38,#8G0JQVRCY,⛩ZZ|zzandrei🎋,0xffcb5aff,28000333,55637,39,DSL Esports
39,#LLPPCY0Q,Maximus,0xffcb5aff,28000291,55571,40,⚔️Legion🛡
40,#8Y9GL0GYG,Sasuke∆©®™,0xffcb5aff,28000297,55426,41,Legio X Victrix
41,#9Y0LLU8VC,Leon,0xffffffff,28000096,55371,42,RageGaming
42,#809C0L92G,Zack.🖤😟,0xff4ddba2,28000016,55347,43,
43,#YR0GRPYY8,愛 | 𝐸𝓇𝒾𝒸♡,0xffff8afb,28000138,55316,44,❄️IᴄᴇSᴘᴀɪɴX
44,#8CY8YPJUY,ȘtefanINFINITE,0xffa8e132,28000170,55191,45,Tribe Moldova
45,#89LPQ2PYG,🂱𝕄𝕒𝕩𝕪𝕞シ,0xffffffff,28000139,54882,46,
46,#980CQVL0R,aomine daiki,0xff1ba5f5,28000141,54764,47,⚔️Legion🛡
47,#292Y9QVUV,SadMystical;(,0xffff8afb,28000286,54662,48,RoStars Academy
48,#J9JRYVQL,Boogeyman,0xffcb5aff,28000292,54654,49,пися
49,#YYYJJQCG8,穆•Daryusˡʸ⚔,0xfff9c908,28000073,54636,50,Tribe|Moldova
50,#J8JPJC2,Brawlson,0xffa2e3fe,28000280,54630,51,🔥BaWoWna🧨
51,#8YCPLPR89,๒๏є۷999,0xffa2e3fe,28000225,54564,52,Moldova £lite™️
52,#C9GQVR2R,☄️Not☄️,0xffffffff,28000242,54550,53,Tribe Moldova
53,#LPJCR08L,Rodrick❤️,0xffcb5aff,28000332,54532,54,ASTRON Pegasus
54,#2VGQV8P2J,.ᴛᴇᴏ|SᴄᴏᴏᴘᴇD|ᴜ.,0xffa2e3fe,28000347,54419,55,Tribe Moldova
55,#8VJYCUYJP,it's reyzz💞💤,0xffffffff,28000132,54274,56,🕷 let me die.
56,#LLLJGUGRL,FMM|BlackГена,0xffff9727,28000073,54256,57,FMM | Clubs
