,tag,name,nameColor,icon,trophies,rank,club
0,#J20JRCYV,CS|NIEWIADOMA💗,0xff4ddba2,28000136,60218,1,RwTH |club 🌘
1,#LQYP999U,super_pro,0xfff9775d,28000297,55266,2,ReqNord SquaD
2,#YLVC99J8J,Zangdar✨,0xfff05637,28000244,54823,3,☆ | パンダはかっこいい
3,#VQP2YL0R,Cℓoudy 🖤,0xffffffff,28000000,54776,4,The Real World
4,#QG029LVG,⛩️|Toxic64 🎋,0xffa2e3fe,28000170,54155,5,les dragon noir
5,#LCY8P2VCQ,MECHA |cloudz,0xffa2e3fe,28000242,54000,6,warn family🔛🔝
6,#2PL0CR90V,🦦|LaMachine🃏,0xffffce89,28000301,53735,7,Unima VII
7,#8Y9V9QYLL,LS | χισℓαм 🖤,0xff4ddba2,28000174,53182,8,Warriors Way
8,#PGGYV98Q,Flame|Crastle,0xffa8e132,28000284,53143,9,ЧСС
9,#9YV0QLULU,TF | WinnTey,0xffffffff,28000333,52919,10,<c1>MERCY</c>
10,#9GY8RRQCU,CM|b l a n t🖤,0xff4ddba2,28000021,52798,11,тяжёлый люкс
11,#RUVRPJ0U,YT-giwoo5947 TV,0xffcb5aff,28000233,52664,12,섹/SEC
12,#228JVLJJ2,Flexx_crow_Bs_7,0xfff9c908,28000272,52040,13,Team Wikinger
13,#8LUULLLYU,♛Radinus_2000♛,0xff1ba5f5,28000018,51829,14,les dragon noir
14,#2QUC222LR,TORTANK31,0xfff05637,28000253,49183,15,
15,#8VL9J9GGR,💥Sq|LimeraT💥,0xffcb5aff,28000184,49005,16,KB presents
16,#2GPGQ8YYC,G inquisitor747,0xffa2e3fe,28000294,48686,17,
17,#QQLGU2GQL,YT|MERGEZDU31💜,0xffcb5aff,28000349,48248,18,A Few Clown Men
18,#89PYLLVRG,Болтяев,0xffa8e132,28000012,48056,19,Игнат ищейка
19,#2JPGR0UYP,胖胖球,0xff1ba5f5,28000220,47945,20,魔教🐢玄武門🐢
20,#90JG9CUP9,s’ck yukii,0xff1ba5f5,28000264,47591,21,Cora enjoyers ♡
21,#808CQCQ9J,Axel Ocampos,0xffcb5aff,28000044,47059,22,
22,#Q2UY099U,OWEE|OSKAR,0xffff8afb,28000305,46621,23,FC ABERRANT 🐐
23,#PR2LPPGVU,[LP] Kaktys,0xffcb5aff,28000058,46349,24,Xx|Squad⚕♂️
24,#2YPQPVJ99,A M G I D,0xff1ba5f5,28000060,46338,25,over time IQ
