,tag,name,nameColor,icon,trophies,rank,club
0,#9PR9VPGLP,crome,0xff1ba5f5,28000175,57638,1,ᴘʟᴀᴛɪɴᴜᴍ
1,#YJ9UJ8CLQ,PINKUMINTO,0xffa2e3fe,28000310,55676,2,Cement Squeak
2,#9VVYGQUPQ,UF|grandprimate,0xfff9c908,28000095,52631,3,Union Française
3,#LU0U9GC8J,𝑲𝒚𝒓𝒖𝒔❦,0xffcb5aff,28000014,51720,4,sᴜɴɴʏ ɴɪɢʜᴛ
4,#8JCG289RL,IIioneR,0xfff05637,28000156,51004,5,Regions Team 3
5,#R8LG89RU,BoB,0xffcb5aff,28000088,50699,6,Brawl Kings
6,#PLVRG8Y89,ЙОШИ,0xfff9c908,28000219,50286,7,Город Орёл
7,#PV29PV028,AIM ot ZaXaR,0xffa2e3fe,28000156,49729,8,botiha club
8,#2CPGUQCLJ,paraseet,0xfff05637,28000042,49303,9,PERFECT
9,#92PJ8890,CRZ|Π∆†{-}£0™♪,0xff1ba5f5,28000321,48420,10,PERIFAMILY
10,#YL20UJUCQ,tttttt,0xffff9727,28000156,47074,11,FS Hot Pizza
11,#9G9JVUYPL,彡arsbarsツ,0xffa2e3fe,28000222,46439,12,ДОШИРАК
12,#YGRRCCVL0,𝓤𝓷𝓻𝓮𝓪𝓛,0xffcb5aff,28000023,46120,13,
13,#88CQ9JCU,QWERTYD,0xffff8afb,28000347,45882,14,Death Itself
14,#YQQJLPUC2,🐉LRM|KATHLEEN,0xff1ba5f5,28000242,45846,15,○○動物園
15,#2RJ2LCV8,<3laka_J.O.L>,0xff1ba5f5,28000096,45780,16,Mongol Falcons
16,#8QUP00V89,pickledginger,0xffffffff,28000284,45646,17,Fake Club
17,#988CJL9VQ,blammeDo,0xff1ba5f5,28000078,45419,18,killer cactus
18,#UL2GQ08R,𝐚𝐦𝐨𝐮𝐫♡︎,0xffffffff,28000321,45341,19,⚔️PVP RASH⚔️
19,#2Q2QRCGCJ,tugu201012,0xffffffff,28000341,44981,20,almafa
20,#PGGC8CUP0,문디•ᴍᴏᴏɴᴅʏ☾,0xfff9c908,28000020,44854,21,RIP
21,#880QYJ92Q,𝑭𝒓𝒆𝒏𝒔𝒊,0xffa2e3fe,28000063,44654,22,Hell's Kitchen
22,#80P0PCQJQ,serg,0xff1ba5f5,28000095,44476,23,⭐КЛУБНАЯ ЛИГА⭐
23,#UJ02JYGG,🥶| kreeedzyマタヤ,0xffcb5aff,28000301,44191,24,Kotak Elite
24,#R8YQLJY9,LaLyou,0xffffffff,28000347,44187,25,Асгард
25,#8PYQJLGY,[БЛЕТ]SPIKE,0xffa8e132,28000237,43660,26,Toxic Fiasco
26,#898CGCLQU,orgil,0xfff05637,28000284,43451,27,capybara
27,#VC902YJR,B-Khangal,0xfff9c908,28000293,43238,28,Mongol Falcons
28,#8PG00QR2G,zadushil🪼,0xff1ba5f5,28000218,43073,29,TheWarriors PL⚔
29,#YYYY9J0JQ,STU pid,0xfff05637,28000304,42915,30,ØP|OLYMPUS|MX
