,tag,name,nameColor,icon,trophies,rank,club
0,#8G20JCP98,みつは👻,0xffffffff,28000091,69414,1,임포스터
1,#8YYCUL80U,matija pro,0xfff05637,28000274,58134,2,GlobalEmpire™
2,#2U8VPCU9,『鷹|𝕊𝔸ℚℝℂ✨️🦅』,0xffff9727,28000347,57399,3,EG|Galaxy ll
3,#2Q8CVP9QQ,BC|Damjan🐧❄,0xff1ba5f5,28000038,57152,4,RRA|ESPORTS
4,#98YCGGLYR,zzz,0xffcb5aff,28000003,56611,5,HORDE
5,#9008GJVUG,GSM | Gosja🖤,0xffa8e132,28000140,55992,6,Self Respect🖤
6,#CJP9Y228,NW|ZeNoKZ🐊,0xffffffff,28000045,52836,7,
7,#99YUUQQCU,™toptzhk@|tt🐻,0xffff9727,28000340,50898,8,Меля🤍|ТТ
8,#8G2U0YPUY,GG~~EMIL,0xff4ddba2,28000128,50761,9,⚡ULTRA⚡
9,#89L980LUL,GSM | Sava🖤,0xffcb5aff,28000290,50620,10,Self Respect🖤
10,#Y88080JV8,Aldinhucker,0xffff8afb,28000288,50589,11,Wild Wrecker
11,#88QPUQ9UL,GTX,0xff4ddba2,28000314,50543,12,GlobalEmpire™
12,#8QC2QJ0Y8,DJ krmak,0xff1ba5f5,28000348,50015,13,Jubas Community
13,#P0999QUQ,donME,0xfff05637,28000165,49829,14,HORDE
14,#9JP2GQVUL,|NE|lukec|🖤,0xffff8afb,28000107,49006,15,NewEstars
15,#2Q8VJVPUG,GSM | Mihac🖤,0xffcb5aff,28000349,48794,16,
16,#PGVRL9GPG,МОРТИС,0xffffffff,28000023,48754,17,Seva's family
17,#PQGP2YPLJ,MB|Fortnite2,0xfff05637,28000077,47889,18,the Brawl'guys
18,#P9G9GP800,AGT|™Zigs,0xffcb5aff,28000330,47541,19,Les Bidules™
19,#8LUVVQGV,AL3Xyépro,0xff1ba5f5,28000317,47289,20,TEAM CABANON
20,#JPVY9JRQ,SG|SämiŕÀ,0xfff9c908,28000206,46795,21,Skyhook gravity
21,#P28CJJVC9,purga,0xfff9c908,28000317,46572,22,PRESIDENT
22,#PUP9QJJ9P,TRD | od1n.exe,0xfff9c908,28000132,46409,23,
23,#PULU0J289,うっかりペネロペ,0xff1ba5f5,28000102,46373,24,
24,#8QRQYRU9Y,Andrew,0xffcb5aff,28000352,46346,25,AGONIE
25,#8U9UU9CR8,Coksi,0xff1ba5f5,28000175,46056,26,NAJJACI
26,#989RRCQJ0,zacke,0xffff9727,28000305,46006,27,Donja Gorica
27,#80VLLPRLU,Vojin Strašni,0xff1ba5f5,28000099,45917,28,Podgorica
