,tag,name,nameColor,icon,trophies,rank,club
0,#9C98P9UG2,Stay Focused,0xffff8afb,28000018,71470,1,Real Ones
1,#VCC22LVC,Rleix-kun 🤍,0xffa2e3fe,28000085,65275,2,MA Team ⚡
2,#2GJLRCGUG,SIDI|Ash☔ᵏⁱˡˡ ᵘ,0xffff8afb,28000291,63283,3,New Dawn
3,#80VLPU89Q,𝑵𝒊𝒏𝒐アイマン🩹♥,0xffffffff,28000347,63004,4,Sneaker Artists
4,#8889UUUQR,悟空 | Ｇｏｋｕ 🥷🏼,0xfff9c908,28000304,62999,5,<c5>OG Mute</c>
5,#PP8R9P880,TC|RIDA,0xffff8afb,28000304,62641,6,16-14|Esport🏓
6,#2VPGQ80CG,bread-kun 🖤,0xffffce89,28000008,62565,7,MA Team ⚡
7,#299VPUC2V,ĐEMØŇIĆ🖤ŞƤiRiT,0xffff9727,28000244,62556,8,New Dawn
8,#2P28CQ0YJ,Kazuzu風 🍃,0xffffffff,28000012,62553,9,New Dawn
9,#JLGQUYC8,Akaza-kun 🩶,0xffff9727,28000175,62291,10,MA Team ⚡
10,#UQUUPLJJ,☆Toady☆,0xffcb5aff,28000332,61470,11,NK | Anสrcђy
11,#9GCJQ0JQV,John💚TipOk,0xff4ddba2,28000271,61177,12,Импрессив
12,#89YY90VVV,the king,0xffa2e3fe,28000294,60161,13,MA Team ⚡
13,#G2GJLCQG,Toby🥀,0xffffffff,28000000,60116,14,MA Team ⚡
14,#RG8LGRVL,MR. ILYASS,0xffa8e132,28000140,59773,15,MA Team ⚡II
15,#8LQ9JR9PP,⛩Ṩคsͥนkͣeͫ ɢᴏᴅ⛩,0xffcb5aff,28000014,59556,16,Ꝉҽʂ ҠìӀӀҽɾʂ ™💣
16,#88JJP0PGC,X☆Nassr ddin☆X,0xffa8e132,28000054,59252,17,X'LENGENDS ☣️
17,#2G2GYP80R,UKIouzaid,0xfff05637,28000259,59227,18,<c5>OG Mute</c>
18,#20LL82GY9,𝕄ℝ|🇱‌🇪‌🇻‌🇮,0xffff9727,28000069,59165,19,MA | SQUAD
19,#9JPQG2JP,Bz ta soeur,0xffcb5aff,28000220,58906,20,One$quad ™
20,#9J2JY8Q9,CM|Shadow ™,0xffff8afb,28000305,58809,21,ChuckNorris
21,#2CQUYLVP,killeur|64⛩,0xff1ba5f5,28000207,58345,22,One$quad ™
