,tag,name,nameColor,icon,trophies,rank,club
0,#P8C9GQG0P,clash,0xffffce89,28000139,53262,1,LightHouse
1,#P0U9VGLP9,⛩️ᵍᵒᵈᴋᴀʟʟɪᴀɴ🥀,0xffffffff,28000247,51220,2,YT:Bilek Gücü
2,#8Q9JCQ0L0,❄️Lil peach❄️,0xff1ba5f5,28000294,50278,3,★Art of War★
3,#98Y9VVR8Q,Mister plop,0xffa2e3fe,28000335,50140,4,∆Omnipotent2∆
4,#90JLG2028,EDGRIZZY,0xfff05637,28000013,50059,5,🇲🇿
5,#YR8CGLC9J,ILNinjadiBari,0xffcb5aff,28000262,48914,6,Belli
6,#CGQ0JRQY,Wayne=),0xffff9727,28000259,48810,7,Jurassic
7,#98YV2JG2Y,[БАН]VOLOGYA,0xffff9727,28000241,47780,8,KB presents
8,#P289LRC80,BYSH|SanL Ϟ,0xff1ba5f5,28000229,47655,9,Supernova
9,#8QJVQQJJ0,ATZ|TsuKuyomi,0xffffffff,28000213,47560,10,PRIME|MZ
10,#QPUJUVQ,ale,0xffcb5aff,28000107,47490,11,Sk|SkeletonArmy
11,#PRU8JQYYP,спейзикс,0xffa8e132,28000294,47478,12,Wintrade Moment
12,#L809Y89LJ,⚽️lele⚽️,0xffa2e3fe,28000140,47425,13,Chimaera
13,#8R2QYYYGJ,SHOOZER DANY,0xffa2e3fe,28000298,47205,14,Bangers
14,#9L8GVYLRY,PD|waitluf,0xff1ba5f5,28000249,47069,15,Gerberius
15,#P2J9PV9R0,𝙼𝚊𝚡𝚡❦︎,0xffffffff,28000014,47013,16,Hell wish
16,#2RGV2RUGP,perunio yt,0xffcb5aff,28000263,46896,17,Polska Armia
17,#8JR9QQGRV,愛|Kyami,0xff1ba5f5,28000352,46402,18,Ape Storm
18,#888YGQCP2,Spykonator,0xfff05637,28000037,45607,19,187 Gang
19,#8QCCUQYC9,DTG|§ TIPA✓🇨🇵,0xff4ddba2,28000271,45603,20,LES GOAT DES TR
20,#9LUY9G89R,🕊️|MaZz,0xffcb5aff,28000305,45552,21,FR_GRIND
21,#PLGPR8YUR,sethiram,0xffffffff,28000000,45536,22,Kerala-w
22,#Y9G8PJ2CR,ZO|Giͣnͫo🖤,0xfff05637,28000347,45116,23,guerre de clans
23,#Y0CGUV8UQ,ultra legenda,0xffff8afb,28000229,45036,24,Tylko🇵🇱ekipa
24,#808J00PV9,강준혁,0xffff8afb,28000273,45009,25,🥝키위🥝
25,#9JJR92GUY,pixnite13,0xffffffff,28000139,44796,26,
26,#88Y809Y0J,👑NAVARRITO👑,0xffffffff,28000170,44789,27,Real Mambokings
27,#2GP8VUUUU,●《LUISYT》●,0xff4ddba2,28000248,44016,28,Pollitos
28,#PYGJ028RC,Kolya|콜리안 😎,0xffffffff,28000175,43767,29,RisingStars 💫
29,#2RPQLRC88,ᴳᵒᵈ|𝕸𝖚𝖘𝖍ℽ🖤,0xffffffff,28000085,43703,30,Orange Juice
30,#PPYV22GRC,icymachinegun,0xff1ba5f5,28000171,43702,31,✌Ultimate Team✌
31,#RVGYLC9J,Mahomed Akil,0xffa2e3fe,28000175,43490,32,PRIME|MZ
