,tag,name,nameColor,icon,trophies,rank,club
0,#PUVV8JLRG,ᵛᶶˡᶝᵒＰＯＣＯＰ 🎸,0xff1ba5f5,28000352,62645,1,pagodin domingo
1,#G2RPPCL,Taz,0xffa8e132,28000136,62094,2,👀👀
2,#2YCRJQJJU,『ⁱ ᵃᵐ₣₳฿ł₳₦🎭🥀,0xfff9c908,28000091,58278,3,NHY E-SporTS
3,#2G29QGQ2,Célestin❤️‍🔥,0xff4ddba2,28000096,57586,4,50K😎
4,#2PV99V890,🍭bͥibͣoͫuᴳᵒᵈ🍭,0xfff9c908,28000244,57406,5,La PollyTick
5,#22QQ22CQV,-Tim-,0xffff8afb,28000118,56492,6,ATM☔️|Team🔥⚡️
6,#82J9RULJV,Dman320,0xff1ba5f5,28000243,56252,7,SouL Ambiance
7,#VCP899Y,MGC|Sarko 🩸🦠,0xffff9727,28000210,55879,8,les rocks
8,#298PQLPV8,🍁乘風破浪 (≧ω≦)⚔,0xffcb5aff,28000135,54660,9,鄭鄭的窩
9,#99U9QLG0C,乂|𝙰nԃ𝚛γ.,0xffcb5aff,28000283,54638,10,Italy❤️‍🩹DUO👿
10,#28L90V82C,⚔️Ꭵᗩᗰᑎᒪᔕ⚔️,0xffcb5aff,28000348,54338,11,
11,#P0PU082L8,ded,0xfff9c908,28000021,51437,12,⭐Star Gang⭐
12,#89VLP09RV,Finni❤️‍🩹クリーン,0xffff8afb,28000321,50521,13,
13,#PR8V2PGJV,⛩️Teͥψzͣoͫא⛩️,0xff1ba5f5,28000321,49804,14,Spirit-E-Sport
14,#Y9G00YY82,DidiGamer .07,0xffff9727,28000022,49607,15,France Esports
15,#9Q2R0JVYL,YT|Matryxx,0xfff9775d,28000228,49016,16,I brodis
16,#2YC9GJGLL,[LP]BogBan🌩,0xff1ba5f5,28000335,48818,17,MOLLY ACADEMY
17,#RCULQQRP,Yousef,0xffffffff,28000297,48555,18,Me Elite
18,#8CU88UJQ8,⚔️PRO⚔️,0xffcb5aff,28000209,48507,19,Hexlone
19,#PCPG0P9LY,mott56oren2,0xff1ba5f5,28000213,48224,20,QYS team
20,#PYCLY8UR,Spinnen|M,0xffcb5aff,28000091,48196,21,❄️icewolves🐺
21,#YQG9GPPGV,ᴳˢメＩｔａｃｈｉ🔮,0xffcb5aff,28000019,47806,22,Showdown🤍
22,#2QPLLL0U2,✧Rober xD✧,0xffa2e3fe,28000347,47520,23,bien benid@s
