,tag,name,nameColor,icon,trophies,rank,club
0,#8JQU0R0Y8,SMR@mon,0xffcb5aff,28000035,54837,1,✿･ﾟ
1,#8YQ0CGJU0,YaY,0xffa8e132,28000259,52728,2,Sealand™️🇬🇧
2,#8PUUG8RVY,𝓐𝓛𝓘,0xfff9c908,28000222,50447,3,time to rush
3,#282YQGRYV,Gamer X,0xffcb5aff,28000014,50139,4,
4,#P2JUVJ0JJ,YT|MORTIS☑️,0xffffffff,28000226,50010,5,
5,#JLCL2QQC,bradbradbrad,0xffff9727,28000147,50003,6,🐕
6,#QY908RYR,gatito2.0™️,0xff4ddba2,28000182,48824,7,LA Zero
7,#9GRVR2CUY,QQ Hydra 3c3 ✝️,0xffcb5aff,28000323,48436,8,Allianz FR
8,#9PPVQ0P90,ASH,0xfff05637,28000071,48054,9,Team Osamus
9,#28888CJ29,quoiquouflop ❤️,0xffa2e3fe,28000349,47622,10,RiMA's Clan™
10,#8Y88CC0UG,Sunrise,0xfff9c908,28000170,47534,11,Skyzone
11,#2UGL2CUCU,41DORUKTUZER🖤,0xff1ba5f5,28000292,47378,12,🔥🔥🔥🔥🔥🔥
12,#2YCLLU0RP,jjog1999,0xfff9c908,28000007,47360,13,
13,#9QR8GC02C,тара,0xffa2e3fe,28000061,47333,14,👑KINGs👑
14,#PQYL08ULU,Yesan✨️,0xffff9727,28000312,47302,15,🌝happy moon🌝
15,#P9V2C09G0,ϟ Adrii¹⁵🎭,0xff1ba5f5,28000141,47173,16,Neptune🔱
16,#8GPL9PL2V,LegendRobokiten,0xffcb5aff,28000293,47103,17,Brawl Stars
17,#JR928C9V,ST |JustAlex ⛩️,0xfff05637,28000023,46534,18,The Avanger$
18,#LL0U0Q2VY,Sławek 🇵🇱,0xfff05637,28000023,45107,19,Ronaldo team
19,#8R0VURR8,🥀MM4|Vilors🥀,0xffcb5aff,28000207,45085,20,MM4 Team
20,#208RGC0PQ,méga skin,0xfff9c908,28000095,44844,21,Brigade ANTI-VI
21,#8JLV8LJ0J,Ƥi℘𝓮rɭᴏv𝓮ץᴏu,0xfff9c908,28000018,44705,22,⚜️VK|GOLDENee
22,#PUGCC8JJV,Malik,0xffffffff,28000136,44562,23,
23,#YJC2JY0P9,AQM|💙Blue💙,0xfff05637,28000175,44419,24,RIP
24,#2CJJ9GJVP,🥀NJ | Muscix🐉,0xffcb5aff,28000265,44245,25,Team Hmble
25,#2YL0G2GUY,ItzKaserinE,0xfff9c908,28000193,44054,26,TeamFINALE
26,#20PVQCRQ8,𝚉𝚊𝚙𝚙𝚢luv💖,0xfff05637,28000138,43941,27,susukaka
27,#2UGGU9090,YT|Elmar Pro,0xffffffff,28000116,43874,28,TT{AZE}🇦🇿
28,#2R8C2Q92L,garfield,0xffffffff,28000332,43428,29,ADALET
29,#9JJJVGU0P,FROST,0xffff8afb,28000317,43218,30,⭐Elita Team⭐
30,#28C9CJL9Q,El DIEGOLITO,0xfff05637,28000041,42855,31,Empire Français
31,#RC9YR2C8,PCF Peolo,0xffcb5aff,28000022,42827,32,FD_EmpireClub
32,#PJ8CUG980,zeox76,0xff1ba5f5,28000202,42687,33,ReversoGaming
33,#PQ2RUJUYR,ĢÂŘBÃŘÎÛ§,0xffcb5aff,28000224,42589,34,👑MAFİA👑TR🇹🇷
34,#9JJQJPQRV,F_A_N_T_A_3_E_R,0xffa8e132,28000295,42575,35,
35,#828LP20U,⛩|Lonixz❦︎,0xffff8afb,28000138,42571,36,PABLO BAND🌵
36,#8RPLPGG9P,•乂|dеsirеd🎴•,0xffffffff,28000000,42241,37,forever young
37,#2822VVJ88,NAVI|pokoloko,0xffcb5aff,28000132,41689,38,BOBRYYYYYYYYYYY
38,#V9YG8PQC,Noah🧸,0xfff9c908,28000095,41668,39,☬kíllєr☬
39,#9LVGULJ2Y,🌪| xVersd ツ,0xffff8afb,28000301,41621,40,Oldies
40,#89CJ2GLCC,Black Ninja 🥋☠,0xff4ddba2,28000231,41440,41,
41,#8LYQ28JR0,DJ,0xffa8e132,28000254,41419,42,Most Wanted
42,#RUC8Y8CR,Gx Maks,0xff4ddba2,28000079,41417,43,All Stars K.O.
43,#8YY8Y98JY,Aarón,0xff4ddba2,28000330,41266,44,It's Sandy
44,#8R0RP0U9L,⛩Polozen|STAR🌟,0xffffce89,28000056,41184,45,MORDERN
45,#PC8QYP89R,⛩️|Rzm64🥀,0xffa2e3fe,28000256,40983,46,Меля🤍|ТТ
46,#PQLQJ2UQU,Malix,0xffff9727,28000294,40975,47,30BwK 🌪️
47,#P2P882UV9,ST|EIC,0xffa2e3fe,28000173,40725,48,Nation Thass™
48,#Y2Q2J00PG,ΔHMΣT|GΣZI,0xffa2e3fe,28000066,40692,49,αιɾι🧸🎀
49,#Y908LGP9,⛩|Hedefimizcrow,0xffcb5aff,28000164,40615,50,
50,#2CC0JU9Y8,Ziffy,0xfff05637,28000262,40612,51,
51,#8GJCRYQLC,Герой,0xffff8afb,28000262,40601,52,Kings of Speed
52,#Y0RQ29GYV,Ø₥₳Ɽᵈᵃʷⁿ,0xffa2e3fe,28000128,40476,53,<c4>NIGHT🌑</c>
53,#9JVGVCP0J,ESANEVİ SAVAŞÇI,0xffa2e3fe,28000263,40237,54,We're Back😈
54,#2UGUQLPUU,재코,0xffff8afb,28000156,40167,55,
55,#PV9VRJQLY,Freyzy,0xffffffff,28000132,40006,56,
56,#8YVYQ022,Nikok,0xffcb5aff,28000261,40000,57,Aʟᴘʜᴀ ꜱᴛᴀʀ★
57,#9U9CUP2YP,Destructor,0xff1ba5f5,28000347,39962,58,immortals-IMM
58,#J9UVRL,Keito,0xffa8e132,28000305,39794,59,SORPRESA MANIN
59,#2JY9YLL00,arda,0xffffffff,28000000,39754,60,
60,#2Q92002Y,OVERLORD,0xff1ba5f5,28000175,39677,61,
61,#8LLR2VVYG,SL|Alex,0xff1ba5f5,28000151,39393,62,™{Silence} 💣
62,#8LY8LQQYJ,f por hfmario,0xff1ba5f5,28000101,39311,63,SP23☔️
63,#8GLGJUU28,p Picapiedra,0xfff9c908,28000259,39275,64,Infinite Dream
64,#QYC80UVG9,שמעון חמו,0xffffffff,28000000,39186,65,Grom Lovers
65,#88QJLJCJ2,SnayZ,0xffa2e3fe,28000253,39142,66,Spirit Gods 2
66,#9R98VY0CU,∆Far4mir381∆,0xffa8e132,28000285,38936,67,☕CaféDeMañana²☕
67,#8RP9J9G08,Gryphon X4,0xff4ddba2,28000272,38884,68,raptorZ
68,#PCP2YLJLV,😈●Sa{Y}ReX●😈,0xffcb5aff,28000156,38878,69,BE|On Fire🔥
69,#9JLLVR9VP,2. Malix,0xffff8afb,28000135,38875,70,
70,#PG8RGGYJY,DT|Tricky_XRP💕,0xffcb5aff,28000226,38872,71,minno
71,#U9GJCPU2,SergoWai,0xff4ddba2,28000129,38805,72,World Galaxy
72,#8JCYGY0G,purzelbaum,0xffcb5aff,28000223,38503,73,OnlyPros
73,#PJUQCLJPG,Ʉ₮₭Ʉᵏⁱˡˡᵧₒᵤツ,0xffcb5aff,28000273,38365,74,pşt gelsene
74,#PCPLJJ0RQ,KFC NİCAT,0xffcb5aff,28000141,38315,75,
