,tag,name,nameColor,icon,trophies,rank,club
0,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,81006,1,Ex0tic-E-Sport
1,#2J29C0C0Q,火|Ja͢͢͢y💛,0xfff9775d,28000170,74082,2,RealDutch
2,#VP0CQCLV,Jin玄,0xffcb5aff,28000129,73407,3,RealDutch
3,#YYYQJ8VG,『Hidde ♡ Kuba』,0xffcb5aff,28000282,73020,4,BC*|Family*
4,#PQJLQJJGC,Leon,0xffcb5aff,28000196,72237,5,BC*|Family*
5,#PGCVLYQJG,Ŧђoͥϻaͣsͫ|Sᵖᵉᵏ,0xffa2e3fe,28000073,72105,6,RealDutch
6,#VPCR282G,Flap❀,0xfff9c908,28000188,71927,7,RealDutch
7,#LCP2Y2Q,Lachkid,0xff1ba5f5,28000014,71552,8,Brawl Kings
8,#LR2UUL89R,Tavv,0xffffce89,28000339,70832,9,RealDutch
9,#8C9PPY0QG,Anouar ㄠ,0xffff8afb,28000044,70032,10,RealDutch
10,#8YRYUPLUY,Speksnijder,0xff1ba5f5,28000182,69885,11,RealDutch
11,#LQVY9UPY,Neetn玄,0xff4ddba2,28000259,69680,12,RealDutch
12,#P2QP2QP88,YT/K̾o̾b̾i̾e̾*❣,0xff1ba5f5,28000203,69571,13,Beyond Fresh
13,#R9Y988C,Diony,0xff1ba5f5,28000044,68775,14,RealDutch
14,#9Y0CJJV8P,DimbaZz💞Tyeli,0xffff9727,28000123,68546,15,Home Of Esports
15,#2URVUUV22,Quintenッ,0xff1ba5f5,28000302,66765,16,Poland Esports
16,#8J0JLGG02,Jaycenッ,0xff1ba5f5,28000336,66013,17,RealDutch
17,#9PQ2VULLU,BA | Finn,0xffff9727,28000341,65999,18,Deadly Vipers🐍
18,#U0VU0UUV,HB|Dantetjuh,0xff4ddba2,28000296,65882,19,Hairy Boys
19,#9LGQGLQVP,TTM Beast❤️,0xffff8afb,28000140,65186,20,Pitchdome AT
20,#U0VQ2QY,秒| J꙰A꙰M꙰E꙰S꙰🦬,0xffff8afb,28000279,65008,21,Bawz Army
