,tag,name,nameColor,icon,trophies,rank,club
0,#YQQUL9L8Y,SmashThatBox,0xfff05637,28000308,62651,1,Beyond Champs
1,#CPPVG0R,Shrimp❤️Blu,0xff1ba5f5,28000301,61157,2,Kiwithatgame
2,#Y2YJJ2RY9,🫧Måx¥ßð¥ 🫧,0xffff8afb,28000301,59057,3,Kiwithatgame
3,#YQ8LR2GP,DomDucky🍥,0xff4ddba2,28000136,58167,4,Kiwithatgame
4,#9UCQYUU22,🍔Joseph🍔Bruh,0xffff9727,28000352,57335,5,NZ PlayerZ
5,#GUGPG8J2,CM♡Basil,0xfff9c908,28000349,57334,6,TheBrawlingKiwi
6,#YRP0GL8PP,mr strange,0xffa2e3fe,28000166,55707,7,INFM|INFAMA
7,#PYPG9G0JY,jacka boi,0xfff05637,28000348,55454,8,Kiwithatgame
8,#20VVQLVQ,Joker↯,0xffffffff,28000014,55038,9,TheBrawlingKiwi
9,#QR2JV0QR,m3h,0xfff05637,28000032,54675,10,Nova Aus
10,#9289RLY8,❧Babʸ Butler☙,0xffcb5aff,28000110,53868,11,Booty Call
11,#9JP8LPCU8,橱| Super ☯,0xffffffff,28000352,53570,12,<c0>Reflex</c>
12,#2VCJP0J8L,🇴 🇭 🇮 🇴 🥵,0xffffce89,28000289,53495,13,
13,#8CG28PQLR,BN,0xfff9c908,28000331,52516,14,Everblast
14,#Y0P9QGVPP,OddBod,0xffcb5aff,28000228,51802,15,Draven
15,#2PP8CU298,willow pillow,0xff4ddba2,28000136,51598,16,Sunspire
16,#LL8PYJRUY,Sammiecakie Og,0xfff9c908,28000020,51517,17,Rebirth Knights
17,#89YCRP0PY,あ|𝓑𝔂𝓷𝔁𝔂💘,0xff1ba5f5,28000018,50929,18,KiwiStars
18,#2VJV22UUV,iMaaaalik🥱,0xffffffff,28000065,50501,19,No Name
19,#VV9LGRCV,Fans🌸♡ Wake,0xffcb5aff,28000002,50493,20,NZ PlayerZ
20,#89UGCGP9,Crosadfe_YT,0xff4ddba2,28000062,50182,21,Lance&Friends
21,#YGYCG9VJ0,☢️Radiant Ham☢️,0xff1ba5f5,28000162,50006,22,KiwiKings
22,#22QJC8LYQ,Arcas,0xffffce89,28000221,49669,23,Aus All Stars
23,#UYRU0YQ9,YT|MegaLegend,0xff1ba5f5,28000132,49564,24,KiwiStars
24,#80C2QG9G,Howazat piggy 2,0xff1ba5f5,28000167,49291,25,The Kiwis
25,#82PCC8UJY,KB|TēŻZaYO🇳🇿,0xffcb5aff,28000213,49235,26,The Kiwis
26,#2VV99G208,ⁱᵃᵐ𝒜𝓁ℯ𝓍シ,0xffcb5aff,28000336,48785,27,D A N G E R
27,#9CPGLURC8,Coolest remedy,0xffcb5aff,28000330,48747,28,Tribe Turkey
28,#8CGPGUQJ8,Purplewolfツ,0xffcb5aff,28000095,48338,29,IX Tails
29,#2Q8PLYCG,Mustard,0xffcb5aff,28000294,47969,30,New Zealand
30,#C2VY00CY,Noyes,0xff4ddba2,28000156,47964,31,Sunspire
31,#808U8U0Y8,CHIKORITA,0xffffffff,28000100,47637,32,AussieLogicIII
32,#8J2U9Q00R,AsianAndrew,0xffa2e3fe,28000016,47498,33,NZ Knights
33,#90YUGPCGY,Euan the Evil,0xffcb5aff,28000247,47449,34,New Zealand
34,#28C029QUR,DaddyAhihi,0xffcb5aff,28000107,47442,35,Mystic |Hamster
35,#2RCG9YCJG,また|Bandit↯,0xffff9727,28000263,47346,36,Steam
36,#8J9JUL0J,Geldboompje,0xffff9727,28000262,47212,37,de duitsers
37,#PUVVJ9L9,Davide,0xff4ddba2,28000203,47138,38,AMICI
38,#2290J0P28,Mattzer,0xff1ba5f5,28000078,47101,39,⚔️Valhalla ⚔️
39,#208UC8JC,krecray,0xffcb5aff,28000338,47095,40,BobaStars
40,#2GQJRQV09,白猪猪,0xffa8e132,28000115,47079,41,XLR|Esports
41,#CPY9JPUC,Blumenkohli😘,0xffff8afb,28000179,47065,42,TeAm|Wolf🥶
42,#L200LR9G8,mushroom,0xffff9727,28000299,47058,43,Hell Imperium
43,#YLV9LYYG,Chanmin,0xff1ba5f5,28000314,46986,44,KaBoom
44,#2Y02LLYJ,That one guy,0xff1ba5f5,28000322,46861,45,Memes
45,#V9VJ8RQC,Jack-O-Boy,0xffffffff,28000142,46680,46,NZ Knights
46,#8Q90LG0V2,ELITE/J-DOG,0xffa2e3fe,28000228,46569,47,
47,#2YRVP92VP,fayato,0xffff9727,28000298,46488,48,DIVZOO
48,#809LC02JR,Fafnair 🍉,0xffffffff,28000304,46286,49,KiwiKings
49,#JC9JGLU2,Hygi|YT,0xffa8e132,28000284,46124,50,VoLoPaS
50,#L2VGRVYJ2,It's LemGod🥀,0xffcb5aff,28000286,45800,51,Green Day
51,#Y8YGJV29,WINQ|VonT1z,0xffffffff,28000163,45724,52,Пешки Supercell
52,#9VGQUVPG,I'll Go Easy,0xfff05637,28000070,45640,53,
53,#8QQR9LUP2,레몬하,0xfff05637,28000156,45617,54,kk 1209 클랜
54,#UP8CQULJ,🎭| Ashy,0xffff9727,28000115,45558,55,Beyond Roses
55,#PJRLRV0C9,NZ|Snax~Cracker,0xff1ba5f5,28000123,45486,56,the bear gang
56,#8PCRLY0GL,❄️snowy Bs,0xff1ba5f5,28000278,45470,57,SuperSplashBros
57,#PJRCGGQJP,NZP☘︎︎｜Vincey狂♫,0xfff9c908,28000337,45426,58,NZ PlayerZ
58,#9V0UR92RR,Auto Aimer Pro,0xfff9c908,28000170,45379,59,Play MiMi
59,#9RGQQPV9J,TR|Pinz⁸⁷,0xffff9727,28000339,45315,60,MonkieTheOpenin
60,#28RR0YYGV,Wave,0xffcb5aff,28000094,45303,61,dead meat 2009
61,#9PUVQ9028,YOUSIF96,0xfff9c908,28000267,45273,62,KiwiKings
62,#9GCJ9PYC9,rty12345609,0xfff9c908,28000176,45263,63,Memes
63,#QQP0J082,Electricity,0xffcb5aff,28000274,45233,64,NZ PlayerZ
64,#9RGGYC90Y,SSG|Maybe,0xffcb5aff,28000308,45211,65,SC grinders
65,#CYC2R08R,Kea M,0xff4ddba2,28000136,45003,66,Memes
66,#2J0UG2JUQ,عبد الوحداتي💚,0xffa8e132,28000282,44996,67,Everblast
67,#2GPP9UUR9,Asian Zach,0xffff9727,28000091,44963,68,True Asians NZ
68,#RQQQRPU2,louser,0xffffffff,28000332,44804,69,skrrt
