,tag,name,nameColor,icon,trophies,rank,club
0,#YJC0JGCGU,LA Fin°|Abbæ💧,0xff1ba5f5,28000347,61671,1,Layan_tv
1,#9G9V2GPG,KingVip,0xffff9727,28000132,60049,2,<c8>Lafkkお</c>
2,#Q9R9Y82,Di×star,0xffcb5aff,28000022,59387,3,Revaible 💗
3,#Y2YCCRC2Q,thesunny,0xffffffff,28000295,57041,4,<c7>РАССВЕТ</c>
4,#LJ2V80QY,AT|Kalph ❄,0xffcb5aff,28000337,56094,5,TITANI ABUSIVI
5,#2J2G2J0RP,SN | 🕊️Kurumi♡,0xffffffff,28000253,55779,6,К.О.М.И.Л.Ь.Ф.О
6,#UGR0G2UC,Saye,0xffcb5aff,28000003,54291,7,YAŞLI KURT 🐺
7,#VQ88JL2J,DEAD SHOT,0xfff9775d,28000332,54169,8,⭐STAR TEAM⭐
8,#C2RGQJ9U,Destroyer,0xff4ddba2,28000187,53702,9,Naija Warriors
9,#JJYGLPL8,NAVI | MMA,0xffcb5aff,28000023,53440,10,💰JazzyTeam🐲
10,#8JJPGUJL,SteezedOut,0xffff9727,28000299,52338,11,RR | RandomRage
11,#9PV99YJVG,🥀|Grzᴇgᴏʀz14乂,0xffffffff,28000175,51647,12,Brawl kotki
12,#208LV9U2J,JŁřîźřăķ,0xff1ba5f5,28000018,51522,13,House Lannister
13,#9P09QR99J,troy,0xffcb5aff,28000253,51519,14,G.R.A.R.K.A.D.ⓞ
14,#9QPP0Y9L,Бека,0xffcb5aff,28000045,51417,15,BC | EliteStars
15,#9298LUR88,LK|Jar♨️,0xffffffff,28000023,51377,16,Naija Warriors
16,#UPQPQJ0G,Jake💛Anna,0xffff8afb,28000138,51100,17,Steady Brawling
17,#L0PRYRGQ,➿尺ɨ匚₭Ɏ➿,0xffa2e3fe,28000207,51074,18,ACCADEMY
18,#YGJVCLJ,YT: AKay_BS,0xffffffff,28000203,51002,19,AK 247
19,#2JGGVL9CC,Bro gamer,0xff1ba5f5,28000231,50872,20,Zockergemeinde
20,#808LJYR98,CAPTAIN FINCH,0xff1ba5f5,28000297,50781,21,RR | RandomRage
21,#9C0Y02980,lamibeez,0xffff8afb,28000096,50572,22,Brawl Army
22,#2QPJLCGLL,Arkados_K,0xffa2e3fe,28000328,50285,23,
23,#2YYL29RP,OSE,0xfff9c908,28000005,49987,24,RR | RandomRage
24,#89V99J0Y2,79|pinニャー,0xffff9727,28000221,49567,25,
25,#VGR08RYL,stardan,0xfff9c908,28000291,49358,26,Naija Warriors
26,#9QUL8QV90,Akash,0xff1ba5f5,28000173,49187,27,RR | RandomRage
27,#2QCQGRVVG,Danik♡︎Yasha🐹❤,0xffcb5aff,28000291,49021,28,podpivmaxers
28,#9LP800PP0,whyelixirr?💞,0xfff05637,28000317,48666,29,HeartParadise💞
29,#Y88G820U0,Meeper|iiiiii,0xff1ba5f5,28000096,48557,30,GG Tech
30,#9VRPQLY9Y,lxmity❤️‍🔥ダーリン,0xffffffff,28000218,48473,31,🥀GF|GeForce🥀
31,#URV8JP20,ツD0n_Z€€sco,0xfff9c908,28000101,48086,32,RR | RandomRage
32,#Q2VLY8QR,sinister,0xffffffff,28000196,48063,33,RR | RandomRage
33,#8C8JRY02U,King D👑,0xfff9c908,28000061,48039,34,RR | RandomRage
34,#88JGLJ9V2,⛩️❦𝘽𝙡ã𝙯𝙚❦🔥,0xfff05637,28000044,48031,35,naija best
35,#8G0LQG0JQ,⛩God_kenzi⛩,0xffa2e3fe,28000248,47848,36,Us VS The World
36,#2J9YR0Q0P,OBVI|TreiL,0xffffffff,28000154,47846,37,Best🔥Winners🔥
37,#9JLCCGVRL,Dovan,0xffffce89,28000330,47704,38,Naija Warriors
38,#PPLJ92J9Q,It’s Poki4🦇,0xffffffff,28000139,47587,39,House🏠💟🏠🏡🏘
39,#2G28R0C20,Osarumen,0xffffffff,28000332,47535,40,Naija Squad
40,#90JJLLRPJ,QLS |elsergio,0xffff8afb,28000301,47205,41,Клуб: #2JL2P2VVY
41,#9GU98PC0J,Ùmùt🤕,0xff1ba5f5,28000000,47118,42,HʸᵖᵉʳĐ₳Ɽ₭₵ł₮Ɏ☔
42,#8PG2PJ89V,sagent lee💥,0xfff9c908,28000352,47073,43,naija best
43,#2QLLQGQPU,TeeMee,0xffffffff,28000139,47026,44,Naija Warriors
44,#9Y0QY8PJP,AlexDarKrel,0xffcb5aff,28000179,46942,45,bicampeon
45,#9QUG8Q980,SULTAN🤴,0xffffffff,28000156,46932,46,Moonlight🥀
46,#2PY9Q0898,Zachary Bashr,0xffffffff,28000247,46884,47,THE AKATSUKI
47,#2899L88Y9,<c7>Luis</c>,0xfff05637,28000255,46567,48,Corvo
48,#8GCPGUUG0,Whitetadas,0xffffffff,28000322,46448,49,Black Obsidian
49,#PPUL2Q9Q2,VAL|Demzy,0xffffffff,28000225,46398,50,CRANKY TANKS
50,#8JLCJL29G,[LP]Tot,0xffcb5aff,28000022,46337,51,пуш 30ка😎
51,#P0GYYUGJR,QLS|Серый🎮,0xffcb5aff,28000061,46321,52,Happiness
52,#2Q8GVYGRR,kennedy,0xffffffff,28000129,46245,53,Naija Warriors
53,#2CJ08V9PG,曼努|𝑀𝒶𝓃𝓊シ,0xfff05637,28000332,46227,54,
54,#LL8RJ0R,JacksondeGamer,0xff1ba5f5,28000305,46224,55,Naija Warriors
55,#Y29V0J0P0,Bygez•Surprised,0xffcb5aff,28000305,46169,56,Mobile Game
56,#LGV9L8UP,フランキス,0xffffffff,28000096,46027,57,walener
57,#2YUUQJLY,DEATH LORD..,0xffcb5aff,28000228,45959,58,Naija Warriors
58,#Q222YYGLR,KAREL|WOLDI,0xff1ba5f5,28000347,45869,59,władcy much
59,#YJ9YVCYQG,◤✞𝕯𝖆𝖗𝖐 𝕬𝖓,0xffcb5aff,28000347,45859,60,котятки
60,#9L889R80,🌀|ßαʍbiŋσʰᵃᵗᵉ,0xffffce89,28000349,45807,61,Bullet Club™
61,#2JP9VG8L2,Jacob🧸,0xffffffff,28000170,45745,62,
62,#PQGGCYYQG,dave,0xfff05637,28000331,45488,63,Ytry
63,#L29GRV9U,Misan,0xffffffff,28000272,45452,64,SAFASOAMAR
64,#Y8VQLLY8Q,Sillex,0xffff8afb,28000067,45403,65,BSN
65,#8CYURUC92,AlexTBWL,0xffa8e132,28000164,44919,66,
66,#2PVYYYGG,NB|Rez™,0xffff8afb,28000230,44883,67,Naija Warriors
67,#8QCYVQGQC,KunmiTheBoss,0xff4ddba2,28000261,44872,68,Naija Demigods
68,#2QLVQYL0Q,𝓴𝓲𝓁𝓁𝓊𝒶,0xffffffff,28000234,44852,69,тикток или лайк
69,#2Q8VP8R8P,ℤ𝕏ℂ|kefir🥛,0xffcb5aff,28000310,44780,70,Star Elite
70,#8QLJYPJGR,Emmanuel,0xff1ba5f5,28000283,44758,71,CRANKY TANKS
71,#9JV90C0Y2,HN|PRIME⚡,0xffcb5aff,28000333,44680,72,Naija Warriors
72,#8LPUYYVU9,lil_ilusha,0xffff8afb,28000338,44579,73,Семья няшек💗
73,#L0QJJJCYV,NIGERIA BOY,0xfff9775d,28000332,44496,74,Sin of Wrath
74,#2CP9PU029,HØTA | Dennîš,0xffffffff,28000210,44475,75,RR | RandomRage
75,#2U9CQ8QQR,Barracuda♡,0xffff8afb,28000228,44271,76,YT:P3KK4
76,#QV2RUYG9,baku🐝,0xffffffff,28000228,44230,77,Volleyball 💛
77,#PY0LPVJ9,LK|Breezy🥷🏿,0xffff9727,28000047,44206,78,Naija Warriors
78,#2URCY80QR,Banshee,0xffff8afb,28000263,44178,79,RR | RandomRage
79,#PCG09J2Q2,zxc НАВ - Димон,0xffcb5aff,28000218,44122,80,Most Eternal 💘
80,#9Q9G0YVP0,Glitchwood,0xffa2e3fe,28000173,44102,81,
81,#8GJJ9GQJP,Boss,0xffff9727,28000341,44093,82,Los Pollos
82,#9Q9YG8VGV,артём,0xffa8e132,28000132,44057,83,🇷🇺Я НЕ БАБА🌍
83,#22YJPR20P,Rexwizzy,0xff1ba5f5,28000332,44032,84,Naija Bosses
84,#P9JCV9Q22,чипсик.,0xff1ba5f5,28000030,43854,85,DED MAZAI
85,#92YCPCGLU,FROST,0xff1ba5f5,28000305,43836,86,RR | RandomRage
86,#LLJRQYVUU,iShredder,0xffffffff,28000106,43747,87,
87,#98GP2V8CU,#unit,0xffffffff,28000019,43729,88,
88,#9G8UPUYLQ,♡𝕱𝕶|𝖐𝖗𝖎𝖐♡,0xffff9727,28000110,43703,89,сосо пж суслики
89,#JPCCUV,ThatGuyJp,0xffa2e3fe,28000129,43620,90,
90,#88LL8VRQ,Daredevil,0xfff05637,28000295,43475,91,
91,#92YC2UR2G,ℝ𝕍| 𝕃𝕆ℝ𝔻☔,0xffff9727,28000247,43402,92,
92,#P2L2QUPG,seedy,0xffcb5aff,28000331,43370,93,TT|~FAMİLY~
93,#9P0PLYP,dgamma,0xfff05637,28000170,43312,94,Suspicious™️
94,#L88C2PYG,KRIS❄️,0xff4ddba2,28000140,43296,95,Naija Warriors
95,#9JCG8VRP,Dave,0xffff9727,28000207,43272,96,Naija Ninja
96,#GRGGGPG0,Infamous,0xfff9775d,28000272,43233,97,
97,#QUVY9GJP,Toxic M'baku,0xffa8e132,28000196,43128,98,I MISTER
98,#80VQJPLJU,Johnny English,0xffa8e132,28000286,43101,99,The Order
99,#8Q2JC892U,BunnyDASH(●♡∀♡),0xffff9727,28000020,42986,100,🌪Hidden Sand🌪
100,#2J2LRL898,★彡[𝘏ɏ𝕡êℝ𝑘ﺂ𝙙,0xff1ba5f5,28000135,42948,101,Ghouls
101,#8VVY8CUUG,okobalo,0xffff8afb,28000064,42764,102,BULLY BRAWLERS
102,#QQVU2QJR,LK|TØBE✨,0xff4ddba2,28000010,42724,103,Naija Warriors
103,#Y2YYC0U09,Og supreme ☢️,0xffff9727,28000097,42657,104,VIP
104,#8RYYJU9L9,WʜʏJᴇᴅᴅᴀᴋ?💞,0xffffffff,28000129,42654,105,HeartParadise💞
105,#9R82U2L90,benjibeasking,0xfff9c908,28000118,42576,106,Skillage Squad
106,#CGU002PY,GHOST,0xffff8afb,28000168,42448,107,Team Legends
107,#89QU22C0U,qurash,0xffffffff,28000129,42436,108,Naija Demigods
108,#8QGPJ288P,droper,0xffcb5aff,28000164,42329,109,<c9>K.</c>O.
