,tag,name,nameColor,icon,trophies,rank,club
0,#PQ2PU2VLY,Fèno❤️🔥,0xffa8e132,28000210,54636,1,Slorien
1,#9URJQ998L,ᶜᵃˢʰ 🖤,0xffffffff,28000054,52169,2,
2,#PYQPPG8VL,チェレノクpcelenok🧸,0xffcb5aff,28000349,52094,3,Coffe Team✨☕️
3,#889G2CPJ,ᵒᵖELïᵗᵉ|Mïrcėá,0xffff8afb,28000259,51218,4,ᵒᵖELïᵗᵉ
4,#209QQGR0V,NeX НИКИТА,0xffff9727,28000252,50004,5,PUBLO
5,#8U8Y8YQ2V,xx_mihail_xx,0xffcb5aff,28000305,48699,6,_-®Legenda©-_
6,#YQRULLLJ2,死体| 𝕮𝖆𝖘𝖍,0xffffffff,28000054,47904,7,
7,#PJ2J8J899,SG|Roych7z 💫,0xffff8afb,28000194,47821,8,𝔹𝕖𝕫𝔽𝕒𝕟𝕒♡
8,#2GP8GYU0Q,x=69420,0xffa8e132,28000291,46486,9,<c7>Royalty</c>
9,#2UVCPLQPR,It's SaNya93?,0xff4ddba2,28000140,46444,10,BezBab_team
10,#2R8QL8CUP,fla1ddy∞tremz💞,0xffffffff,28000058,46163,11,
11,#GY8GYQJP,Miguel,0xffcb5aff,28000335,45914,12,QLASH Italy 6
12,#LL8CVGUR,𝙃𝙌𝘿|Dorato,0xffffffff,28000079,45574,13,Legiøn Legends
13,#9VU2QY82L,☃️CMA|CEDRIC☃️,0xffff9727,28000230,45223,14,CC|AMISU
14,#8CPP2R2VQ,i c e,0xffffffff,28000059,45184,15,
15,#98JGUCJP9,QLS |Vsmart™⚡,0xffcb5aff,28000228,45092,16,Адская Арена🔥
16,#2CVYU2UJ,❤surrender❤,0xffa2e3fe,28000314,44967,17,🌝happy moon🌝
17,#YYGU0Q9UV,AQM|GuilleVGX,0xffa2e3fe,28000182,44879,18,The Continental
18,#989C9LRYU,🐯🐯🐯🐯🐯,0xffcb5aff,28000297,43995,19,🏆|DeTreeXᵇᵃᵈ🎭
19,#8UGRGCPU0,Dani,0xffff9727,28000221,43792,20,r25
20,#2GVLGP2LJ,Ярик Водилович,0xffffce89,28000294,43780,21,🏯Nova|LEGION🎴
21,#9QYYPUJQC,Ḱévíń déŕ ḱíńǵ,0xfff9c908,28000165,43553,22,BeMoreFantastic
22,#2CUPYCLP8,Kosmos,0xff1ba5f5,28000229,43378,23,KTO|FAMILY ☄️
23,#9UGG0CP22,𝕄𝕃𝕄|𝔹𝕠𝕪,0xff4ddba2,28000261,43257,24,Sõnĝţäşţě
24,#P2UL0VQJQ,",♦ŦįmŦąłøń♦ŶŦ™,",0xffcb5aff,28000207,43218,25,мандарины зла
25,#PGPRG2JYR,tg: ilushalle💞,0xffcb5aff,28000229,43007,26,loup 🐺 garou
26,#9PLJ9V0YR,kelian cool,0xfff05637,28000273,42837,27,Creed|Aventus🖤
27,#9282JQ2VP,timo PRO,0xffffffff,28000135,42594,28,LCQ|E Sports
28,#YPR2JUQY8,путь леги,0xffa2e3fe,28000314,42455,29,ARMY OF LEGEND
29,#2P0JGV2VJ,karyssel❤️one❤️,0xffcb5aff,28000132,42037,30,ɴɪɢʜᴛ ʟɪɢʜᴛ
30,#8VGQUG9C8,Miszko,0xffcb5aff,28000163,42035,31,leśne lisy 02
31,#PY9G9UV0V,DELETE EDGAR,0xffffffff,28000000,42014,32,offline...
32,#JQQYLC8R,EP|pa amb oli,0xffff9727,28000061,41805,33,
33,#82U2PLV80,eltuerka._.,0xfff9c908,28000347,41310,34,TFC pero Brawl
34,#8PG02QUVY,comollokko,0xfff9775d,28000053,40712,35,✨G[OLD]✨
35,#U9GPCCUP,ɱモﾚエ,0xffa2e3fe,28000076,40499,36,ShockTeamツ
36,#8090PRVCJ,ἱⱴἱἱƥѷԋ🐞💚,0xff4ddba2,28000140,40491,37,
37,#L8PYGJYJ,LOLO,0xffa2e3fe,28000278,40477,38,TeamSinQueso
38,#9YVRVL2RG,Spirit💕,0xffffffff,28000267,40123,39,💥{SHOW|DOWN}💥
39,#QP0RYYRLY,Vortexgamer0O7,0xffffffff,28000141,40109,40,Armadillo Clan
40,#CVCGV20Y,Cuf,0xff4ddba2,28000002,39975,41,Tribe Van
41,#9YVYLCUG2,QLS |King,0xff1ba5f5,28000281,39974,42,Los Gamers
42,#8UV98UJV8,라라라,0xffcb5aff,28000349,39851,43,남조선SouthKorea
43,#VP899UPL,AndreaAg2005,0xff1ba5f5,28000064,39841,44,ita
44,#PYUCVYVJP,Shadow,0xff1ba5f5,28000176,39838,45,ᗷᗩᗰᗷ🌳🌳ᘔᒪᗴᗪ
45,#PRRPVLL0R,<VL | Derek>,0xffcb5aff,28000235,39808,46,Mazatlan Sin.
46,#GJ9RPGLG,LaLYoU,0xffcb5aff,28000291,39779,47,💎DIAMOND💎
47,#LCLGR098U,°•ALEX_LUX•°,0xffcb5aff,28000280,39747,48,star club
48,#8YUR2CJ0J,Стреlok.P,0xffcb5aff,28000335,39722,49,
49,#89PQGRUC,RLB | LG02 YT,0xffff9727,28000170,39627,50,
50,#2PCCJ8GJ,Sir William,0xff1ba5f5,28000098,39398,51,MECHA BRAWLER'S
51,#L209J8R00,абалдуй,0xffffffff,28000196,39319,52,Вальхалла 🧔☠
52,#2J2V2QU8L,🥀⛩|Iku🐧ツ,0xff1ba5f5,28000095,39314,53,
53,#PL8LV2GU2,☃︎MᴏRᴛIsᵗᵒᵖ✌︎,0xffcb5aff,28000322,38848,54,Дети Донбасса
54,#Q9VCG9U2,GuilleVEG,0xffff8afb,28000291,38769,55,El Rancho
55,#8QYUL9LU0,1000-7?|бездарь,0xfff9c908,28000072,38752,56,
56,#208QLR9Y8,🥀Kuwait🥀,0xff1ba5f5,28000282,38657,57,♣️Happy Death♣️
57,#2G0Q9CQG2,평민,0xffa8e132,28000001,38444,58,
58,#9298LPJ88,Dieegucci,0xff4ddba2,28000305,38044,59,Darkfire
59,#8CJ0VPRQC,:) obmAnchiK,0xff4ddba2,28000132,38043,60,Black Sea🌊
60,#V0RLQYQJ,사가다,0xffa8e132,28000271,37961,61,동전 줍는 징징이
61,#22RGVVV8J,chóbert,0xffcb5aff,28000203,37875,62,ZeroTwo League
62,#8RCGJG92J,Mariets,0xfff05637,28000347,37809,63,громада
63,#PR98C0PY0,💘king|mix66🧋,0xffcb5aff,28000280,37798,64,TEAM BURZA⚡
64,#GJPY8YG9,CooL_PlaYerS,0xffffffff,28000000,37602,65,Coo1_P1aYeRs
65,#22GVRL8V8,JCE | REDPANDA,0xffa2e3fe,28000053,37573,66,JCE
66,#8CC09VLUV,BS|☔tt|jacob,0xffffce89,28000225,37406,67,Brawl Yann
67,#9VR98CQPJ,Flame_Stare🪐,0xff4ddba2,28000341,37363,68,Mamont SCAM👿
68,#8LL9J2VCU,face_calvisimo,0xffcb5aff,28000139,37274,69,
69,#22LLQGPRQ,Knups2.0,0xffcb5aff,28000095,37261,70,<c4>Brawl</c>
70,#8QUJJ8L9P,Cjastek,0xffa2e3fe,28000330,37100,71,Win Lane=Win
71,#PJ0VUG2LV,shadow fiend,0xffffffff,28000302,36968,72,серега пират <3
72,#PUPYYVV20,75년생 아재,0xffa8e132,28000305,36940,73,CoJi
73,#UPU8V00J,kiler Sanok,0xffa2e3fe,28000163,36908,74,МАГУРЯНИКИ
74,#LUCQ2LUP,ẞē3ŷнчűĸ™,0xffff8afb,28000002,36899,75,FeintClub
75,#Y8JLULUG,al3xxsp,0xfff05637,28000170,36871,76,
76,#29VC8JPLR,疯子| SolFiX🌩️🥀,0xffffffff,28000038,36802,77,<c3>TheBest</c>
77,#2QJ2CGVVJ,kaka,0xfff05637,28000023,36707,78,Black⚫️Friday
78,#YJVVPYVC0,Rodion4ik,0xff4ddba2,28000132,36644,79,🥷$ Samurai $🥷
79,#PPJRQ9QVQ,0 ik,0xffa8e132,28000228,36627,80,
80,#GGCVGCR8,Blud🗣️🔥‼️,0xfff9c908,28000292,36607,81,FAMILY C.C.
81,#2JRV9PLVG,rydza123,0xffa8e132,28000305,36588,82,Ziemniaczki
82,#9PYJY8PP0,batu is flawlez,0xff1ba5f5,28000129,36553,83,Stadtpark
83,#YUL8CRRVU,ARMA86,0xff1ba5f5,28000348,36539,84,peppa pig bg
84,#UQC2CJ0C,SPIKEбез даната,0xfff9c908,28000352,36386,85,melisssa!!👅
85,#GGG9UU0Q,Ryu(リュウ),0xfff05637,28000273,36260,86,NIUEANS ONLY
86,#882RP8YQ8,✨️Icy 97 YT❄️,0xff1ba5f5,28000290,36189,87,CarnageGame
87,#P8V8UL29Y,TheShuᶫᵒᵛᵉᵧₒᵤ♡,0xffa8e132,28000140,36133,88,KRAKEN
88,#2JCCCQJYG,Teen X,0xffffffff,28000297,36050,89,les bakas
89,#9GJRVGR9P,leon,0xff4ddba2,28000140,35955,90,semi cerchio
90,#RY29YCPJ,мудрій дед,0xffa2e3fe,28000064,35908,91,
91,#P0VQ0R0P9,🖤STAR🌠,0xfff9c908,28000279,35904,92,
92,#PC9CR2LPV,MMA|RyTp,0xffff8afb,28000023,35887,93,
93,#2CUJQ00LY,~🔱KING🔱~,0xffffce89,28000221,35735,94,Reign
94,#PJRJPL2UG,SorVigOlaVa YT,0xffcb5aff,28000135,35722,95,
95,#9LVUP0QUJ,🥀爱|Lenny🕊,0xffcb5aff,28000018,35696,96,☆DeutscheBande☆
96,#2VGJJGYJR,🐵LP ERZH2020⚽,0xfff05637,28000335,35686,97,DamBa
