,tag,name,nameColor,icon,trophies,rank,club
0,#RRCLPJVP,MZ|Lobb,0xffff9727,28000278,66455,1,Midnight Zephyr
1,#RYGQV998,WaterFlame 🪁,0xfff9c908,28000244,65655,2,FollowMyTwitch
2,#UGP8G9L2,frittern,0xfff9c908,28000095,63769,3,Midnight Zephyr
3,#898C20LVY,Angus,0xff4ddba2,28000206,63262,4,Midnight Zephyr
4,#98RLQQCCL,❤️Læreren din❤️,0xfff05637,28000182,63251,5,IKEA WARRIORS🦅
5,#29RY2JRVC,The Lord Of Dab,0xffff8afb,28000279,62836,6,Lonely Gods
6,#2C9UP928V,Nussi🧇,0xffff8afb,28000349,62783,7,🧇🧇🧇
7,#9CPQ0GUR,🐫Hippsi🤨📸,0xffa2e3fe,28000338,62559,8,Mystic Norway
8,#988QY8L0G,Master2121,0xff1ba5f5,28000114,61796,9,IKEA WARRIORS🦅
9,#89P909LJ,Ṩнᴉᾗᴉᾗ₲Ẃoʟғ,0xffffffff,28000352,61766,10,MagicClub🧙✨
10,#PVG0JQY0Y,Bella,0xffcb5aff,28000234,61592,11,Midnight Zephyr
11,#QLYV0LPQ,brigg65,0xffcb5aff,28000333,60514,12,Midnight Zephyr
12,#82YPCVQQG,leo,0xffa2e3fe,28000256,60167,13,astro
13,#2YG9QVP0V,FortniteGamer65,0xffcb5aff,28000110,59527,14,Midnight Zephyr
14,#9QYGPQUJ,Jegor TV,0xffcb5aff,28000280,59466,15,Силачи
15,#2C99UJ8UG,blabla,0xfff05637,28000228,59370,16,Ace crew Norge
16,#9YPLPVJ2,🌀|JO,0xff1ba5f5,28000308,59135,17,Midnight Zephyr
17,#GJRUVGQJ,Aksel,0xffffffff,28000213,59003,18,Lonely Gods
18,#2LLJYL099,Darkfury,0xffff8afb,28000304,58853,19,
19,#82LRYL800,HB | Billy,0xff4ddba2,28000339,58629,20,Hairy Boys
20,#VLUCL2VQ,Ivers,0xff1ba5f5,28000166,58310,21,FollowMyTwitch
21,#9RG8Q89U0,BlackPanda,0xfff9c908,28000334,57939,22,IKEA WARRIORS🦅
22,#8UP2UU200,Chris-Daniel 1,0xff1ba5f5,28000138,57592,23,IKEA WARRIORS🦅
23,#8QC82QUV9,bot 1,0xff1ba5f5,28000073,57556,24,Midnight Zephyr
24,#RU8UUYJ,Cursed,0xffff8afb,28000138,57381,25,Tribe Gaming NA
25,#VY09Q8RY,Hermanpingu09,0xffffffff,28000256,57175,26,Lonely Gods
26,#89VLY8U8L,⛩️Gamer1000BS🎋,0xfff9c908,28000348,56994,27,IKEA WARRIORS🦅
27,#PRPY08VVU,панда 2,0xffff8afb,28000349,56862,28,Zeitlos⚡DE
28,#R8RP0Y0U,Joss >.<,0xffa2e3fe,28000297,56807,29,The Crown
29,#99U0C22Q2,Trym💔,0xffff9727,28000138,56675,30,Midnight Zephyr
30,#YJUJQV2V2,Lecienga 🧚🏻,0xffffffff,28000201,56505,31,The Outlaws
31,#2988JJ0G8,ghoul mystic 🧛,0xffffffff,28000349,56415,32,🥀GF|GeForce🥀
32,#UVQC9QG2,magichawk,0xffa8e132,28000347,56297,33,Midnight Zephyr
33,#PU0GL8RYQ,Adri padri,0xff1ba5f5,28000301,55978,34,Midnight Zephyr
34,#9CJP2VYYP,꧁ꨄ꧂,0xffffffff,28000061,55973,35,RPG • Lonely
35,#2VRQ2VY2,Bikkje,0xfff9c908,28000273,55934,36,Bergen Brawls
36,#208UY8P9Q,MisterBanana,0xffcb5aff,28000315,55718,37,A Few Good Week
37,#LRPUCPQ2U,midnight,0xffa2e3fe,28000206,55626,38,REVENGER
38,#VVPYC9PP,Jackgamer71,0xffcb5aff,28000303,55344,39,Midnight Zephyr
39,#89YRURP8Q,Aron,0xffffce89,28000233,55317,40,astro
40,#PQ8QYL2R0,⚔️やiͥzzͣaͫᴳᵒᵈ⚔️,0xffa2e3fe,28000348,55291,41,Liopolus YT
41,#9YVLGUJY,MZ|B()()bieTrap,0xffcb5aff,28000045,55111,42,Midnight Zephyr
42,#JC020JJY,jotob,0xfff05637,28000201,54898,43,Fan Club
43,#29CLP98JC,MZ|ΨJAKOBΨ,0xffcb5aff,28000348,54718,44,Midnight Zephyr
44,#YR9LL2PG,MZ|L͢͢͢eҜkim,0xfff9c908,28000256,54691,45,Midnight Zephyr
45,#88J9CYUQJ,Tropo,0xffff8afb,28000225,54564,46,Midnight Zephyr
46,#PRG8RJR90,Enipoff,0xfff9775d,28000143,54488,47,TheAverageElite
47,#2R2LQCJQ,VAL|CantFitMyNa,0xff4ddba2,28000136,54415,48,💀Valhalla💀
48,#9V8JJCURV,MZ|tenma,0xffffffff,28000132,54304,49,DragonArmy
49,#22UYPCCJG,Wafels🧇,0xfff9c908,28000224,53925,50,Midnight Zephyr
50,#PR2V8LVGU,OLAV MASTER,0xfff9c908,28000124,53752,51,MASTER GANG
51,#9GYGLG9L,DRB | Milos,0xffff9727,28000283,53736,52,Det Runde Bord
52,#9RYG98UR,JW|nam banan,0xffff8afb,28000138,53717,53,Jungel Warriors
53,#2GY22JUR,Zimmaᴺᵒ,0xff1ba5f5,28000193,53640,54,Midnight Zephyr
54,#VRJ2R8G2,🌀|Al3x,0xffffffff,28000298,53169,55,Serenity🍃
55,#8Q0YGP8P,MZ|Ories,0xffcb5aff,28000136,53150,56,Midnight Zephyr
56,#PJVLYCG92,aang,0xffffffff,28000025,53138,57,TR EFENDİLER
57,#98VLYG98J,OneH_,0xffffffff,28000335,52959,58,
58,#8L922Q0Y9,fla superbako,0xffa8e132,28000170,52928,59,TheAverageElite
59,#YU0V99PV,Vetel,0xff1ba5f5,28000335,52918,60,qwackheads
60,#929009J0V,FISHTOBB,0xff4ddba2,28000218,52892,61,Fan Club
61,#JCUQ29YQ,artan,0xffcb5aff,28000032,52885,62,astro
62,#2PVR2QGU,Sigurd H.S,0xffffce89,28000078,52715,63,Midnight Zephyr
63,#QJG0RUQ9,🧸ZilvY|Sito❤️,0xffcb5aff,28000138,52712,64,Northern Esport
64,#YRQCJU282,👽Tobi👽,0xffcb5aff,28000003,52606,65,⛩️ТаПкИ⛩️
65,#P09CR0LGJ,KRISTIAN,0xff1ba5f5,28000164,52321,66,
66,#8YLQ0UJUQ,deathO,0xffa2e3fe,28000294,52122,67,Midnight Zephyr
67,#Y2908QCP9,TiMMi,0xff1ba5f5,28000057,52074,68,RPG • Lonely
68,#22RVQLJRG,ZETA|Shadow,0xff1ba5f5,28000018,52068,69,
69,#9QJVG98R,Groven,0xfff9c908,28000262,51882,70,Midnight Zephyr
70,#PP0R8GVLR,Phil O. Sopher,0xfff9c908,28000164,51659,71,only PRO
71,#9QRY8RPY,FunkyWrath,0xffcb5aff,28000247,51646,72,Cunnilinguists
72,#2YRCLR20Y,alpelua,0xff4ddba2,28000033,51628,73,Lonely Gods
73,#JQQGRV9C,۵GX Mixer۵,0xfff9c908,28000279,51590,74,botiha club
