,tag,name,nameColor,icon,trophies,rank,club
0,#2P08V02Q,⛩|žwřq🥀,0xff1ba5f5,28000134,74869,1,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
1,#UR20GG82,彼|𝑲𝑰𝒍𝒍𝒆𝒓〆,0xffffffff,28000271,67929,2,OG Mute
2,#P2P809VUQ,OM.L.1vs3,0xff1ba5f5,28000278,67223,3,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
3,#L88R8LPL,OM|BR$O 21🖤,0xff1ba5f5,28000341,66531,4,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
4,#2P002JQQY,お|𝓡𝓪𝓫𝓮𝓻 🐙,0xffcb5aff,28000041,65145,5,OG Mute
5,#P08PLQQ,GloRy|Hermes🔱,0xffff9727,28000291,64953,6,<c7>BLITZ</c>
6,#9Q8YU9J28,Aljabri ❦,0xff1ba5f5,28000167,63562,7,Reality
7,#9QU0PRJ9L,OG | Alfa :),0xffcb5aff,28000264,63193,8,<c5>OG Mute</c>
8,#QCUJP20U,عماني و افتخر,0xffcb5aff,28000290,61834,9,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
9,#8Y0Y0UVJV,GloRy JOKER🃏,0xff1ba5f5,28000156,61239,10,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
10,#9RU2V08YP,❄️|3ᵇᵒᵒᵈ|❄️,0xff1ba5f5,28000322,61093,11,D_FOX
11,#PCR9VC8GQ,⛩️|TôpG🥀,0xfff05637,28000349,60851,12,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
12,#9U9LP9Q,GloRy|🔱Zeus🔱,0xffcb5aff,28000335,60062,13,<c7>BLITZ</c>
13,#LGJJR22VL,🦊YT/𝐓𝑬𝑺𝐋A⚜,0xffff9727,28000272,59659,14,Mystic MidEast
14,#2LRCQ9C9R,Ahmed,0xff1ba5f5,28000004,59448,15,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
15,#9Q2UU2LUG,彼|𝑴𝒅𝒎𝒏〆,0xffffffff,28000126,59415,16,Gg|My Clan🥀🖤
16,#GCLGP9Q0,ᕼ𝕒ᗯ𝕒𝙞𝙞𝕒𝙣,0xffcb5aff,28000290,58121,17,InTeamRasur
17,#8UUYCQQJL,"我|𝑹𝑨𝒀𝑬𝑵""🕊",0xffffffff,28000279,57579,18,
18,#Y2R9J0LR0,Skills🐼,0xfff9c908,28000095,56892,19,D_FOX
19,#92YR2QLV2,A_almabsali,0xffa2e3fe,28000262,56575,20,بطاطس عمان
20,#90GPJ8PG2,المعتصم,0xffffce89,28000278,56547,21,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
21,#2UJ9PCJ80,𝑺𝑨𝑳𝑰𝑴|ҩ🥀,0xffcb5aff,28000349,56261,22,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
22,#PV8VPQYJC,ST | Joker,0xffcb5aff,28000335,56011,23,أسرار الحياهــہ
23,#PU9RGYG8V,彼|‏𝑯𝑶𝑶𝑫〆,0xffffffff,28000202,55399,24,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
24,#2829RLLUU,⛩️|m88x–10🥀,0xffa2e3fe,28000159,55055,25,<c5>سوالف</c>🌷
25,#G2YV9UPQ,™- ｉｖａｒ,0xfff9c908,28000207,55038,26,ميمو و العالم💗
26,#PULGCUG8Q,Aͥlgͣhͫaribi11,0xffa2e3fe,28000003,54930,27,🔥FIRE🔥TEAM🔥
27,#J0CU9C20,Mr. AnAs,0xffa8e132,28000281,54271,28,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
28,#90P8V289R,๛Ř𝐀ĞŇ𝐀𝔯ム〆,0xffffffff,28000297,54212,29,
29,#YRQP2UGG8,Snake ϟ,0xffcb5aff,28000211,54026,30,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
30,#P9VQ9Q0Q,الحسن 77,0xfff05637,28000263,53769,31,اساطير براول🤴
31,#22JY92URU,❖Ƭʜᴇ𝑍𝑒𝑟𝑜♡,0xff1ba5f5,28000096,53696,32,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
32,#8JU00JUUC,Z҉E҉R҉O҉🥀,0xffa8e132,28000140,53440,33,THE BEST
33,#80RPPYRJV,♕𝓚𝓪𝓢𝓹𝓮𝓻♕,0xfff9c908,28000290,53421,34,
34,#289RVLVL9,「🥀」〜無覇者🍂,0xff1ba5f5,28000050,53313,35,Arab Z World
35,#P9PRQRURJ,❤️محمد❤️,0xffffffff,28000130,53282,36,KSA|Carven✨
36,#PPVJCR9J0,✌القناص✌,0xffff8afb,28000129,53209,37,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
37,#9VG8L20U0,GloRy|King ⚜️,0xffcb5aff,28000337,53203,38,⚔️Arab❄Shield ⚔
38,#PGCG0P2C9,M3zooz77,0xff1ba5f5,28000262,52852,39,الحياة
39,#V0LYU2CG,Glory |⚡️Mntsr⚡,0xffffffff,28000140,52718,40,
40,#P0G8Y9UJV,❦𝑲𝒊𝒍𝒍𝒆𝒓❦★,0xffffffff,28000138,52571,41,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
41,#P0Y2PGJPP,Salim❦,0xffffffff,28000303,52365,42,الحياة
42,#8LQ0PYVGQ,mjesus96,0xffffffff,28000033,52311,43,Smurf n turf
43,#9VY8LU2VL,𝟾𝚋𝚒𝚝,0xff1ba5f5,28000100,52290,44,sabo G
44,#YJJPYUP,ṜẮṨṨẰḊḮ༻🇴🇲༺,0xffffffff,28000285,52194,45,Gg|My Clan🥀🖤
45,#2U0JY908,🍬|SubZero.🌊❄️,0xff1ba5f5,28000076,52154,46,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
46,#G08C8JR0,your teammate,0xffa2e3fe,28000305,51797,47,HIMAL
47,#8C0RJ0LQC,̶᪶؜اﻟ̶᪶؜ﻠ̶᪶؜ﻪ,0xfff9c908,28000314,51752,48,
48,#L0Y09809L,المدمر √,0xfff05637,28000347,51713,49,👑The kings👑
49,#88GQPJYUJ,ibrahim,0xffffce89,28000078,51618,50,<c4>OM</c>
50,#2QGRYGR9,mo1255,0xffff8afb,28000347,51357,51,<c4>OM</c>
51,#8PQ28PL9,『ʟᴀɪᴛʜ』,0xffffffff,28000150,51236,52,
52,#8CJ9UPUJV,GLORY|3mad🌀🔥,0xffffffff,28000349,51219,53,اساطير براول🤴
53,#9PYVQJV9,"《ALM》I ""KING""",0xffffffff,28000211,51039,54,الحياة
54,#822JQRVU9,i_i-D4RK 🌴,0xff4ddba2,28000203,50978,55,تحدي الملوك(👑)
55,#8GRRU9CJ9,OM|HA7 🖤,0xffff8afb,28000054,50956,56,OM|Team🖤
56,#9CR9YRLYY,🇵🇸Gandz🇵🇸,0xfff9c908,28000193,50937,57,Stroopwafel nr1
57,#P8C2QGYQ0,AR7HMソ,0xffffffff,28000037,50794,58,TkRx.
58,#2YGGPJ2L2,Aneo Yt,0xff4ddba2,28000271,50727,59,PRO LION YT
59,#PRV2URCVV,HMZ〆,0xfff9c908,28000299,50694,60,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
60,#U0QYUJY9,DIE|Mezo(•̀ᴗ•́),0xfff9c908,28000262,50500,61,⚠️D.I.E⚠️
61,#8P2JU9C8,Chang,0xff4ddba2,28000254,50434,62,Squish & Otter
62,#20LR090RU,𝒀𝑨𝑺𝑬𝑵|ҩ🥀,0xfff9c908,28000054,50376,63,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
63,#YG2GGGYUV,♛شُيَخ♛,0xffff8afb,28000305,50369,64,جمهورية العرب👑
64,#2R8LC2GC,TheWitcher,0xfff9c908,28000119,50296,65,ميمو و العالم💗
65,#29LUYU82G,lmao xD,0xffa8e132,28000128,50277,66,Arab Z World
66,#9GU22P0PJ,E҉/_A҉i҉p҉_/B҉,0xffff9727,28000333,50215,67,🧸🤍
67,#PPGY90GL8,Its|●■peluca■●,0xfff05637,28000320,50172,68,
68,#YQPVG8P9Y,kiro😁,0xfff9c908,28000286,50048,69,YT:STORY
69,#PRUYP8YU2,666 Alexis,0xff1ba5f5,28000271,50028,70,team fail
70,#YUJPV2QG,GloRy|ℳ𝔞𝔰𝔱𝔯,0xffff9727,28000061,49721,71,
71,#8C08QR9CQ,owks_1230,0xff4ddba2,28000290,49684,72,
72,#LL9R0CPG2,|7Oo👀or|🇴🇲,0xffffffff,28000229,49560,73,صحبه من ذهب👑🌹
73,#UJYYC8GU,𝓓𝓮𝓶𝓸𝓷,0xffffffff,28000348,49534,74,
74,#RLUYVQGV,₳₲Ɇ₦₮ 4҉7҉,0xfff05637,28000349,48950,75,Paradise™
75,#2CJYUUPP2,آحمـــد,0xffffffff,28000054,48872,76,WARRIORS
76,#PRPLLRRRJ,LUFFY,0xffffce89,28000262,48699,77,ايقونه زمانك 😉
77,#9C88RC9RY,NOMAN/NK,0xffcb5aff,28000281,48671,78,MaxDurBurgers
78,#29JJU8P,黒|ＫＵＲＯ,0xfff9c908,28000258,48561,79,Legendary squad
79,#28QU0QQQ8,not tfue,0xffff9727,28000225,48512,80,⚔️Arab❄Shield ⚔
