,tag,name,nameColor,icon,trophies,rank,club
0,#8Q2QG8YG0,ぼっちの剣士*メタスラ*,0xffa2e3fe,28000090,51474,1,香ばしい
1,#9JJLRPUCU,Mihai xsdc,0xffa2e3fe,28000058,50187,2,BLUBULLS
2,#202PUCVU9,Antonio,0xffff9727,28000333,47419,3,Lupin de copas
3,#2VJ0208,そおなんですか,0xffcb5aff,28000218,46529,4,PECEROS ARMY
4,#LC90UCLRC,حمودي,0xffffffff,28000341,45580,5,El Fra3na X
5,#YUQLYVGPR,Nick 05,0xffa2e3fe,28000294,45103,6,matnick210
6,#YPLPY2VC,INC|⚡️Yuriol⚡️,0xffa8e132,28000345,45014,7,Рабы W1ar4ik'a
7,#2PGV8VYQL,topkiller1gg,0xffffffff,28000132,44485,8,Everblast
8,#C08Y9PP9,말랑말랑,0xffcb5aff,28000002,44276,9,KOREA 클럽
9,#9PPPCRRRR,XeNoX,0xff4ddba2,28000223,44042,10,NAVI/UKR🥇
10,#YV2CPVLG2,🇺🇦DreamMaks🔱,0xffff8afb,28000341,44014,11,супер_україна
11,#8QY8Q20QG,mister kluska,0xff1ba5f5,28000159,43879,12,Nitki
12,#80VLC08LQ,阿盟仔,0xffcb5aff,28000305,43269,13,Internationals
13,#LVLG9GYPL,Thomas_6,0xffff9727,28000156,43121,14,CZ|Masters
14,#PPP88PLVQ,YT❄️ICE Jasin💧,0xffff8afb,28000196,42803,15,Mighty Brawlers
15,#889J98R2G,천재,0xffcb5aff,28000341,42724,16,IX Quantum
16,#98RPQU8UL,ТермінаТор 16,0xffcb5aff,28000286,42717,17,Чё по аниме?
17,#2VQVYG2JV,RoqueYT,0xffff9727,28000128,42630,18,AmorAEspaña
18,#9JYQJL89Y,|Gol3m’s Tv|,0xffa2e3fe,28000280,42521,19,nero tra i dent
19,#8VGYJ9U9V,Tiphaine,0xff1ba5f5,28000174,42424,20,Team
20,#2YG8R99VL,YT|Antoniux🖤,0xffffffff,28000341,42389,21,LaRicoChére🔥❤️
21,#P2GR9G9QJ,Dark🖤🥀Apple🍎,0xffffffff,28000139,42355,22,Tobbi Resort😊
22,#92P22VRL8,♦⪼Ⅿ𝕒𝕝ⅆⲓ𝙩ʘ☔️,0xffa8e132,28000183,42229,23,RG|Gaming🪐
