,tag,name,nameColor,icon,trophies,rank,club
0,#CUUCQRQ9,A-B-N-SYRIA,0xff1ba5f5,28000168,76449,1,BC*|Family*
1,#29JJCQULC,BC* |Crusher🍉,0xfff05637,28000175,76090,2,The rise
2,#YQGQCL0QG,Maivoys:),0xffffffff,28000138,65181,3,
3,#29VYQJJJU,𝘌𝘯𝘳𝘪웃,0xffffffff,28000080,64169,4,
4,#PURVRJQY9,❄️1v9|SÑÕW❄️,0xffff9727,28000116,61429,5,EG|Galaxy ll
5,#GGVCQUV8,SAVAGE>.<,0xffffffff,28000340,61187,6,ほ | KAYO🌑
6,#9R920PCJR,mounir,0xffffffff,28000175,61025,7,
7,#8RGLRJYUY,☔️Ibrahimᴷᴵᴺᴳ✨,0xffff8afb,28000302,60911,8,☠️ Zero Hour ☠️
8,#8R0VGC0VL,♡ HOSSEN ♡,0xff4ddba2,28000305,59432,9,MenAreUp
9,#QQYRR2CJ,TC | Pharaon〽️,0xffcb5aff,28000333,59338,10,✅TENGLE YT
10,#R2JV8U89,🐥Bєɗơ|ᴴᴬᵀᴱᵧₒᵤ,0xff1ba5f5,28000138,59335,11,
11,#2YVCJJLPL,Baraa Amsha,0xffff8afb,28000304,57597,12,☠️ Zero Hour ☠️
12,#8R08VP8C2,ابو عبيده🇵🇸,0xffffffff,28000260,57209,13,
13,#9VLLG8UCV,oday gaming,0xfff9c908,28000349,56405,14,🔥TEAM 7ARQ🔥
14,#YLC2LLUJ8,OMR85,0xff1ba5f5,28000019,56381,15,✨Commonality ✨
15,#C2V08RJC,king zaid 1,0xffcb5aff,28000150,56339,16,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
16,#8UQGJPCQG,YT|RDSMN,0xffa2e3fe,28000302,56093,17,D_FOX
17,#9P8VG2QV,-!>>مح|مد<<!-,0xff4ddba2,28000305,56079,18,Skills4Life
18,#C8VRY0GR,|™️Amrᴷⁱˡˡᵧₒᵤツ,0xffcb5aff,28000207,55891,19,
19,#9URQUYPP2,『ぱ|𝑳𝑼𝑲𝑨𝑺࿐❦,0xfff9c908,28000061,55277,20,𝐏𝐒シ︎𝐉𝐎
20,#YQLUQC09J,SF|KYOKA🤍,0xff1ba5f5,28000334,55270,21,black over
21,#90LRJ2YRQ,كودزيلا,0xffcb5aff,28000261,54745,22,العصابه الخطيره
22,#PGUUPR08,ツAlligaͥtoͣrͫ🐊,0xffffffff,28000136,54739,23,☠️ Zero Hour ☠️
23,#2Y2URGQ8U,TTM|Rayan🐙💚,0xff1ba5f5,28000112,54309,24,
24,#GGL00CJ,PU|『Thulsa』🖤,0xffcb5aff,28000281,54029,25,Perfect Unit
25,#PY0Q0Q22,〖ℳℜ〗ＰＨＯＥＮＩＸ 🕊️,0xff4ddba2,28000184,53732,26,BRAWL OWNER’S
26,#88PG22YQC,Brawler,0xffcb5aff,28000211,53434,27,BS Esport Elite
27,#PLRL0Y8GQ,Æŕẞ_ŶŦ|🇵🇸,0xff1ba5f5,28000129,53430,28,GAME OVERS-YT
28,#PGLY0GRGU,MR.Game UT,0xffa2e3fe,28000138,53302,29,Tribe Syria
29,#PQQL2LGR,Dr🌙Yehyaᴷᴵᴺᴳ✨,0xffffffff,28000291,53233,30,The rise
30,#YU8QU88VG,𝑴𝒐𝒅𝒊.🤍,0xffffffff,28000196,53203,31,Reply Totem DE
31,#PLJ888U,Nate,0xffff9727,28000218,52964,32,العصابه الخطيره
32,#PP9Q0R88Q,❥ᴋɪʀᴀ :'(,0xffffffff,28000121,52506,33,الناقة
33,#YYUQ9P2J9,mohanad ghzwii,0xffff8afb,28000023,52501,34,كلنا عرب
34,#8J2GR0G2P,RayQuaza💙Her,0xff1ba5f5,28000167,52443,35,<c9>Destiny</c>
35,#UU09QJ8C,あ|𝟕𝒶𝓂ℴ𝒹𝒴🥀,0xffff9727,28000347,52440,36,Soft Drinks
36,#28JJ022PV,thomferra,0xfff05637,28000290,52389,37,📀|ItR4d3s|💡
37,#9CRVJLCRR,isma pro,0xffff9727,28000061,52329,38,
38,#RRJVL2C9,DR•B҉o҉mbX×͜💥,0xff1ba5f5,28000137,52146,39,Gaming Station
39,#2PVJRQVP,Apollo,0xfff9c908,28000279,51940,40,Великие Апперы
40,#2PU2G29CJ,🥀Mohanad♡✨,0xfff9c908,28000138,51886,41,
41,#JVR290VJ,☠️(👑Tails👑)☠️,0xfff05637,28000335,51262,42,العصابه الخطيره
42,#889GG9CP8,Elite|Ahmad,0xff1ba5f5,28000017,51093,43,Me Elite
43,#9QYQ2GRR0,蒙玄|𝕸𝖊𝖘𝖔⸙❄️ツ,0xff1ba5f5,28000175,51079,44,💔NIGHT ANGEL💔
44,#2Y0Q8VLLC,TDF_bashar-_-,0xffffffff,28000183,50746,45,الناقة
45,#P0CG8C2J0,🍁ヅM̶i̶₴₴ØⱤɎ ❤,0xffcb5aff,28000303,50682,46,Bull's Team
46,#8LJY0RJ0P,DK⚔️| ADHAMZ❦⚜️,0xffffce89,28000061,50637,47,The rise
47,#PJCRU0URV,عصير برتقال 🍊,0xffffffff,28000139,50591,48,EG|Galaxy ll
48,#YQP2GLLPY,ابن فلسطين##,0xfff05637,28000271,50568,49,العصابه الخطيره
49,#2J9GUGL90,『螿🥀ᵃʰ₥₳Đ_ヅ』,0xffffffff,28000348,50447,50,The rise
50,#P22C2U299,⛩PŠ♡ÀMMÂŘ|アンマーツ,0xffcb5aff,28000159,50354,51,☠️ Zero Hour ☠️
51,#2URPCVLCG,فلسطيني وافتخر✌,0xff4ddba2,28000021,50332,52,Skills4Life
52,#20U0GVYL0,the king basher,0xffff9727,28000291,50328,53,كلنا عرب
53,#9G28QG8Y8,AMRWXXKING,0xfff9c908,28000097,50294,54,سراقب وبس
