,tag,name,nameColor,icon,trophies,rank,club
0,#8CVY0QY28,ㄓϟTʀᴜeɴᴏᵉˣᵒᵈᵘˢ,0xffffffff,28000335,56577,1,ChileanFighters
1,#2UY2J98CP,kametyane,0xffa2e3fe,28000023,51359,2,ガッチャー部
2,#89GLPUPLQ,Alex=™️☯️,0xffff8afb,28000023,51074,3,Dark Team
3,#2R9QYQLVG,NeRo|пожалей,0xffcb5aff,28000000,50288,4,FREEDOM
4,#9CCV0UQQR,h3ldrein 💕,0xffcb5aff,28000065,49124,5,X Legion
5,#9YGLGVRJ0,brolstaz,0xffcb5aff,28000333,48411,6,THE BEST CLAN
6,#2C089JVR2,SPA|🌿回歸天空⚔️,0xffa2e3fe,28000077,48401,7,SKy|天際軍團
7,#JCRYR9Q0,SM|Karmaz🐻,0xfff9c908,28000256,48291,8,Swárxś🩸
8,#YLYL2CPRV,####,0xffcb5aff,28000014,47441,9,GroteSpelers
9,#YRYRRJQYJ,[БАН] ВЕНОМ,0xff4ddba2,28000021,47250,10,ELITE|БеБрОїДи✅
10,#98LQG9PU2,Sandy,0xffcb5aff,28000302,47224,11,ELITE|БеБрОїДи✅
11,#28RCQ9GGP,brawler,0xffa2e3fe,28000332,46276,12,Mal1nky
12,#8YY0JC9G2,Starser,0xffffffff,28000210,46141,13,乂三廾丅升工
13,#9JJP8Q22U,KOEKY,0xffcb5aff,28000341,45505,14,Spirit Kicks
14,#YQ9C98VJ9,ㄥㄩㄥ乂乙乂シ︎,0xffffffff,28000139,44966,15,
15,#2LGPLUQ9V,mémé du 80,0xffffce89,28000333,44663,16,⛩ALPHA⛩
16,#V20LVUQ2,Kima🦦🩶,0xffffffff,28000167,44242,17,AFewAntitrader
17,#8JL922CUU,✭のｷｷﾚﾉ刀乇☂️,0xfff9c908,28000020,43897,18,NeverCry™
18,#8QYPRCLVV,KEROX☠İSLAM,0xffff9727,28000244,43509,19,|TR|eSporTs
19,#2UCV0RY8,ThG|QweEzo去,0xffff9727,28000009,43336,20,BBG
20,#2JG8LCR8U,Brawler,0xfff9c908,28000290,43319,21,
21,#LVGL829L,RevolvingHarpy,0xffcb5aff,28000220,43111,22,TEAM CMR
22,#8GYCJGGCU,RICEBALL™💫,0xffa2e3fe,28000255,42555,23,MechaMegArmy
23,#9202PQ0LU,⛩RASCO 64🎋,0xfff05637,28000272,42463,24,THE WIHZ
24,#PC2JJY908,☄️flex|star xD☄,0xffffffff,28000349,42421,25,BARYŁKI|DARYLA
25,#9900RJUJP,fireball,0xffff9727,28000098,42206,26,BEATS THE BULL
26,#2YQJJGVVU,peto,0xffff8afb,28000156,42186,27,CZECH KOFOLA
27,#LVLGCRR08,NateDiazzz,0xff1ba5f5,28000271,42069,28,Trap hata
28,#Y90Q0RQJQ,❄️ICE|ToPcHik❄️,0xffff9727,28000147,41917,29,УШЁЛ ИЗ БРАВЛА
29,#8C0UPLUPG,Hajdu007,0xffff9727,28000129,41847,30,❄️Ice❄️Mortis
30,#8CRCRVJ8L,Я БОГ ты никто™,0xffff9727,28000331,41799,31,пингвулы
31,#Q0V0L2QL0,ZL|ChiaChicken,0xfff9c908,28000087,41760,32,kings
32,#8QGC9VC0Q,NaVi|IlyaZha,0xfff9c908,28000136,41435,33,krisyatnik
33,#R9JR8R90,要|Ʀҡ⅞🪐,0xff4ddba2,28000259,41368,34,tigrefamilly
34,#P2LJGP8LL,dexen?,0xffffffff,28000139,41216,35,
35,#RYQLYP8Y,GX Andrea,0xfff9c908,28000221,41204,36,
