,tag,name,nameColor,icon,trophies,rank,club
0,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,83326,1,7 Dwarves
1,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,82589,2,No Mercy
2,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,81484,3,Emi's bar 🍻
3,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,81253,4,No Mercy
4,#YUGUVGYL,edson v2 🪐,0xffcb5aff,28000176,76773,5,You and me 💜
5,#88LYY92U,🎗️𝓑𝓾𝓭𝓪🎗️,0xffff9727,28000334,75859,6,Nҽɯ Sƚαɠҽ🎖️
6,#98VPCJQ0C,sr america,0xffcb5aff,28000267,75636,7,
7,#2PGRYULC0,◆Janđrø■,0xff1ba5f5,28000259,74866,8,No Mercy
8,#9PU89VL8P,JUP | Pïêrø🍫,0xffff9727,28000206,73339,9,7 Dwarves
9,#2PUY2QRCV,Kσαԋ,0xffffffff,28000183,72961,10,Nҽɯ Sƚαɠҽ🎖️
10,#2JY2LGGUJ,愛 Fernan,0xffffffff,28000244,72800,11,Nҽɯ Sƚαɠҽ🎖️
11,#ULJ298G,PE |⚡️Koba⚡️,0xfff05637,28000272,72790,12,ChileanFighters
12,#9VYVJP92Q,あ|𝙰𝙽𝙳𝚁𝙴𝙰❤,0xfff9775d,28000139,72714,13,Nҽɯ Sƚαɠҽ🎖️
13,#YJQ0Q2V8V,Cry |RainbowSix,0xff1ba5f5,28000243,72653,14,
14,#URYL2JU2,ᶜᵗ|♡︎20/04♡︎シ︎,0xffa8e132,28000179,72366,15,Nҽɯ Sƚαɠҽ🎖️
15,#2RQRYR2G2,愛|Kristofer🕊️,0xffffffff,28000348,71888,16,7 Dwarves
16,#Q0RQ08UR,JosNav24,0xfff05637,28000305,71634,17,Banda Nocturna
17,#29Q9GGJG,Tumzo,0xff1ba5f5,28000000,71540,18,<c7>Hive. </c>
18,#PVRRG0JL,⚡Thunder ⚡,0xffff9727,28000343,71509,19,TheWarriorS
19,#8QRVVRRVP,¤ kai <,0xffffce89,28000233,71321,20,Nҽɯ Sƚαɠҽ🎖️
20,#99088JQ8Q,ᴋᴄ|ʟᴜɪͩᴄͤɪͣᴛͩᴏ临,0xff1ba5f5,28000349,71224,21,No Mercy
21,#8RRR9LC8,Crazy|Luis 🤍🦁,0xffffffff,28000179,71152,22,Family Barza
22,#8GLUVYQPC,あ|Ｓａｓｏｒｉ父,0xffcb5aff,28000332,70711,23,🧀MUSSARELOS✨
