,tag,name,nameColor,icon,trophies,rank,club
0,#92VRUP8PY,Instinct🖤,0xff1ba5f5,28000090,71032,1,Brawl King's
1,#GR89988P,TTV|Moutinho_27,0xffa8e132,28000110,70724,2,Team Alpha
2,#2GCRQLPJR,joker jùnior,0xffff8afb,28000321,69894,3,SY Origin
3,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,69724,4,
4,#GJQ2G9YL,𝚣Lars𝚇🦋,0xffffffff,28000341,66979,5,vMoove
5,#8Y98QULLU,Gonçalo Melo,0xffa2e3fe,28000129,66597,6,King
6,#89PYLG0Y,༄Berko ♛,0xffff9727,28000286,66591,7,Home Of Esports
7,#9JRP0P2CR,『ϟRibeirix🪐』,0xffffce89,28000247,66414,8,Bonsai 🥢
8,#2U2QGL20U,✨Miguel Â✨,0xffffffff,28000004,65642,9,The Real World
9,#PRYPG9LRJ,❦|Tuga18个,0xff1ba5f5,28000167,65342,10,The Real World
10,#RLPGCLRC,guiiiiiiii,0xfff9c908,28000095,65000,11,Team Alpha
11,#82U9GYQR9,𝐀𝐥𝐞𝐱𝐳🔥,0xffff9727,28000247,64254,12,HeadShoterZ💣
12,#9VPPJV8RG,Diogo 〆,0xff1ba5f5,28000167,64172,13,Team Alpha
13,#222QUG9L9,GPC･웃是,0xffcb5aff,28000109,63819,14,The Real World
14,#228J8R9Q9,PitaØ7,0xffcb5aff,28000129,63095,15,The Real World
15,#2R0VLULRJ,Fábio🤍ナタリア,0xffcb5aff,28000081,63079,16,Only friends🔥
16,#2JLGRVGGG,·𝘛𝘺𝘳↯💯🖤,0xffffffff,28000070,63020,17,The Real World
17,#9P92YCG29,prm,0xffcb5aff,28000058,62816,18,ABF Sports
18,#C2L08GU,FuRa,0xffa2e3fe,28000308,62682,19,King
19,#299R9YV8V,🔮|ᴇsᴘɪɪ¹³💘,0xffffffff,28000025,62431,20,The Real World
20,#89UQ9JY9U,lyod🏂,0xff1ba5f5,28000259,62379,21,tontonflingueur
21,#9RUGG0P02,Maikal,0xffa2e3fe,28000294,62253,22,King
22,#2RLY9QRRC,♧Abner_Ghost♧,0xff1ba5f5,28000058,62234,23,Tropa da Night☠
23,#8VPLCJVG9,𝕯ι͢͢͢σɳ〆,0xffcb5aff,28000082,62133,24,ReqNord SquaD
