,tag,name,nameColor,icon,trophies,rank,club
0,#2Q028GQQP,MTM | Zeus,0xfff9c908,28000018,71694,1,NA Friends
1,#LYR0Q9C,TRB | Zoulan,0xff1ba5f5,28000138,69754,2,Tribe Gaming NA
2,#JVCC9,Hammer❤️Suletta,0xff1ba5f5,28000334,67500,3,Black Hearts🖤
3,#PV2PRV9J2,STMN|MikiSaw🖤,0xffff8afb,28000321,66231,4,Latam Crew
4,#Y9CJCQ0YJ,愛~TitoZ♕,0xffcb5aff,28000001,65335,5,HeadShoterZ💣
5,#20QGQ9C,Chompi🩵,0xfff9775d,28000067,63145,6,Tribe Gaming NA
6,#82RCQCVG,MTM|Lxffy,0xffff8afb,28000014,62685,7,NA Friends
7,#YQRVL8V,¤£UII¥O☆PR99¤,0xffcb5aff,28000305,61478,8,Scots
8,#2V8P0900,SWAR JONIEL,0xfff9775d,28000333,61398,9,Home of SKILL
9,#99Y8YCPU,Snoopy Nooby Do,0xffa8e132,28000206,61000,10,ENDGAME PR
10,#8820PPUC,Guillermo64,0xfff9c908,28000034,60993,11,Tribe Gaming NA
11,#82PQYQ9VJ,DᴇʀᴇᴄᴋNᴇᴜᴍᴀᴛɪᴄᴏ,0xfff05637,28000348,60721,12,LEGENDARYS
12,#LQQRCGJ2,Kaizen|被才,0xffff9727,28000323,60454,13,Scots
13,#9Q2820GYJ,Abel🐣💛,0xfff9c908,28000299,59855,14,Moonlight 🧚🏻
14,#9Y8J29QUC,𝑪𝒉𝒐𝒌𝒚𝒚🧙,0xffffffff,28000123,59623,15,家DarkMoon|🖤
15,#GLQJP2L,𝐋𝐢𝐭𝐚🦋,0xffcb5aff,28000212,58905,16,STMN Esports
16,#2GPL0P8LL,🥀|Daly🧚🏻‍♀️,0xff1ba5f5,28000018,58356,17,MNX<c5>DARK</c>
17,#LCQYG080,Neko1up🉐,0xffff8afb,28000098,58044,18,ENDGAME PR
18,#2YQ8VG2UQ,Xykion,0xffcb5aff,28000218,58026,19,Black Hearts🖤
19,#GURQ9GQL,EG|San's Shiber,0xff1ba5f5,28000304,57305,20,ENDGAME PR
20,#228GQL2RQ,Moltuss🎴,0xffff9727,28000267,57279,21,ChasmacGaming
21,#8Q0RP8YG,Chris 🧃,0xffffffff,28000140,57103,22,ChasmacGaming
22,#9PYG8U0L,shemy|bichota🌺,0xffa8e132,28000175,57087,23,ENDGAME PR
23,#CPGGUYU,NiNjA BoY,0xffcb5aff,28000305,56994,24,Black Hearts🖤
24,#UPQ9YV8G,ᴮᴵᴳFlomerツ,0xfff05637,28000347,56900,25,Supercampeones
25,#89PC2JVUL,CahZeD,0xffffffff,28000339,55911,26,
26,#2UCPUY988,Bot 5,0xff4ddba2,28000345,55881,27,JDE
27,#YRQ880UUG,⛩|Luis64|🎋,0xff1ba5f5,28000179,55746,28,Distant Legends
28,#2YJR909CJ,edu,0xffff8afb,28000225,55561,29,Mayabang
29,#2J08LQQGV,YxviEr🐏,0xffffffff,28000197,55349,30,Black Hearts🖤
30,#98892V99P,ㅂㅏㄴᶠᵐ😴,0xffffffff,28000348,55298,31,Sakurasō 🌸
