,tag,name,nameColor,icon,trophies,rank,club
0,#2Q0QYY80C,Jackツんﾌﾒ,0xffff8afb,28000226,65278,1,
1,#9QG8JRJ,PRiNCE QtR,0xfff9c908,28000272,62935,2,Arab Nation™️ 2
2,#9UYY8RJY,SF|JordanJR,0xffffffff,28000234,62876,3,505 ESPORTS
3,#Y9GL80RY2,roro,0xffcb5aff,28000139,57905,4,Arab Empire
4,#82P9882U,stormfox,0xffff9727,28000305,56162,5,TXLR_Q
5,#9LP2RQPRY,Doppo Orochi 〽️,0xffffce89,28000247,55431,6,
6,#Y9GL889QU,AZØZ,0xffffffff,28000014,54804,7,ToMaN |あ
7,#PLUJCGLYQ,..А𝒅áⅯ🥀🧸,0xffffffff,28000256,54230,8,☠️ Zero Hour ☠️
8,#LC28GPRP,c☪️cOTTOMANc☪️c,0xff4ddba2,28000151,53573,9,༒イℏ℮ KɨηℊS♛
9,#9VCJGY9UU,hunter,0xfff9c908,28000159,52933,10,BEHIND TRUST
10,#VLYCRQP,SB|MoonCrystal,0xffcb5aff,28000198,52156,11,snowball (;
11,#8998CVCU,SB|Najla🍪,0xfff9c908,28000213,51627,12,snowball (;
12,#2GYJPYG0R,LegendAws,0xff1ba5f5,28000077,51608,13,Rampage
13,#90L0QQLGY,saftix,0xff4ddba2,28000000,51607,14,
14,#GJVPJ898,DerpiNoob,0xfff9c908,28000087,51490,15,SuperStarS
15,#9GQVGUU2,Ranch,0xffcb5aff,28000259,51260,16,Hell Imperium
16,#PG29UJP8U,Nelson,0xffcb5aff,28000091,51235,17,Payzen looks up
17,#20VL920CP,𝔸𝕝𝕖𝕩🪼,0xffff8afb,28000196,50665,18,The Hideout
18,#CP8UCP0R,mh80,0xff1ba5f5,28000333,49859,19,𝑅𝑂𝑌𝐴𝐿𝑆♕︎
19,#29YRYPP8Y,GoldenBullet,0xffffffff,28000229,49773,20,Team Jani
20,#YRULGV8,Triple-B,0xffcb5aff,28000265,49768,21,
21,#92YGUC0CL,Y̸o̸u̸s̸i̸F̸ 🥀,0xffffffff,28000004,48952,22,Me Elite
22,#9QJCG899J,BOSS,0xffcb5aff,28000219,48947,23,LR Gaming
23,#PRRJPG0JJ,𝑮𝒉𝒂𝒍𝒊𝒂𝄞,0xffffce89,28000341,48735,24,∞|Barcelona💙❤️
24,#9CGUQJVG2,Sky,0xff1ba5f5,28000272,48509,25,EG|Galaxy III
25,#Y2Y9RUC0Q,楤|BARO🖤⇝,0xff1ba5f5,28000233,48392,26,楤|FRIENDS🖤⇝
26,#YGLG2JQL,Apache,0xff4ddba2,28000197,48301,27,G.FANS
27,#92J82QJRP,REYZUMxGOD,0xffff8afb,28000166,48103,28,Brawl Legends
28,#RPYU90R,abm,0xfff9c908,28000225,47875,29,QTR
29,#LJQ2C9Q9Q,ВАЛЕРОН,0xffff8afb,28000132,47707,30,геи
30,#L09LC8QRQ,Mk,0xfff9c908,28000273,46902,31,QTR
31,#P2L2V9YL0,Sven〆,0xffa8e132,28000349,46882,32,J-L
32,#P8RGYVRYY,ruslan __lk,0xffa8e132,28000249,46666,33,
33,#2QQL9G0C,brawler59,0xffcb5aff,28000164,46543,34,
