,tag,name,nameColor,icon,trophies,rank,club
0,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,82809,1,HolyGuns
1,#Y22RU8YQ2,Seis,0xffcb5aff,28000159,80000,2,Brawl King's
2,#82UCLY9C8,Kronos🇧🇷,0xffff8afb,28000029,77718,3,Brawl King's
3,#99JRGQ0C9,King⚡️,0xffcb5aff,28000135,75192,4,Affective.
4,#9LYQR9QC,Stas.,0xffff8afb,28000321,73762,5,Affective.
5,#8RVLRVYYP,yeiyei,0xfff9c908,28000281,73205,6,Ex0tic-E-Sport
6,#82VQ08J0V,違|Syth.,0xffffffff,28000284,70636,7,RoStars Academy
7,#8PLLQ2C0,Gaby🥶,0xff1ba5f5,28000014,69585,8,FREE MM
8,#2PRY2V002,Arlan🪐,0xff1ba5f5,28000150,68726,9,RoStars Academy
9,#2UPQP9VRV,🌴Coco🥥,0xffffffff,28000139,68454,10,Affective.
10,#P2RUVQGY,メSteff💙,0xffffffff,28000000,68268,11,RoStars Academy
11,#90LR0LU8J,🌴Ruben🥥,0xffffffff,28000139,67093,12,Affective.
12,#299GL0L9,AndReYレーゲル,0xfff9775d,28000348,66812,13,Affective.
13,#PRVRG99QC,alekzz愛,0xffffffff,28000139,66779,14,Affective.
14,#2P0V8CGGU,➳Torm3nto↯,0xfff05637,28000047,66743,15,Master Team
15,#80C2CUCU8,TRD|Axstro,0xff1ba5f5,28000129,66698,16,Brawl Kings's
16,#9LLJ82JPC,Cheese🐀❤️‍🔥,0xffff8afb,28000029,66432,17,Affective.
17,#89P8CCYL8,Dubby💙,0xff1ba5f5,28000332,66238,18,RoStars Academy
18,#8Y8298VJG,₮Ɽ₩|Biscuitos🃏,0xffffffff,28000261,66234,19,
19,#2Q0RV2YYP,Rares❤️‍🔥Pizza,0xff1ba5f5,28000175,66142,20,Gałaxyy.
20,#P0CQUGPV,xStitch❀,0xfff9c908,28000233,66127,21,Her💗
21,#88RLYGC0Y,🔥Leͥgeͣnͫd💦,0xffcb5aff,28000156,66052,22,Elite|Power🇷🇴
