,tag,name,nameColor,icon,trophies,rank,club
0,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,89275,1,
1,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,84591,2,Ex0tic-E-Sport
2,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,83149,3,Quant ESports🐾
3,#CJP08CU0,Uriel,0xffffffff,28000135,81475,4,Brawl King's
4,#GJ9PLGPL,ReSn|Snake🐍,0xff4ddba2,28000101,81119,5,Lose?
5,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,80338,6,Quant ESports🐾
6,#2082JRYUV,GooD•G,0xffcb5aff,28000033,80228,7,<c5>Just Us</c>
7,#8YQV9UPRL,AvalSElguu🌫️,0xffffffff,28000331,80201,8,MEGATROLL
8,#JRYLGVYV,QLS|Glory™️,0xffff9727,28000132,80045,9,Ex0tic-E-Sport
9,#VCPJQQ,Jealous🤍Y,0xffffce89,28000196,79194,10,люблю даню<3💓
10,#JGCCGY80,prostislavv,0xffff9727,28000042,79164,11,BOBR gaming
11,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,78351,12,TyM`eSports
12,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,0xffffce89,28000237,77924,13,Quant ESports🐾
13,#20QUGCVQ9,Mirrox 🐺,0xffffffff,28000345,77808,14,HolyPower
14,#2098RP8RJ,crayola,0xffff8afb,28000224,77194,15,amphibianman
15,#2PC29VJP0,feyen✞,0xffffffff,28000000,76088,16,Real Ones
16,#VUC2U2QC,Warn1nk;(,0xff1ba5f5,28000196,75201,17,Real Ones
17,#2YL2C0RJ2,DimbaZZ💞tanuve,0xffff9727,28000299,74428,18,Purple Wave
18,#809ULJU2,KLIMtm,0xffffffff,28000151,74214,19,take a break.
19,#9PUVU80G2,Sᴀᴅ💔ᴄᴀsᴘᴇʀッ,0xffffffff,28000176,74112,20,HolyPower
20,#9CPP2CJQ9,WhyLansik?,0xffff8afb,28000321,74058,21,Tribe Turkey
21,#8C0PLGQRV,Duo♡nubik,0xff4ddba2,28000254,73950,22,Quant ESports🐾
22,#9GRP8LR09,sad💔kekcik,0xffa8e132,28000011,73706,23,
23,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,73339,24,KingdomRush
24,#2LV8CQ0YP,ARX | Fint,0xfff9c908,28000224,73209,25,Game House
25,#9U0G8JPU2,mir,0xfff9775d,28000232,73098,26,Talents
26,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,73007,27,Quant ESports🐾
27,#8J0JR80PC,AfizCZ,0xffff8afb,28000317,72944,28,KingdomRush
28,#Y2QGGY29,Born to Live♡,0xffffffff,28000254,72457,29,LaWs Controll
29,#229P2Y82P,BRO STARS YT,0xffff9727,28000299,72338,30,BRO STARS TEAM
30,#8VJ8GJR2,Nova💔Winkiii,0xffa8e132,28000148,72310,31,Quant ESports🐾
31,#299PPJ22L,[MMA]nagibatori,0xffa2e3fe,28000235,72288,32,Showdown💔Kings
32,#208PRL8JV,игрушка отчима,0xffffffff,28000058,72268,33,Dr eSports
33,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,71833,34,
34,#PP8GYPRGP,WhyTrttt?,0xffffffff,28000212,71597,35,
35,#P8JYVY0VC,PaYa|Rubix⚡,0xff1ba5f5,28000024,71361,36,HolyPower
36,#99J9898J,teiikeeスイク🤍,0xffffffff,28000335,71258,37,nичtozheзтvo
37,#YCQ29Q0UG,iFixaaaaa.🕊,0xffcb5aff,28000023,71033,38,<c0>PWNZ</c>
38,#8J98RQJY0,HowToLive🕊️,0xffffffff,28000341,70949,39,Lord dragon
39,#22VCCL88G,🌪️ʜᴜʀʀɪᴄᴀɴᴀ🌪️,0xffcb5aff,28000302,70873,40,Hurricana gang
40,#8RCQLG0RQ,Duo♡Zey4ik,0xff1ba5f5,28000210,70730,41,Quant ESports🐾
41,#PQ0Q0G0CC,𝑨𝒊𝒛𝒆𝒏💜星,0xffcb5aff,28000347,70378,42,Anteiku☕
42,#G0LYU9JY,YNS|CAmPErr🌃,0xffa8e132,28000262,70149,43,<c0>PWNZ</c>
43,#YGU20CRG,vital shark,0xffcb5aff,28000291,70115,44,Talents
44,#2LQUCUC0U,Fury,0xffffffff,28000014,70098,45,Kings ladder
45,#9R8LRU0CY,SK|Zeus! ⚡️,0xfff9c908,28000090,70022,46,Mental Illness
46,#8022L9GPQ,Duo ♡|Druid100,0xffff8afb,28000000,69954,47,THE PRIDE
47,#VQQ2R09Q,маленькi ярче🥹,0xff1ba5f5,28000201,69661,48,all conditions
48,#9U8QRLQ98,✬FantoMchiK⁶⁹♡︎,0xff1ba5f5,28000304,69590,49,Ambition♡
49,#UYCUR9C8,only deluin vw,0xfff9c908,28000058,69304,50,AFGM GENESIS
50,#LJ8UL0J00,Vovchik GreekYT,0xfff05637,28000023,69291,51,★Art of War★
51,#2VYPRL8LV,KTD|Blood🤍M,0xffffffff,28000336,69208,52,RofloSt4ck
52,#8QCPRQL29,DS|Danik💘,0xffffffff,28000244,69201,53,Wasted🥱
53,#2CRRJ9889,Lisooo🧸🍫,0xff1ba5f5,28000167,69191,54,Revaible 💗
54,#20YG0JQ9C,legendzz💕🥶,0xffffffff,28000167,69176,55,DED MAZAI
55,#VLRRYV0V,ᴼᴾClown♡,0xffffffff,28000193,69152,56,TRIBUNVL
56,#9YVC0GLYC,GеMir❤️‍🔥,0xffcb5aff,28000207,69101,57,
57,#2022J9P0G,Ŧroyan,0xffffffff,28000177,69026,58,WeGamers
58,#PLPLYRCJR,Ëжик TV,0xffff9727,28000018,69001,59,Quant ESports🐾
59,#8CRU0JRUV,Desse❦,0xffffffff,28000210,68941,60,A Few Kиски
60,#2RQ9Y0UV0,Dxik?,0xffcb5aff,28000290,68886,61,Kings ladder
61,#29U9RCRRV,DT|Dark 🦇,0xff1ba5f5,28000322,68807,62,Purple Wave
62,#80JPLGJYL,TI|ПУТЬ ЛЕГИ,0xffff9727,28000132,68754,63,Импрессив
63,#LJJ22Y8V,łepkor🌹,0xffffffff,28000331,68706,64,HolyPower
64,#9QYQ9YJV9,Marveleetos,0xffff8afb,28000247,68657,65,HolyPower
65,#P0CUU2LV8,iTim95,0xfff9c908,28000284,68605,66,KingdomRush
66,#20Q98CL02,crybaby🌸,0xffffffff,28000057,68568,67,Dysphoria
67,#89Q0GQJJG,🍌NaNi BaNaNi🍌,0xffcb5aff,28000299,68555,68,Quant ESports🐾
