,tag,name,nameColor,icon,trophies,rank,club
0,#2QG8L0JVC,ZR|Wati,0xff1ba5f5,28000135,56070,1,
1,#PL8890RG,Главный vitaляض,0xff4ddba2,28000021,55301,2,
2,#8C0LRPLL,Star💫ᴬᵖᵉˣ×͜×,0xfff9c908,28000341,50433,3,★₮ĦɆ ₱Ⱡ₳¥ɆɌ$☆
3,#80VJY2R9Q,™ MeLonTi ™,0xffff9727,28000090,49048,4,<c7>KTG</c>
4,#8JQP2LPL9,тимоша нагибоша,0xfff9c908,28000247,48020,5,
5,#88QP9CJ0R,𝔊𝔯𝔦𝔪𝔢𝔰,0xff4ddba2,28000246,47703,6,SK RUSSIA
6,#RJLL9U2P,★彡𝒗๏𝒿c𝖎𝒏о彡★,0xfff05637,28000252,47587,7,
7,#8JJ998RLC,креш,0xff1ba5f5,28000284,45576,8,GopaSq
8,#8PGJLPR9Y,☆Omurbek☆|[777],0xffa2e3fe,28000014,45551,9,Dragonika
9,#80L89LRLR,Andrey@,0xfff05637,28000271,44994,10,
10,#9YY0QUYG2,Maxti,0xffffffff,28000347,44935,11,Dark Ghost
11,#80G28Y98J,𝙁𝘿|₲ꝊŁĐɆꞤ(:🖤,0xfff9c908,28000132,44551,12,Dark team
12,#LCRUR8UJU,PRG |patC,0xff1ba5f5,28000128,44357,13,
13,#Y2C98CJGY,Муратов Артём,0xffa2e3fe,28000037,43833,14,Снайпер SVD
14,#2V29VRC0Y,🔱|☆Angelo☆|💦,0xffffffff,28000219,42998,15,The Chosen Ones
15,#L9CVRQ20Q,bob,0xffa2e3fe,28000033,42965,16,brawl stara gem
16,#9QCL2Y28Q,Ale@sport,0xfff9c908,28000312,42816,17,Black Shark
17,#8R0VUGUGG,SK | ZONER,0xffcb5aff,28000332,42582,18,мефчик
18,#8VVQ9PP22,스트레스유발암브롤,0xffa2e3fe,28000305,42525,19,판타스틱ㄱㅇ클럽
19,#Y20V9J9RY,Изи лега,0xffcb5aff,28000293,42453,20,rukablud
20,#9RL9PLQ8,BY|Listo4ek,0xff1ba5f5,28000024,41816,21,SHPANISQUAD
21,#9GJY0PPPL,АРСЕНИЙ,0xff4ddba2,28000253,41565,22,про777
