,tag,name,nameColor,icon,trophies,rank,club
0,#CYRVV0Y,GØD | TheChaův✝,0xffff9727,28000262,58608,1,Adulte France C
1,#9YJJR0GC8,Lindtsay974,0xfff05637,28000104,58325,2,Neverland
2,#9YU9UC8VP,Albatar,0xff4ddba2,28000249,54919,3,les tryhardeur
3,#YPUJGRGPY,Isechess,0xffa8e132,28000156,52942,4,PERIFAMILY
4,#82CC8Y0QQ,Gryffender5,0xffffce89,28000037,52906,5,
5,#99YQLGR8G,darius,0xff1ba5f5,28000222,52201,6,
6,#8JYUVRQC9,❥Poussinet ♛,0xffff9727,28000262,51895,7,
7,#PP8QGR9J,ToXiKk-SmOKK,0xffcb5aff,28000305,51569,8,-Elite Team CH-
8,#2GQ0822UJ,bugha974,0xffa2e3fe,28000308,50227,9,FairyTeam
9,#Q8JYGGUUV,BZH|Thoges,0xfff05637,28000081,49954,10,|BZH|
10,#20Q0Q80QJ,Guilty974,0xff4ddba2,28000341,49861,11,Unima III
11,#89J82QU2L,Raptor_974,0xff1ba5f5,28000193,49824,12,ZC esport
12,#8R9UQ0LG,꧁ঔৣ☬💎𝕯𝖔𝖑𝖐,0xffcb5aff,28000297,49455,13,L&P|Łenğenđary
13,#922P8GLYJ,☄️SG | Enzo23🌋,0xffff9727,28000064,49307,14,Spirit Gods Duo
14,#22G8R88P2,Zorkush,0xfff9c908,28000259,48883,15,Bakers Union|Fr
15,#P00RGQL0C,CryingXel • 憂愁,0xffff8afb,28000028,48805,16,
16,#9VRYJLJYC,UTC_TES_NUL,0xffffce89,28000280,48781,17,
17,#8C9U08220,Алексей,0xfff05637,28000252,48776,18,Pgtory X
18,#22J8R8U2L,Tiger,0xffa8e132,28000259,48617,19,ICE Gamers
19,#YVPJQ9G29,SoLdJaH974,0xff4ddba2,28000195,48374,20,
20,#92Q0VV82L,𝕄ℂ|ℕ𝕠₥ɆⱤ₵Ɏ🌔,0xffcb5aff,28000014,48246,21,Etti💫EmzBS
21,#9L09GRPLP,ᴋɪɴɢ | ᴅɪᴍɪ®,0xffff9727,28000299,48146,22,supercellstudio
22,#8CYCJPYQ2,LE BOT 5,0xffff9727,28000341,47817,23,HUNTERS CABIN
23,#8PRL08RP9,☀️𡷊水｜Odile 🌊,0xffff9727,28000341,47341,24,Bakers Union|Fr
24,#JYL2PGGG,nova,0xff1ba5f5,28000284,46699,25,Adulte $ Gang
25,#2V80PP29J,maze,0xffffffff,28000291,46668,26,-Elite Team CH-
