,tag,name,nameColor,icon,trophies,rank,club
0,#8UGUQ2JVR,Go|Gabrilele352,0xff4ddba2,28000332,52181,1,Sky House ☔️
1,#LGG29LPC2,Prowait TY📺,0xffffffff,28000286,51457,2,Slt|la terre 🌍
2,#2G8QL0R92,🧀сырок🧀,0xffcb5aff,28000331,50451,3,TT|bs:Army
3,#PG82JLPVP,❦bɇs₮❦sou,0xffff8afb,28000121,50362,4,初心者の会1
4,#8GPY28P2C,cool02,0xffcb5aff,28000003,49444,5,
5,#LRV28PRRQ,Lackaffe,0xff1ba5f5,28000300,48462,6,TC MODE
6,#80R2899YL,irtert,0xfff05637,28000155,48304,7,Anti shaudown
7,#Y0YP02VJR,хакер560🤬,0xffa2e3fe,28000224,46429,8,🃏賭ケグルイ
8,#PU89YQGQQ,zidouken,0xfff05637,28000009,46402,9,NEW BRAWLERS
9,#9G22YULLU,😈$ha₽k😈,0xffcb5aff,28000288,45269,10,Husky club
10,#PLPLQ0G9G,BY|Eiveryneest™,0xffcb5aff,28000156,45009,11,RiddleS🦮
11,#9Q2UR8GUG,GOOD MAN,0xfff05637,28000130,43812,12,krokokoti
12,#8C822U0GC,TP|Mario☔,0xffcb5aff,28000247,43661,13,ChillOG
13,#2VUY9880Y,qwerty64,0xffa2e3fe,28000320,43591,14,Nice Gaming
14,#80VPYYVQU,emi wq 🤯•,0xffa8e132,28000332,43199,15,Emi wq 🧠
15,#C9J0JLPJ,YT/мармок,0xffa2e3fe,28000077,43125,16,APRIORI III
16,#VPJPQYVG,Gercog666,0xffcb5aff,28000038,42734,17,💜ДЕТДОМ💜
17,#2G2YY8VUP,👿 ☆ĐƏMØŇ☆ 😈,0xff4ddba2,28000183,42355,18,ASTRON Gaming
18,#L99GJVL9L,彡Ɗค𝐍𝖎乇𝖑࿐彡,0xffff8afb,28000275,42239,19,Kosovo's owners
19,#9CVQC82PV,Brawl pass,0xffa2e3fe,28000297,42083,20,Primo Punch
20,#YJ8GQYQ89,Ash-smash🏴‍☠️,0xffffffff,28000132,42006,21,SAINT🥀🕸️
21,#2C0VLYVP2,VØ€Ê®2020,0xffffffff,28000264,41867,22,brawl é um lixo
22,#9G89LV09V,𝕨𝕠𝕣𝕤𝕚 ᵏⁱˡˡ,0xff1ba5f5,28000352,41824,23,УКРАЇНА ТОП!!!
