,tag,name,nameColor,icon,trophies,rank,club
0,#2CU20G2Q,NxS | Wolf🪐,0xffcb5aff,28000112,55607,1,Nexus🪐
1,#L820QPC2V,ne1off,0xffffffff,28000000,54753,2,Colette's Club
2,#8U2VVP0VU,P4S|Aleixra♡,0xffcb5aff,28000003,54062,3,P4SSANGERS
3,#Y8VY88QP,LTR|JustSkwez🌺,0xffa8e132,28000231,53095,4,Nexus🪐
4,#PP990JPQY,🎴最佳|Shinobi⛩,0xfff05637,28000023,51867,5,
5,#9PPP8QRGC,ᴀʟᴏɴᴇ☘︎,0xffff8afb,28000349,51754,6,YT|YAGUAR 2
6,#2RCGLVP0Q,NaVi|ENOT🇷🇺,0xff4ddba2,28000090,51694,7,Короли
7,#P2QPL8C2G,Комба🥇,0xff1ba5f5,28000352,51272,8,LEGENDARY 2.0🔥
8,#PPLP8RJVJ,NxS|Mate🪐,0xff1ba5f5,28000331,50193,9,Nexus🪐
9,#9GLP0RYV9,NaVi|Graf🗽,0xffffce89,28000139,50000,10,Mythical Shine
10,#8VYUL02CQ,MAXIMUS,0xffffffff,28000197,48972,11,SUPER(BRAWLERS)
11,#82L2RV2J8,ПУТЬ 10 РАНГОВ$,0xfff9c908,28000132,48032,12,Polskie Sigmy⚡
12,#8VY2G0282,ᴰˣ|ᴰᴵᴸᴾᴱˣ💫,0xfff05637,28000272,47484,13,
13,#82RG902YQ,Nefi,0xffa2e3fe,28000064,47325,14,CAPITÁN AMÉRICA
14,#9L8LV0VRJ,flancy,0xfff9c908,28000300,47238,15,Inglorious
15,#PQ8RLQLV,BD|Lipson😈,0xffcb5aff,28000022,46787,16,GX|Gaming|🪐
16,#P0R99JLPJ,Brawl star's,0xffcb5aff,28000003,46660,17,ZETA|Tensai
17,#9RCVPLR02,Nxs | Image🪐,0xffa8e132,28000331,46502,18,Nexus🪐
18,#2P9UCQCCP,BE|『$imøn』,0xff1ba5f5,28000310,45821,19,🔥Fire Dragon🔥
19,#82JGV8LPL,ЧАЙ[ОК],0xffff9727,28000132,45719,20,MG|MGans
20,#2QG2Y2QPC,Natus Vinsere,0xfff9c908,28000307,45444,21,уретра
21,#8RQUGYG8R,TOP-1,0xffffffff,28000271,45254,22,лесбиянки
22,#8YUPVCRQP,я люблю одю зах,0xfff9775d,28000291,45225,23,🎠|True:club|🎭
23,#8V02U2JRP,Brawler,0xffa2e3fe,28000335,45220,24,Qora Qum
24,#8QVGL2V9V,London,0xfff9c908,28000132,45096,25,Forward Team🍃
25,#CQ9L2CCR,QLS|Kevin,0xffa2e3fe,28000079,45004,26,ITALIANI🟩⬜️🟥
26,#9PLQJ0QG0,Ironman,0xffa2e3fe,28000305,44879,27,chad squad 🗿
27,#90Y0JVCQR,АКАУНТ ВЗЛОМАН,0xffcb5aff,28000110,44786,28,
