,tag,name,nameColor,icon,trophies,rank,club
0,#2QJVYQLUR,NaVi|Argentum🥀,0xfff9c908,28000170,56803,1,antiwxrld.
1,#2JPYUVYVG,×Petersonx❤️‍🔥,0xffcb5aff,28000014,55332,2,Rangers
2,#2YG9QRLG0,ℂℝ|𝓡𝖔𝑚135🪐,0xffa2e3fe,28000130,54434,3,C|Dead Stars✨|R
3,#2PCGJ228C,Dark♡soul❦,0xffffffff,28000167,52070,4,WeGamers
4,#8LYY9VJY8,ill Kace💸,0xfff9c908,28000204,51910,5,Eternal Reign
5,#2Y0Q8CC0P,☘️TTM🌱|Ente©🍃,0xffffce89,28000095,51877,6,Only Skill
6,#Y9RVJG99C,Gx dark,0xffcb5aff,28000139,51092,7,LewissHouse
7,#J280YPQ0,⚡DarkLord ⚡,0xffcb5aff,28000332,50675,8,Лучший
8,#CQYJV9,Felix,0xffff9727,28000017,50390,9,SuperStarS
9,#8LY0JVCLC,☄Adrian:Gaming☄,0xffa2e3fe,28000305,50000,10,<c9>SPARTA</c>
10,#CL9PJY9,QuantumPhysi,0xffff8afb,28000016,48603,11,canga club
11,#C9U09LC0,×͜× August★࿐,0xffcb5aff,28000132,48429,12,东山大佬🦅
12,#2P2Q8JLVG,MaFF/MaFF™,0xffcb5aff,28000228,47998,13,Ducks In A Pond
13,#8JUQJJCVG,♦Toͥosͣeͫ♦,0xfff05637,28000078,47905,14,The best clan
14,#YRVVRCGLL,BTT|Tåmįãkīñē🌔,0xffff9727,28000104,47187,15,Time to change
15,#PPG9QPJG0,🥀⛩𝐾𝙄Ⓝg͎⛩🥀,0xffa8e132,28000218,46201,16,⚔️Legion🛡
16,#2CUPG9YJ8,『♡︎シ✞knoky☆💔』,0xff4ddba2,28000136,45273,17,CZECH KOFOLA
17,#2LJUVPU8U,DR|holis,0xffa8e132,28000021,44583,18,LA Expert
18,#2QU0PC0P,mustang,0xffffffff,28000023,44558,19,Bullet Storm
19,#2JJL0Y0UG,☆Dmitrj☆,0xffcb5aff,28000136,44508,20,✨Wiolla ✨
20,#8C0YVC9G,Lil’A(Andy)🙏🏽,0xffa2e3fe,28000341,44489,21,Beyond Soldiers
21,#2Q0YJL0Y0,༺Leͥgeͣnͫd༻ᴳᵒᵈ,0xfff05637,28000310,44244,22,king
22,#9LC82Q989,IMP|She¥nS™,0xffcb5aff,28000135,43822,23,Potential Club
23,#9YVU00GCC,|Smon|64,0xffa2e3fe,28000158,43773,24,🏁🗿21K🏁🏁
24,#8YR08GLY,Justin1894,0xff1ba5f5,28000332,43536,25,UnKrauts²
25,#PQJ8YG0P2,Hyda,0xffcb5aff,28000003,43523,26,Raze
26,#LCVJCY2GL,MaminDivan,0xffffce89,28000345,43379,27,Семья няшек💗
27,#2029YGP0G,{£ølīx} Raph,0xffffce89,28000263,43306,28,Rang30
28,#8G9J2Q0GC,Sneaky_Sylestシ︎,0xffff9727,28000150,43173,29,➪ᵖʸʳᵒ𝙲𝙻𝚄𝙱🔥
29,#9RCVJLVR0,rs6,0xff4ddba2,28000170,43134,30,Best of Germany
30,#2Y0J8CURU,u v rout,0xffcb5aff,28000173,43091,31,BRAWL KINGS
31,#RVLJPVJG,Clem,0xffcb5aff,28000305,42934,32,Team sensei
32,#9YGYPUG8Y,Мандрівник,0xffa2e3fe,28000294,42700,33,💙💛UKRAINE💪
33,#98YGRYUQL,YT|Krill_Fg|YT,0xffcb5aff,28000349,42692,34,Лучшие! 🥶✨
34,#8P8G8VQU,ibra 74,0xff4ddba2,28000272,42660,35,les csk92
35,#9YUQV2R0V,Panda39,0xffa2e3fe,28000262,42048,36,Demon Empire
36,#9CGVYUJRU,Jaro,0xffcb5aff,28000096,41921,37,De BrawlBro'S
37,#88VYJP28P,demidon,0xffa2e3fe,28000267,41883,38,
38,#PLUVUQPC,AngelOfDeath💔,0xffcb5aff,28000132,41649,39,CACTUS🌵
39,#2L9Y9VYRR,NaVi | Bushik🎋,0xffff8afb,28000335,41474,40,smx
40,#900UVQGC0,あ|Ben🐬,0xff1ba5f5,28000135,41432,41,Nimbreeze
41,#GPYUCV80,SPR | KaPuSTa,0xff4ddba2,28000136,41386,42,
42,#LR82L2P0G,TheBrawlPro,0xffffffff,28000000,41179,43,Gujarat lions
43,#82JVRRVU2,_JoKeR_,0xffcb5aff,28000291,41169,44,пуш 30ка😎
44,#9YL92Q0LL,TF | Yєfєяรσи•,0xffcb5aff,28000041,41161,45,×|𝐿𝓸ȿק𝙖𝐩ú𝘀
45,#9UR9VRGVJ,NOAH,0xffa8e132,28000161,41138,46,💫The Kings💫
46,#PYPVR09YV,꧁⍟𝐏𝐇𝐘𝐗⍟꧂,0xffcb5aff,28000023,41103,47,Tokyo❤️‍🔥Bruno
47,#P9YRPGJVQ,Braxis,0xffa2e3fe,28000293,41039,48,Bl Club
48,#8PUGJ2J2L,J๏ker♦️🛐🃏,0xfff9c908,28000332,40983,49,LNPS | TEAM💪🏆
49,#Y2RY880LJ,tomar753,0xff1ba5f5,28000168,40907,50,good_gamers
50,#892PUV9Q8,PP|Bartek,0xfff9c908,28000322,40854,51,ComeBackPL
51,#PUQRQYYRU,Joexdokno,0xff4ddba2,28000273,40693,52,Farm Club
52,#2JJYC0C0V,спайк,0xffa8e132,28000016,40647,53,New Crow
53,#LCC2LLRLR,愛|STAR๛⛩️,0xffff8afb,28000126,40616,54,El Fra3na Y
