,tag,name,nameColor,icon,trophies,rank,club
0,#22C0J98GY,R.I.P | ZeUs™🔱,0xffffffff,28000341,63514,1,ŁŞƬ☘️
1,#PLG2LPLYY,matteo au bbq,0xffff9727,28000259,61009,2,BS Immortals
2,#9VLUGCYYJ,Mizhi uwu,0xffff9727,28000333,54515,3,Los Devora 💋
3,#9LU0YLGLG,ML|Kreveva,0xfff05637,28000263,53426,4,<c7>РАССВЕТ</c>
4,#PYLQLYLYJ,🍌БАНАН🍌,0xfff9775d,28000278,52588,5,<c7>РАССВЕТ</c>
5,#92Y0RVJUC,Flyshwolf,0xfff05637,28000009,51763,6,45K
6,#2PURGVU2J,MR.TØM,0xff4ddba2,28000341,51184,7,30|Goats
7,#8QLG90CGR,ᴄᴍ|ᴘʀᴏᵏⁱˡˡ ᵘ🥀,0xffff9727,28000279,50951,8,🇩🇪LEGENDS #2
8,#2P2UJP208,TaneSnow,0xfff9c908,28000136,50757,9,Arkham Knights®
9,#9882PLP0L,⚡JustPodchance⚡,0xffffffff,28000139,50057,10,MVI|🔱Esport🔱|
10,#2LCV89VU0,ŁบcifeRᵀ®,0xfff05637,28000336,50019,11,🛡️SHOWERS⚔️
11,#P0VQVY0R,pomo1ka,0xff4ddba2,28000087,48443,12,вот это парилка
12,#99JUUYP82,(-_-),0xffa8e132,28000179,48203,13,angelpaaa
13,#2JVRG0Q0Y,Боец,0xffa2e3fe,28000258,47946,14,
14,#92PJLLCU0,БогБан2.0,0xffcb5aff,28000228,47716,15,MKD Gang
15,#LP82U899P,わたしは、あなたを愛💙🐬,0xffffffff,28000136,47693,16,LOS NOBLES
16,#9LUU0QPG8,Main gadget 🙀,0xffcb5aff,28000176,47385,17,LOS CRACKS BULL
17,#82GG9L2PL,ZETA|Hope,0xffffffff,28000333,46912,18,
18,#Y2UVJP0U0,10k,0xffcb5aff,28000261,46907,19,Holistic
19,#GJPVGC0Y,EddieRuckus,0xfff9c908,28000272,46763,20,
20,#2VYVJYUGR,firulais🐣💛,0xffffffff,28000188,45951,21,LOS CRACKS BULL
21,#PVLRQUJQQ,Bunny,0xffa2e3fe,28000231,45926,22,jackalls team
22,#YGP29GRLQ,𝚜𝚘𝚛𝚒ⁿᵒᵒᵇシ︎,0xffffffff,28000096,45892,23,𝐻𝑈𝐵|𝑁𝐴𝑉𝐼
23,#8YPY0RQQ2,coolstars,0xfff9c908,28000151,45843,24,SPNV⚡Esport
24,#9QQ0GV8QJ,⚡️𝐍𝐈𝐍𝐉𝐀⚡️,0xffcb5aff,28000222,45770,25,𝘼𝙀𝙍𝙊
25,#8L90JQRVV,БАН БОГДАН😈🥀,0xff1ba5f5,28000285,45395,26,Club [#2YYC2082P]
