,tag,name,nameColor,icon,trophies,rank,club
0,#PLG29URQV,MyS|W1ar4ik♡ᵈᵘᵒ,0xffffffff,28000349,59869,1,Рабы W1ar4ik'a
1,#290UCPVJ9,the ghost,0xfff05637,28000288,51181,2,Рабы W1ar4ik'a
2,#22QVY8GJU,Bustle :),0xff1ba5f5,28000175,47564,3,⚔️👑SM|Bella👑⚔
3,#YYC8Q0R9,™Huhn™,0xfff9c908,28000294,46147,4,🌎Free World🌎
4,#2GY0LV8RJ,★PeonerStar★,0xfff9c908,28000017,45357,5,firixgame
5,#88JPVQYLG,charanko,0xff1ba5f5,28000048,44993,6,Kerlkraftwerk
6,#28CCGVL9Q,bobby,0xfff9c908,28000017,44958,7,best of club
7,#8C2GUPL0R,IL_BLEDNIY,0xfff9c908,28000262,44498,8,Jovenes Dioses
8,#8QRQ0YGG2,ITACHI,0xff4ddba2,28000178,44354,9,bilchou91
9,#8YYJYPPLP,JINLEI,0xffa2e3fe,28000292,43776,10,the best in bra
10,#98UJ9CRLP,STRIKE_YT,0xffa2e3fe,28000290,43367,11,THOR1.0
11,#2RP82RLV9,f.a.r.4m,0xff1ba5f5,28000273,42803,12,عشاق الاقصى
12,#2Y98L2JL9,♤MoB | water ♤,0xffffffff,28000272,42783,13,J.G killer
13,#YGVQ89YJV,KalebB,0xffff9727,28000175,42730,14,Los potaxies 🥑
14,#88RRQ2CLC,Psikopat,0xffa2e3fe,28000242,42557,15,<c2>RED</c>Zone
15,#YGLC8Q8P9,code xdf😇,0xffffffff,28000348,42369,16,SUPREME GOAT🐐
16,#PVLU2YY9,CANARINO GIALLO,0xfff9c908,28000295,42260,17,MEGAPIG
17,#ULGYVLPV,psxsssyti♡,0xfff9775d,28000074,42177,18,Yellow Flame
18,#2U9V8Q89Q,ANTHON,0xfff9c908,28000316,41966,19,brollino elité
19,#2Q822PVYR,Javitheking07,0xfff9c908,28000242,41680,20,vendepachis
20,#P8C0UGPV0,TrE|ᴳᵒᵈ£𝖋𝖊🌪️,0xffffffff,28000150,41661,21,<c0>աօʊռɖ</c>
21,#2GUU0V2G0,RODRIGO 1432 😎,0xffcb5aff,28000330,41602,22,Club Stars
22,#RQCLU090,VIRral,0xffff8afb,28000220,41502,23,Natural Team
23,#P8299YGY2,sita/water😈,0xff1ba5f5,28000168,41384,24,FWA|BY OLESHKO
24,#8GVP22VJ0,BS_✨천고불후✨,0xff1ba5f5,28000175,41295,25,PTMS
25,#L2J289Y2,подписан владус,0xffcb5aff,28000267,41260,26,IN|SIDE
26,#8QQGRGPG8,ガス❤️‍🔥weiinkk,0xffcb5aff,28000323,41148,27,CLB Ru
27,#29GJG00YL,[пот] пупоззи,0xffa8e132,28000259,41081,28,RussiKon
28,#9LGQ0Q22L,Russia YT,0xffa2e3fe,28000132,41077,29,БЕРЛОГА🐻👑
29,#CQRR9JRJ,봅시다,0xffffffff,28000184,40751,30,병띠
30,#2RR9G9JLJ,4ill,0xffff8afb,28000228,40151,31,кринж пати
31,#YLRJ9R2,Ichbinschlecht,0xffcb5aff,28000037,40000,32,Coole Jungs
32,#2JJQ8YQLJ,Harald,0xffa2e3fe,28000289,39999,33,Office ♧
33,#PQ0YJLRYG,[GG]ТОПЧИК,0xfff05637,28000349,39540,34,@Молодежка@2023
34,#G2RRG9YQ,kolett love💗🌿,0xff4ddba2,28000086,39390,35,Бета-тестеры
35,#LGLYCPJ8,КИБЕР КОТЛЕТА,0xffcb5aff,28000335,39288,36,Lixi&LebenFC
36,#2LYPCCQYQ,𝓘𝓑𝓡𝓐𝓗𝓘𝓜,0xff4ddba2,28000244,39208,37,BRAWL KINGS
37,#YGJQJUCUU,¥Дима999¥,0xffa2e3fe,28000129,39179,38,🥺OFF-Dark side
38,#9G0RLV0QR,Crayy个,0xffffffff,28000314,38663,39,М8Л8ТХ
39,#2VCQ8PGJ0,₮Ø | ₱Ý₮ⱧØŃᴳᵒᵈ,0xff1ba5f5,28000168,38599,40,
40,#2L8PUR9JR,✿𝐆𝐏ᴱˡᵉᶜᵗʳᵒ✿来命,0xffffffff,28000280,38522,41,Few Friend
41,#GP0QUV2C,shadow,0xffcb5aff,28000046,38389,42,Afterlife
42,#LP8JUGG99,scottyx😝,0xff1ba5f5,28000164,38285,43,les immortel
43,#28YR8G9VG,иллка дай легу,0xfff9c908,28000195,38260,44,Legends Club🔥♥
44,#Q0YJCU89Y,really,0xffffce89,28000029,37885,45,l’antre du kaze
45,#YC9U20U0C,tomar753,0xfff9775d,28000310,37547,46,
46,#9PY909000,ISE |WINERO🌧,0xffa2e3fe,28000150,37544,47,SYP4ik Team's
47,#8GLUVU829,PLS|Darkfire,0xfff9c908,28000285,37511,48,L'aigle d'Or
48,#UYURQGJV,читер 777,0xff1ba5f5,28000168,37431,49,CoLD♡RoSE
49,#9LC28QP99,GXfra007,0xffff9727,28000140,37269,50,Ganja friends
50,#PYPYYRU98,fullcop,0xffcb5aff,28000170,36731,51,ХРЮШКЕССЫ
51,#VU9PLQ0V,Øß|Zevs,0xfff9775d,28000175,36661,52,Dark 4ce Gaming
52,#2YRR9JV8Y,HONZÍK,0xffa2e3fe,28000352,36524,53,Czech League
53,#8VQVYYGQJ,Anbrij @344,0xffcb5aff,28000228,36453,54,МАЛЕ ВЕРПЧЕ Укр
54,#QQ8PUVP0,XCARRASCOX,0xfff05637,28000156,36407,55,Clã Urtiga
55,#82VUYJU8C,monstruo pro,0xfff05637,28000278,36368,56,THE Z
56,#Y0V2RJU02,забивает гол!,0xffff9727,28000221,36348,57,garwolin goats
