,tag,name,nameColor,icon,trophies,rank,club
0,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,85035,1,Quant ESports🐾
1,#YVJLQJR0,MZ SAZZAD,0xffffffff,28000225,55338,2,sy Team
2,#U9C0CCLY,阳阳,0xffcb5aff,28000045,55125,3,天道 . 欧♣️
3,#PQYGU2CGY,TTM|ℛ𝒶𝒻𝒻𝒶シ︎,0xfff9775d,28000338,54794,4,NO WAR🇺🇦-🇷🇺
4,#UJU8C000,胜利|brusles468⛩️,0xffffce89,28000348,54031,5,-SORRY NOOB-
5,#8V0JR2PQL,NiCo ヤー🥱.,0xff1ba5f5,28000175,53700,6,Drill Esports
6,#PQ9YL8R8,pisel1n0,0xfff9c908,28000213,51193,7,50k ?
7,#P0JYL9L2R,☕️coffee☕️,0xfff9c908,28000319,50734,8,QEIL ☕✨❄️
8,#2JLGULYUG,⛩️|Tomczyk🎋,0xff1ba5f5,28000175,50522,9,God Damn Brawl
9,#8YRVU99UG,gx assassin,0xff4ddba2,28000142,50438,10,CROWS'n'CROWNS
10,#9VRPUVGJG,GXcarlos,0xffcb5aff,28000293,50256,11,HouseeSport🇮🇹
11,#CQ9PGRYC,clemfou,0xffffffff,28000352,50088,12,BS ESPOIRS II
12,#VPRJQV0P,L@ger555,0xfff9c908,28000261,49777,13,Б@ндиты
13,#8PQQ92VL0,⛩️|Jacobbb🎋,0xffff9727,28000341,48364,14,God Damn Brawl
14,#Q0292GC2,👾MaestroXYZ👾,0xffff8afb,28000098,47892,15,i Tortelli
15,#P9YP288V8,★|Aquaʰᵒˢʰⁱⁿᵒ,0xffa2e3fe,28000229,47755,16,🌸|Esports
16,#92YPY9LUV,☞iDarkPhoenixツ,0xff4ddba2,28000140,47597,17,ɪꜱʟᴀ♢ʍᴏʀᴀ
17,#P2QUQ2P2U,LA STAR 97,0xfff9775d,28000060,47522,18,Crazy Troffa
18,#P8U8RQ890,avoco,0xfff9c908,28000328,46608,19,GROOOOOOM
19,#CC8L92VY,☄️Nιɳʝα⚔️,0xfff05637,28000336,46482,20,
20,#8J02VYYL,anicopo,0xfff9c908,28000242,46047,21,Poco Crew
21,#9P09U809J,TRT|IQmen,0xffffffff,28000075,46030,22,
22,#89JYU0QJ9,crew store,0xffa2e3fe,28000327,45786,23,QLASH|YouTube
23,#LUGQVRC,italianbro,0xffffffff,28000061,45628,24,Sergey Industry
24,#2U909QJQU,puppy bowl 17,0xffcb5aff,28000022,45600,25,
25,#90CCLRQR0,annnnnnn,0xffff8afb,28000261,45565,26,Monkeys Squad
26,#2L88Q8JPR,MN MONTINIVIC,0xfff9c908,28000044,45191,27,thebigmk
27,#80PVCJUJV,𝕬𝖓𝖌𝖊𝖑ᵍᵒᵈ♕︎,0xfff9c908,28000019,45006,28,TVTC
28,#JLC28Q2V,₲ⱧØ₴₮₣łⱤɆ017☠️,0xffff8afb,28000335,44979,29,Italia_pro
29,#YRRVV2RRV,CRISTIAN_PRO💀☠,0xff1ba5f5,28000285,44808,30,Giusto Giusto
30,#2LLU0Q2Y0,♡《丂卄卂ᗪㄖ山》☔,0xffcb5aff,28000196,44740,31,CacaoGang🇨🇲
31,#8JCJP0G8C,Navi|Bober,0xff1ba5f5,28000132,44664,32,банда кроу
32,#VYULQYRQ,[Ауф]muxas,0xffa2e3fe,28000076,44385,33,German|Elite🕊️
33,#PQ80J0GPU,Sleepy😴Jeka🌠,0xff1ba5f5,28000196,44314,34,WeehokZV | YT
34,#9PU8LGLCC,LP|R∆ST∆🥶,0xffffffff,28000335,44275,35,Brawlsileiros💫
35,#Q8V2VLCR,Gevsepros,0xfff05637,28000138,43932,36,
36,#8UGYV8JVP,⛩️André❤️‍🔥😈⛩,0xff1ba5f5,28000136,43599,37,Zin_Bauuuu_Weee
37,#8JJCPJVRY,MN|AceOfSpadesX,0xff1ba5f5,28000014,43348,38,Mine's Team
38,#PQ2GQC8QY,Shͥadͣoͫω🔥🌪🍃,0xff1ba5f5,28000290,43048,39,dutch wolves 🐺
39,#Y09GQL99C,😏я топ а ти не,0xffa2e3fe,28000352,43008,40,TopTeamUA
40,#2L0RP8GL8,BIZIOLINO,0xfff9c908,28000170,42989,41,TOPO GIGIO
41,#P0GQJY9QY,Mafin_original,0xffffffff,28000259,42658,42,🫀FK | Eʟɪᴛᴇ🔱
42,#8VP2L8JPP,💜Best|Lavit1øⁿ,0xffa8e132,28000140,42614,43,Взрослые
43,#2L8VU2PJU,Hmble|Matt3,0xffffffff,28000345,42562,44,gli autisti
44,#2JUY9QUC,GX Messi⚽,0xff1ba5f5,28000170,42424,45,Crazy Troffa
45,#99GPP8G9J,gigi,0xffcb5aff,28000021,42142,46,MTV/TUTTI
46,#QQUVCUQ2,MING✡️☯️!!,0xfff9c908,28000132,41352,47,Crazy Troffa
47,#L9V9RGLVU,死 | Minatsuki,0xffff9727,28000138,41274,48,fan de freezie
48,#Y88208JJG,TH|Storm,0xffffffff,28000294,41268,49,QLASH|YouTube
49,#2J9Q920C,Holocron,0xfff9c908,28000173,41249,50,SIGMA
50,#9J9L8RPQU,1&1,0xff4ddba2,28000291,41154,51,RM2|E-SPORT
51,#9Q2RJ82JJ,TTM|Giangi🥵🥶,0xff4ddba2,28000218,41098,52,STAR ONES
52,#88GUJLUQ8,Dragon Shmolik❤,0xfff9c908,28000016,41070,53,𝓰𝓸𝓼𝓽𝓹𝓻𝓸
53,#89JVJPG8,GX RICKI 24,0xfff05637,28000036,41062,54,PLAYER OF OLDBS
54,#20QG2JLQG,Senly i Need u,0xff1ba5f5,28000305,41042,55,Favorita
55,#9RRQ9RC2Y,GXLOLLO_NICKPRO,0xfff9775d,28000255,41039,56,
56,#8RGVJCQG,Xena hugo s,0xfff9c908,28000293,41006,57,les potos
57,#PRJYL8CQR,hacker,0xff1ba5f5,28000129,40759,58,X_Z/Slayers🔥
58,#2VUP8P8GU,6ix9ine,0xfff9c908,28000132,40745,59,Esport Zone
59,#PCJ8JJ2UP,Finn,0xff1ba5f5,28000221,40733,60,Die Anderen
60,#8LYP0J2YQ,CRIS_21,0xffa8e132,28000059,40454,61,Pescara FC
61,#2LYQQ9JQL,•Mike✨,0xffffffff,28000198,40405,62,TBE
62,#8222LQR2U,cippy,0xfff05637,28000017,40206,63,
63,#92JPQ0QV0,FCC|faccifacci,0xffa2e3fe,28000280,40155,64,Darkness Light
64,#8PQCU0JL0,🤨📸🌚,0xfff05637,28000062,40028,65,Super Pesadilla
65,#P2GJ09C9Q,DaNy,0xffcb5aff,28000141,39970,66,折り紙のように - 🤓
66,#92G90VRU9,Latini,0xffff9727,28000156,39943,67,ERRIGOLARI|ITA
67,#89RRGLUQ8,$tarax,0xfff9c908,28000064,39910,68,
68,#PVCUUUUV2,tonnodimare,0xfff9775d,28000320,39545,69,minecraftPRO64
69,#8UR8QQ9PP,WGF RIK,0xffcb5aff,28000288,39529,70,SK: ITALIA
70,#YV8JCQQ98,Мітя,0xfff05637,28000305,39400,71,Turbo Elite
71,#Y28RY892C,ROBZI,0xfff9c908,28000203,39359,72,BD|ViperzZ
72,#8GQ828LQL,W.Darryl YT,0xffffffff,28000175,39328,73,Marble Aqua
73,#P0QPYRV0P,Leo⛩️🦆,0xffcb5aff,28000163,39261,74,Animals
74,#2RPRQYPRJ,LUXERBOXER,0xff1ba5f5,28000140,39240,75,Mattystars
75,#90G8CY2PP,Erty,0xff1ba5f5,28000294,39174,76,Golden Artic
76,#9GLY8J8YQ,VEN/Granny,0xfff9c908,28000147,39171,77,VENTUS LEGENDS
77,#PURJJCRJG,⛩️|Mortis 64|🎋,0xffa2e3fe,28000156,39154,78,Unbeatable=}
78,#209CPLQVG,♔Oxygen⁰⁸🍀,0xffa2e3fe,28000132,39110,79,The Dungeon
79,#8V9QJGQP,Matteo,0xfff9c908,28000267,39073,80,AkunaMatata8382
80,#PJR0VL9LQ,嬛|Mᴀxɪ🥀,0xffffffff,28000023,38717,81,der aller Echte
81,#2RJ29CYY8,live😁,0xffa8e132,28000148,38680,82,MOŔŤALツĶLOIŚTER
82,#8PY9VJRPJ,Rubén H.V,0xff4ddba2,28000242,38655,83,ER|Perfect Team
83,#PVCGQUJ2R,DNC|Firecrow,0xffff9727,28000138,38594,84,DONNERCLAN
84,#8L0Y2LJCQ,MAGGIO007,0xfff9c908,28000004,38573,85,Ranks Farmer
85,#2V0CC9JQP,KORONA WIRUS,0xffa8e132,28000061,38556,86,Team jeż
86,#998LP82YG,SCP_060,0xffcb5aff,28000333,38151,87,<c3>Freezy</c>
87,#PR9C8PJGJ,EOR|CᵣYₛₜₐₗᶫᵒᵛᵉ,0xffcb5aff,28000159,38043,88,Биба и Боба
88,#8GLPJC80Y,Санёк Коробицын,0xfff9c908,28000221,38034,89,ɴɪɢʜᴛ ʟɪɢʜᴛ
89,#PLJ9G22Q,⚡DENIZ⚡💚😈,0xffff8afb,28000325,38025,90,RASENGAN🌪️
90,#998CRG8J0,MAKS YT 58,0xffcb5aff,28000228,38025,91,
91,#9G29VJGG,GreenHells,0xff4ddba2,28000331,37992,92,En<c7>curse</c>
92,#RQR8PY2G,Nano 莪,0xffcb5aff,28000275,37978,93,Club #2882Q88YR
93,#8LGYJPLRC,Ricky,0xffa2e3fe,28000348,37882,94,OLF|Champions
94,#2G9CJ2VLU,DRADS,0xffa2e3fe,28000004,37681,95,АНГЕЛЫ УДАЧИ
95,#8LGJYUU9R,⛩|Jāšķămāł🎋🔥,0xffcb5aff,28000290,37540,96,Feudo 2
96,#YRLLR0RYG,AL3X's456,0xffa8e132,28000258,37517,97,thebigmk
97,#LRPUG8V8V,TH|Shadow,0xffffffff,28000292,37442,98,QLASH|YouTube
98,#22RCYR9CL,JaX | 🫎,0xff4ddba2,28000218,37355,99,BlackStorms™
99,#8Q8QYCCY0,Lukas,0xff4ddba2,28000017,37333,100,
100,#GP892PL2,kun fu panda,0xffa2e3fe,28000101,37301,101,TEAM OMEGA 2
101,#9R2PVJ8PP,MEGA BROCK_YT,0xffffce89,28000064,37276,102,YT players
102,#8PV9CY8Q0,難|Adri☆シ🔥_,0xffcb5aff,28000330,37225,103,TVTC
103,#8R0P080JV,Maestro_icudemo,0xffff9727,28000020,37224,104,Pescara FC
104,#2CC0LUQG0,Il Pro D'Italia,0xff1ba5f5,28000156,37179,105,MTV/TUTTI
105,#URPCYQCP,muerte súbita t,0xffa8e132,28000120,37142,106,
106,#PCLVLQG8C,Dominik Polak,0xfff9c908,28000331,37139,107,POL<c9>SKA</c>
107,#2C2RLJLP0,Murilo,0xfff05637,28000347,37100,108,🌵SPIKE👻
108,#8UG990VPC,кек,0xffcb5aff,28000310,37064,109,rewolcja klasow
109,#PV8V982PG,ᵍEͦlͦiͩnᵍdͧʸ,0xffa2e3fe,28000259,36886,110,gingerhater
110,#9QYP99UG,CRS_HaHaHa,0xfff9c908,28000061,36824,111,LE CIOLE
111,#RRPURPGG,Ethan(￣∇￣),0xffa2e3fe,28000182,36814,112,台灣南波萬Taiwan no1
112,#9P2P9V8PR,ytz zacix,0xffff9727,28000168,36776,113,jt les meilleur
113,#YJV22022L,*o* BAN,0xff1ba5f5,28000156,36749,114,
114,#8RV8LG0QC,⛩️ᴛᴛ|Sherloc?,0xffff8afb,28000335,36735,115,Hyper Walther
115,#9LQ9CUUQ,MikiHeroblinePL,0xff1ba5f5,28000333,36641,116,MikiHeroPL Team
116,#RQLL9R88,Артур,0xfff05637,28000289,36504,117,
117,#8LV09J2CP,roi pépipout,0xfff9c908,28000020,36484,118,
118,#PVU8PUQRJ,FR | ÉXODO 🕊🦂,0xffcb5aff,28000318,36473,119,BRAWL
119,#9GYCJP9LQ,VeSo | Saairez,0xffcb5aff,28000129,36472,120,
120,#RURCP08R,PAGLIAᵏⁱˡˡ ʸᵒᵘ,0xffcb5aff,28000148,36387,121,GATTI/ESPORT/TM
121,#Y8RPGJC9P,DEADLY FILL,0xffcb5aff,28000087,36299,122,W.P.F
122,#8R2UQ2LJ,иллка,0xffff9727,28000023,36230,123,
123,#JRCUUQGQ,☃️Ma̸urͥicͣeͫ🌊,0xffffffff,28000134,36153,124,COG|Esport⚔️
124,#2JRLQG0LP,BERNA⚡,0xffcb5aff,28000030,36131,125,
125,#P9GP28VJP,XO|Jerryp,0xffa8e132,28000140,36119,126,🥀BrawlIV🇪🇨
126,#2PJQ8G9PG,𝕡𝕒𝕤𝕥𝕒,0xffff8afb,28000273,36092,127,Galactic Void
127,#PGYRRGQP9,FAZE_MEZZO_8,0xffff9727,28000170,36031,128,Anime Italia
128,#V20JQ882,lixsiq,0xffffffff,28000139,36007,129,ZIRO ESPORT
129,#YPYP99GY,☢️like a boss☣️,0xffff9727,28000206,35925,130,
130,#28QYJ0RQQ,Chs7,0xffa8e132,28000016,35896,131,Армия кактусов
131,#Q9R9P9RL8,BeeLove,0xffff9727,28000294,35892,132,RoFire❦🇷🇴
132,#2JJ0P98JY,LUCIS,0xffcb5aff,28000248,35871,133,
133,#2RG298RY,ColuiCheTiMena,0xffcb5aff,28000151,35858,134,BLACK ROSE™ 🥀
134,#PQGQ9PC2,ᴛᴏʀɴᴀᴅᴏ│ᴴᴬᵀᴱ 🌪,0xff1ba5f5,28000156,35722,135,Secret society
135,#9GVCC0PQ2,YouTube:Radson,0xffff9727,28000170,35709,136,
136,#QVR8UULC8,hyra,0xffff9727,28000331,35700,137,zgredosławy
137,#2Y99PPLQR,Clashgames,0xff4ddba2,28000044,35601,138,Fischkinder🐟🐟
138,#9Y0RC08QL,مشهور,0xffa2e3fe,28000017,35573,139,•الزلفي دولة•🤨
139,#YYCLVVQ28,pucci,0xffffce89,28000228,35550,140,Alvex‘s Pleiade
140,#2CUCUQ08Y,FACE EDUAN,0xffa2e3fe,28000246,35534,141,
141,#P9PYVL00R,Pietro,0xff4ddba2,28000352,35505,142,ASD Ponderano
142,#R0LJL92C,TrashVoyron☙🪐,0xfff9c908,28000288,35494,143,ITIS Euganeo
143,#PPCYYYR8U,GX Francesco,0xff1ba5f5,28000151,35402,144,I BOSS ITALIANI
144,#PY2LGQGLL,Gx Watermelon,0xffcb5aff,28000014,35314,145,Jzm’family
145,#9PLL0QLUR,Emmet,0xffa2e3fe,28000211,35292,146,bigmac Army
146,#9PGJ9CRYC,massimopericolo,0xff1ba5f5,28000248,35286,147,
147,#2VJRJ00RU,☣_-AS_Egor-_☣,0xffff9727,28000156,35282,148,
148,#8LPQU2Q29,ZOV🇷🇺|Misha,0xfff05637,28000132,35224,149,???
149,#QUPJ2J9VP,Lan@|64⛩️🥀,0xfff9c908,28000278,35219,150,
150,#GP0RVJG9,Tommy,0xfff05637,28000061,35152,151,HO FRE
151,#2GRG99RJ0,평범한사람,0xff1ba5f5,28000160,35116,152,
152,#R9Q0GU8,dvd10,0xff4ddba2,28000224,35062,153,i brawl king
153,#2R08RCPPQ,PIKACHU,0xffff9727,28000073,35059,154,Brawl suchtis
154,#Y2GR80C2U,★ʝµℓเαɳ★,0xff1ba5f5,28000267,35054,155,
155,#2PGPCR982,bot1,0xfff05637,28000073,35041,156,ØG|MƏN
156,#P0VV2QRQ9,(X_X),0xffa8e132,28000341,35008,157,Night Monsters
157,#909VQ9PPG,ROMAN,0xffcb5aff,28000228,35008,158,
158,#V2C89U90,Rubok,0xff4ddba2,28000218,34990,159,la patrulla🚓
159,#8G0C82QP0,ThePetro228_YT,0xffff9727,28000304,34964,160,MORTIK ELITS
160,#9PVG8LRQU,LPG,0xffffffff,28000169,34926,161,MyLags
161,#9ULG9LY9L,canetta,0xff1ba5f5,28000145,34844,162,G∆M€ OV€R
162,#9C2GU222,TTM|¶°Ww¥,0xff4ddba2,28000140,34804,163,⚔️🤍Esport🤍⚔️
163,#LGLLQP9U0,6𝑜𝕟∂ʳāₛе𝕜⁵🐉,0xfff9c908,28000199,34718,164,VIP boy
164,#9PU9VJYJR,TTM|Samussolo⚡️,0xffcb5aff,28000305,34715,165,🦅Op team🦅
165,#2PG8P2RQ8,[MMA]Maxim,0xffa8e132,28000003,34700,166,Starr Path
166,#GCGP02PY,賢いVALOR🍥🌸,0xffcb5aff,28000283,34647,167,DARK VOODOO
167,#JR9C9VLR,Manu,0xff1ba5f5,28000170,34614,168,AVVOFATTO4LIFE
168,#JRYY8QYY,FFE̸|Dead Omega,0xfff9c908,28000140,34601,169,
169,#9JYV2P999,[ПОТ] Ворон,0xfff05637,28000138,34577,170,SnowyLeopards
170,#LUQRVR8R,JD foxer,0xffa8e132,28000182,34546,171,QLS| BARBONI
171,#8LURYCUVU,Flxn|JCV,0xff1ba5f5,28000156,34510,172,free 30k
172,#2URJUJ089,☆vïse☆,0xffffffff,28000219,34509,173,Rockets🚀🚀🚀
173,#LVYGRPPVV,echo|大気,0xffffffff,28000246,34301,174,
174,#82Q88UJCG,НеКиТ,0xff1ba5f5,28000352,34288,175,НОРМАЛЬНЫЕ ЛЮДИ
175,#8Q8RJ9U9P,S.P Luis,0xffff9727,28000259,34227,176,
176,#8Y0L8PJU8,💞Iku Nagae💞,0xffff8afb,28000265,34190,177,Marble Aqua
177,#2CV8JLGGQ,Alf_IVI,0xffa2e3fe,28000091,34151,178,TeaM GoD™
178,#2J9PR2GQ2,CsGo dolbaeb,0xffcb5aff,28000305,34067,179,PROSY
179,#2Q090C99,Mattia1103,0xffcb5aff,28000297,34027,180,MANI IN FACCIA
180,#P90QCQC0,⛩|DARKNESS♠️☔,0xffcb5aff,28000112,34025,181,ligue des clubs
181,#PRC0PG9GC,Mirza,0xff1ba5f5,28000315,34020,182,Ape Storm
182,#YVV0LL9YQ,NAVI|DAMI,0xffcb5aff,28000132,34012,183,Braulio Estars
183,#2QJQ2U09Q,Nita,0xffffffff,28000000,33994,184,
184,#8VG0UVGLP,🎋PENDİR🗿,0xfff9c908,28000164,33882,185,Ａ Ｒ Ｅ Ｘ
185,#2LJQ9J8,FLEX,0xffffffff,28000233,33851,186,보다클럽
186,#2VCLPUVV9,Леон,0xffa2e3fe,28000132,33844,187,ПРИЗРАКИ 👻
187,#YPPL8Q0C2,dream,0xffa8e132,28000136,33823,188,SOLAR BEARS
188,#2JUG9VC0U,alex,0xff4ddba2,28000170,33822,189,
189,#88L2YRQJY,MAX,0xff4ddba2,28000091,33818,190,Alpha gaming
190,#L9CRG0L8,Dimelosandia,0xfff05637,28000066,33817,191,
191,#8JV88RPLR,☆M4NT0☆,0xfff05637,28000224,33749,192,SmokePlumes
192,#92C0JVLY2,YEIIOW FIRE,0xffa2e3fe,28000139,33675,193,СБ
193,#8G08ULRQ8,芝刈り機〆危,0xff4ddba2,28000009,33666,194,≪SSG≫私立清風学
194,#9GJVJGUC8,QLS|Birton,0xff1ba5f5,28000223,33617,195,
195,#PLP8L208V,Moritz Piper,0xffa2e3fe,28000165,33532,196,TBSC
196,#QRCQ8QQL,ErBrendi🤡,0xffcb5aff,28000335,33504,197,gioco morto
197,#2RJYRR9LY,COVID-19,0xfff9c908,28000176,33494,198,Сони Эриксен
198,#YVCLUU2Q0,kirito,0xffa8e132,28000156,33473,199,los papus
199,#R2Y2PCJ0,TTM|Niki012🔥,0xff4ddba2,28000140,33447,200,I Caymani
