,tag,name,nameColor,icon,trophies,rank,club
0,#9CYJ0PQLQ,Leo Messi,0xffa2e3fe,28000352,58160,1,TOXIC HEROES
1,#8URGURGGL,tapah,0xffffffff,28000020,57137,2,мама идёт
2,#P9YGQRPL0,EyüpÖmer :),0xfff05637,28000198,55501,3,𝐒𝐡𝐚𝐝𝐞❤️‍🔥
3,#VV2PUULL,Im-ToXiC,0xffa8e132,28000262,55212,4,THE NEW PLAYER
4,#82L2Q0QL9,FM|𝑃𝚛i𝚗c𝚎💔,0xffa2e3fe,28000349,54745,5,<c5>GOOD</c>
5,#92YVLUGVJ,Vi𝐑US 杀死你,0xfff9c908,28000274,54551,6,coffee skrh 2✨
6,#2G0VRCJJY,ᵗᵗ|HᴀɴNᴏ👿,0xffff8afb,28000023,53026,7,Goat🗿🐐
7,#80V0G9QVU,Mr.Kraken⚡,0xffcb5aff,28000293,52368,8,Savage Club
8,#L2RGR80PV,LM | Foxy,0xffcb5aff,28000310,52028,9,Red Genes
9,#PL8UP8U9Q,Trenches Baby,0xffff9727,28000262,50919,10,BROWLERONI
10,#2VVG2VUUU,LM | Ticky,0xffcb5aff,28000132,50861,11,Red Genes
11,#8RL8V8QUY,علاوي,0xff1ba5f5,28000318,49663,12,TiQ
12,#29PUQQGQR,I ❤️VALERIA,0xff1ba5f5,28000135,48428,13,EMPRESARIOS ESP
13,#LU902LJPP,🎭J̶e̶k̶a҈M҈O🎭,0xffffffff,28000000,48128,14,pro100
14,#29RCLUJ0U,Rayen,0xffa2e3fe,28000179,47994,15,I eat soda
15,#L0GJVYP8,sonik,0xffa8e132,28000169,47968,16,atmos.w
16,#20JV9YGYY,SK|Alessiooo,0xffff9727,28000348,47911,17,🤗GG combo YT🤗
17,#YYJGGJRR2,Famgorn,0xff1ba5f5,28000301,47044,18,Mafia Elite
18,#JP08Y0YR,ST|Pietro❄️,0xffcb5aff,28000054,46826,19,NeoSerpents™
19,#Q8RU0C00,NeyRox 64,0xffffffff,28000297,46517,20,FairyTeam
20,#29RYQJLV0,alekzzz🧻,0xffffffff,28000044,46425,21,Victory Knight
21,#8JLC90VVR,Дракоша,0xffffffff,28000266,46060,22,ShowdownOneLove
22,#8PCY9R0U,scorpion,0xfff9c908,28000297,45948,23,Mafia Elite
23,#URC0YRV9,FLC|Aika ✯,0xffcb5aff,28000335,45308,24,
24,#L9C9QUV,qqyingc,0xfff9c908,28000182,44830,25,
25,#282QJGRQC,kenzo?,0xff4ddba2,28000175,44830,26,Outsiders
26,#PR2GG99YL,[LP]Лебедь21,0xffffffff,28000057,44667,27,
27,#99L2PPRP,¥ack2003,0xffa2e3fe,28000305,44520,28,EasyDubs
28,#LLPVQG8R,InvincibleMax,0xfff05637,28000102,44082,29,ЧифКиф
29,#20822P88V,Titanik,0xff1ba5f5,28000132,43507,30,Новая надежда
30,#V80Y9YUU,ReYDaN c|YTB,0xffffffff,28000023,43454,31,
31,#YQ8JQ9UGR,ⁱᵃᵐʀᴏᴍᴀɪɴ,0xffffffff,28000139,43355,32,X War Family
32,#P02RPR8CL,Danielpxk,0xff4ddba2,28000023,43342,33,LA Zero
33,#PY0PJVJQ9,Kaiver_YT,0xffff9727,28000107,43280,34,瑠|Flight soul
34,#90R2UUULG,Die Henne,0xff1ba5f5,28000345,43167,35,King And Bro
35,#P8V8C2LG,⚙️sorry/beans⚙️,0xffff8afb,28000301,42687,36,MASTER CLUP °TR
36,#YVVPQ8LYG,упс...,0xffa8e132,28000297,42524,37,mocarze
37,#U0YQVLLL,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,0xffffffff,28000272,42502,38,StarPoints
38,#P8YRVY999,Tommy il mitico,0xff4ddba2,28000205,42472,39,Team Hmble
39,#LRC9QY2C,ПоЖиЛоЙ ЕрЖаН,0xffa2e3fe,28000180,42372,40,BASEMENT PRIMO
40,#82CYQV0CJ,[БЛЕТ] омлет,0xff1ba5f5,28000132,42300,41,STJO Army
41,#8UYPR2LQ9,босс01,0xffcb5aff,28000228,42192,42,
42,#2PPYLGYVV,𝙰𝚔𝚎𝚗𝚘❦,0xffcb5aff,28000332,41881,43,
43,#2L88VPVY,KOTINAURAM🥀,0xffff8afb,28000281,41722,44,Fearless💫
44,#JPRU0GY2,Patinus,0xfff9c908,28000267,41487,45,SL brawl stars
45,#P09U90YVG,TheCrucial,0xff1ba5f5,28000352,41415,46,tek taş ak
46,#8YJJJCGCG,🥀RHD64🇫🇷,0xff1ba5f5,28000283,41356,47,Mugiwara🔮
47,#9V02PLLJP,DarkHyra,0xffff8afb,28000139,41271,48,The Legends
48,#2PVYPRGJ9,PIO,0xffffffff,28000237,41246,49,END GAME
49,#G0Q808L,DayKot,0xff1ba5f5,28000179,41053,50,X Legion
50,#9GYRCLJPC,AQM|🎋 Turkey ⛩,0xff1ba5f5,28000295,40918,51,Fįrár🖤
51,#P00G898PC,Wrâith🖤🔥,0xffffffff,28000135,40836,52,Oh My Duo❤️‍🔥
52,#PP999VLRJ,Yaroslavzap,0xffffffff,28000290,40805,53,WILD BOARS💜
53,#9QVJQGUL,sad💔sodaシ︎,0xffff8afb,28000138,40648,54,💗love ur mom💗
54,#2LYU9G0L0,Unfair,0xffffffff,28000310,40642,55,pasta con tonno
55,#2YLP2RV0Y,⛩F2P|Your mom,0xff1ba5f5,28000170,40621,56,Zockergemeinde
56,#Y9JG2QQU,GX matty,0xfff9775d,28000170,40404,57,ITALY KINGS🇮🇹
57,#YR2V2QQQJ,SWIFT|key 🎴,0xffffffff,28000258,40400,58,
58,#CPJ800CL,DARTMOUTH,0xff1ba5f5,28000347,40185,59,DoubleLove❤️
59,#P2RPUUUYP,Xandan,0xffcb5aff,28000285,39804,60,BS Players
60,#9QUUCYUC2,Tribe|Cory,0xfff05637,28000207,39780,61,Da Bullets
