,tag,name,nameColor,icon,trophies,rank,club
0,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,86333,1,OG Mute
1,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,80435,2,OG Mute
2,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,77493,3,OG Mute
3,#22GURLG00,NoRvie 〆,0xffff8afb,28000054,74617,4,
4,#980GJCYVQ,⭐GG|AMJAD☔☄,0xff4ddba2,28000341,73783,5,OG Mute
5,#9Q00QVQQ8,musaad,0xff4ddba2,28000021,73404,6,weird gamers
6,#PGPUR0YG,Tal,0xffffce89,28000066,72198,7,OG Mute
7,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,71316,8,Night Stars
8,#9UY82PG00,❤ABNNoor❤,0xffffce89,28000221,71234,9,THE NEW RULERS
9,#2UPURRC2P,Habg77,0xffa2e3fe,28000307,71203,10,Skills4Life
10,#GJQ9J8GR,❄Shy:)ⁱˣ,0xff1ba5f5,28000139,70463,11,Mini Me’s
11,#90Y9GU8J0,MTJ|☠️,0xfff9c908,28000136,70274,12,Arab Empire
12,#P98UJQUUR,クロナティオ,0xffcb5aff,28000339,69901,13,Showdown & 3vs3
13,#PC0PL9RC9,K.S.A,0xffff8afb,28000130,69326,14,OG Mute
14,#P0VLCPYG,希 | Muu 〆,0xff1ba5f5,28000196,69267,15,Arab Empire
15,#989QYRUPP,我｜Giza 🥷,0xffff9727,28000004,68179,16,OG Mute
16,#YR2RY9Y2L,あ | 𝓐𝓻𝔀𝓪🥀,0xffcb5aff,28000224,68158,17,weird gamers
17,#PYJ0GRYPV,PoliCeS,0xfff05637,28000117,68066,18,Blazing Light⚡️
18,#RPYPJPCU,Sam 〆,0xff1ba5f5,28000139,67785,19,OG Mute
19,#GQRQURQU,Nier🇦🇱⸅,0xffcb5aff,28000184,67571,20,weird gamers
20,#9UUVYGRVY,🎼♪♪︵✰₷ƙƴ❄,0xffcb5aff,28000335,66917,21,Payzen looks up
21,#8GQ8092C9,Aokiji,0xffa2e3fe,28000202,66832,22,Skills4Life
22,#9URUCC9QV,الاسطوري,0xffff9727,28000299,66698,23,weird gamers
23,#8LVPGL0GG,Akane ✭,0xffff8afb,28000044,66147,24,Arab Empire
24,#QPLCYLQP,R3B-F_15,0xffffffff,28000281,65932,25,THE NEW RULERS
25,#2GJCC0YQL,𝙟𝙪𝙡𝙞𝙚|🐭,0xffcb5aff,28000224,65929,26,OG Mute
26,#8RYQQJYUU,𝐋𝐚𝐜𝐨𝐬𝐭々,0xff1ba5f5,28000134,65834,27,ToxicRush
27,#YG0GC2GGG,Ray〆,0xffffffff,28000224,65692,28,Gg|My Clan🥀🖤
28,#P8RJJ0VQU,OP | OnFire〆,0xff1ba5f5,28000322,65557,29,A FEW GOOD OPs
29,#9QCPGR90P,5.0 For Life 🖤,0xffff9727,28000061,65467,30,OG Mute
30,#Y22PRLR22,×Ammārعممار|Ksa,0xfff9775d,28000207,65437,31,Mōnster’s ☄️
31,#YCQY89JU,FOX|top;),0xffa2e3fe,28000352,65222,32,OG Mute
32,#2PPGPUGL,ᴹᴶ♡ˁʸ ᶫᵒᵛᵉᵧₒᵤ✨,0xffffffff,28000120,65090,33,OG Mute
33,#9GG9R8GPG,🎋Ms|SAKUTA|🖤,0xffff8afb,28000081,64829,34,🎋| MS |🖤
34,#2VJVU029,star 〆,0xff1ba5f5,28000196,64276,35,Arab Empire
35,#9RCLUU8C8,婆|𝑫𝑬𝑴𝑶𝑵彡,0xffcb5aff,28000349,64155,36,Payzen looks up
36,#P98GQQGQV,彼|𝑴𝒊𝒎𝒊𝒄〆,0xffcb5aff,28000022,64070,37,weird gamers
37,#2LPJPPV9J,khaled,0xffffffff,28000023,64056,38,Payzen looks up
38,#VQ90G2UY,فارس,0xff1ba5f5,28000175,63950,39,weird gamers
39,#LPYUR2JLU,lKLL 🖤,0xffffffff,28000139,63902,40,OG Mute
40,#9V9JJ8LLU,Morven,0xff1ba5f5,28000014,63349,41,weird gamers
41,#LL8R0UP,RMD 505,0xff1ba5f5,28000215,63259,42,OG Mute
42,#P92JPP2CC,بابلو㋛❣︎,0xff1ba5f5,28000175,63183,43,<c5>OG Mute</c>
43,#9QJR992C,あ|ｏｒ4̶ｘ .,0xffcb5aff,28000207,63148,44,<c5>OG Mute</c>
44,#99QYLQCU,Yousef🇵🇸🤍,0xffff8afb,28000148,63109,45,YT: Yousef_bs
45,#98JUGCGJ9,𝐷𝑢𝑘𝑜|メ.,0xffffffff,28000180,62869,46,weird gamers
46,#9P0RUC99C,basil-m607,0xffff9727,28000272,62745,47,<c5>OG Mute</c>
47,#2GYCQYJJ,code: OMAR,0xffff8afb,28000256,62740,48,الصقور
48,#V2QYPLLP,THE PHENOMENAL,0xfff9775d,28000333,62702,49,Røckstars
