,tag,name,nameColor,icon,trophies,rank,club
0,#PU0CL0R8G,Vɪя͢ʊ͋S͚ジ•ʏᴛ࿐βs,0xffa8e132,28000064,56855,1,ASTRON Perseus
1,#20C2Q8Q8G,あ•𝑲𝒐𝒓𝒐 🐬,0xff4ddba2,28000204,55359,2,¿Ghost?
2,#R9Q9JYG2,OGC|Mouhacla💦,0xffff9727,28000104,54936,3,otaku game club
3,#8YPGVQPCP,難STRIKE™🃏,0xffffffff,28000064,52991,4,otaku game club
4,#8QLV9QVR2,©®GX ALY,0xff4ddba2,28000005,52482,5,inazuma
5,#YJ08Q0UCL,alexandre,0xffff9727,28000273,51525,6,Unima V
6,#PQ99RGCG2,hauLA☔💜,0xffffffff,28000140,51004,7,dead hostel 🤡
7,#8G8P88RJG,SpikeIsLove,0xfff05637,28000073,49077,8,Асгард
8,#2CGJ8LPLG,zMoussa🤍,0xffffffff,28000122,48624,9,RK Esport
9,#LLJQL89Y0,私は|Samba⚔️,0xffffffff,28000091,48065,10,OGC 2🇸🇳🇸🇳🇸
10,#89L9CUJQQ,Panda,0xffff9727,28000267,47281,11,The loyal brawl
11,#28Q2VYLQ0,🔹T-2🔹,0xffcb5aff,28000135,46996,12,ブラスターーーーーー
12,#2GJYQ80PU,Jake-is-Cute,0xffffce89,28000207,46685,13,AR |Family‼️
13,#8GUCLG8VC,SN | MEDZO,0xfff9c908,28000107,46680,14,les ELITE
14,#PLLRGCRQ2,yannis_ytb,0xfff9c908,28000272,46334,15,Klüp Oyunları
15,#29U0R20P,مُحَمَدْ,0xffffffff,28000021,45838,16,wolo
16,#2RJVGRL2P,Páteķ75 ♧,0xfff05637,28000248,45809,17,otaku game club
17,#9GJLRVPYP,PaCoDiaZe,0xffa8e132,28000025,45427,18,FC Tupu 1
18,#8RYP2YYL9,🥀ℰ𝓏𝒾ℴ🥀,0xfff9c908,28000273,45383,19,Goon Squad
19,#9JU0CLY,Pixiel 333,0xffff9727,28000265,45202,20,Only Goats 金
20,#9808JVVC,Tony,0xffa8e132,28000229,45020,21,VPG|TEAM🔥
21,#Y8VYUULGR,OGC |A҉l҉e҉x҉🇸,0xffffffff,28000317,44745,22,otaku game club
22,#PVL08GG0U,💙самолёт💙,0xffa2e3fe,28000063,44034,23,
23,#2LQVUPVLC,M҉O҉M҉O҉,0xfff9c908,28000272,43723,24,les 1234
24,#2298RVP2P,kïnG Mouha☄️🌟,0xff4ddba2,28000175,43440,25,
25,#9JJ8V98LR,nozt,0xffff8afb,28000280,43332,26,otaku game club
26,#PLUU8YQR9,asmjp,0xffff9727,28000279,43298,27,MIRAL 1
27,#PLLGCPJLY,亗⛩GHOST |bøç💫,0xffff9727,28000154,43141,28,otaku game club
28,#Q8PCC90JR,Killers 2.0🔫🔥,0xff1ba5f5,28000348,42916,29,Empire Suisse 5
29,#V80RPUQY,Nanthelme,0xff1ba5f5,28000069,42452,30,Latitude 49
30,#9UC2PV00,Maderus,0xff1ba5f5,28000044,42327,31,50k
31,#2YQVQQ9CU,🔥Frezzek🔥,0xffa8e132,28000140,42188,32,Wonderland
32,#92GRYC98R,bigmoms09,0xffff9727,28000002,42075,33,OGC 2🇸🇳🇸🇳🇸
33,#PG8GCJUG0,[ЭЛЬ]KailerLoL,0xffcb5aff,28000289,41882,34,Wonderland
34,#2GRYQPRPC,🌪Coͥᴍaͣrͫa⛩,0xff1ba5f5,28000322,41610,35,☔ﾟ𝘒ᾰ𝙞źő𝙠ʊ☔⁠☆
35,#90LY8PCVL,Misterio,0xfff05637,28000273,41584,36,Saint Peray
36,#99VCGUYUG,☆Sako🤍,0xffffce89,28000322,41450,37,
37,#2LJR0V0LJ,worn brawler,0xff4ddba2,28000012,41450,38,✨Mini Stars✨
38,#2U8LVYQGU,kjy_metal,0xffcb5aff,28000135,41421,39,M1
39,#Y9VGV0RJ0,r stars (2),0xff4ddba2,28000067,41380,40,
40,#2GYVU0J0Q,🎋81|artgaal🥀,0xffcb5aff,28000004,41346,41,SY KINGS
41,#RUPUV9UR,miniane sarr,0xffff8afb,28000123,41165,42,
42,#PVV8C90UY,Takashi,0xffff9727,28000164,41066,43,🎃DIABLO🎃
43,#YYPGYCLV0,lisko_8z,0xfff05637,28000347,40954,44,NoPrise2Tête
44,#2G29J9Q22,⚡ZekoBey⚡,0xffa2e3fe,28000249,40832,45,
45,#2QGCQC9Y0,BSC|SunLineThun,0xffffffff,28000332,40540,46,Tkt
46,#88Y002YYY,Capitano|🤘🏾|,0xfff9c908,28000229,40381,47,Galsen legends
47,#PCVQ2YULJ,Slamadar,0xffffffff,28000000,40377,48,
48,#J98YCPPQ,II|lellino|II,0xff1ba5f5,28000337,40175,49,RST | SPACCO
49,#PCRVCYCY0,🇸🇳Sadio manè,0xff1ba5f5,28000020,40150,50,les rocks 3
50,#8LYYG2099,Mr.potter,0xffcb5aff,28000014,40080,51,🌀Storm Fr🌀
51,#9CYJ8YPVL,WildWest|🐎,0xffcb5aff,28000332,40056,52,Hell's Kitchen
52,#9JGPJU8VJ,だ|ɬơҳıƈ🥷🏼,0xffcb5aff,28000014,39964,53,UT 死|TEAM
53,#V9VVJLP,MUS1C PREDATOR,0xffa2e3fe,28000043,39893,54,
54,#CYR8Y0U2,franc_bOomin**,0xfff9c908,28000305,39828,55,otaku game club
55,#22C9JVYL9,QLS|Iceman™,0xff1ba5f5,28000002,39808,56,dio.sapone
56,#89QPPY9Q,⚡️Sibzoo⚡️,0xff1ba5f5,28000294,39779,57,
57,#PCU8U9Y2Y,🌀Asanali🌀ᵒᵖ,0xffffffff,28000081,39741,58,LIL MEDZZO
58,#PVQQ92L8U,𝙟𝙪𝙣𝙞𝙤𝙧★,0xffcb5aff,28000293,39698,59,Commonality✨️2
59,#2LCR8URVJ,THR|Lokester🔖,0xffa2e3fe,28000322,39639,60,otaku game club
60,#PPG2Q00UR,LM10|soulax🇸🇳,0xffa8e132,28000084,39614,61,GOATS🐐™
61,#JJ9G2PCY,Samaxx🤍,0xffcb5aff,28000014,39546,62,<c8>MAGICAL</c>
62,#8UJGQPVYU,「愛𝚂𝚕𝚊𝚣𝚢」,0xffcb5aff,28000062,39430,63,
63,#PR2LUUV0,THR|Xtreme,0xffffce89,28000330,39296,64,otaku game club
