,tag,name,nameColor,icon,trophies,rank,club
0,#2YR9PPYUY,A1AL|DzonDzon🍌,0xffcb5aff,28000073,76755,1,Golden Legion
1,#2L0CYU0GY,◤Jᴇᴠᴛᴀ🥀◢,0xfff05637,28000014,75520,2,Brawl King's
2,#2R9JLLLVQ,Unique#1芳琪,0xfff9c908,28000061,72194,3,Crna ruka
3,#2RUGP9CUU,milosito,0xfff9c908,28000136,72026,4,Brawl Kings's
4,#8QY8200U,Daki🐣💛,0xfff9c908,28000005,69454,5,Crna ruka
5,#8GVG28JCP,Best Dodger,0xffcb5aff,28000235,69270,6,vMoove
6,#80PU0P9LL,Vexi,0xffff9727,28000307,67217,7,Crna ruka
7,#8P8G0CUQC,INZ|Gagi🫐,0xff1ba5f5,28000011,66704,8,QLASH Serbia
8,#8YJ2L0QQ8,🥶|Seraph❄️,0xffff8afb,28000129,66354,9,PIG HUNTERS
9,#YGJRUGRR,ま|Mihailo❦,0xffffffff,28000177,65702,10,HeadShoterZ💣
10,#2J9UJQ2L2,☔Mr_Isko🐣🖤,0xffffffff,28000296,64796,11,HeadShoterZ💣
11,#89LQQ9YGR,BC*|Stefa🍉,0xff1ba5f5,28000207,63092,12,
12,#R9Q9L8JU,×͜×,0xffffffff,28000352,62817,13,GOTEI 13
13,#80P800RQ2,Gixi,0xffa8e132,28000206,62703,14,Crna ruka
14,#902L829QP,Yaguar⚰️,0xffff8afb,28000073,62697,15,
15,#2JY8P0PV0,TA|Mr_Marko,0xff1ba5f5,28000004,62336,16,HORDE
16,#8QQC88GG0,sɪɴɢʟᴇ無料🕊,0xffcb5aff,28000297,62146,17,Anteiku☕
17,#9PJR90YUG,DPB |TeamEarwig,0xffff9727,28000262,61829,18,
18,#LR2809GV,/\///\/_//\,0xffff8afb,28000065,61560,19,HORDE
19,#L0JQYVY8,INZ|ReMa🍓,0xff4ddba2,28000140,61551,20,QLASH Serbia
20,#2Q8CJUG0Q,INZ|Gruja🍫,0xffcb5aff,28000135,61401,21,QLASH Serbia
21,#PUU9L2PYQ,💙|𝓟𝓮𝓽𝓪𝓻|☂,0xff1ba5f5,28000319,61197,22,QLASH Serbia
22,#J8PLVJUV,SKY |IFearNo1,0xffffffff,28000218,61114,23,Self Respect🖤
23,#2YCRV80U2,⛩️|斯特凡038|🥀,0xffa2e3fe,28000140,60828,24,QLASH Serbia
24,#29URRCYLY,OM|Bogdan😡,0xffcb5aff,28000225,60752,25,
25,#89JR2P0P0,TG|Mr_Tactic😕,0xffcb5aff,28000207,60510,26,OG Balkan
26,#8JPJV0UY2,Piiiiiiiiiiiiza,0xffff9727,28000073,60481,27,Team Anyx
27,#8LL0UQY8,Original,0xffffffff,28000278,60456,28,HORDE
28,#88QYPJC0Y,Vεηøm ツ,0xffcb5aff,28000335,60268,29,HORDE
29,#9VQ0PQ99R,bikovi,0xfff05637,28000203,60218,30,DPB | ⚡Esport⚡
30,#9VCL8QJUJ,COMI,0xffff9727,28000012,60205,31,Immortal Souls
31,#8C2QQQJ00,BURAZER,0xffcb5aff,28000029,60140,32,CROATIA POWER
32,#U0GLPPUC,Jon Vagabond🧭,0xffffce89,28000349,59803,33,Crna ruka
33,#8JCG9G80,Bokq,0xffcb5aff,28000280,59648,34,HORDE
34,#2UQJU9GGV,Teodoraa❤️‍🩹,0xffcb5aff,28000022,59623,35,BROWLERONI
35,#2CU9Q8JLJ,BonBuns,0xfff05637,28000317,59578,36,Mystery Killers
36,#RJJGCPG,Mαrkσ🖤,0xffcb5aff,28000294,59317,37,SD|Smederevo
37,#2VU0PVCRR,vladan,0xff1ba5f5,28000247,59239,38,QLASH Serbia
38,#9GVJ29R8,INZ|𝕋𝕠𝕟𝕪🍉,0xffa2e3fe,28000135,59235,39,QLASH Serbia
39,#2CLY2JQ2Y,Patrik'C,0xffffffff,28000168,59128,40,Flock of gBirds
